قليل	a little
معبد	temple
وقتي	temporary
عشرة	ten
عشرتالاف	ten thousand
ساكن	tenant
مستأجر	tenant
اتجه ل	tend
نزعة	tendency
لطيف	tender
مناقصة	tender
توتر	tense
توتر	tension
كركبة	tension
خيمة	tent
مؤقت	tentative
تجريبي	tentative
شرط	term
بند	term
شروط	terms
رهيب	terrible
فظيع	terrible
رائع	terrific
منطقة	territory
أرض	territory
اختبار	test
نَص	text
من	than
شكر	thank
ممنونك	thank you
مشكور	thank you
شكرًا لكَ	thank you
شكرًا لصبرك ريثما نتحقّق من الشّحنة	Thank you for your patience while we investigate shipment
شكراً لأنك طولت بالك علينا ونحنا عم نتحقق من الشحنة	Thank you for your patience while we investigate shipment
شكراً كتير	thank you so much
شكرًا جزيلًا	thank you very much
شكراً كتير	thank you very much
مشكور	thank you very much
تشكّرات	thanks
شكرًا	thanks
ممنونك	thanks
شكراً لأنك استخدمت الطبيق تبعنا	Thanks for using our app
هذا	that
هَيْدَا	that
هادا	that is
كتير منيح	that's good
شي كويس	that's good
أل	the
سرقة	theft
لهم	their
إلهم	their
هم	them
موضوع	theme
نفسن	themselves
ثمّ	then
بَعْدِين	then
نظرية	theory
هناكَ	there
هُونِيك	there
هونيك	there are
في	there is
لذلك	therefore
منشان هيك	therefore
هؤلاء	these
هدول	these
هنّي	they
هم	they
هنّي	they are
سميك	thick
حرامي	thief
فخد	thigh
رفيع	thin
شي	thing
شغلات	things
غراض	things
يفكّر	think
بيفكر	think
تالت	third
عطشان	thirsty
تلاتعش	thirteen
تلاتين	thirty
هَيدَا	this
هَذَا	this
هادا	this is
هذا	this is
شامل	thorough
عميق	thorough
كلّو	thoroughly
بكلّ معنى الكلمة	thoroughly
هدول	those
بالرغم من	though
رغم إنّو	though
فكَّرتُ	thought
ظنَّيت	thought
اعتقدت	thought
وقور	thoughtful
أفكار	thoughts
ألف	thousand
خيط	thread
تهديد	threat
هدد	threaten
تلاتة	three
عتبة الباب	threshold
بسعادة كبيرة	thrilled
ينجح	thrive
ينما	thrive
بلعوم	throat
عبرَ	through
من خلال	through
جُوّا	through
طوال	throughout
رمى	throw
باهم	thumb
رعد	thunder
الخميس	Thursday
هكذا	thus
وهيك	thus
قرادة	tick
المد	tide
مرتّب	tidy
كرافيت	tie
ربط	tie
نمر	tiger
مشدود	tight
لغة التيغرينيا	Tigrinya
وقت	time
تشتوش	timid
خجول	timid
حجم صغير	tiny
صغير	tiny
نصيحة	tip
نصائح	tips
دولاب	tire
تعبان	tired
مرهق	tired
محرمة	tissue
عنوان	title
لقب	title
لِ	to
لَ	to
ليصير	to be
خبز محمص	toast
اليوم	today
طفل صغير	toddler
أصابع الرجل	toes
مع بعض	together
تواليت	toilet
خبّر	told
تسامح	tolerance
يسامح	tolerate
بندورة	tomato
بكرا	tomorrow
غدًا	tomorrow
لسان	tongue
الليلة	tonight
كتير	too
أيضًا	too
أخد	took
أداة	tool
أدوات	tools
سن	tooth
أعلى	top
موضوع	topic
مهتري	torn
امَّزق	torn
بيعذب	torture
المجموع	total
يلمس	touch
صلب	tough
قاسي	tough
رحلة	tour
نحو	toward
نحو	towards
منشفة	towel
بلدة	town
بيسمم	toxic
يتبع أثر	trace
يتبع أثر	track
طريق	track
تجارة	trade
عادة	tradition
تقليد	tradition
تقليدي	traditional
حركة السير	traffic
أثر	trail
طريق	trail
قطار	train
ترين	train
تدريب	training
تقسيمات الوش	trait
تقاسيم الوش	traits
تحويل	transfer
يحوّل	transfer
انتقال	transition
ترجَم	translate
شفّاف	transparent
ينقل	transport
مواصلات	transportation
مصيدة	trap
فخ	trap
زبالة	trash
رضة	trauma
مسافر	travel
صينية	tray
كنز	treasure
يعامل	treat
بيعامل	treat
معاملة	treatment
شجرة	tree
جبّار	tremendous
ضخم	tremendous
موضة	trend
دارج	trend
محاكمة	trial
اختبار	trial
حيلة	trick
حاول	tried
مشغّل	trigger
تقليم	trim
رحلة	trip
مشوار	trip
سيران	trip
مشكلة	trouble
مأزق	trouble
بنطلون	trousers
شاحنة	truck
صحيح	true
صندوق السيارة	trunk
جذع	trunk
أمل	trust
ثقة	trust
الحقيقة	truth
جرب	try
لغة التسونجا	Tsonga
بربيج	tube
الثلاثاء	Tuesday
محاضرة	tuition
تدريس	tuition
حبش	turkey
ديك رومى	turkey
كُركُم	turmeric
دور	turn
بيتحول	turn
سلحفة	turtle
استاذ خصوصي	tutor
اتنعش	twelve
عشرين	twenty
واحد وعشرين	twenty-one
لغة التوي	Twi
مرتين	twice
لوي	twist
اتنين	two
نوع	type
عادي	typical
بشع	ugly
نهائي	ultimate
شمسية	umbrella
ما بيقدر	unable
عم	uncle
خال	uncle
مو واعي	unconscious
تحت	under
تحت	underneath
بخسو قيمتو	underrated
يفهم	understand
بيفهم	understand
مفهوم	understood
للأسف	unfortunately
زي مُوحد	uniform
ما في متلو	unique
ما في منو	unique
مميز	unique
فريد	unique
وحدة	unit
جامعة	university
مو معروف	unknown
مجهول	unknown
إلا إذا	unless
لحتى	until
غريب	unusual
مو عادي	unusual
أكتر	up
أعلى	up
الأمر بيرجعلك	up to you
تحديث	update
يرقّي	upgrade
لما	upon
حزين	upset
زعلان	upset
متمدن	urban
يتخانق	urge
مستعجل	urgent
طارىء	urgent
نحنا	us
نحن	us
بيستعمل	use
يستعمل	use
يستخدم	use
بيستغل	use
مستعمل	used
مفيد	useful
ما منو رجا	useless
ما في فايدة منو	useless
مألوف	usual
اعتيادي	usual
عادةً	usually
بالعادة	usually
جدوى	utility
منفعة	utility
عطلة	vacation
إجازة	vacation
تلقيح	vaccination
مصل	vaccine
مكنسة كهربا	vacuum
مو مفهوم	vague
غامض	vague
صالح	valid
وادي	valley
غالي	valuable
قيمة	value
أشكال وألوان	variety
متنوع	variety
كتير	various
متنوع	various
بيتنوع	vary
مزهرية	vase
واسع	vast
خضرا	vegetable
خضرا	vegetables
شاحنة	vehicle
سيارة	vehicle
بياع	vendor
موظف	vendor
حقد	venom
غلّ	venom
يغامر	venture
مسرح الأحداث	venue
مكان	venue
اتأكد من	verify
استعمالاتو كتيرة	versatile
متعدد الجوانب	versatile
إصدار	version
عمودي	vertical
كتير	very
كثيرًا	very
جيد جداً	very good
كتير منيح	very good
وعا	vessel
عن طريق	via
بواسطة	via
هز	vibe
ذبذبات	vibes
خبيث	vicious
ضحية	victim
فيديو	video
منظر	view
ضيعة	village
ندل	villain
خل	vinegar
خمر	vintage
عنف	violence
عنيف	violent
فيروسي	viral
بنت	virgin
عذراء	virgin
افتراضي	virtual
فعة نفس	virtue
رؤية	vision
يزور	visit
مرئي	visual
نشيط	vital
حِرِك	vital
فاقع	vivid
واضح	vivid
كلمات	vocabulary
مفردات	vocabulary
صوت	voice
فاضي	void
فارغ	void
كمية	volume
متطوع	volunteer
الاستفراغ	vomit
معرّض ل	vulnerable
أجرة	wage
أجور	wages
خصر	waist
خاصرة	waist
استنى	wait
انتظر	wait
نادل	waiter
ناطر	waiting
مستني	waiting
فاق	wake
يفيق	wake up
بيمشي	walk
مشِي	walking
حيط	wall
محفظة	wallet
تجول	wander
بدّي	wanna
بدّو	wanna
يريد	want
بدو	want
مطلوب	wanted
حرب	war
خزانة التياب	wardrobe
مستودع	warehouse
حنون	warm
دافئ	warm
دافي	warm
تحذير	warn
تحذير	warning
انذار	warning
محارب	warrior
كان	was
غسيل	wash
بيهدر	waste
يهدر	waste
بيضيّع	waste
يراقب	watch
بيشوف	watch
مياه	water
مي	water
بطيخ	watermelon
جبس	watermelon
موجة	wave
طريقة	way
طريق	way
نَحْنُ	we
نِحْنَا	we
نحنا	we are
بنقدر	we can
ضعيف	weak
ضعف	weakness
ثروة	wealth
غني	wealthy
مقتدر	wealthy
يرتدي	wear
لابس	wear
يلبس	wearing
طقس	weather
عرس	wedding
الأربعاء	Wednesday
أعشاب ضارة	weed
حشيش	weed
أسبوع	week
نهاية الأسبوع	weekend
تقل	weight
وزن	weight
مو طبيعي	weird
غريب	weird
تفضّل	welcome
أهلا وسهلا	welcome
شرّفت	welcome
عيشة هنية	welfare
جيّد	Well
منيح	Well
كويِّس	Well
برافو عليك	well done
راح	went
طلع	went
ذهب	went
كانوا	were
غرب	west
رطب	wet
مرطّب	wet
حوت	whale
شو	what
ماذا	what
وانت شو	what about you
شو منشانك	what about you
شو عم تعمل	what are you doing
ماذا تفعل	what are you doing
تعمل إيه	what are you doing
ماذا تفعلُ الآنَ	what are you doing now
شو عم تعمل هَلّق	what are you doing now
شو عم تعمل هلق	what are you doing right now
شو عم تساوي	what do you do
شو عم تعمل	what do you do
شو بتشتغل	what do you do for a living
من وين بتسترزق	what do you do for a living
شو يعني	what do you mean
ماذا تقصد	what do you mean
شو قصدك	what do you mean
شو بدك	what do you want
شو اللي صار	what happened
شو هوي	what is
ما هو	what is
شو هاد	what is this
شو بتشتغل	what is your job
ما اسمك	what is your name
شو اسمك	what is your name
شو آخر الأخبار	what's up
شو اسمك	what's your name
أيًّا كان	whatever
مهما	whatever
مو مشكلة	whatever
قمح	wheat
دولاب	wheel
لمَّا	when
حينَ	when
وقتا	whenever
وقت لما	whenever
أينَ	where
وَيْن	where
وينك	where are you
أين أنت	where are you
انت وين	where are you
من أينَ أنتَ	where are you from
إِنتَ من وين	where are you from
من أي بلد جايي	where are you from
انت وين هلق	where are you now
وينك هلق	where are you now
وين عايش	where do you live
وين	where is
بينما	whereas
في حال	whether
إن كان	whether
أيَا	which
أَيْ	which
بالوقت اللي	while
بينما	while
همسة	whisper
صفّارة	whistle
أبيض	white
مِين	who
مَن	who
مين انت	who are you
انت مين	who are you
مين	who is
مين هاد	who is this
كل	whole
مَن	whom
لمين	whose
لماذا	why
لي	why
ليش	why
ليش لاء	why not
خبيث	wicked
ملعون	wicked
واسع	wide
عريض	wide
أرملة	widow
عرض	width
زوجة	wife
متوحش	wild
برّي	wild
سَوْفَ	will
رَحْ	will
إرادَة	will
راغب	willing
حابب	willing
بيربح	win
هوا	wind
شباك	window
عاصف	windy
هوا	windy
خمر	wine
مشروب	wine
الشتى	winter
شتوية	winter
يمسح	wipe
سلك	wire
رزانة	wisdom
رجاحة عقل	wisdom
حكمة	wisdom
حكيم	wise
فهيم	wise
بيتمنى	wish
بتمنالك الأفضل	wish you all the best
ساحرة	witch
معَ	with
مَعْ	with
انسحاب	withdraw
انسحاب	withdrawal
جوا	within
داخل	within
بدون	without
بلا	without
شاهد	witness
حربوق	witty
ديب	wolf
مرا	woman
النسوان	women
ربح	won
ما رح	won't
بيتساءل	wonder
بيجنن	wonderful
رائع	wonderful
خشب	wood
غابة	wood
صوف	wool
كلمة	word
كلمات	words
شغل	work
عمل	work
اكتشف	work out
شغل	working
العالم	world
دودة	worm
مهتري	worn
قلقان	worried
قلقان	worry
أسوأ	worse
يسجد	worship
عبادة	worship
أسوأ شي	worst
بيستاهل	worth
يستحقّ	worth
بيستاهل تعبو	worth it
بيستاهل	worthy
تمنّى	would
أرادَ	would
جرح	wound
واو	Wow
لفّ	wrap
غيظ	wrath
رسغ	wrist
يدوّن	write
بيكتب	write
يكتب	write
اكتب هون	Write here
كتابة	writing
مكتوب	written
مو صحيح	wrong
خطأ	wrong
كتب	wrote
باحة البيت	yard
أرض الديار	yard
متاوبة	yawn
نعم	Yeah
أيْوَه	Yeah
سنة	year
سنين	years
خميرة	yeast
رفع صوتو	yell
صرّخ	yell
أصفر	yellow
بلى	Yes
نعم	Yes
إي	Yes
اي حبيبي	yes baby
أيوا حبيبي	yes dear
اي حبيبي	yes dear
اي حبيبي	yes honey
امبلا حبيبي	yes my love
اي حبيبي	yes my love
طبعاً أكيد	yes of course
أمس	yesterday
مبارحة	yesterday
مبارح	yesterday
لسى	yet
بعد	yet
مدخول	yield
إنتَ	you
أنتَ	you
انت	you are
أنت حلو	you are beautiful
انت حلو كتير	you are so beautiful
على الرحب والسعة	you are welcome
أهلا وسهلا فيك	you are welcome
شرّفت	you are welcome
بتقدر	you can
بتعرف	You know
انت كمان	you too
أهلا وسهلا فيك	you're welcome
بتشرّف	you're welcome
صغير	young
شب	young
لك	your
أهلا وسهلا فيك	your welcome
انت نفسك	yourself
الشباب	youth
أهلا وسهلا	you’re welcome
شرّفت	you’re welcome
يم يم	yummy
صفر	zero
