a little	кӀеззиг
various	къаьсташ
various	тайп-тайпана
vary	девзаш
vase	кхаба
vast	шуьйра
vegetable	хасстом
vegetables	хасстоьмаш
vehicle	транспортан гӀирс
vendor	йохкархо
venom	дӀовш
venture	предприяти
venue	вовшахкхета меттиг
verify	талла
versatile	башхалла йолуш
versatile	тайп-тайпанара
version	верси
vertical	ирх
very	чӀогӀа
very good	вуно дика
very good	тӀехдика
very good	чӀогӀа дикуа
vessel	кема
via	чекх
via	-хула
vibe	дегор
vibe	вибраци
vibes	дегадар
vicious	сийсаза
victim	сагӀа
video	видео
view	васт
village	юрт
villain	зуламхо
vinegar	къонза
vintage	ширачу заманера
violence	ницкъбар
violent	ницкъала
viral	вирусан
virgin	йоӀстаг
virtual	виртуале
virtue	бакъхьаралла
vision	гар
visit	хьажахӀотта
visual	бӀаьран
vital	ладаме
vivid	сирла
vocabulary	дешнийн барам
vocabulary	дошам
voice	аз
void	есалла
volume	барам
volunteer	шен лаамехь дерг
vomit	Ӏеттор
vulnerable	Ӏаьткъаме
wage	алапа
wages	алапа
waist	гӀодаюкъ
wait	хьежа
wait	собардан
wait	ладегӀа
waiter	официант
waiting	хьежар
waiting	лардар
wake	охьаӀана
wake up	самадала
wake up	хьалагӀатта
walk	доладалар
walk	лелар
walking	гӀаш лелар
wall	пен
wallet	бумаьштиг
wallet	бохча
wander	кхерста
wanna	лаам
want	лаа
wanted	лоьхург
wanted	лаца кхайкхийнарг
war	тӀом
wardrobe	гардероб
warehouse	склад
warm	мела
warn	дӀахьедар
warning	дӀахаийтар
warrior	тӀемало
was	хилла
was	дара
wash	дила
waste	даххаш
waste	нехаш
watch	сахьт
water	хи
watermelon	хорбаз
wave	тулгӀе
way	некъ
we	тхо
we are	вай
we can	вайн мага
weak	гӀийла
weakness	ледаралла
wealth	таро
wealthy	тароерг
wear	лело
wearing	лелориг
weather	хенан хӀоттам
wedding	ловзар
wedding	зудаялор
Wednesday	кхаара
weed	асар
week	кӀира
weekend	мукъаденош
weight	йозалла
weird	инзаре
weird	тамаше
welcome	марша догӀийла
welfare	рицкъ
welfare	беркат
Well	нийса ду
Well	дика ду
Well	тоаме ду
well done	дика хила
went	даха
were	бара
were	дара
west	малхбузе
wet	тӀеда
whale	кит
what	хӀун
what about you	ахь хӀун эр дара
what are you doing	хьо хӀун деш ву
what are you doing now	хьо хӀинца хӀун деш ву
what are you doing right now	хьо хӀинцалерачу хенахь хӀун деш ву
what do you do	хьо хӀун деш ву
what do you do for a living	хьо хӀун болх беш ву
what do you mean	хьуна муха хета
what do you mean	хӀун ду хьан дагахь
what do you want	хӀун еза хьуна
what happened	хӀун хилла
what is	хуӀн ю
what is this	хуӀн ю иза
what is your job	Муьлхха болх беш ву хьо
what is your name	хьан цӀе хӀун ю
what's up	хӀун хилла
what's your name	Хьан цӀе муха ю
whatever	хӀуъа а
wheat	кӀа
wheel	чкъург
when	маца
whenever	хӀора
where	мичахь
where are you	хьо мичахь ву
where are you from	хьо мичара ву
where are you from	хьо стенгара ву
where are you now	хьо хӀинца мичахь ву
where do you live	хьо мичахь Ӏаш ву
where is	мичахь
whereas	тидаме эцар
whether	хила
which	муьлха
which	муьлхарниг
while	цкъачунна
whisper	ишар
whisper	шабар-шибар
whistle	шок
white	кӀайн
who	мила
who are you	хьо мила ву
who is	мила
who is this	мила ву иза
whole	дерриг
whole	дуьззина
whom	хьенан
whose	хьенан
why	хӀунда
why not	хӀунда дац
wicked	вон
wide	шуьйра
widow	жеро
width	шоралла
wife	цӀеннана
wife	хӀусамнана
wife	зуда
wild	акха
will	тоьур ду
willing	кийча
win	тола
wind	мох
window	кор
windy	мох болу
windy	мохе
wine	чагӀар
winter	Ӏа
wipe	даор
wire	сара
wire	тел
wisdom	хьекъал долуш
wisdom	кхетам болуш
wise	хьекъале
wish	лаам
wish	дехар
wish you all the best	дика мелдерг хуьлда шуна
witch	гӀам
with	цхьана
withdraw	арадаккха
withdrawal	жамӀ
within	чоьхьа
without	доцуш
witness	теш
witty	ира хьекъал долу
wolf	борз
woman	зуда
women	зударий
won	толам
won't	хир дац
wonder	цецдийла
wonderful	тамаше хаза
wonderful	инзаре
wonderful	тоьлла
wood	дитт
wood	дечиг
wool	тха
wool	тӀаргӀа
word	дош
words	дешнаш
work	болх
work	къинхьегам
work out	даккха
working	болхбеш
world	Ӏалам
world	дуьне
worm	нӀаьна
worn	лелина
worried	синтем байна
worry	сагатдар
worse	вониг
worse	оьшушдерг
worship	Ӏибадат
worst	уггар вон
worth	мехалла
worth it	цу мехах ду
worthy	хьакъ долу
would	лаам
would	дара
wound	чов
Wow	хьажахь
Wow	Ooo
Wow	вээ
wrap	урхалла дан
wrath	оьгӀазло
wrist	хьакхолг
write	яздан
Write here	Кхузахь язде
writing	яздо
written	яздина
wrong	нийса доцу
wrong	харц
wrote	язйина хила
yard	хӀусам
yard	ков-керт
yawn	бага гӀитто
Yeah	ХӀаъ
year	хьан
years	шераш
yeast	совсорг
yell	мохь беттар
yellow	можа
Yes	ХӀаъ
yes baby	хӀаъ хьомениг
yes dear	хӀаъ хьомениг
yes honey	хӀаъ, хьомениг
yes my love	дика ду, сан безам
yes of course	дера ду
yesterday	селхана
yet	делахь а
yet	хӀинца а
yield	са
yield	ялта
you	хьо
you are	хьо ву
you are beautiful	хьо хаза ву
you are so beautiful	хьо чӀогӀа хаза ву
you are welcome	Делан дуьхьа
you can	хьоьга дало
you can	хьан таро ю
You know	Хьуна хаа
you too	хьо а
you're welcome	хӀума а дац иза
young	къона
young	жима
your	хьан
your welcome	маршаллица
yourself	шен
youth	кегийрхой
you’re welcome	маршаллица
yummy	чоме
zero	ноль
