a	ⴰ
good morning my love	ⴰⵣⴻⴽⴽⴰ ⵉⴳⴻⵔⵔⵣⴻⵏ ⴰ ⵜⴰⵢⵔⵉⵯⵡ.
good night	ⵉⴹ ⵉⴳⴻⵔⵔⵣⴻⵏ
goodbye	ⴰⵔ ⵜⵓⴼⴰⵜ
goodnight	ⵉⴹ ⴰⵎⴻⴳⴳⴰⵣ
goods	ⴰⵍⵣⴰⵣⴻⵏ
Google	ⴳooⴳⵍⴻ
Google Translate	ⴰⵙⴻⴳⵣⵉ ⵏ ⴳooⴳⵍⴻ
goose	ⵓⵡⴻⵣⵣⵉⵡ
gorgeous	ⴰⵖⵔⴼⴰⵏ
gossip	ⴰⵙⵙⵉⵡⴻⵍ ⵖⴻⴷ ⵎⴻⴷⴷⴻⵏ
got	ⵢⴻⵡⵡⴻⴹ
got it	ⵥⵔⵉⵖⵯⵜ
government	ⵜⴰⵇⵇⴻⴷⴰⵛⵜ
grab	ⵟⵟⴼⴻⵏ
grade	ⵜⵉⵣⵎⵉⵍⵉⵏ
gradually	ⵙ ⵜⵜⴰⵡⵉⵍ
graduate	ⴰⴳⴻⵔⴷⴰⵙ
grain	ⵉⵎⴻⵏⴷⵉⵢⴻⵏ
grant	ⴻⴼⴽ
granted	ⵢⴻⵜⵜⵓⵏⴻⴼⴽ
grapes	ⴰⴹⵉⵍ
grasp	ⵢⴻⴹⴹⴻⴼ
grass	ⵜⵓⴳⴰ
grateful	ⵏⵛⴻⴽⴽⴻⵔ ⴰⵟⴰⵙ
gratitude	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ
grave	ⴰⵥⴻⴽⴽⴰ
gray	ⴰⵛⵉⴱⴰⵏ
great	ⵢⴻⵍⵀⴰ ⵏⴻⵣⵣⴻⵀ
greed	ⴰⵇⵊⵎⴰⵔ
greedy	ⵟⵟⵎⴻⵄ
green	ⴰⵣⴻⴳⵔⴰⵡ
greet	ⵢⴻⵍⵀⴰ
greeting	ⴰⵣⵓⵍ
greetings	ⴰⵣⵓⵍ
grey	ⵜⵜⵛⴰⴱⴻⵖ
grid	ⵙⴻⴼⵔⴻⴳ
grief	ⵍⴻⵃⵣⴻⵏ
grind	ⴷⴷⴻⵣ
grip	ⴰⵍⵜⴰⵖ
grocery	ⵜⴰⵃⴰⵏⵓⵜ
groom	ⵉⵙⵍⵉ
gross	ⵉⵎⴻⵇⵔⴰⵏⴻⵏ
ground	ⴰⴽⴰⵍ
group	ⴰⴳⵔⴰⵡ
grow	ⵙⴻⵎⵖⵓⵔ
growth	ⵜⵉⵎⵖⵓⵔ
grumpy	ⵢⴻⵔⴼⴰ
Guarani	ⵖⵓⵔⴰⵏⵉ
guarantee	ⵏⴻⴹⵎⴻⵏⵯⵉⵜ
guard	ⵜⴰⵄⴻⵙⵙⴰⵙⵜ
guess	ⴰⴷ ⴷⵯⵜⵉⵏⵉⴷ
guest	ⵉⵏⴻⴱⴳⵉ
guidance	ⴰⵙⵖⴰⵍ
guide	ⵏⵀⴻⵔ
guilty	ⴷ ⴰⵎⴻⴷⵏⵓⴱ
guy	ⴰⵔⴳⴰⵣ
guys	ⴰⵢ ⴰⵔⵔⴰⵛ
gym	ⴰⴷⴷⴰⵍ
habit	ⵜⴰⵏⵓⵎⵉ
habitat	ⴰⵎⴹⵉⵇ
had	ⵖⵓⵔⵙ
hail	ⵡⴻⴱⵔⵓⵔⵉ
hair	ⴰⵛⵣⴱⴱⵓⴱ
half	ⴰⵣⴳⴻⵏ
hall	ⵜⴰⵣⴻⵖⵖⴰ
hand	ⴰⴼⵓⵙ
handle	ⴰⵙⴻⵍⴽⵉⵎ
handsome	ⵢⴻⵔⴱⴻⵃ
hang	ⴼⵙⴻⵔ
hang out	ⴰⴷ ⵏⴻⵣⵣⵉ
happen	ⵢⴻⴹⵔⴰ
happened	ⵜⴻⴷⵔⴰ
happiness	ⵙⵙⴻⵄⴷⵯⵏⵙⴻⵏ
happy	ⵢⴻⴼⵔⴻⵃ
happy birthday	ⴰⵎⵓⵍⵉ ⴰⵎⴻⴳⴳⴰⵣ
happy birthday to you	ⴰⵎⵓⵍⵉⵯⴽ ⴷ ⴰⵎⴻⴳⴳⴰⵣ
happy new year	ⴰⵙⴻⴳⴳⴰⵙ ⴰⵎⴻⴳⴳⴰⵣ
hard	ⵉⴳⴷⴻⵔ
hardly	ⵙⵉⵖⵉⵍ
hardly ever	ⴷ ⴰⵡⴻⵣⵖⵉ
harm	ⵜⴰⵇⵔⵉⵃⵜ
harm	ⵙⵡⵉⵖ
harmful	ⵢⴻⵙⴹⵓⵔⵔⵓ
harmony	ⴰⵎⵜⴰⵡⴰ
harsh	ⴷ ⴰⵥⵉⴹⴰⵏ
harvest	ⵜⴻⵎⴳⴻⵔ
has	ⵢⴻⵙⵄⴰ
hate	ⵢⴻⴽⴻⵀ
have	ⵢⴻⵙⵄⴰ
have a good day	ⵙεⵓⵜ ⴰⵙⵙ ⵢⴻⵍⵀⴰⵏ
have a nice day	ⴰⵙⵙ ⴰⵎⴻⴳⴳⴰⵣ
have breakfast	ⵞⵞⴻⵜ ⵉⵎⴻⴽⵍⵉ
have fun	ⴰⵏⴻⵛⵔⴰⵃ
have you eaten	ⵜⴻⵞⵞⵉⴹ ?
having	ⵙⴻεεⵓ
hazard	ⴰⵎⵉⵀⵉ
haze	ⴰⴳⴳⵓ
he	ⵏⴻⵜⵜⴰ
he has	ⵢⴻⵙεⴰ
he is	ⴷ ⵏⴻⵜⵜⴰ
head	ⴰⵇⴻⵔⵔⵓ
headache	ⴰⵇⵔⴰⵃ ⵏ ⵢⵉⵖⴻⴼ
heal	ⴰⵙⵙⴻⵃⵍⵓ
healing	ⴰⵙⴻⵃⵍⵓ
health	ⵜⴰⵣⵎⴻⵔⵜ
healthy	ⵉⵍⵀⴰ ⵉ ⵜⴻⵣⵎⴻⵔⵜ
hear	ⵢⴻⵙⵍⴰⴷ
heard	ⵢⴻⵍⵙⴰ
heart	ⵇⴻⵔⵉⵃ
heat	ⵙⴻⵃⵎⵓ
heaven	ⵉⴳⴻⵏⵏⵉ
heavy	ⵣⵣⴰⵢⴻⵏ
hectic	ⴰⵎⵣⵓⵏ
height	ⵍⴰⵄⵍⵉ
heir	ⵎⴻⴽⴽⵓⵙ
heist	ⵜⵉⵔⵣⵉ
held	ⵢⴻⵟⵟⴳⴻⵏ
hell	ⵜⵉⵎⴻⵙ
Hello	ⴰⴻⵓⵍ
hello dear	ⴰⵣⵓⵍ ⴰⵢ ⴰⵃⴱⵉⴱ
hello how are you	ⴰⵣⵓⵍ, ⴰⵎⴻⵍ ⵉ ⵜⴻⵜⵜⵉⵍⵉⴹ?
hello how are you doing	ⴰⵣⵓⵍ ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴷ?
helmet	ⴰⵎⵙⴻⴳⴷⴰⵍ
help	ⵄⵉⵡⴻⵏ
helpful	ⵉⵄⴰⵡⵏⴻⵏ
hence	ⵉⵀⵉ
her	ⴰⴳⵍⴰⵯⵙ
herd	ⵜⵇⴻⴹεⵉⵜ
here	ⴷⴰⴳⵉ
heritage	ⵍⵡⴻⵔⵜ
hesitate	ⵢⴻⴽⵓⴽⵔⴰ
Hey	ⵉⵢ
Hi	ⴰⵣⵉⵍ
hi how are you	ⴰⵣⵓⵍ ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴷ
Hi there	ⴰⵣⵓⵍ ⴷⵉⵏⴰ
hidden	ⵢⴻⴼⴼⴻⵔ
hide	ⴰⴷ ⵢⴻⴼⴼⴻⵔ
hierarchy	ⵉⴳⴹⴰⵎ
high	ⵄⴻⵍⴰⵢ
highlight	ⴷⴻⵔⵔⴻⵔ
hike	ⵉⵎⵣⵡⵓⵔⴰ
hiking	ⴰⵎⴻⵔⵔⴻⵃ
hilarious	ⵢⴻⵙⵙⴻⴹⵙⴰⵢ
hill	ⵜⵉⵖⵉⵍⵜ
him	ⵏⴻⵜⵜⴰ
hint	ⴰⵡⴻⵀⵀⵉ
hip	ⴰⵎⵎⴰⵙ ⵜⴰⵖⵎⴰ
hips	ⵜⴰⵖⵎⴰ
hire	ⴽⵔⵓ
hiring	ⵍⴻⴽⵔⴰ
his	ⴰⵢⵍⴰⵯⵙ
history	ⴰⵎⴻⵣⵔⵓⵢ
hit	ⵢⴻⴽⴽⴰⵜ
Hmm	ⵢⴰⵀ
hobby	ⴰⵔⴰⵎⵙⵓ
hold	ⵟⵟⴻⵟ
hold on	ⵟⵟⴻⴼ
hole	ⵜⴰⵙⵔⴰⴼⵜ
holiday	ⵉⵎⵓⵔⴰⵙ
hollow	ⴷ ⵜⵉⵍⴻⵎⵜ
home	ⴰⵅⴰⵎ
homework	ⴰⵖⴰⵏⴻⵏ
honest	ⴰⴼⴻⵃⵍⵉ
honestly	ⵜⵉⴷⴻⵜ ⴽⴰⵏ
Honey	ⴰⵢ ⴰⵎⴻⵍⵃⴰⵏ
honor	ⵄⵓⵣⵣ
hood	ⴰⵔⴰⵣⴰⵍ
hook	ⵄⴻⵍⵍⵇ
hop	ⵉⵏⴻⴳⴳⴻⵣ
hope	ⵙⵉⵔⴻⵎ
hopefully	ⵏⴻⵙⵙⴰⵔⴰⵎ
hopeless	ⵓⵍⴰⵛ ⴰⵙⵉⵔⴻⵎ
horizontal	ⵉⴳⵍⵉ
horn	ⵉⵛⵉⵡ
horrible	ⵙⵙⴻⵅⵍⴰⵄ
horror	ⵜⵓⴳⴷⵉ
horse	ⴰⵢⵉⵙ
hospital	ⵙⴱⵉⵟⴰⵔ
hospitality	ⵜⴰⵙⵏⵓⴱⴻⴳⵜ
host	ⵉⵙⵏⵓⴱⴳⴰ
hostile	ⵢⵓⵄⴻⵔ
hot	ⵢⴻⵃⵎⴰⵏ
hotel	ⴰⵙⴻⵏⵙⵓ
hour	ⵙⵙⴰεⴰ
hours	ⵜⵉⵙⴰⵄⵜⵉⵏ
house	ⴰⵅⵅⴰⵎ
household	ⵜⴰⵡⴰⵛⵓⵍⵜ
how	ⴰⵎⴻⴽ
how about you	ⵉ ⴽⴻⵎⵎ?
how are you	ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴹ
how are you doing	ⴰⵎⴻⴽ ⵉ ⵜⴻⵜⵜⵉⵍⵉⴹ
how are you doing today	ⴰⵎⴻⴽ ⵉ ⵜⴻⵍⵍⵉⴹ ⴰⵙⵙⴰ
how are you today	ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴹ ⴰⵙⵙⴰ
how do you do	ⴰⵎⴻⴽ ⵉ ⵜⴻⵜⵜⵉⵍⵉⴷ
how is	ⴰⵎⴻⴽ ⴰⴽⴽⴰ
how many	ⴰⵛⵃⴰⵍ
how much	ⴰⵛⵃⴰⵍ
how often	ⴰⵛⵃⴰⵍ ⵏ ⵜⵉⴽⴽⴰⵍ
how old are you	ⴰⵛⵃⴰⵍ ⵜⴻⵙⵄⵉⴹ ⵏ ⵢⵉⵙⴻⴳⴳⴰⵙⴻⵏ
how was your day	ⴰⵎⴻⴽ ⵉ ⵉⵄⴻⴷⴷⴰ ⵡⴰⵙⵙⵯⵉⴽ?
how was your night	ⴰⵎⴻⴽ ⵢⴻⵍⵍⴰ ⵢⵉⴹⵯⵉⵎ?
however	ⵎⴰⵅⴰ
hub	ⵜⴰⵍⴻⵎⴰⵙⵜ
hubby	ⴰⵢ ⴰⵔⴳⴰⵣ
hug	ⵙⵓⴷⴰⵏ
huge	ⴰⵎⴻⵇⵇⵔⴰⵏ
human	ⴰⵎⴷⴰⵏ
humble	ⵢⴻⵙⵜⵓⴼⴰⵏ
humid	ⵢⴻⴱⵣⴻⴳ
humidity	ⴰⵙⴻⴱⵣⴻⴳ
hundred	ⵜⴰⵡⵉⵏⴰⵙ
hungry	ⵍⴰⵥ
hunt	ⵚⵚⵢⴰⴷⴰ
hurricane	ⵜⴰⴱⵓⵛⵉⴹⴰⵏⵜ
hurry	ⵖⵉⵡⴻⵍ
hurry up	ⴰⵄⵊⴻⵍ
hurt	ⵢⴻⵊⵔⴻⵃ
husband	ⴰⵔⴳⴰⵣ
hustle	ⴷⴻⵔⵔⴻⵃ
hut	ⴰⴳⵓⵔⴱⵉ
hygiene	ⵉⴼⴼⵉⵙⴻⵏ
I	ⵉ
I am	ⴷ ⵏⴻⴽⴽ
I am fine	ⵓⵔ ⵉⵢⵉⵯⵢⵓⵖ ⵡⴰⵔⴰ
I can	ⵣⴻⵎⵔⴻⵖ
I can't	ⵓⵔ ⵣⵎⵉⵔⴻⵖ ⴰⵔⴰ
I do	ⵅⴻⴷⵎⴻⵖ
I do not know	ⵓⵔ εⵍⵉⵎⴰⵖ ⴰⵔⴰ
I do not understand	ⵓⵔ ⴼⴻⵀⵉⵎⴰⵖ ⴰⵔⴰ
I don't	ⵓⵔ ⵜⵜⵯⵙⵙⵉⵏⴻⵖ ⴰⵔⴰ
I don't know	ⵓⵔ ⵥⵔⵉⵖ ⴰⵔⴰ
I don't understand	ⵓⴼⴻⵀⵉⵎⴻⵖ ⴰⵔⴰ
I don't understand what you mean	ⴷⵯⴰⵛⵓ ⵜⴻⴱⵖⵉⴹ
I don't understand you	ⵓⵔ ⴽⵯⴼⵀⵉⵎⴻⵖ ⴰⵔⴰ
I don’t know	ⵓⵔ εⵍⵉⵎⴻⵖ ⴰⵔⴰ
I don’t understand	ⵓⵔ ⴼⵀⵉⵎⴻⵖ ⴰⵔⴰ
i guess	ⵛⵓⴽⴽⴻⵖ
I had	ⵍⵍⵉⵖ
I have	ⵙⵄⵉⵖ
I have been	ⵍⵍⵉⵖ
I hope so	ⴰⴽⴰ ⵉ ⵙⴰⵔⵎⴻⵖ ⵓⵍⴰ ⴷ ⵏⴻⴽⴽ
I know	ⵄⴻⵍⵎⴻⵖ
I like	ⵃⴻⵎⵍⵍⴻⵖ
I like you	ⵃⴻⵎⵍⴻⵖⵯⴽ
I love	ⵃⴻⵎⵎⵍⴻⵖ
I love my big brother	ⵃⴻⵎⵍⴻⵖ ⴳⵎⴰ ⴰⵎⴻⵇⵔⴰⵏ
I love my big sister	ⵃⴻⵎⵍⴻⵖ ⵓⵍⴻⵜⵎⴰ ⵜⴰⵎⴻⵇⵔⴰⵏⵜ
I love my father	ⵃⴻⵎⵍⴻⵖ ⴱⴰⴱⴰ
I love my little brother	ⵃⴻⵎⵍⴻⵖ ⴳⵎⴰ ⴰⵎⴻⵛⵟⵓⵃ
I love my little sister	ⵃⴻⵎⵍⴻⵖ ⵓⵍⴻⵜⵎⴰ ⵜⴰⵎⴻⵛⵟⵓⵃⴻⵜ
I love my mother	ⵃⴻⵎⵍⴻⵖ ⵢⴻⵎⵎⴰ
I love you	ⵃⴻⵎⵍⴻⵖⵯⴽ
I love you so much	ⵃⴻⵎⵎⵍⴻⵖⵯⴽⴻⵎ ⴰⵟⴰⵙ
I love you too	ⵃⴻⵎⵎⵍⴻⵖⵯⴽⴻⵎ ⵓⵍⴰ ⴷ ⵏⴻⴽⴽ
I mean	ⴱⵖⵉⵖ ⴰⴷ ⴷⵯⵉⵏⵉⵖ
I miss you	ⵅⴰⵇⴻⵖ ⴼⴻⵍⵍⵯⴰⵎ
I miss you so much	ⵛⵛⴻⵖ ⴼⴻⵍⵍⵯⴰⵎ ⴰⵟⴰⵙ.
I see	ⵥⵔⵉⵖ
I think	ⵛⵓⴽⴽⴻⵖ
I understand	ⴼⴻⵀⵎⴻⵖ
I want	ⴱⵖⵉⵖ
I want to see you	ⴱⵖⵉⵖ ⴰⴷ ⴽⴻⵎⵯⵥⵔⴻⵖ.
I want you	ⴱⵖⵉⵖⵯⴽ
I was	ⵍⵍⵉⵖ
I will	ⴰⴷ
I would be	ⴰⴷ ⵉⵍⵍⵉⵖ
I'm	ⵏⴻⴽⴽⵉⵏⵉ
I'm fine	ⵓⵔ ⵉⵢⵉⵯⵢⵓⵖ ⵡⴰⵔⴰ
I'm good	ⴰⵙⵍⵉⵯⵉ ⴰⴽⴽⴻⵏ ⵉⵍⴰⵇ
I'm here	ⴰⵇⵍⵉ ⴷⵯⴰ
I'm sorry	ⵙⵙⵓⵔⴻⴼⵯⵉⵢⵉ
ice	ⴰⴷⴼⴻⵍ
ice cream	ⵜⴰⵎⴰⴳⵔⵉⵙⵜ
idea	ⵜⵉⴽⵜⵉ
ideal	ⵉⴳⴻⵔⵔⵣⴻⵏ
identical	ⵢⴻⵜⵎⵛⵓⴱⴰ
identify	ⵉⵙⵙⵉⵏ
identity	ⵍⴰⵚⴻⵍ
idiot	ⴰⵎⴻⵏⵣⵓⴳ
idle	ⵜⵉⴼⴼⴻⵏⵢⴻⵏⵜ
if	ⵎⴰ ⵢⴻⵍⵍⴰ
ignore	ⵓⵔ ⵜⵜⵯⵏⴻⵃⵙⵉⴱ
ill	ⵢⵓⴹⴻⵏ
illegal	ⵢⴻⵜⵜⵡⴰⴳⴷⴻⵍ
illness	ⴰⵟⵟⴰⵏ
Ilocano	Iⵍⵓⵛⴰⵏⵓ
image	ⵜⴰⵡⵍⴼⴰⵜ
imagine	ⴰⴷ ⵜⵅⴰⵢⵍⴻⴹ
immediate	ⵉⵎⵉⵔⴻⵏ ⴽⴰⵏ
immediately	ⵉⵎⵉⵔⴻⵏ ⴽⴰⵏ
immense	ⵉⵎⵉⵔⴻⵏ
impact	ⵙⵉⴽⴻⵛ
impatient	ⵓⵔ ⵉⵚⴻⴱⴱⴻⵕ ⴰⵔⴰ
implement	ⴰⵙⴻⵇⴷⴻⵛ
import	ⴽⵜⴻⵔ
important	ⴰⵅⴰⵜⴰⵔ
impose	ⵙⵎⴰⵟⴰ
impossible	ⴷ ⴰⵡⴻⵣⵖⵉ
impress	ⵢⴻⵙⵙⴻⵡⵀⴻⵎ
impression	ⴰⵙⵉⴳⴳⴻⵣ
impressive	ⵜⴰⵙⵙⴻⵡⵀⴻⵎ
improve	ⵙⴻⵍⵀⵓ
improvement	ⴰⵙⴻⵍⵀⵓ
in	ⴷⴻⴳ
in addition	ⵏⵏⵉⴳ
In fact	ⴳ ⵜⵉⴷⴻⵜ
in front of	ⵣⴷⴰⵜ
in order to	ⵉ ⵡⴰⴽⴽⴻⵏ ⴰⴷ
inappropriate	ⵓⵔ ⵏⵍⴰⵇ ⴰⵔⴰ
incentive	ⴰⵙⵏⴻⵔⵏⵉ
incident	ⵜⴰⴷⵢⴰⵏⵜ
include	ⴳⴰⵔⵯⴰⵙⴻⵏ
including	ⴳⴰⵔⵯⴰⵙⴻⵏ
income	ⵍⴻⵎⴷⵅⵓⵍ
inconvenience	ⵛⴻⴱⴱⴻⵍ
increase	ⵔⵏⵓ
increased	ⵢⴻⵜⵏⴻⵔⵏⵉ
incredible	ⴷ ⴰⵢⴻⵏ ⵓⵔ ⵏⴻⵜⵜⵎⵏⴻⵏ
indeed	ⵙ ⵚⵚⴻⵃ
independent	ⵜⵉⵍⴻⵍⵍⵉ
India	ⵍⵀⴻⵏⴷ
indicate	ⵙⵙⵉⵖⵉⵎ
indigenous	ⴰⵢⵍⴰ ⵏ ⵜⵎⵓⵔⴻⵜ
individual	ⵡⴰⵃⴷⴻⵙ
industry	ⵜⴰⵎⴳⵓⵔⵉ
inevitable	ⵜⴻⵔⵔⴰ ⵜⵎⴰⵔⴰ
infant	ⵍⵍⵓⴼⴰⵏ
infection	ⴰⵖⴻⵜⴻⵍ
infinity	ⵉⴼⴰⴹ
inflammation	ⵜⴰⵃⴰⵡⵛⴰⵔⵜ
inflation	ⵉⵡⴻⵔⵣⴰⵏ
influence	ⵡⴻⴽⴽⵉ
inform	ⵙⵙⴻεⵍⴻⵎ
information	ⵉⵙⴰⵍⵍⴻⵏ
ingredients	ⵍⴻⵃⵡⴰⵍ
inheritance	ⵢⴻⴽⴽⵓⵙ
initial	ⵜⴰⵣⵡⴰⵔⴰ
initiative	ⵜⴰⵙⵏⵜⴰⵢⵜ
injured	ⵢⴻⵜⵜⵡⴰⵊⴻⵔⵃⴻⵏ
injury	ⵍǧⴻⵔⵃ
innocent	ⵓⵔ ⵢⴻⵙⵄⵉ ⴷⴷⵏⵓⴱ
innovation	ⴰⵎⴻⵙⵏⵓⵍⴼⵓ
inquiry	ⴰⵙⴻⵇⵙⵉ
insane	ⴰⵎⴻⵀⴱⵓⵍ
insect	ⴰⴱεⵓⵛ
insecure	ⵓⵔ ⵢⴻⵜⵜⵡⴰⵃⵔⴻⵣ
insert	ⴳⴻⵔ
inside	ⴷⴻⴳ ⴷⴰⵅⴻⵍ
insight	ⵜⵉⴽⵜⴰ
insist	ⵢⵡⴻⴽⴽⴻⴷ
insomnia	ⵍⴻⵄⵣⵉⵕ
inspiration	ⵜⴰⵙⵡⴻⴷⵜ
inspire	ⵉţţⵓⵡⴻⵃⵃⴰ
install	ⴰⵙⵙⴻⵔⵙⵉ
instance	ⴰⵎⴻⴷⵢⴰ
instant	ⵜⴰⵙⵡⵉεⵜ
instead	ⴷⴻⴳ ⵓⵎⴽⴰⵏ
instead of	ⴷⴻⴳ ⵡⴻⴱⴷⵉⵍ
instructions	ⵍⴻⵡⵚⴰⵢⴰⵜ
instrument	ⵡⴰⵍⵍⴰⵍ ⵏ ⵓⵥⴰⵡⴰⵏ
insult	ⵔⵔⴻⴳⵎⴰⵜ
insurance	ⴰⵙⴻⴳⵣⴰⵡⴰⵍ
intact	ⵜⵓⵎⵎⵉⴹⵜ
integrity	ⵜⴰⵃⴻⵇⵇⵉⵜ
intellectual	ⴰⴳⴳⴰⴳ
intelligence	ⴰⴳⴳⴰⴳⴻⵏ
intelligent	ⵢⴻⵃⵔⴻⵛ
intend	ⴰⴷ ⵜⵯⵉⴷⵯⵢⴻⴼⴽ
intended	ⵢⴻⵜⵡⵇⵙⴻⴷ
intense	ⵢⴻⵙⵄⴰⵏ ⵜⴰⵣⵣⵍⴰ
intention	ⵍⴻⴱⵖⵉ
interact	ⵎⵢⴻⵔⵎⴻⴷ
interaction	ⵢⴻⵜⴼⴰⴻⵍ
interest	ⴰⵜⵉⴳ
interested	ⵉⵍⴻⵜⵀⴰ
interesting	ⵢⵀⵓⵎ
interfere	ⴰⵏⴽⴻⵛⵛⴰⵎ
intermediate	ⵜⴰⵍⴻⵎⵎⴰⵙⵜ
internal	ⴰⵔ ⴷⴰⵅⵅⴻⵍ
international	ⴰⴳⵔⴰⵖⵍⴰⵏ
internship	ⴰⵙⵡⵉⵔ
interpret	ⵢⴻⵙⵙⴻⴼⵀⴻⵎ
interpreter	ⴰⵎⴻⵙⵍⴰⵢ
interrupt	ⵉⴳⴻⵣⵣⴻⵎ
interview	ⵜⴰⴷⵉⵡⴻⵏⵏⵉⵜ
intimate	ⵜⴷⵓⴽⵍⵉ
into	ⴷⴻⴳ
introduce	ⵉⵙⵙⴻⴽⵛⴻⵎ
introduction	ⵜⴰⵣⵙⴰⵔⴻⵜ
introvert	ⵓⵔ ⵉⵙⵄⵉ ⴰⵔⴰ ⵢⵉⵡⴻⵜ ⵜⴻⵎⵍⴰⵢⴻⵜ
intuition	ⴰⵏⴰⵣⵣⴰⵢ
invalid	ⵓⵔ ⵢⴻⵙⵄⵉ ⴰⵔⴰ ⴰⵣⴰⵍ
invent	ⴰⵙⵏⵓⵍⴼⵓ
inventory	ⵜⴰⵙⴹⵓⵏⵜ
invest	ⴰⵙⴻⴼⵜⵉ
investigate	ⴰⵍⴻⵡⵡⴰⵟ
invitation	ⵜⵉⵏⵓⴱⴳⴰ
invite	ⵄⵔⴻⴹ
invoice	ⵜⴰⴼⴰⵟⵓⵔⵜ
involve	ⵉⴷⵯⵢⴻⵜⵜⴰⵡⵓⵏ
involved	ⵢⴻⵜⵜⴻⴽⴽⴰ
iron	ⵄⴻⴷⴷⵉ
is	ⴷ
island	ⵜⵉⴳⵣⵉⵔⵜ
isolated	ⵢⴻⵅⵍⴰ
issue	ⴰⵛⴻⴱⴱⵓⵍ
issues	ⵜⵉⵎⵙⴰⵍ
it	ⵢⴻⵙⵯⵙ
it is	ⴷ ⴰⵢⴻⵏ
it was	ⵉⴳⴰ
it's	ⴷ
it's ok	ⵓⵍⴰⵛ ⴰⵖⴱⴻⵍ
It's okay	ⴷⴰⵢⴻⵏ
item	ⵜⴰⵡⵓⵔⵉ
items	ⵜⵉⵖⴰⵡⵙⵉⵡⵉⵏ
its	ⴷ
I’m	ⵏⴻⴽⴽ
jacket	ⵜⴰⴽⴻⴱⴱⵓⴹⵜ
jail	ⵜⴰⴽⵓⵔⵎⵓⵜ
January	ⵢⴻⵏⵏⴰⵢⴻⵔ
jar	ⵜⴱⵓⵇⴰⵍⵜ
jaw	ⴰⵖⴻⵙⵎⴰⵕ
jealous	ⵢⴻⵜⴰⵙⴻⵎ
jerk	ⵙⴻⵏⵀⴻⵣ
jewelry	ⵉⵙⵖⵓⵏⴻⵏ
job	ⴰⵅⴻⴷⴷⵉⵎ
jogging	ⵜⴰⵣⵣⵍⴰ
join	ⵔⵏⵓ ⵖⴻⵔ
joint	ⵓⵙⵖⵉⵏ
joke	ⵜⵉⵇⵇⴻⵙⴻⵔⵜ
journalist	ⴰⵏⴻⵖⵎⴰⵙ
journey	ⴰⴷⵉⵜⴽⴻⵍ
joy	ⵜⴰⵍⵡⵉⵜ
judge	ⵢⴻⵃⴽⴻⵎ
juice	ⵉⵥⴻⵎⵯⴰ
july	ⵢⵓⵍⵢⵓ
jump	ⵏⴻⴳⴳⴻⵣ
june	ⵢⵓⵏⵢⵓ
junk	ⵣⴱⴻⵍ
just	ⴽⴰⵏ
just	ⴰⵔⴷⴰⴳⵉ
just do it	ⵅⴻⴷⵎⵉⵜ ⴽⴰⵏ
justice	ⵜⴰⵖⴷⴻⵎⵜ
justify	ⵉⵙⴼⵓⴽⵓⵍⴻⵏ
Kalaallisut	ⵅⴰⵍⴰⵍⵉⵙⵓⵜ
keen	ⵜⵄⴻⵙⵇⴻⴹ
keep	ⵟⵟⴻⵏ
keep it up	ⴽⴻⵎⵎⵍⴻⵜ ⴰⴽⴻⵏ
kept	ⵢⴻⵊⵊⴰ
kettle	ⵜⴰⵙⴻⵔⴽⴰⵎⴻⵜ
key	ⵜⴰⵙⴰⵔⵓⵜ
kick	ⵡⵡⴻⵜ
kid	ⴰⵇⵛⵉⵛ
kidding	ⴰⵇⴻⵙⵙⴻⵔ
kidney	ⵜⵉⴳⴻⵣⵣⴻⵍⵜ
kids	ⴰⵔⵔⴰⵛ
kill	ⵢⴻⵏⵖⴰ
kind	ⴰⵎⴻⵃⴷⵓⵇ
kind	ⵚⵚⴻⵏⴼ
kinda	ⵛⵡⵉⵢⴰ
kindly	ⵜⵅⵅⵉⵍⵯⴽ
kindness	ⵍⴻⵃⴷⴰⵇⴰ
king	ⴰⴳⴻⵍⵍⵉⴷ
kiss	ⵙⵙⵓⴷⴻⵏ
kitchen	ⵜⴰⵛⵓⵛⵜ
kite	ⵜⴰⵏⴰⴼⴰⴳⵜ
kitten	ⴰⴽⴽⴰⵜⵓⵙ
knee	ⵜⵉⴳⴻⵛⵔⵉⵔⵜ
knew	ⵢⴻⵥⵔⴰ
knife	ⵍⵎⵓⵙ
knight	ⴰⵎⵏⴰⵢ
know	ⵣⵔⵉⵖ
knowledge	ⵜⴰⵎⵓⵙⵏⵉ
known	ⵢⴻⵜⵜⵡⴰⵙⵙⴻⵏ
Konkani	ⵅⵓⵏⴽⴰⵏⵉ
Krio	ⴽⵔⵢⵓ
label	ⴰⵣⵎⵓⵍ
label	ⵛⵕⴻⴷ
labor	ⵍⴻⵇⴷⵉⵛ
labour	ⴰⵅⴻⴷⴷⵉⵎ
lack	ⴷⴻⵔⵓⵙ
ladder	ⴰⵙⴻⵍⵍⵓⵎ
lady	ⵜⴰⵎⴻⵟⵟⵓⵜ
