a	kele
sympathy	mɔgɔya
symptoms	bana taamasiyɛnw
system	sisitɛmu
table	tabaki
tackle	ka ɲɛnabɔ
tag	ka nɔrɔ
tail	kukala
tail	ku
take	minɛ
take	ta
take	mina
take away	ta ka boyi
take care	mara
take off	bɔsi
take off	fosi
take off	pan
taken	a talen
talk	kuma
talkative	kumakɛlaba
tall	janmajan
tap	orobinɛ
tap	gosigosi
tape	worobinɛ
target	dilankun
target	dasigi
task	baarakèta
taste	nɛmu
tasty	timi
taught	kalanan
tea	tee
tea	dute
teach	kalan
teacher	mɛtɛrɛ
teacher	karamɔgɔ
team	jɛnkulu
tear	ɲɛji
tears	ɲɛji
tease	ka dalabo
technology	tɛkinolozi
teeth	ɲiinw
tell	fɔ
tell	kuma
tell me	a fɔ ne ye
temper	nunsɔ
temper	dusuman
temperature	gwanniyahakɛ
temple	alabatosoba
temporary	donkatɛmɛ
ten	tan
ten thousand	waga mugan
tenant	luwanse
tend	ka sama
tendency	cogo
tender	maga
tense	waati
tension	tansiyon
tent	finiso
tentative	ka eseye
term	kumasɛn
term	laban
terms	bɛnkanw
terrible	kabakoman
terrific	sariyanfɛn
territory	jamana
territory	mara
test	kɛkafilɛ
test	kɔrɔbɔ
text	masalabolo
than	katɛmɛ
thank	i ni ce
thank you	Barika
thank you	i ni ce
thank you	Abarika
Thank you for your patience while we investigate shipment	I ni ce i ka muɲuli kama an bena sɛgɛsɛgɛli kɛ ka filɛ i ci minaw be yɔrɔ min
thank you so much	i ni ce kosɔbɛ
thank you very much	i ni ce kosɔbɛ
thanks	abarika
thanks	barika
thanks	a ni ce
Thanks for using our app	I ni ce i ye baara cɛ ni an ka aplikasiyɔn kama
that	nin
that	o
that	ko
that is	nin don
that's good	a kaɲi
theft	sonya
their	u
them	u
theme	dakun
themselves	u yɛrɛ
themselves	o yɛrɛ dama
then	kɔfɛ
then	o kɔfɛ
theory	kɛ cogo
there	yen
there	yenfɛ
there are	bɛ ye
there is	be yen
therefore	o de kosɔn
these	nunu
these	ninnu
they	u
they	o
they are	u ye
thick	bon bon
thief	nson
thigh	woro
thin	misɛnman
thin	fasa
thing	fɛn
things	fɛnw
think	miiri
third	sabanan
thirsty	jiminnɔgɔ .na
thirteen	tan ni saba
thirty	minnɔgɔ
this	nin
this is	nin ye
thorough	fɛsɛfɛsɛ
thoroughly	kɔsɛbɛ
those	minnu
though	jaa
though	dun
thought	miiriya
thought	kɔnɔnako
thought	miiri
thoughtful	miriya
thoughts	miriya
thousand	wa kelen
thread	gaari
thread	kalan
threat	bagabaga
threaten	baabaali
threaten	papa
three	saba
threshold	dakun
thrilled	lasiralen
thrive	ɲasuma
thrive	yiriwa
throat	kan konola
through	ka tèmè a fè
throughout	banabiri
throw	fili
thumb	bolokɔni kunba
thunder	sanpɛrɛnkan
Thursday	alamisa
Thursday	alamusa
thus	o kaman
tick	ka yigi yigi
tide	kɔgɔjitagama
tidy	sani
tidy	saani
tie	siri
tiger	waranikala
tight	ŋaɲi
Tigrinya	Tigrinyakan
time	siɲɛ
time	jamana
time	wagati
timid	maloya
tiny	fitinin
tip	dakun
tip	juu
tips	laadilikan
tire	mɔbilisen
tire	manan
tired	sɛgɛra
tissue	finimugu
title	tɔgɔ
to	ra
to	la
to be	ka kɛ
toast	ka tɔsi kɛ
today	bi
toddler	bilaroroniw
toes	senkumaden
together	ɲɔgɔn
toilet	ɲɛgɛn
told	fɔla
tolerance	yafa
tolerate	ka yafa
tomato	tomati
tomorrow	sini
tongue	nɛɛn
tonight	su ni na
too	fana
took	minana
tool	minɛn
tools	minɛnw
tooth	ɲin
top	sanfɛ
topic	kunko
torn	tunɔminen
torture	ka tɔɔrɔ
total	kasabi
touch	tu
touch	maga
tough	fasa
tour	turi
toward	kasin
towards	fɛ
towel	jɔsilan
town	duguba
toxic	sɔfɛ
toxic	baga
trace	ka nɔ bɔ
track	nɔ
track	tɛmɛyɔrɔ
trade	jago
trade	jagobaara
trade	julaya
tradition	kɔrɔmanko
tradition	landa
traditional	landa
traffic	sira
traffic	sirikilasiyɔ
trail	kiri
train	kolo
train	bolodon
train	tɛrɛn
training	baaradegeli
training	degeli
trait	taamasiyɛn
traits	taamasiyɛn
transfer	k'a  tchi  a ma
transition	furancɛfanga
translate	ka bayɛlɛma
transparent	jɛlen
transport	doni
transportation	taransipɔrɔ
trap	foolo
trash	ɲamaɲama
trash	nɔgɔ
trauma	jawili
travel	dugutaga
travel	tagama
tray	tiriwari
treasure	nafolo
treat	furakɛ
treatment	furakɛli
tree	yiri
tremendous	dakabana
trend	taabolo
trial	kititigɛ
trick	ka lafili
tried	kititigɛla
tried	kɛkafilɛra
tried	kɔrɔbɔla
trigger	daɲini
trigger	kankɔrɔbɔ
trigger	marfaviridaki
trim	ka gana
trip	talon
trip	dugutaga
trouble	gwɛlɛya
trousers	kulusi
trousers	pantalɔn
truck	kamiyɔn
true	HALALA
true	SƐBƐ
true	LAKIKA
trunk	suun
trunk	cɛmabacɛ
trust	limaniya
truth	tiɲɛ
try	banba
Tsonga	Songokan
tube	tiyo
Tuesday	Tarata
tuition	ladonli
turkey	kulokulo
turmeric	kirkuma
turn	kuruda
turn	faran
turtle	koorokaara
tutor	ladonbaga
twelve	tan ni fila
twenty	mugan
twenty-one	mugan ni kelen
Twi	Ashantikan
twice	siɲɛ fila
twist	ka tunɔmi
two	fila
type	sugu
typical	gansan
ugly	cɛjugu
ultimate	kɔdan
umbrella	sanjibɛnnan
unable	se tan
uncle	belencɛ
unconscious	miribali
under	duguma
underneath	jukɔrɔ
underrated	sɔngojugu
understand	faamu
understood	famuyala
unfortunately	n'ga malatikè
uniform	teni
unique	ɲɔgɔntɛ
unique	kelenpe
unit	inite
university	kalansoba
unknown	lakodonbali
unless	fɔ
until	fo
unusual	min te loon o loon koe ye
up	sanfɛ
up to you	a bagara i ma
update	lakuraya
update	kuraya
upgrade	ka fisaya
upon	kè min kèra
upset	funu
upset	furuku
urban	duguba
urge	teli
urgent	teli
us	an
us	annu
us	anwu
use	kɛ
use	ɲɛci
used	kolon
useful	nafama
useless	kolon
usual	kɔrɔlen
usually	tuma wo tuma
utility	nafa
vacation	kɔnze
vaccination	boloci
vaccine	boloci
vacuum	lankolon
vague	kuma min ti pelepele
valid	jaati
valley	kulufurance
valuable	dondala
valuable	taare
value	daman
variety	sugu
various	sugu wɛrɛw
vary	ka yɛlɛ ka jigi
vase	tinto
vast	kabon
vegetable	nanfɛnkɛnɛ
vegetables	nafɛn kɛnɛ
vehicle	mɔbili
vendor	feerekɛla
venom	baga
venture	ka taga taama la
venue	nani
verify	sɛgɛsɛgɛ
versatile	nafacaman
version	wɛrisiyɔn
vertical	jɔlen
very	yɛrɛ
very good	ka ɲi kosɔbɛ
vessel	bato
via	fɛ
vibe	mamagali
vibes	ɲagali
vicious	diyatɔ
victim	kasaaratɔ
video	wideyo
view	hakilila
village	dugu
villain	cɛjugu
vinegar	winɛgiri
vintage	kɛnɛ
violence	tɔɲɔnli
violent	nijugu
viral	diɲɛ lamini
virgin	npogotigi
virtual	Ɛntɛrinɛti kɔnɔ kow
virtue	kalite
vision	jiralifɛn
visit	lajɛ
visit	na
visual	ye ko
vital	niin
vivid	yelenman
vocabulary	kumadengafe
vocabulary	kumaden kalan
voice	kumakan
void	kolon
void	lakolon
volume	makan
volunteer	wɔlɔntɛri
vomit	kun fɔ
vulnerable	faantan
wage	sara
wages	sara
waist	cɛ
wait	i lɔ
waiter	baarakɛden
waiting	makɔnɔli
wake	ka wuli
wake up	kunu
walk	tama
walk	tagama
walking	tagama
wall	kogo
wallet	pɔrɔtɔmani
wander	yaalayaala
wanna	bɛna
want	fɛ
wanted	tun bi . fɛ
wanted	tun kanuna
war	kɛlɛ
wardrobe	faninbilayɔrɔ
wardrobe	taafebilayɔrɔ
warehouse	magasan
warm	funteni
warm	funtenima
warm	bagibagi
warn	wɔlɔkɔ
warning	lasɔmi
warrior	kɛlɛkɛla
was	tun be
was	tun bi
wash	ka ko
waste	tiɲɛ
waste	ɲaman
watch	filɛ
water	jii
watermelon	nsɛrɛ
watermelon	melon
wave	jikuru
way	sira
we	anwu
we	annu
we	an
we are	an ye
we are	anwu ye
we can	an bi se
we can	an be se
weak	faantan
weakness	fɛgɛnya
wealth	nafolo
wealthy	nafolotigiya
wear	don
wearing	donfini
weather	nɛɛmayafɛnw cogo
wedding	furusiri
wedding	musofuru
Wednesday	arabalon
weed	bin
week	lɔgɔkun
weekend	lɔgɔkun laban
weekend	wikɛni
weight	guliya
weird	kunntan
welcome	i dansɛ
welcome	i ni tagama
welcome	bisimila
welfare	kɛnɛya
Well	A nyèna
well done	baara ɲuman lo
went	tara
went	tagara
were	tun be
were	tun bi
west	tileben
wet	ɲigira
whale	balɛni
what	mun
what about you	ele don
what are you doing	i bi mun lo kɛra
what are you doing	i bi mun kɛ
what are you doing	i bi mun baara kɛra
what are you doing now	i bi mun lo kɛra sisan
what are you doing now	i bi mun kɛra sisan
what are you doing right now	i be mun don kɛ sisan sisan
what do you do	i bi mun baara kɛɛra
what do you do for a living	e bɛ baara jumɛ de kɛ
what do you mean	i ye min fɔ kɔrɔ ko di
what do you want	i be mun lo fɛ
what happened	mun lo kɛra
what is	mun ye
what is	mun lo ye
what is this	nin ye mun ye
what is your job	i bɛ mun baara kɛ
what is your name	i i tɔgɔ ko di
what is your name	i tɔgɔ be di
what's up	mun bɛ ye
what's your name	i tɔgɔ be di
whatever	o
wheat	alikama
wheel	sen
when	yɔrɔ min
when	minkɛ
when	tuman min
whenever	wati wati
where	min
where	yɔrɔ juman
where are you	i be min
where are you from	i bɔra min
where are you from	i be bɔra min
where are you now	i be min sisan
where do you live	i sigilen be min
where do you live	i sigilen be yɔrɔ juman
where is	a bɛ min
whereas	kamasɔrɔ
whereas	kasɔrɔ
whether	yala ni
which	juman
which	jumɛn
while	kamasɔrɔ
while	kasɔrɔ
while	ka.to
whisper	ɲunuɲunu
whistle	filenin
white	gwɛman
who	jɔɔn
who are you	i ye jon ye
who is	jɔn ye
who is this	jon lo
whole	mumɛ
whole	kunturu
whom	minw
whom	min
whose	jon ta
why	mun kosɔn
why	mun na
why	mun y'a to
why not	munna ayi
wicked	jugu
wide	fɛrɛ
widow	muso cɛ salen
width	lɔsurun
width	panpara
wife	muso
wild	kongo kɔnɔ fɛn
will	bina
will	sagoya
will	bena
willing	diyanyetɔ
win	sɔrɔ
win	tɔnɔ
wind	fɔɲɔ
window	finɛtiri
windy	fiyɛma
wine	diwɛn
winter	foonɛnɛ
wipe	ka jɔsi
wire	filijuru
wisdom	hakilimaya
wisdom	hakilitigiya
wise	hakilima
wise	hakilitigi
wish	ŋaniya
wish	sago
wish you all the best	ne ka duba i ye
witch	subaga
with	ni
with	ani
withdraw	bɔsi
withdrawal	labɔli
within	kɔnɔ
within	cɛman
without	ni . tɛ
witness	seereya
witty	hakilinako
wolf	lugaru
woman	muso
women	musow
won	sɔrɔla
won't	tɛna
wonder	yɛrɛ ɲininga
wonder	kabako
wonderful	kabakoman
wood	batu
wood	lɔgɔjalan
wool	sagasi
word	kumasɛn
words	kumadenw
work	baarakɛtaw
work	ciya
work	baara
work out	ka labɛn
working	be kèkan
world	duniɲa
worm	ntumu
worn	ka kankarimada
worried	ɲimiɲama
worry	jɔrɔ
worry	haminanko
worry	hami
worse	kajugu ka tɛmɛ
worship	bato
worst	lajuguya
worth	hɔɔrɔn
worth	ka kan ka
worth it	a bɛ a kun bɔ
worthy	nafaman
would	tun
wound	nigɛda
wound	joli
wound	joginda
Wow	ankasa
wrap	ka meleke
wrath	dimi
wrist	bolokan
write	sɛbɛn
Write here	Sɛbɛ yan
writing	sɛbɛnni
written	sɛbɛnnin
wrong	gasi
wrote	sɛbɛnna
yard	lukɛnɛ
yawn	haalo
Yeah	Awɔ
Yeah	Unhun
Yeah	Ɔnhɔn
year	san
years	saanw
yeast	fununnan
yell	kule
yellow	nɛrɛmuguman
Yes	Awɔ
Yes	unhun
Yes	Ɔnhɔn
yes baby	hɔnhɔn bebe
yes dear	hɔhɔn balima
yes honey	awɔ n jarabi
yes my love	awɔ n jarabi
yes of course	hɔnhɔn kɛ
yesterday	kunu
yet	nga
yet	fɔlɔ
yield	sɔrɔhakɛ
you	i
you	Aw
you	Á
you are	i ye
you are beautiful	i ye sarama ye
you are beautiful	i kɛ ka ɲi
you are so beautiful	i cɛ ka ɲi
you are welcome	bisimila
you are welcome	i dansɛ
you can	i be se
You know	i bɛ a dɔn
you too	i fana
you're welcome	i dansɛ
young	misɛnman
young	cinin
your	i
your	ile
your welcome	i dansɛ
yourself	i yɛrɛ
youth	denmisɛnya
you’re welcome	i dansɛ
yummy	timiman
zero	fu
