އެކަހެރިކުރުން	abandon
އެތަނުގަ	there
އެމީހުންނަކީ	there are
އެހެންކަމުން	therefore
އެބައޮތް	there is
އެމީހުން	they
އެމީހުންނަކީ	they are
ބޯމިން	thick
ވަގު	thief
ފަލަމަސްގަނޑު	thigh
ހިމަ	thin
އެއްޗެއް	thing
ތަކެތި	things
ވިސްނުން	think
ތިންވަނަ	third
ކަރުހިއްކުން	thirsty
ތޭރަ	thirteen
ތިރީސް	thirty
މި	this
މިއީ	this is
އެއްކޮށް	thorough
އެއްކޮށް	thoroughly
އެތަކެތި	those
އެހެންވިޔަސް	though
ހީކުރީ	thought
ވިސްނޭ	thoughtful
ޚިޔާލުތައް	thoughts
އެއްހާސް	thousand
ރޮދި	thread
ބިރުދެއްކުން	threat
ބިރުދެއްކުން	threaten
ތިނެއް	three
ތްރެސްހޯލްޑް	threshold
އުފާވެފައި	thrilled
ކުރިއެރުން	thrive
ކަރު	throat
ތެރެއިން	through
އެއްލުން	throw
ގުގުރި	thunder
ބުރާސްފަތި	Thursday
އެެހެންކަމުން	thus
ހެޔޮފާހަނގަ	tick
ދިޔަވަރު	tide
ސާފުކުރުން	tidy
ގޮށްޖެހުން	tie
މިނިކާވަގު	tiger
ބަންދު	tight
ޓިގްރީންޔާ	Tigrinya
ވަގުތު	time
ބަސްމަދު	timid
ކުޑަ	tiny
ކޮޅު	tip
ނުކުތާތައް	tips
ވަރުބަލިވުން	tire
ވަރުބަލިވެފައި	tired
ޓިޝޫ	tissue
މަޤާމު	title
އަށް	to
ޓޯސްޓް	toast
ވާންއުޅޭ	to be
މިއަދު	today
ކުޑަކުއްޖާ	toddler
އެކުގައި	together
ފާޚާނާ	toilet
ބުނުން	told
ކެތްތެރިކަން	tolerance
ކެތްކުރުން	tolerate
މާދަމާ	tomorrow
ދޫ	tongue
މިރޭ	tonight
ވެސް	too
ނެގުން	took
ޓޫލް	tool
ސާމާނުތައް	tools
ދަތް	tooth
މަތި	top
މައުޟޫއު	topic
އިރާލުން	torn
އަނިޔާ	torture
ޖުމްލަ	total
އަތްލުން	touch
އުނދަގޫ	tough
ޓުއަރ	tour
ދިމާއަށް	toward
އެދިމާއަށް	towards
ތުވާލި	towel
ޓައުން	town
ނުރައްކާތެރި	toxic
ޓްރޭސް	trace
ޓްރެކް	track
ވިޔަފާރި	trade
ޘަޤާފަތް	tradition
ޘަޤާފީ	traditional
ޓްރެފިކް	traffic
ޓްރެއިލް	trail
ޓްރެއިން	train
ތަމްރީނު	training
ސިފައެއް	trait
ސިފަތައް	traits
ބަދަލުކުރުން	transfer
ބަދަލުވުން	transition
ތަރުޖަމާކުރުން	translate
ދަތުރުފަތުރު	transport
ދަތުރުފަތުރު	transportation
ދަންމަޅި	trap
ކުނި	trash
އަނިޔާ	trauma
ދަތުރުކުރުން	travel
ޓުރޭ	tray
ޚަޒާނާ	treasure
ފރުވާ	treatment
ގަސް	tree
ބައިވަރު	tremendous
އާގޮތް	trend
ޓްރަޔަލް	trial
އޮޅުވާލުން	trick
ވަރުބަލިވެފައި	tried
ކޮށުން	trim
ދަތުރު	trip
މައްސަލަ	trouble
ފަޓުލޫނު	trousers
ޓްރަކް	truck
ރަނގަޅު	true
އިތުބާރު	trust
ޙަޤީޤަތް	truth
މަސައްކަތްކުރުން	try
ސޮންގާ	Tsonga
ހޮޅި	tube
ޓިއުޝަން	tuition
ތުރުކީ	turkey
ރީނދޫ	turmeric
އެނބުރުން	turn
ކަހަނބު	turtle
ކިޔަވައިދޭމީހާ	tutor
ބާރަ	twelve
ވިހި	twenty
އެކާވީސް	twenty-one
ޓުވި	Twi
ދެފަހަރު	twice
އަނބުރާލުން	twist
ދޭއް	two
ވައްތަރު	type
އާންމު	typical
ހުތުރު	ugly
ކުޑަ	umbrella
ނުވުން	unable
ހޭނެތުން	unconscious
އަޑީގައި	under
އަޑީގައި	underneath
އަގުކުޑަކޮށްފަ	underrated
ފަހުމްވުން	understand
ފަހުމްވުން	understood
ކަންދިމާކުރިގޮތުން	unfortunately
ޔުނީފޯމް	uniform
ތަފާތު	unique
ޔުނިޓް	unit
ޔުނިވަރސިޓީ	university
ނޫނީ	unless
ވަންދެން	until
މަތި	up
އަޕްޑޭޓް	update
އަޕްގްރޭޑް	upgrade
ހިތްހަމަނުޖެހުން	upset
ރަށްފުށު	urban
އަހަރެމެން	us
ބޭނުންކުރުން	use
ބޭނުންކޮށްފައި	used
ބޭނުންތެރި	useful
ބޭކާރު	useless
އާންމުކޮށް	usual
އާންމުކޮށް	usually
ޔޫޓިލިޓީ	utility
ދަތުރު	vacation
ވެކްސިން	vaccine
ވެކިއުމް	vacuum
ނުސާފު	vague
ސައްޙަ	valid
ވެލީ	valley
އަގުހުރި	valuable
އަގު	value
ތަފާތުވާ	vary
ވާސް	vase
ފުޅާ	vast
ތަރުކާރީ	vegetable
ތަރުކާރީ	vegetables
ދުއްވާއެއްޗެހި	vehicle
ވެންޑަރ	vendor
ވިހަ	venom
ވެނޗުއަރ	venture
ތަން	venue
ކަށަވަރުކުރުން	verify
ބޭނުންތެރި	versatile
ވަރޝަން	version
ދިގަށް	vertical
ވަރަށް	very
ވެސަލް	vessel
މެދުވެރިކޮށް	via
ވައިބް	vibe
ވައިބްސް	vibes
އަނިޔާވެރި	vicious
ވިޑިއޯ	video
މަންޒަރު	view
ރަށްފުށު	village
ވިލަން	villain
ރާހުތް	vinegar
ވިންޓޭޖް	vintage
އަނިޔާ	violence
އަނިޔާވެރި	violent
ވައިރަލް	viral
ވަރޖިން	virgin
މަސްނޫއީ	virtual
ވަރޗޫ	virtue
ވިޝަން	vision
ޒިޔާރަތްކުރުން	visit
ފެންނަ	visual
މުހިންމު	vital
ސާފުނޫން	vivid
ބަސްކޮށާރު	vocabulary
އަޑު	voice
ހުސްބައި	void
އަޑު	volume
ވޮލަންޓިއަރ	volunteer
ހޮޑު	vomit
ނާޒުކު	vulnerable
ވޭޖް	wage
އުޖޫރަ	wages
އުނަގަނޑު	waist
މަޑުކޮށްލާ	wait
ވެއިޓަރު	waiter
މަޑުކުރުން	waiting
ހޭލުން	wake
ހޭލުން	wake up
ހިނގުން	walk
ހިނގަނީ	walking
ފާރު	wall
ވޮލެޓް	wallet
ބޭނުން	wanna
ބޭނުން	want
ބޭނުންވެފައިވުން	wanted
ހަނގުރާމަ	war
ވެއަރހައުސް	warehouse
ތާފަނާ	warm
އިންޒާރުދިނުން	warn
އިންޒާރު	warning
ހަނގުރާމަވެރިޔާ	warrior
ދޮތުން	wash
ބެލުން	watch
ފެން	water
ކަރާ	watermelon
ރާޅު	wave
ގޮތް	way
އަހަރެމެން	we
ވަރުދެރަ	weak
ބަލިކަން	weakness
މުދާ	wealth
މުއްސަނދި	wealthy
ލުން	wear
އަހަރެމެންނަކީ	we are
ލުން	wearing
މޫސުން	weather
ކައިވެނި	wedding
ވިނަ	weed
ހަފްތާ	week
ބަރުދަން	weight
މަރުޙަބާ	welcome
ވެލްފެއަރ	welfare
ވަޅު	Well
ދިޔުން	went
ހުޅަނގު	west
ތެތް	wet
ބޮޑުމަސް	whale
ކޯއްޗެއް	what
ކޮންމެގޮތެއްވިޔަސް	whatever
ކިހިނެއްވީ	what happened
ގޮދަން	wheat
ފުރޮޅު	wheel
ކޮންއިރަކު	when
ކޮންމެއިރަކު	whenever
ކޮންތާކު	where
ކޮބާ	where is
ވިޔަސް	whether
ކޮންއެއްޗެއް	which
ތުބުންފުމުން	whistle
ހުދު	white
ކާކު	who
އެމީހަކީ	who is
އެއްކޮށް	whole
އެމީހެއްގެ	whom
އެމީހެއްގެ	whose
ކީއްވެ	why
ނުބައި	wicked
ފުޅާ	wide
ހުވަފަތް	widow
ފުޅާމިން	width
އަންހެނުން	wife
ވައިލްޑް	wild
މޮޅުވުން	win
ވައި	wind
ކުޑަދޮރު	window
ވައިޖެހޭ	windy
ރާ	wine
ފިނިމޫސުން	winter
ފޮހެލުން	wipe
ވަޔަރު	wire
ބުއްދި	wisdom
ޙިކްމަތްތެރި	wise
އުންމީދު	wish
އެކު	with
ނެގުން	withdraw
ނެގުން	withdrawal
ތެރެއިން	within
ނުލާ	without
ހެކިވެރިޔާ	witness
އުފާވެރި	witty
ހިޔަޅު	wolf
އަންހެނުން	woman
އަންހެނުން	women
މޮޅުވުން	won
އަޖައިބު	wonder
ނުވާނެ	won't
ވަކަރު	wood
ވޫލް	wool
ބަސް	word
ބަސްތައް	words
މަސައްކަތް	work
މަސައްކަތްކުރުން	working
ކަސްރަތުކުރުން	work out
ދުނިޔެ	world
ފަނި	worm
ބާވެފައި	worn
ހާސްވުން	worried
ފިކުރު	worry
އަގުހުރި	worth
އެކަށީގެންވޭ	worth it
އަގުހުރި	worthy
ކުރެވިދާނެ	would
ހަލާކުވެފައިވާތަން	wound
އާޗާ	Wow
އޮޅުން	wrap
ކޯފާ	wrath
އަތުކުރި	wrist
ލިޔުން	write
ލިޔުން	writing
ލިޔެވިފައި	written
ނުބައި	wrong
ލިޔުން	wrote
ޔާޑް	yard
އާފުރުން	yawn
އާނ	Yeah
އަހަރު	year
އަހަރުތައް	years
ޔީސްޓް	yeast
ހަޅޭއްލެވުން	yell
ރީނދޫ	yellow
އާނ	Yes
އިއްޔެ	yesterday
އަދި	yet
މޭވާ	yield
ތިބާ	you
މަރުޙަބާ	you are welcome
ޅަ	young
ތިބާގެ	your
މަރުޙަބާ	you're welcome
ތިބާ	yourself
މަރުޙަބާ	your welcome
ޒުވާން	youth
ތިބާވެސް	you too
މީރު	yummy
ސުމެއް	zero
މާތް ﷲ ތިބާއަށް ބަރަކާތް ލައްވާށި	god bless you
ފަސެހަކަމާއެކު ހަރަކާތްތެރިވެވޭ	agile
އިތުރު ހައްލު	alternative
ބާއްޖަވެރި ހަވީރެއް	good evening
ބޯ ހަމަނުޖެހުން	mental
އާނ ހަމަ އަސްލުވެސް	yes of course
ތިބާ ހާދަ ރިއްޗޭ	you are so beautiful
މީހެއްގެ ހާލަތަށްވާ ހިތްދަތިކަން	pity
ކޮންމެ ހާލަތެއްގަވެސް	regardless
ދިހަ ހާސް	ten thousand
ސްވީޓް ހާޓް	sweetheart
އެހެންވާ ހިނދަކު	as long as
ނެތި ހިނގައިދާނެކަމުގެ ބިރު އޮތް	endangered
ކަމެއް ހިނގަމުންދާ އިރު	while
ފެން ހިންދުން	drain
ބޭރަށް ހިންގުން	diarrhea
ތަނެއް ހިފުން	conquer
އެއްކޮށް ހިފެހެއްޓިފައިވުން	bind
ވަރަށް ހިތްގައިމު	fascinating
އަހަންނަށް ހީވަނީ	i guess
އަހަންނަށް ހީވަނީ	I think
ސެލްފް ހީލިންގެ	self healing
މިހާރު ހުރި	existing
ތިބާއަށް ހުރިހާ ކާމިޔާބީއެއްވެސް ލިބުމަށް އެދެން	wish you all the best
ކަމެއްނުކޮށް ހުރުން	idle
ސަލާމަތުން ހުރޭ	stay safe
ބިރުވެރި ހުވަފެން	nightmare
ބާއްޖަވެރި ހުވަފެންތަކަކަށް އެދެން	sweet dreams
ހަމަ ހުވާ	oh really
ވަރަށް ހުތުރު	nasty
ވިކި ހުސްވެފައި	sold out
ބާއްޖަވެރި ހެނދުނަކަށް އެދެން ލޯބިވާ	good morning my love
ބާއްޖެވެރި ހެނދުނެއް	good morning
ދެކޮޅު ހެދުން	resistance
އަގު ހެޔޮ	cheap
އަހަރެން ހެޔޮ ޙާލުގައި	I'm fine
ދުވަހުގެ ހެޔޮ ތަހުނިޔާ އަދާކުރަން	many many happy returns of the day
އަހަރެންގެ ހޯވާރކްރާފްޓުގައި ފުރާ ހުރީ ހުސް ވެނެވެ	My hovercraft is full of eels
ކަންތައް ހޯދާބަލާ	cunning
ޢާމްދަނީ ހޯދުން	earn
ކަމެއް ހޯދުމަށް ހުންނަ ޝަޢުޤުވެރިކަން	curiosity
ޢާމްދަނީ ހޯދުމަށް ކުރަނީ ކޮން މަސައްކަތެއް	what do you do for a living
ހުރިހާ ޙާލަތަކަށްވެސް ފެތޭ	resilient
ކުއްލި ޙާލަތު	emergency
ތިބާގެ ޙާލު މިއަދު ކިހިނެތް	how are you doing today
ޣައިރު ޙާޒިރު	absence
ވަކި ޚާއްސަ	distinct
ވަކި ޚާއްސަ	particular
ވަކިން ޚާއްސަކޮށް	particularly
އާދަޔާ ޚިލާފު	extraordinary
އާދަޔާ ޚިލާފު	odd
އާދަޔާ ޚިލާފު	strange
އާދަޔާ ޚިލާފު	unusual
އާދަޔާ ޚިލާފު	weird
ފުރަތަމަ ނަން	first name
ފަހު ނަން	last name
އާއިލާގެ ނަން	surname
އަހަރެންގެ ނަމަކީ	my name is
ތިބާގެ ނަމަކީ ކޮބާ	what is your name
ތިބާގެ ނަމަކީ ކޮބާ	what's your name
ޒިންމާ ނަގަންޖެހޭ  ކަމެއް	liability
ހެނދުނުގެ ނާސްތާ	breakfast
އެންމެ ނުބައި	worse
އެންމެ ނުބައި	worst
އަހަރެން ނުކުރަން	I don't
މީހެއްގެ ނުވަތަ  އެއްޗެއްގެ ބާރުގެ ދަށުގައި ނުވުން	beyond
އަހަންނަކަށް ނުވާނެ	I can't
ކީއްވެ ނުވާންވީ	why not
އަހަންނަކަށް ނުވިސްނުނު	I don’t understand
ކަންބޮޑު ނުވޭ	Don't worry
ޤަވައިދަށް ނުފެތޭ	exception
ހިތް ނުތަނަވަސް	awkward
ހިތްހަމަ ނުޖެހުން	disappointed
ތާކުންތާކު ނުޖެހޭ	freak
ތާކުންތާކު ނުޖެހޭ	lame
ތާކުންތާކު ނުޖެހޭ	ridiculous
ތާކުންތާކު ނުޖެހޭ މީހެއް	simp
އެއްގޮތަކަށްވެސް ނޫން	not at all
މިހާރަކު ނޫން	Not now
އަދި ނޫން	not yet
އަސްލުސިފަ ނޫން އެހެން ސިފައެއްގައި	disguise
މަންޒިލެއް ނެތި އުޅުން	wander
މައްސަލައެއް ނެތް	no problem
މީހުން ނެތް ތަނުގައި އެމީހުންގެ ވާހަކަ ދެއްކުން	gossip
ކުއްޔަށް ނެގުން	hiring
އަލުން ނެގުން	retrieve
އަހަންނަކަށް ނޭނގުނު	I don't understand
އަހަންނަކަށް ނޭނގެ	I don't know
ވާނުވާ ނޭނގޭ	mysterious
އަހަންނަކަށް ނޭގޭ	I do not know
އަހަންނަކަށް ނޭގޭ	I don’t know
އަހަރެންގެ ރަޙްމަތްތެރިޔާ	my friend
އެންމެ ރަނގަޅު	all right
އެންމެ ރަނގަޅު	Alright
އެންމެ ރަނގަޅު	best
ވަރަށް ރަނގަޅު	brilliant
އަހަރެން ރަނގަޅު	I am fine
އަހަރެން ރަނގަޅު	I'm good
އެންމެ ރަނގަޅު	It's okay
އެންމެ ރަނގަޅު	ok
އެންމެ ރަނގަޅު	okay
އެންމެ ރަނގަޅު	ok dear
އެހެންވިއްޔާ ރަނގަޅު	that's good
ވަރަށް ރަނގަޅު	very good
ފެންވަރު ރަނގަޅުކުރުން	enhance
ކުރިއަށްވުރެ ރަނގަޅު ކުރުން	improve
އެންމެ ރަނގަޅު ލޯބިވާ	ok honey
އެންމެ ރަނގަޅު ލޯބިވާ	ok my love
އެންމެ ރަނގަޅު ލޯބީ	okay honey
އެންމެ ރަނގަޅު ލޯބީ	okay my love
ކައިވެނިކުރަން ރަންކިޔާފައިވާ ކުއްޖާ	fiance
ފޮހޭ ރަބަރު	eraser
ތަކެތި ރައްކާކުރާތަން	storage
ކަރުގައި ރިއްސުން	sore throat
ވަރަށް ރީތި	fabulous
ބަލާލަން ރީތި	good looking
އަހަރެން ރުހޭ	I like
ލިވިންގ ރޫމް	living room
ބާއްޖަވެރި ރެޔަކަށް އެދެން	goodnight
ބާއްޖަވެރި ރޭގަނޑަކަށް އެދެން	good night
ތިބާގެ ރޭގަނޑު ދިޔައީ ކިހިނެތް	how was your night
ވިލާތު ބަށި	tomato
ހަފްތާ ބަންދު	weekend
ވަރަށް ބައިވަރު	a lot of
ވަރަށް ބައިވަރު	massive
އެއްޗެއްގެ ބައެއް	element
ބަރުދަން ބަލާ ކަށި	scale
ފެތުރޭ ބަލި	contagious
ތަންތަން ބަަލަނ ދިއުން	sightseeing
ވަކި ބާވަތަކަށް ނުފެތޭ	miscellaneous
އެކި ބާވަތުގެ	various
ކިރުގެ ބާވަތްތައް	dairy
އިހާނެތިބަސް ބުނުން	insult
އަސްލު ބުންންޏާ	basically
ވަކަރު ބުރި	log
ދަގަނޑު ބުރިއެއް	rod
ގަހުގެ ބުޑު	trunk
ހޯދާ ބެލުން	examine
ހޯދުމަށް ބެލުން	sought
އަހަރެން ބޭނުން	I want
ތިބާ ބޭނުންވަނީ ކޯންޗެއް	what do you want
ކޮންމެހެން ބޭނުންވާ	necessary
ބޮޑު ބޭބެ	uncle
ވަރަށް ބޮޑަށް ޝުކުރިއްޔާ	thank you so much
ވަރަށް ބޮޑަށް ޝުކުރިއްޔާ	thank you very much
ވަރަށް ބޮޑު	large
އަމިއްލައެދުން ބޮޑު	selfish
ކަންތައް ބޮޑުވެފައި	tense
ފިކުރު ބޮޑުވެފައިވުން	depressed
އަޡުމު ކަނޑައެޅުން	determined
ކުރަންހުރި ކަންތައް	chores
އެހެން ކަންތައް އޮތް ކަމުގައި ވިޔަސް	despite
މިގޮތަށް ކަންތައް އޮތްއިރު	meanwhile
ޝިޕްމަންޓްގެ ކަންތައްތައް ބަލާދެވެންދެން މަޑުކޮށްދެއްވތީ ޝުކުރިއްޔާ	Thank you for your patience while we investigate shipment
އަހަރެން ކައިރީ ބުނެބަ	tell me
ތިބާ ކައިވެނިކޮށްފަތަ	are you married
ތެދު ކަމަށް ޤަބޫލުކުރެވިފައި ހުންނަ ދޮގު	myth
ފަހު ކަމަކަށް	last but not least
ވަރަށް ކަމުނުދާ	horrible
ވަރަށް ކަމުދާ	awesome
އެންމެ ކަމުދާ	favourite
ހިނގި ކަމެއް	occurred
ކުރަންޖެހޭ ކަމެއް	supposed
ހުރިހާ ކަމެއް ރަނގަޅަށް ދާނެ ކަމަށް އުންމީދުކުރަން	good luck
ހުރުހާ ކަމެއް ރަގަޅުވާނެ ކަމަށް އެދެން	all the best
ވަގުތަށް ކަމޭހިތާ	punctual
ތިއީ ކާކު	who are you
މިއީ ކާކު	who is this
ތިބާ ކިހިނެއް	how do you do
ހާލު ކިހިނެތް	how are you
ހާލު ކިހިނެތް	how are you doing
ތިބާއަށް ކިތައް އަހަރު	how old are you
ތިބާ ކީއްކުރަނީ	what are you doing
ތިބާ ކުރަނީ ކޮން ކަމެއް	what do you do
އަހަރެން ކުރަން	I do
ކަމެއް ކުރަން ބޭނުންވުން	urge
ތިބާ ކުރަންތަ	do you
އަހަރެން ކުރާނަން	I will
ތިގޮތުގައި ކުރިއަށް ގެންދޭ	keep it up
މުޢާމަލާތް ކުރުން	communicate
ހައިކް ކުރުން	hiking
މެނިޕިއުލޭޓް ކުރުން	manipulate
އަޅުކަން ކުރުން	worship
ހައިރާން ކުރުވަނިވި	amazing
އަޖައިބު ކުރުވަނިވި	wonderful
ކަމެއް ކުރުމަށް  ބޭނުންވާ ހިތްވަރު	will
ވަގުތުން ކުރެވޭ	instant
ޝައްކު ކުރެވޭ	suspicious
އަވަސް ކުރޭ	hurry up
ގޭގައި ކުއްޔަށް ދިރުއުޅޭ	tenant
ފިރިހެން ކުއްޖާ	boy
އަންހެން ކުއްޖާ	girl
ތުއްތު ކުއްޖާ	infant
އޮފީސް ކުދިން	colleagues
ވަރަށް  ކުޑަ	brief
ރަހުމު ކުޑަ	rude
އެންމެ ކުޑަމިނުން	least
ރޭގަނޑުގެ ކެއުން	dinner
މެންދުރު ކެއުން	lunch
ރޭގަނޑުގެ ކެއުން	supper
ފެނު ކެއްކުން	boil
ހިތަށް ކެތްނުކުރެވޭވަރުގެ	overwhelming
ދޭހަ ކޮށްދިނުން	explain
މަޖާ ކޮށްލާ	enjoy
މިއީ ކޮންއެއްޗެއް	what is this
ތިބާއަކީ ކޮންތަނެއްގެ މީހެއް	where are you from
ތިބާ ކޮންތާކު ތިހިރީ	where are you
އެއްވެސް ކޮޅަކަށް ނުޖެހޭ	neutral
މެރީ ކްރިސްމަސް	merry christmas
އައިސް ކްރީމް	ice cream
އަހަރެން އަހަރެންގެ ބައްޕަދެކެ ލޯބިވެއެވެ	I love my father
އަހަރެން އަހަރެންގެ ބޭބެދެކެ ލޯބިވެއެވެ	I love my big brother
އަހަރެން އަހަރެންގެ ކުޑަ އަންހެން ކޮއްކޮ ދެކެ ލޯބިވެއެވެ	I love my little sister
އަހަރެން އަހަރެންގެ ކުޑަ ފިރިހެން ކޮއްކޮ ދެކެ ލޯބިވެއެވެ	I love my little brother
އަހަރެން އަހަރެންގެ މަންމަދެކެ ލޯބިވެއެވެ	I love my mother
އަހަރެން އަހަރެންގެ ދައްތަދެކެ ލޯބިވެއެވެ	I love my big sister
ލޯ އަނދިރި	blind
އެކަކު އަނެކަކު	each other
ހެދުން އަޅާ	get dressed
ކަރުގަ އަޅާ ފަށް	necklace
ކަމަކަށް އަޅުވެތިވުން	dedicated
ތިބާ އަކީ	are you
އޭނަ އަކީ	he is
އޭނާ އަކީ	she is
ތިބާ އަކީ	you are
އެއްވެސް އައިބެއް ނެތް	flawless
ފަހަކަށް އައިސް	lately
މިހާރަކަށް އައިސް	nowadays
ހުއްޓުމަކަށް އައުން	half
ވަރަށް އަވަސް	urgent
ވަރަށް އަވަސް އަވަހަށް	frequent
މެހެމާންދާރީ އަދާކުރާ ފަރާތް	host
ފަޒީފާ އަދާކުރާ ފަރާތްތައް	employees
ތިބާ އަދިވެސް އެތާގަތޯ	Are you still there?
ތިބާ އަދި ފެންނާނެ ކަމަށް އުންމީދުކުރަން	see you soon
އަހަރެން އަތުގައޮތް	I had
އަހަރެން އަތުގަ އޮތް	I have
އައިސް އަލަމާރި	fridge
ތަކެތީގެ އަގުބޮޑުވުން	inflation
ނޭވާ އަޑުން ވާހަކަ ދެއްކުން	whisper
ސެޓް އަޕް	set up
ތިބާ އަަހަރެންދެކެ ލޯބިވޭތަ	do you love me
ކިހާ އާންމުކޮށް	how often
އުފަވެރި އާ އަހަރަކަށް އެދެން	happy new year
އެކަކުގެ އިހުސާސް އަނެކަކު ދަތުން	empathy
ކަމެއްކުރުމަށް އިޚްތިޔާރުކުރެވޭގޮތް	tendency
މީހަކާ އިނދެގެން	married
މީހަކާ އިނދެގެންތަ ނުވަތަ ހުސްކޮށްތަ	are you married or single
ބޮޑުވާ އިނގިލި	thumb
ފައިގެ އިނގިލިތައް	toes
އަހަންނަށް އިނގޭ	I know
އަދި އިނގޭތަ	by the way
ތިބާއަށް އިނގޭތަ	You know
އެއްވެސް އިރެއްގައި	ever
ދެން އިތުރަށް	anymore
އޭގެ އިތުރުން	in addition
އޭގެ އިތުރުން	moreover
މުއްދަތު އިތުރުކުރުން	extension
އަމިއްލައަށް އިސްނަގާ	assertive
ފެން އިސްކުރު	tap
ޢާންމު އުނދަގޫ	nuisance
އަަހަރެން އުންމީދުކުރަން	I hope so
ދުވަހަކުވެސް އުންމީދު ދޫކޮށްނުލާތި	never give up
އަހަރެން އުޅުނިން	I was
ރަނގަޅަށް އުޅުން	behave
އެކުގައި އުޅުން	hang out
އެކުގައި އުޅޭމީހުން	peer
ބަލައިގެން އުޅޭތި	be careful
އުފާވެރި އުފަންދުވަހެއް	happy birthday
ބައްދަލުވީތީ އުފާކުރަން	nice to meet you
ވަރަށް އުފާވެރި	exciting
ތިބާއަށް އުފާވެރި އުފަންދުވަހަކަށް އެދެން	happy birthday to you
ހަމަ އެ	exact
މައްޗަށް އެރުން	rise
ލިބެން އެބަހުރި	available
ތިބާ އެބަހުރިންތަ	are you there
ފިޔަވަޅު އެޅުން	treat
ހަމައަކަށް އެޅުވުން	sort
އެންމެ އެކަށޭނެ	ideal
ދެން އެކަން ކޮށްލާ	just do it
އެހެން އެކަން އޮތްއިރު	whereas
ހަމަ އެއާއެކު	In fact
ހަތަރުބައިކުޅަ އެއްބައި	quarter
އެއްބަޑު އެއްބަފާ ބެއިން	sibling
އެއްބަޑު އެއްބަފާ ބެއިން	siblings
އެއްބަނޑު އެއްބަފާ ބެއިންގެ ފިރިހެން ދަރިފުޅު	nephew
އެއްބަނޑު އެއްބަފާ ބެއިންގެ ފިރިހެން ދަރިފުޅު	niece
ދެފަރާތުން އެއްބަސްވާ	mutual
ދެކަންތައް އެއްކޮށް ކުރިއަށް ގެންދިއުން	simultaneously
އެ އެއްޗަކީ	what is
މި އެއްޗެހި	these
ހުރިހާ އެއްޗެއް	everything
ކޮންމެވެސް އެއްޗެއް	something
ނޭނގޭ އެއްޗެއް	unknown
ބުނާނެ އެއްޗެއް ނެތުން	speechless
ވަކި އެއްޗެއް ކާހިތްވުން	craving
ކޮންމެ އެއްޗެއްވެސް	anything
ހަމަ އެވަގުތު	suddenly
މަޢާފަށް އެދުން	apologize
މަޢުލާމާތަށް އެދުން	inquiry
ކަމެއްކުރުމަށް އެދުން	willing
ކާމިޔާބަށް އެދެން	best of luck
މަޢާފަށް އެދެން	Sorry
ހަމަ އެގޮތަށް	likewise
ކޮންކަމެއް އޮތީ	what's up
އުންމީދު އޮތް	potential
އެ އޯކޭ	it's ok
ޓޭކް އޯފް	take off
އައްސަލާމް ޢަލައިކުމް	Hello
އައްސަލާމް ޢަލައިކުމް	Hey
އައްސަލާމް ޢަލައިކުމް	Hi
އައްސަލާމް ޢަލައިކުމް	Hi there
އައްސަލާމް ޢަލައިކުމް ތިބާ ކިހިނެއް	hi how are you
އައްސަލާމް ޢަލައިކުމް ތިބާގެ ޙާލު ކިހިނެތް	hello how are you
އައްސަލާމް ޢަލައިކުމް ތިބާގެ ޙާލު ކިހިނެތް	hello how are you doing
އައްސަލާމް ޢަލައިކުމް ޑިއަރ	hello dear
ތިބާ ވަރަށްރީތި	you are beautiful
ނުފެންނަތާ ވަރަށް ދުވަސްވެއްޖެ	long time no see
ފުދޭ ވަރަކަށް	quite
ވަރަށް ވަރުބަލިވެފަ	devastated
ކިހާ ވަރެއް	how much
ތަފާތު ވައްތަރު	variety
އަރާމުކުރާ ވަގުތު	leisure
ފަހުގެ ވަގުތެއްގައި	recently
ތިބާގެ ވަޒީފާއަކީ ކޮބާ	what is your job
ދެކޮޅަށްވެސް ވާހަކަ ދެއްކޭ	controversial
އަހަންނަށް ވާނެ	I can
އަހަރެން ވާނެ	I would be
އަހަރުމެންނަށް ވާނެ	we can
ތިބާއަށް ވާނެ	you can
ޘަޤާފީގޮތުން ވާރުތަވެފައިވާ	indigenous
އަަހަރެން ވިން	I have been
ކަމެއް ވީކަމަށް ހެދުން	pretend
މިލްކިއްޔާތުގައި ވުން	possess
ހޭނެތިގެން ވެއްޓުން	collapse
ހިތްނުތަނަވަސް ވެފައިވުން	frustrated
ތިބާއަށް މަރުޙަބާ	you’re welcome
މުޅި މަރުޙަލާގައި	throughout
ތިބާގެ މައްޗަށް	up to you
ވަރަށް  މަދުން	hardly
ވަރަށް މަދުން	rare
ވަރަށް މަދުން	seldom
އަހަރުމެންގެ މަޤްސަދު: ދުނިޔޭގެ މަޢުލޫމާތު ތަރުތީބުކޮށް އެއީ ބޭނުންތެރި އެއްޗަކަށްހަދައި ޔުނިވާރސަލީ ލިބޭނެއެއްޗަކަށް ހެދުމެވެ.	Our mission: to organize the world's information and make it universally accessible and useful.
ގަދައަޅާ މަސައްކަތްކުރުން	strive
މަޑު މަޑުން	gradually
ވަށައިގެންވާ މާޙައުލު	surrounding
އަހަރެން މާނަކުރީ	I mean
އެހެން މާނައަކަށް ފުރުސަތުދޭ	ambiguous
ތިބާ މިހާރު ކީއްކުރަނީ	what are you doing now
އަހަރެން މިހިރީ	I'm here
ހަލުވި މިނުގައި	rapidly
