неуна	a little
вӧвны	to be
лоны	to be
пӧжалӧм нянь шӧрӧм	toast
талун	today
кысъясысь кага	toddler
кок чунь	toes
ӧтлаын	together
ӧтвыв	together
асмогасянін	toilet
шуис	told
шуӧма	told
пыдди пуктӧм	tolerance
терпитны	tolerate
помидор	tomato
аски	tomorrow
кыв	tongue
тарыт	tonight
тшӧтш	too
босьтіс	took
инструмент	tool
инструментъяс	tools
пинь	tooth
медвылыс	top
йыв	top
сёрнитантор	topic
косялӧм	torn
мучитны	torture
мучитӧм	torture
ӧтувъя	total
инмӧдчыны	touch
сьӧкыд	tough
тур	tour
ки чышкӧд	towel
кар	town
пагӧдан	toxic
туй	trace
туй	track
вузасьны	trade
вузасьӧм	trade
оласног	tradition
нэмӧвӧйся	traditional
ветлӧм-мунӧм	traffic
туй	trail
поезд	train
велӧдӧм	training
визь	trait
сер	trait
серъяс	traits
водзӧ сетны	transfer
вуджӧм	transition
вуджӧдны	translate
пырыс тыдалана	transparent
транспорт	transport
нуӧм-вайӧм	transportation
нальк	trap
лӧп-ёг	trash
дой	trauma
путешествуйтны	travel
поднос	tray
озырлун	treasure
вӧдитчыны	treat
шыӧдчыны	treat
вӧдитчӧм	treatment
пу	tree
зэв ыджыд	tremendous
нырвизь	trend
видлӧм	trial
видлана	trial
трюк	trick
видліс	tried
курӧк	trigger
пезьдӧдны	trigger
тойыштны	trigger
вундыны	trim
ветлӧм	trip
лёкторъяс	trouble
лӧсьыдтӧмторъяс	trouble
мытшӧдъяс	trouble
гач	trousers
грузӧвик	truck
збыль	TRUE
багажник	trunk
дӧверитӧм	trust
дӧверитны	trust
эскыны	trust
збыль	truth
видлыны	try
Тсонга	Tsonga
труба	tube
Воторник	Tuesday
велӧдӧм	tuition
индюк яй	turkey
индюк	turkey
куркума	turmeric
бергӧдӧм	turn
кежӧм	turn
чукыль	turn
черепаха	turtle
велӧдысь	tutor
дас кык	twelve
кызь	twenty
кызь ӧти	twenty-one
Чви	Twi
кыкысь	twice
гартлыны	twist
кык	two
сикас	type
тшӧкыда паныдасьлысь	typical
урӧс	ugly
медбӧръя	ultimate
зонтик	umbrella
оз вермы	unable
чож	uncle
дядь	uncle
садьтӧм	unconscious
улын	under
улын	underneath
абу тырвыйӧ донъялӧм	underrated
гӧгӧрвоны	understand
гӧгӧрвоис	understood
гӧгӧрвоӧма	understood
зэв жаль	unfortunately
форма	uniform
аслыспӧлӧс	unique
вӧвлытӧм	unique
муртӧг	unit
единица	unit
университет	university
тӧдтӧм	unknown
абу кӧ	unless
оз кӧ	unless
аслыспӧлӧс	unusual
вылӧ	up
тіян сайын	up to you
тэ сайын	up to you
ӧнъяӧдӧм	update
ӧнъяӧдны	update
бурмӧдӧм	upgrade
бурмӧдны	upgrade
вылын	upon
шогӧ усьӧм	upset
жугыль	upset
карса	urban
кыскыны	urge
кыскӧм	urge
эновтны позьтӧм	urgent
миянлы	us
вӧдитчыны	use
вӧдитчӧм	use
вӧдитчӧм	used
буртор ваян	useful
колана	useful
ковтӧм	useless
быдлунся	usual
векджык	usually
пырджык	usually
оланін да коммунальнӧй овмӧс	utility
шойччан кад	vacation
отпуск	vacation
вакцинируйтӧм	vaccination
вакцина	vaccine
вакуум	vacuum
дзуг	vague
вына	valid
ковтыс	valley
дона	valuable
донъявны	value
дон	value
унасикаслун	variety
торъялан	various
уна нога	various
уна пӧлӧс	various
торъявны	vary
ваза	vase
паськыд	vast
град выв пуктас	vegetable
градвыв пуктас	vegetables
транспорт средство	vehicle
ваялысь	vendor
яд	venom
предприятие	venture
нуӧданін	venue
прӧверитны	verify
уна мога	versatile
уна нога	versatile
версия	version
сувтса	vertical
зэв	very
зэв бур	very good
доз	vessel
пыр	via
ру	vibe
сьӧлӧмӧн кылӧм	vibes
лёк	vicious
жертва	victim
видео	video
видзӧдлас	view
сикт	village
лёк морт	villain
уксус	vinegar
сулӧдӧм	vintage
мырдӧналӧм	violence
мырдӧна	violent
вируснӧй	viral
вӧрзьӧдлытӧм	virgin
ветлытӧм-мунтӧм ныв	virgin
виртуальнӧй	virtual
дон	virtue
гӧгӧрвоӧм	vision
волыны	visit
волӧм	visit
синмӧн аддзана	visual
зэв колана	vital
яръюгыд	vivid
кывкуд	vocabulary
гӧлӧс	voice
куш	void
кушин	void
йӧрыш	volume
ас кӧсйӧм серти вӧзйысьысь	volunteer
восны	vomit
вос	vomit
слаб	vulnerable
пуков	vulnerable
кокниа дӧзмысь	vulnerable
нажӧтка	wage
удждон	wages
кос	waist
виччысьны	wait
официант	waiter
виччысьысь	waiting
садьмӧдны	wake
садьмыны	wake up
ветлӧдлыны	walk
ветлӧдлӧм	walk
подӧн ветлӧм	walking
стен	wall
кӧшель	wallet
кытшлавны	wander
кӧсъян	wanna
окотитны	want
кӧсйыны	want
кӧсйис	wanted
война	war
шкап	wardrobe
видзанін	warehouse
шонтыны	warm
шоныд	warm
водзвыв ӧлӧдны	warn
ӧлӧдӧм	warning
воин	warrior
вӧлі	was
мыськыны	wash
видзны	waste
шыблас	waste
видзӧдны	watch
ва	water
арбуз	watermelon
гы	wave
туй	way
ми	we
ми лоам	we are
ми вермам	we can
омӧль	weak
слаб	weak
слаблун	weakness
озырлун	wealth
озыр	wealthy
новлыны	wear
новлысь	wearing
поводдя	weather
кӧлысь	wedding
Середа	Wednesday
ёг турун	weed
вежон	week
шойччан лунъяс	weekend
сьӧктӧдны	weight
сьӧкта	weight
тешкодь	weird
видза корам	welcome
бур олӧм	welfare
Бура	Well
молодеч	well done
муніс	went
вӧліны	were
рытыввыв	west
лапыд	wet
уль	wet
васӧд	wet
кит	whale
мый	what
а тэ	what about you
мый тэ вӧчан	what are you doing
мый тэ ӧні вӧчан	what are you doing now
мый тэ ӧні вӧчан	what are you doing right now
мый ті ӧні вӧчанныд	what are you doing right now
мый вӧчан	what do you do
мый вӧчанныд	what do you do
мыйӧн ті уджаланныд	what do you do for a living
мыйӧн тэ уджалан	what do you do for a living
мый йылысь тэ шуан	what do you mean
мый ті кӧсъянныд	what do you want
мый тэ кӧсъян	what do you want
мый лоис	what happened
мый лоӧ	what is
мый тайӧ	what is this
мыйсяма удж ті вӧчанныд	what is your job
мыйсяма удж тэ вӧчан	what is your job
кыдзи тэнӧ нимтӧны	what is your name
кыдзи тэнӧ шуӧны	what is your name
мый нӧ	what's up
кыдзи тіянӧс шуӧны	what's your name
кыдзи тэнӧ шуӧны	what's your name
быд	whatever
шобді	wheat
гӧгыль	wheel
кор	when
кор	whenever
кӧні	where
кӧні тэ	where are you
кытысь тэ	where are you from
ӧні ті кӧнӧсь	where are you now
ӧні тэ кӧні	where are you now
кӧні тэ олан	where do you live
кӧні ті оланныд	where do you live
кӧні	where is
кор	whereas
сэк	whereas
ли	whether
коді	which
кор	while
сэк кості	while
вашкӧдчӧм	whisper
вашкӧдны	whisper
шутьлявны	whistle
еджыд	white
коді	who
коді тэ	who are you
коді ті	who are you
коді лоӧ	who is
коді тайӧ	who is this
дзонь	whole
кодӧс	whom
кодлӧн	whose
мыйла	why
мыйла ог	why not
мыйла оз	why not
скӧр	wicked
паськыд	wide
дӧва	widow
пасьта	width
гӧтыр	wife
вӧрса	wild
кӧсйӧм	will
лоӧ	will
окотитысь	willing
вермыны	win
тӧв	wind
ӧшинь	window
тӧла	windy
вина	wine
тӧв	winter
чышкыны	wipe
сутуга	wire
мывкыдлун	wisdom
сюсь	wise
мывкыд	wise
кӧсйӧм	wish
сины	wish
сиа тіянлы став бурсӧ	wish you all the best
сиа тэныд став бурсӧ	wish you all the best
ёма	witch
корны	withdraw
вештыны	withdraw
бергӧдны	withdraw
кывкӧртӧд	withdrawal
пытшкын	within
аддзылысь	witness
висьтавны	witness
шмоньлив	witty
кӧин	wolf
ань	woman
аньяс	women
вермис	won
вермӧма	won
оз	won't
дивӧ	wonder
шемӧс	wonder
дивӧ кодь	wonderful
шемӧсмӧдана	wonderful
пу	wood
вурун	wool
кыв	word
кывъяс	words
удж	work
уджавны	work
тренируйтчыны	work out
уджалысь	working
мир	world
нидзув	worm
киссьӧм	worn
майшасьӧм	worried
майшасьны	worry
лёкджыка	worse
лёкджык	worse
копрасьны	worship
медлёк	worst
дон	worth
сулалӧ	worth it
сулалана	worthy
дой	wound
Ого	Wow
гартны	wrap
лӧглун	wrath
килутш	wrist
гижны	write
Гиж татчӧ	Write here
Гижӧй татчӧ	Write here
гижӧм	writing
гижӧм	written
лӧсявтӧм	wrong
абу веськыд	wrong
гижис	wrote
йӧр	yard
очсавны	yawn
очсыштӧм	yawn
Да	Yeah
во	year
вояс	years
шомӧс	yeast
горзыны	yell
кольквиж	yellow
Да	Yes
да, мусаӧй	yes baby
да, донаӧй	yes dear
да, донаӧй	yes honey
да, менам муслунӧй	yes my love
да, дерт	yes of course
тӧрыт	yesterday
нӧшта	yet
на	yet
сетчыны	yield
тэ	you
ті лоанныд	you are
тэ лоан	you are
тэ мича	you are beautiful
ті мичаӧсь	you are beautiful
ті сэтшӧм мичаӧсь	you are so beautiful
тэ сэтшӧм мича	you are so beautiful
бур вылӧ	you are welcome
нинӧмысь	you are welcome
тэ верман	you can
Тэ тӧдан	You know
Ті тӧданныд	You know
тэ тшӧтш	you too
бур вылӧ	you're welcome
том	young
тэнад	your
тіян бура гӧститӧдӧм	your welcome
асьнытӧ	yourself
асьтӧ	yourself
томлун	youth
томулов	youth
бур вылӧ	you’re welcome
чӧскыд	yummy
ноль	zero
