a	اک
tire	تھکڑاں
tired	تھکیا ہویا
tissue	ٹشو
title	عنوان
to	تائیں
to be	ہونڑ آلا
toast	ڈبل روٹی
today	اج
toddler	بانبڑو کریندا بال
toes	پنجے
together	نال رل کے
toilet	لیٹرین
told	آکھیا
tolerance	نرم مزاجی
tolerate	برداشت کرنڑاں
tomato	ٹماٹر
tomorrow	آونڑ والا کل
tongue	زبان
tonight	اج رات
too	بہوں
took	گھنیا
tool	اوزار
tools	اوزار
tooth	ڈند
top	اوتلا
topic	عنوان
torn	پھٹیا ہویا
torture	تکلیف ڈیونڑاں
total	کُل
touch	ہتھ لاونڑاں
tough	مشکل
tour	سفر
toward	اگو
towards	دے پاسے
towel	تولیہ
town	شہر
toxic	زہریلا
trace	پتہ لاونڑاں
track	ٹریک
trade	کاروبار
trade	کاروبار کرنڑاں
tradition	روایت
traditional	روایتی
traffic	ٹریفک
trail	پیچھا کرنڑاں
train	ریل گاڈی
training	تربیت
trait	خصوصیت
traits	خصوصیت
transfer	منتقل کرنراں
transition	بدلنڑاں
translate	ترجمہ کرنڑاں
transparent	شفاف
transport	سواری
transportation	اک جاہ توں ڈوجھی جاہ تے پُجاونڑاں
trap	پھندا
trash	کوڑا
trauma	چوٹ
travel	سفر
tray	ٹرے
treasure	خزانہ
treat	ورتاؤ کرنڑاں
treatment	علاج
tree	درخت
tremendous	بہوں ہی وڈا
trend	رجحان
trial	آزمائش
trick	چال
tried	کوشش کیتی
trigger	ٹریگر دباونڑاں
trigger	ٹریگر
trim	کاٹڑاں
trip	سفر
trouble	تکلیف
trousers	پاجامے
truck	ٹرک
true	سچ
trunk	بکسا
trust	اعتبار کرنڑاں
trust	اعتبار
truth	سچ
try	کوشش کرو
Tsonga	سونگا
tube	نالی
Tuesday	منگل
tuition	ٹیوشن
turkey	ترکی
turmeric	ہَلِدر
turn	موڑو
turtle	کچھوا
tutor	استاد
twelve	بارہاں
twenty	ویہہ
twenty-one	اکویھہ
Twi	دو گنا
twice	ڈو وار
twist	مروڑنڑاں
two	ڈو
type	قسم
typical	مثالی
ugly	بدصورت
ultimate	آخری
umbrella	چھتری
unable	بے بس
uncle	چاچا
unconscious	بے ہوش
under	تھلے
underneath	تلّے
underrated	کم شرح دی
understand	سمجھڑاں
understood	سمجھیا
unfortunately	بدقسمتی نال
uniform	یونیفارم
unique	وکھرا
unit	اکائی
university	یونیورسٹی
unknown	نامعلوم
unless	جیرے ویلے تائیں
until	اوں ویلے تائیں
unusual	غیر معمولی
up	اوتے
up to you	تساں دے اتے ہے
update	نواں کرنڑاں
update	اپ ڈیٹ
upgrade	اعلٰی درجہ
upgrade	اعلٰی درجے اتے آنڑاں
upon	تھلے
upset	پرشان
urban	شہر دا
urge	زور
urge	زور ڈیونڑاں
urgent	ضروری
us	اساں
use	استعمال
use	استعمال کرنڑاں
used	استعمال کیتا ہوا
useful	مفید
useless	بے فائدہ
usual	معمول دے مطابق
usually	عام طور تے
utility	سہولت
vacation	چھٹی
vaccination	ویکسین دا ٹیکا
vaccine	ویکسین
vacuum	خالی جاہ
vague	غیر واضح
valid	معیاد
valley	وادی
valuable	قدر دے قابل
value	قدر
value	قدر کرنڑاں
variety	قسم
various	وکھرے
vary	مختلف ہونڑاں
vase	گلدان
vast	بے شمار
vegetable	سبزی
vegetables	سبزیاں
vehicle	گاڈی
vendor	ویچنڑ آلا
venom	زہر
venture	خطرناک کم
venue	جگہ
verify	تصدیق کرنڑاں
versatile	ہمہ گیر
version	نُسخہ
vertical	سدھا کھڑا
very	بہوں
very good	بہوں چنگا
vessel	رگ
via	ذریعے نال
vibe	وائب
vibes	وائبز
vicious	بد کردار
victim	نشانہ
video	ویڈیو
view	ڈیکھو
village	گراں
villain	بدمعاش
vinegar	سرکہ
vintage	انگور دی فصل
violence	تشدد
violent	شدید
viral	وائرس دا
virgin	کنواری
virtual	اصلی
virtue	نیکی
vision	ڈیکھنڑاں
visit	ملاقاتی
visit	ملاقات واسطے آونڑاں
visual	نظر آونڑ آلا
vital	حیاتی
vivid	شوخ
vocabulary	الفاظ دا ذخیرہ
voice	آواز
void	نکالنا
volume	والیوم
volunteer	رضاکار
vomit	اُلٹی
vomit	اُلٹی کرنڑاں
vulnerable	غیر محفوظ
wage	مزدوری
wages	اجرت
waist	کمر
wait	بھالا گھنو
waiter	بیرا
waiting	بھالا گھدی بیٹھے اوں
wake	جاگدے رہو
wake up	جاگو
walk	پیدل سیر
walk	پیدل سیر کرنڑاں
walking	پیدل سیر کرنڑاں
wall	دیوار
wallet	بٹوہ
wander	آوارہ گردی گرنڑاں
wanna	چاہت
want	چاہندے او
wanted	مطلوب
war	جنگل
wardrobe	الماری
warehouse	گودام
warm	تَتا
warm	تَتا کرنڑاں
warn	ہوشیار کرنڑاں
warning	پاونڑاں
warrior	سپاہی
was	ہا
wash	دھونونڑاں
waste	خرچ کرنڑاں
waste	بربادی
watch	گھڑی
water	پانڑیں
watermelon	تربوز
wave	لہر
way	راہ
we	اساں
we are	اساں ہوں
we can	اساں کر سکدے ہاں
weak	کمزور
weakness	کمزوری
wealth	دولت
wealthy	امیر
wear	پاوو
wearing	پاونڑاں
weather	موسم
wedding	شادی
Wednesday	بدھ
weed	گھاہ
week	کمزور
weekend	ہفتے دا آخر
weight	وزن
weight	وزن کرنڑاں
weird	جادو
welcome	ست بسم اللہ
welfare	خوشحالی
Well	ول
well done	بہوں چنگا
went	وینجو
were	تھے
west	مغرب
wet	س
whale	وہیل
what	کیا
what about you	آپنڑیں بارے وچ ڈسو
what are you doing	تساں کیا کریندے پئے او
what are you doing now	تساں ہونڑے کیا کریندے پئے او
what are you doing right now	تساں ایں ویلے کیا کریندے پیوے
what do you do	تساں کیا کریندے ہو
what do you do for a living	تساں گزارا کرنڑ واسطے کیا کریندے او
what do you mean	تہاڈا کیا مطلب ہے
what do you want	تساں کیا چاہندے ہو
what happened	کیا تھیا اے
what is	کیا ہے
what is this	ایہہ کیا ہے
what is your job	تساں کیا کم کریندے ہو
what is your name	تہاڈا ناں کیا ہے
what's up	کیا تھیندا پیا ہے
what's your name	تہاڈے ناں کیا ہے
whatever	کجھ وی
wheat	کنڑک
wheel	چرخی
when	کڈنڑ
whenever	جڈھنڑ کڈھئیں
where	کتھاں
where are you	تساں کتھاں او
where are you from	تساں کتھو دے او
where are you now	ہن تسی کتھے او
where do you live	تساں کتھاں رہندے ہو
where is	کتھاں ہے
whereas	ایندے باوجود
whether	موسم
which	کیہڑا
while	دوران
whisper	کَن وچ الاونڑاں
whistle	سیٹی
white	چِٹا
who	کون
who are you	تساں کوں ہو
who is	کون ہے
who is this	اتھاں کوں ہے
whole	ثابت
whom	کئیں کوں
whose	کیس دا
why	کیوں
why not	کیوں کائینا
wicked	ماڑا
wide	چوڑائی
widow	باری
width	چوڑا
wife	زال
wild	جنگلی
will	چاہنڑاں
will	مرضی
willing	رضامند
win	جیت
wind	ہوا
window	باری
windy	جتھاں تیز ہوا چلدی پئی ہووے
wine	شراب
winter	سردی
wipe	پوچڑاں
wire	تار
wisdom	عقل
wise	عقلمند
wish	خواہش
wish	خواہش کرنڑاں
wish you all the best	تہاڈے واسطے نیک تمناواں
witch	چڑیل
with	نال
withdraw	واپس گھنڑاں
withdrawal	واپس گھنڑاں
within	دے وچ
without	دے بغیر
witness	شہادت
witness	شہادت ڈیونڑاں
witty	لائق
wolf	لومبڑی
woman	زال
women	عورت
won	جیتیا
won't	نہیں
wonder	معجزہ
wonderful	حیران کرنڑ آلا
wood	لکڑ
wool	اون
word	لفظ
words	الفاظ
work	کم
work	کم کرنڑاں
work out	ورزش
working	کم کرنڑاں
world	دنیا
worm	تتا
worn	پُرانڑاں
worried	پریشان
worry	پریشان
worse	زیادہ خراب
worship	عبادت
worst	برا
worth	مستحق
worth it	ایندے قابل
worthy	حقدار
would	آرزو کرنڑاں
wound	زخم
Wow	واہ
wrap	ولھیٹا
wrath	غصہ
wrist	کلائی
write	لکھو
Write here	اِتھاں لکھو
writing	لکھائی
written	لکھیا ہویا
wrong	غلط
wrote	لکھیا
yard	گز
yawn	اونگھ
yawn	اونگھڑاں
Yeah	ہا
year	سال
years	سال
yeast	خمیر
yell	چیخڑاں
yellow	پیلا
Yes	ہا
yes baby	ہا میری جان
yes dear	ہا پیارے
yes honey	ہا مٹھی
yes my love	میڈے پیار ہاں
yes of course	ہاں بالکل
yesterday	گزریا ہویا کل
yet	ہونڑ تائیں
yield	اجازت ڈیونڑاں
you	تساں
you are	تساں ہو
you are beautiful	تساں خوبصورت ہو
you are so beautiful	تساں بہوں سوہنڑے ہو
you are welcome	تہاکوں ست بسم اللہ
you can	تساں کر سکدے او
You know	تواکوں پتہ ہے
you too	تساں کوں وی
you're welcome	تہانوں سو بسم اللہ
young	جوان
your	تساں دا
your welcome	تساں کوں ست بسم اللہ
yourself	تساں خود
youth	نوجوان
you’re welcome	تہانوں ست بسمہ اللہ
yummy	مزیدار
zero	صفر
