a	Jun
understood	ma chi kane
unfortunately	i´l
uniform	junelni
unique	junx
unit	tnej
university	jaxnaq'tzb'il
unknown	jun xjal ojtzqilte
unless	me qa n-ti´
until	to´jtx'io´jtx'I
unusual	myaxex normal
up	jawl
up to you	aya q´malte
update	q-resultado
upgrade	kuchil
upon	talsyap
upon	twi´
upon	yut´anmi
upset	q´oj
urban	toj t-nam
urge	ilx ti´j
urgent	noj q'elin
us	aqoye
use	oksil
used	ajb´en
useful	ajb´elil
useless	ti tajb´en
usual	naqʼli qe
usually	junjen maj
utility	ajb'eb'il
utility	ajb'alan
vacation	ojlab´il
vaccination	toch´il
vaccine	tx'ik
vaccine	tuch'
vacuum	xi toj
vague	myaxex twutx
valid	twutx
valley	semil tx'otx'
valuable	car wen
value	jte twi'
variety	chukchaq
variety	b´a´mpun
various	chukchaq
various	b´a´mpun
vary	junxichaq
vase	teb´l b´ech
vast	vasto
vegetable	k´ayil itzaj
vegetables	itzaj
vehicle	kxb´il te yekelqu
vendor	xi tq'o'n
venom	q'anb'il
venture	emrpes
venue	tzalajsb'il
verify	k'ayilte
versatile	nim nokn
version	nim
vertical	nukʼun tten
very	juntijxex
very good	b'an
vessel	bark
via	toj
vibe	q-vibra
vibes	t-lipel
vicious	aju otoq chin naqʼete tiʼj
victim	ok bʼinchan nya bʼaʼn tiʼj
view	k´ayb´il
village	q-aldea
villain	nach
vinegar	tx'am
vintage	ojtxax
violence	q´oj
violent	bʼaʼn qʼojin
virgin	txin
virtue	qʼaqʼbʼil tkʼuʼj
vision	ka'yb'i
visit	u'la
visual	k'ayb'il
vital	vital te qe
vivid	chwiqlal
vocabulary	q-yol
voice	twi´
void	amil
void	miti´toj
volume	tal
volunteer	aq'anal toj oyaj
vomit	xab´il
vulnerable	cheb´e
wage	twi' k'u'j
wages	tw´tk´uj
waist	k´itzb´aj
wait	yolte
wait	yol
waiter	majin
waiter	majan
waiting	yol
wake	ma ja k'ij
wake up	k´asil
wake up	k´isil
wake up	k´asul
walk	b étil
walking	b´etil
wall	twitx ja
wall	tapa
wall	loq'n
wallet	tkjub´il pwaq
wallet	b´o´t
wander	q´il
wanna	wajb´ile
want	ajb´il
wanted	jyojtz´
war	q´oj
wardrobe	k'ub'il b'ush
warehouse	deposito
warm	kyaq
warn	q'mal
warning	qman t-pakb'al
warrior	ajq'oj
was	ma tz´ok´
wash	tx´ajil
wash	tx´ajol
wash	txjol
waste	ik´il
watch	kayil
water	a´
watermelon	kyaq´oq´
wave	tma´lal a´
way	tza´an
way	tten
we	Aqoye
we	aqo
we are	aq´oye
we can	b'antil
weak	nya kuj
weak	xb´unin
weak	numj
weakness	nti' tipan
wealth	q'inamab'il
wealth	q'inimil
wealthy	b´an
wear	oksil
wear	ajb´en
wearing	ma ajb'enxi
weather	na´ltx´otx´
wedding	mujeb´ilin
Wednesday	ixq'ij
weed	itzaj
week	q'ij
week	wuqb'il
week	taqajan
weekend	te fin de semana
weight	al
weird	alkayela
welcome	bánkulene´
welfare	b'a'nxix
Well	b´antzun
well done	b´a´n xb´incheta
went	ma tzok´
were	ma ten
were	ten
west	toj oeste
wet	xb´u´l
whale	wo´kyix
what	tiju
what about you	ti xb'aj teya
what are you doing	Ti bajteya
what are you doing now	ti b´ajteya jalin
what are you doing right now	ti báj teya jalin
what do you do	ti baj teya
what do you do for a living	s'en nanq'iniya'
what do you mean	ti tmana
what do you want	ti tajb´ila
what happened	ti xb´aj
what is	ti tzun la
what is this	ti ju lu
what is this	ti la
what is your job	te qe naq'unaniya
what is your name	ti tb´iya
what is your name	tqal tb´iya
what's up	ti xb'aj
what's your name	ti tb´iya
whatever	tixku
wheat	a-trigo
wheel	syutb'il
when	jtojtzin
when	jtoj
whenever	jtoxk´u
where	ja´
where	ja
where	jatumuil
where are you	ja taya
where are you from	Te jayila´
where are you now	ja taya jalin
where do you live	ja taya tjaya
where is	ja
where is	jatumel tzun
whereas	tzenku
whether	oky
which	el qe
while	tze´n
whisper	yolil chab´a
whistle	xub´il
white	saq´
who	el qeju
who are you	alkeya
who is	el qe
who is this	el ke
whole	junka
whole	chwinqxix
whom	alqe
whose	tuntzen
why	taquntzun
why not	ta q´un lay
wicked	nya bʼaʼn xjal
wide	nim twitz
wide	matij twitz
widow	meb´a xinaq
width	ja n-qo okx b´aje
wife	xu'jilb'aj
wife	xu'jlal
wild	nti´ t-nab´
will	tqeq´il tkuja
willing	taj
win	kanb´al
win	kanb´il
wind	kyq'iq'
window	spiky'b'il
window	toky'
wine	su'lq'e'n
winter	jb'alil
wipe	qopsil
wire	taq'il
wisdom	b´isel
wise	b´isel
wish	ajb´il
wish you all the best	b´an teya
witch	ajitz
with	tukil
withdraw	q'imila
within	toj
without	xtix
witness	kayel
witty	xhtij
wolf	xoj
woman	qya
women	qya
won	kamb'il
won't	lay txi'
wonder	xjelil
wonderful	ponex
wood	tze´
wool	tsmal rit
word	yol
words	yol
work	aq´anal
work out	b'inchal
working	aquí
world	twitztx´otx´
world	twitz q´ijlal
world	q´ijlalil
worm	no'x
worm	xton
worn	ma ajb'en
worried	melj
worry	melj
worse	a mya b´a´n
worship	nimbʼel
worst	mya wen
worth	t-chojb´etz
worth it	q'uqil tk'uj
worthy	nim toklen
would	okle
wound	k´ixb´in
wound	ky´ixbí
Wow	Ooo
wrap	pajtz´ulte
wrath	txu'j
wrist	ti q´ob´aj
write	tzib´il
Write here	tzib´inkuya tzala
writing	tz'ib'b'en
written	tz´ib´in
wrong	ma chin qe tzaqje
wrote	ma ku tz´ib´in
yard	pen
yawn	k´ab´il
Yeah	oky
Yeah	o´na
Yeah	qa
year	ab´q´i
years	ab´q´i
yeast	yek'tz'ib'b'il
yell	sch´in
yell	sch´il
yell	woyil
yellow	xq´an
yellow	up
yellow	q´an
Yes	oki
yes baby	oky nex
yes dear	ikja txin
yes honey	iktzen
yes my love	iktzen
yes of course	b'a'n
yesterday	ewi
yet	namx
yield	tmal twitz
you	Aya
you are	aya
you are beautiful	ponix te
you are so beautiful	tb'anej te
you are welcome	mixti´x
you are welcome	nti´x
you can	k-b´entil
You know	b'il
you too	ex teya
you're welcome	mix tix
young	kuxin
your	teya
your welcome	mixti
your welcome	xite
yourself	axa
youth	k´uxin
you’re welcome	xite
yummy	k'ok'j
zero	kow
