a	kou'n
tremendous	dan kpa
trend	iwafa n'ga fa yo
trial	suen iyolɛ
trick	n'gwlɛlɛ
tried	bo i bo kun eku'n
trigger	n'ga tikeli
trim	kpon'gbo
trim	assieti
trip	lika kɔlɛ
trouble	san'gan
trousers	pantanon
truck	loto dan
TRUE	nanwlɛ
TRUE	saakpa
trunk	caissi
trust	laffisu
truth	nanwlɛ
try	yo ekun
try	bo i bo ekun
Tsonga	Tsonga
tube	buteli
Tuesday	jɔlɛ
tuition	suklu sika
turkey	dindon
turmeric	assiɛ bo sa ɔkwlɛ
turn	kpɛwu'n
turtle	akuatika
tutor	tran fuɛ
twelve	blu ni n'ɲon
twenty	ablã
twenty-one	ablã ni kun
Twi	Twi
twice	kpe n'
twist	kpɛ i hun
twist	ihun kpɛlɛ
two	n'gnon
type	i wafa
typical	i bɔ
ugly	kanyi
ultimate	idan su
ultimate	i n'gba
umbrella	kata via
unable	n'ga kwla yo man
uncle	tonton
uncle	baba ni manmi be niãn bian
unconscious	like n'ga be wun'man nu
under	ibo
underneath	i bo
underrated	faman su
understand	a'ti
understood	tili
unfortunately	ayoman kpa
uniform	trãlɛ kun'gba
unique	kun'gba
unit	kun'gba
university	univɛrsitɛ
unknown	n'ga be siman
unless	kɛ
until	leeni
unusual	n'ga ti ya titi like
up	n'glo
up to you	fa kun
update	yo i uflɛ
upgrade	wuka su
upon	efi'nlɛ
upset	sanganli
urban	klɔ dan
urge	yo nin n'dɛ
urgent	n'ga ti tʃin'tʃin
us	ye
use	fa yo
used	fa yo
useful	be tɛ fa
useful	eti kpa
useless	elɛman yowlɛ
usual	titi
usually	tchin kula
utility	be fa yo like
vacation	kɛ be yaki e nun
vaccination	are wɔ lɛ
vaccination	pikuri
vaccine	are wɔlɛ
vaccine	pikuri
vacuum	like fin
vague	vɛɛ kan
valid	be tɛ di su
valid	ti juejue
valley	assiɛ
valuable	n'ga ti su
value	i gua
variety	iwafa wafa
various	kaka
vary	kaki
vase	sɛ
vast	dan
vegetable	tro nin'gue mu
vegetables	tro n'ma
vehicle	loto
vendor	nin'gue atɛ yo fuɛ
venom	wo kalɛ
venture	yo i sa
venture	societe
venue	ibalɛ
verify	nian i kpa
versatile	n'ga be kula fa yo like n'gba
version	iwafa
vertical	ja nu ba n'gua
very	beblebe
very good	kpakpa
vessel	m'meli
via	eni
via	i afi'in
vibe	ussuwlɛ
vibes	i n'ga ewɔ su
vicious	kunu vi
victim	sran n'ga be yo i like
video	video
view	i nian'wlɛ
village	klɔ
villain	kanhi
vinegar	vinɛgri
vintage	mon'lin
violence	sa gblugblu
violent	bglu bglu
viral	n'ga be kwla fa man sran
viral	n'ga kwla tra sran
virgin	be nan kin min de
virgin	enan kundɛ man bla anzɛ bian de
virtual	n'ga ti ya nanwlɛ
virtue	n'ga ti issu
vision	n'ga a wun i
visit	nian sran lika
visual	n'ga be wun'i
vital	kpa
vivid	n'ga ti koklo
vocabulary	fluwa nu n'dɛ n'ma
voice	nin'h
void	like fi
volume	issu ukalɛ
volunteer	be n'ga be won be yo
vomit	fi
vulnerable	tiã ibassu
wage	akatua
wages	akatua
waist	ceinturi
wait	midɛ
waiter	sran n'ga su nigue
waiting	midɛ
wake	jasso
wake up	tin'gue
walk	nanti
walking	nanti
wall	sua bue
wall	muri
wallet	sika siewlɛ
wander	wlan
wanna	mi yin
want	kula kɛ
wanted	kun'dɛ
war	alɛ
wardrobe	lika n'ga be sie tralɛ mu
warehouse	lika n'ga be sie nin'gue mu
warm	do
warn	man
warning	afɔtuɛ
warrior	alε sran
warrior	so'ndja
was	eti
wash	wun'zi
waste	saki
watch	nian
water	n'zue
watermelon	domi dan dan
watermelon	lomi dan dan
wave	n'zue n'ga keje dan
way	iwafa
we	ye
we are	ye ti
we can	ye kwla
weak	fɛtɛ fɛtɛ
weakness	e timan kekle
wealth	sika
wealth	wlogbi
wealthy	wlogbi
wear	wula
wearing	wla
weather	lika
wedding	aja fɛtri
Wednesday	mlan ʃin
weed	ijre tɛ
week	le mɔkuɛ
weekend	gua kun i viewlɛ
weight	i non'ni
weird	etiɛɛssu
welcome	amun mo nin balɛ
welfare	kɛ a ti juejue
Well	eti su
well done	ayo i kpa
went	bali
were	beti
west	i bue kpa
wet	dua
whale	je n'zue inu jue dan
what	n'zu
what about you	yɛ wɔli
what are you doing	assu yo n'zu
what are you doing now	n'zu yɛ assu yo dɔ n'ga su
what are you doing right now	n'zu yɛ assu yo itʃra nion
what do you do	n'zu yɛ assu yo
what do you do for a living	n'zu yɛ ayo nan wafa di like o
what do you mean	awin n'zɛ
what do you want	akundɛ  n'zu
what happened	n'zu yɛ yoliɔ
what is	n'zu ɛ
what is this	n'zuɛ lɛ n'ga
what is your job	juman beni yɛ a di ɔ
what is your name	ɔ dun'man
what is your name	be flɛwɔ sɛ
what's up	n'zuɔ
what's your name	ɔ duman
whatever	i n'gba
wheat	avie
wheel	loto pine
when	tchin n'ga
whenever	kɛ
where	lika
where are you	awo ni
where are you from	a fi'n min beni nu
where are you now	awo ni issien
where do you live	a tran ni
where is	e wo ni
whereas	cɛ ye nian su
whether	cɛ
which	beni
while	issɔ nu
whisper	yijɔ be komian bo
whistle	bo feiman
white	ufue
who	wan
who are you	wan yɛlɛ ɔ
who is	wan yɛ
who is this	wan yɛ lɛ n'ga
whole	i n'gba
whole	i wumuan
whom	be n'ga
whose	be n'ga
why	n'zu tiɔ
why not	e kwla yo sɔ
wicked	kunnu vi
wide	trɛ wa
wide	tchinli
widow	an'gboti bla
width	trɛ wa
wife	yi
wife	bla
wild	blo like
will	ewa
willing	n'kula
win	gnin i
wind	awumuan
window	fenɛtri
windy	awun'muan like
wine	di vin
winter	lika jɔwa
wipe	nunu
wire	ɲanman
wisdom	ngwlɛlɛ
wise	akun'nda sifuɛ
wish	n'ga e kun'dɛ
wish you all the best	min nianmien wuka wɔ
wish you all the best	min'yo kpa man wɔ
witch	bayefuɛ
with	eni
withdraw	ʃuen
withdrawal	i fa lɛ
withdrawal	i yi lɛ
within	inu
without	n'ga numan'nu
witness	trin i bo
witness	nian nu
witty	akun'nda kaka
witty	wawe kaka
wolf	blo alua
woman	bla
women	bla
won	ɲin i
won't	yo man
wonder	wussa wɔ wu'n
wonderful	klanhan dan
wood	waka
wool	n'nin wu n'drɛ
word	jolɛ
words	n'dɛ ba mu
work	djuman
work out	yo
working	di juman
world	minh
worm	srɛ kan
worn	srɛ kun
worried	nan srɛ ku'n ɔ
worry	srɛ
worse	i tɛ
worship	nianmien srɛlɛ
worst	tɛtɛ
worth	like kpa
worth it	e ti kpa
worthy	sran n'ga e lafi iwun su
would	n'ga yoli
wound	like ya ya
Wow	Wow
wrap	kata i wun
wrath	aya
wrist	sa
write	klɛ
Write here	klɛ wafan
writing	klɛlɛ
written	n'ga ti klɛwa
wrong	tɛ
wrote	klɛ
yard	awlo kunu
yawn	yalo
yawn	yalo lɛ
Yeah	ɛɛ
year	afuɛ
years	afuɛ mu
yeast	farini duawa
yell	pkan
yellow	kɛ via
Yes	ɛɛ
yes baby	ɛhɛ mi yi
yes baby	ɛhɛ mi wa
yes baby	ɛhɛ mi wun
yes dear	ɛ mi sran kpa
yes honey	ɛɛ mi wun
yes honey	ɛɛ mi yi
yes my love	ɛɛ mi yi
yes my love	ɛɛ mi bian
yes of course	ɛɛ e ti su
yesterday	annun'man
yet	sanguɛ
yield	i sɔ ti’n
you	wɔ
you	abɔbɔ
you are	a ti
you are beautiful	a ti klanman et
you are so beautiful	ati klan'man
you are welcome	mo ni balɛ
you can	a kula
You know	A si
you too	ɔkussu
you're welcome	mo ni balɛ
young	gban'flin
your	ame
your welcome	mo ni balɛ
yourself	ɔbɔbɔ
youth	gbanflin mu
you’re welcome	mo ni balε
yummy	fɛ
zero	like fi
