abandon	dhiisuu
what are you doing	maal hojjechaa jirta
what are you doing now	amma maal hojjechaa jirta
what are you doing right now	amma maal hojjechaa jirta
what do you do	ati maal hojjetta
what do you do for a living	maal hojjettee of jiraachista
what do you mean	maal jechuu barbaadde
what do you want	maal barbaadda
whatever	waan fedhe
what happened	waan ta'e
what is	maali
what is this	kun maali
what is your job	hojiin kee maali
what is your name	maqaan kee eenyu
what	maal
what's up	akkam jirta
what's your name	maqaan kee eenyu
wheat	qamadii
wheel	goommaa
whenever	yerooma
when	yoom
where are you	eessa jirta
where are you from	eessaa dhufte
where are you now	amma eessa jirta
whereas	ammoo
where do you live	ati eessa jiraatta
where	eessa
where is	eessa jira
whether	-moo
which	kam
while	gaafa
whisper	asaasuu
whistle	fooricuu
white	adii
who are you	ati eenyu
who	eenyu
who is	eenyu ...dha
who is this	kun eenyu
whole	guutummaa
whom	eenyu
whose	kan
why	maalif
why not	maaliif hinta'u
wicked	badaa
wide	bal'aa
widow	kan abbaan warraa irraa du'e
width	bal'ina
wife	haadha warraa
wild	kan daggalaa
willing	hayyamamaa ta'uu
wind	bubbee
window	foddaa
windy	qilleensa'aa
wine	daadhii wayinii
win	mo'uu
winter	bona
wipe	haxaa'uu
wire	shiboo
wisdom	ogummaa
wise	ogeessa
wish	hawwii
wish you all the best	gaarii hundan siif hawwa
witch	xibaaraa
withdrawal	gidduutti dhaabuu
withdraw	gidduutti dhaabuu
within	wajjin
without	...ala
with	waliin
witness	dhuga baatuu
witty	abshaala
wolf	yeeyyii
woman	dubartii
women	dubartoota
wonderful	ajaa'iba
wonder	nama dinquu
won	mo'e
won't	hin ...-u
wood	muka
wool	rifeensa irraa kan hojjetame
word	jecha
words	jechoota
work	hojii
working	hojjechuu
work out	gadi-fageenyaan karoorsuu
world	addunyaa
worm	raammoo
worn	uffate
worried	yaadda'e
worry	yaaddoo
worse	badduu ba'aa
worship	waaqeffannaa
worst	baddu baasa
worth	gatii
worth it	ni baasa
worthy	kan maluuf
wound	madaa
Wow	ajaa'iba
wrap	itti maruu
wrath	dheekkamsa guddaa
wrist	harka
write	barreessuu
Write here	Asitti barreessi
writing	barreessuu
written	barreeffama
wrong	dogoggora
wrote	barreesse
yard	mooraa keessa
yawn	amuummachuu
Yeah	Eeyyee
years	waggoota
year	waggaa
yeast	raacitii
yell	iyyuu
yellow	keelloo
yes baby	eeyyee lubbuu
yes dear	eeyyee jaallee
Yes	Eeyyee
yes honey	eeyyee dammee
yes my love	eeyyee jaalallee  koo
yes of course	eeyyee kaa
yesterday	kaleessa
yet	ammallee
yield	firii
you are	ati ...dha
you are beautiful	ati bareedduudha
you are so beautiful	ati baay'eema bareedda
you are welcome	homaa miti
you	ati
you can	ni dandeessa
You know	Ati beekta
young	dargaggeessa
you're welcome	homaa miti
you’re welcome	homaa miti
your	kan kee
yourself	atumti
your welcome	homaa miti
youth	dargaggoo
you too	ati illee
yummy	mi'aawaa
zero	zeeroo
