a	ا
will	اكن
will	سوڠڬوه
willing	سڠڬوڤ
win	منڠ
wind	اڠين
window	تيڠكڤ
windy	بيرڠين
wine	واين
winter	موسيم سجوق
wipe	لڤ
wire	واير
wisdom	كبيجقسنأن
wise	بيجقسان
wish	هارڤ
wish you all the best	دعاكن يڠ ترباءيق
witch	اهلي سيحير
with	برسام
with	دڠن
withdraw	ڤڠلوارن
withdrawal	مڠلواركن
within	دالم
without	تنڤا
witness	سقسي
witty	چرديق
wolf	سريڬالا
woman	ڤرمڤوان
women	وانيتا
won	منڠ
won't	تيدق اكن
wonder	حيران
wonder	كعجاءيبن
wonder	ترتاڽ تاڽ
wonderful	مڠاڬومكن
wood	كايو
wool	بولو
word	ڤركاتان
words	ڤركاتان
work	كرجا
work out	برسنم
working	بكرجا
world	دنيا
worm	چاچيڠ
worn	دڤاكاي
worried	ريساو
worry	ريساو
worse	تروق
worship	سمبه
worst	ڤاليڠ تروق
worth	نيلاي
worth it	بربالوا
worthy	لايق
would	اكن
would	بوليه
wound	لوك
Wow	و
wrap	بالوت
wrath	مورك
wrist	لڠن
write	توليس
Write here	توليس د سيني
writing	منوليس
written	برتوليس
wrong	ساله
wrote	منوليس
yard	هلامن رومه
yawn	مڠواڤ
Yeah	يا
year	تاهون
years	تاهون
yeast	ييس
yell	جريت
yellow	كونيڠ
Yes	يا
yes baby	يا سايڠ
yes dear	يا سايڠ
yes honey	يا سايڠ
yes my love	يا سايڠكو
yes of course	يا سوده تنتو
yesterday	سمالم
yet	نامون
yield	مڠاله
you	اوق
you are	اوق اداله
you are beautiful	اوق چنتيق
you are so beautiful	اوق ساڠت چنتيق
you are welcome	سام٢
you can	اوق بوليه
You know	كامو تاهو
you too	اوق جوڬ
you're welcome	سام٢
young	مودا
your	اوق
your welcome	سام٢
yourself	ديري سنديري
youth	مودا
you’re welcome	سام٢
yummy	سداڤ
zero	سيفر
