assaat aalaneri	gesture
qaqutigoortoq	usual
tamaakkajuppoq	usually
iluaqutaasoq	utility
kisitsisinut uuttuut	counter
sulinngiffeqarneq	vacation
silaannaqanngitsoq	vacuum
nangaasoq	vague
atuuppoq	valid
qooroq	valley
nalitooq	valuable
nalinga	value
aalakkaasoq	variety
assigiinngitsut	various
nikerartut	vary
naasulivik	vase
annertuut	vast
naatitat	vegetable
naatitat	vegetables
angallat	vehicle
tuniniaasartoq	vendor
katisimavoq	venom
naapittarfik	venue
uppernarsaaneq	verify
tamatigoortoq	versatile
versioni	version
napparissoq	vertical
assut	very
Atorrassuaq	very good
pooq	vessel
-kkut	via
misigisimaneq	vibe
ajorniaannartoq	vicious
pilliut	victim
video	video
takussutissaq	view
nunaqarfik	village
ajortoq	villain
eddikke	vinegar
pilersitaaffik	vintage
nukersorneq	violence
nakuuserneq	violent
assilialiaq	viral
ilaqarnikuunngitsoq	virgin
piumassuseq	virtual
ajunngissuseq	virtue
takorluugaq	vision
pulaartoq	visit
takussaasoq	visual
uummaarissoq	vital
uumasoq	vivid
nipi	voice
atorsinnaanngilaq	void
nipitussuseq	volume
meriarneq	vomit
sunnertiasoq	vulnerable
akissarsiat	wage
aningaasarsiat	wages
qiti	waist
utaqqilaarit	wait
saqisoq	waiter
utaqqineq	waiting
eqqumavoq	wake
iterit	wake up
pisuppoq	walk
pisunneq	walking
iigaq	wall
aningaasivik	wallet
pisuttuarneq	wander
perusuppaa	want
piumaneqartoq	wanted
sorsunneq	war
atisaajartarfik	wardrobe
toqqorsivik	warehouse
kissarpoq	warm
aarlerisaarpaa	warn
mianersoqqussut	warning
sorsuttartoq	warrior
errorfik	wash
sinnikut	waste
isiginnaarpoq	watch
Imeq	water
vandmeloni	watermelon
mallit	wave
aqqut	way
uagut	we
sanngiitsoq	weak
sanngiissuseq	weakness
pisuussutit	wealth
pisooq	wealthy
atorpai	wear
uagut	we are
atorpaa	wearing
sila	weather
-liorsinnaavugut	we can
katittorsiorneq	wedding
Pingasunngorneq	Wednesday
ikiaroornartoq	weed
oqimaassuseq	weight
eqqumiitsoq	weird
tikilluarit	welcome
atugarissaarneq	welfare
Ajunngilaq	Well
torrak	well done
ingerlavoq	went
simavoq	were
kitaa	west
masattoq	wet
arfeq	whale
suna	what
illimmi	what about you
sulerivit	what are you doing
imminiik	whatever
susoqarami	what happened
sunaava	what is
suit	what's up
qaqorteqqasut	wheat
assakaasoq	wheel
qanga	when
qaquguluunniit	whenever
sumi	where
sumiippit	where are you
suminngaanneerpit	where are you from
akerlinanilli	whereas
sumiippa	where is
imaattoq	which
utaqqiisaa	while
isussuppoq	whisper
siggartaat	whistle
qaqortoq	white
kina	who
kinaavit	who are you
kinaava	who is
tamaat	whole
sooq	why
sooq	why not
ajortoq	wicked
siammasissoq	wide
uillarneq	widow
takissusaa	width
nuliaq	wife
nujuartaq	wild
piumavoq	willing
ajungaaneq	win
anori	wind
igalaaq	window
anorlerpoq	windy
viinni	wine
ukioq	winter
panersiineq	wipe
ataneq	wire
ilisimassuseq	wisdom
ilisimatooq	wise
kissaat	wish
arnaqquassaaq	witch
ilaatillugu	with
tingusineq	withdraw
tingusineq	withdrawal
akornani	within
ilanngunnagu	without
uppernarsaasoq	witness
quianartoq	witty
amaroq	wolf
arnaq	woman
arnat	women
ajugaavoq	won
eqqarsaatigaa	wonder
nuanneq	wonderful
taamaaliorusunngilaq	won't
qisuk	wood
oqaaseq	word
oqaatsit	words
suliaq	work
sulineq	working
timersorneq	work out
nunarsuaq	world
quperloq	worm
pisoqalisimasoq	worn
annilaagavoq	worried
isumaalunneq	worry
ajorneq	worse
piareersarpaa	worship
ajornerpaaq	worst
nalinga	worth
iluaqutaavoq	worth it
ataqqinarpaluttoq	worthy
iki	wound
kusanaq	Wow
poortornera	wrap
kamak	wrath
paffeq	wrist
allappoq	write
allanneq	writing
allaqqavoq	written
kukkusoq	wrong
allappaa	wrote
naatsiivik	yard
aatsaarpoq	yawn
Yeah	Yeah
ukioq	year
Ikiut	years
qapuaqqat	yeast
nilliavoq	yell
sungaartoq	yellow
Aap	Yes
ippassaq	yesterday
suli	yet
iluanaarutit	yield
illit	you
illit	you are
pinnerputit	you are beautiful
Apinnersuaarputit	you are so beautiful
illillu	you are welcome
taamaaliorsinnavutit	you can
nalunngilat	You know
inuusuttoq	young
illillu	you're welcome
Illillu	you’re welcome
illillu	your welcome
inuusunneq	youth
mamaq	yummy
anul	zero
