abandoned	ꯊꯥꯗꯣꯛꯄ
gender	ꯖꯦꯟꯗꯔ
generally	ꯑꯌꯥꯝꯕ ꯃꯇꯝꯗ
general	ꯃꯌꯥꯝꯒꯤ ꯑꯣꯏꯕ
generate	ꯄꯨꯊꯣꯛꯄ
generation	ꯆꯥꯔꯣꯟ ꯁꯨꯔꯣꯟ
generous	ꯄꯨꯛꯆꯦꯜ ꯆꯥꯎꯕ
genius	ꯊꯣꯏꯗꯣꯛ ꯍꯦꯟꯗꯣꯛꯅ ꯍꯩ ꯁꯤꯡꯕ
genre	ꯀꯥꯡꯂꯨꯞ
gentle	ꯂꯦꯝꯕ
genuine	ꯑꯁꯦꯡꯕ
gesture	ꯏꯪꯒꯤꯠ
get dressed	ꯅꯐꯤ ꯁꯦꯠꯆꯤꯜꯂꯣ
getting	ꯐꯪꯂꯤ
get up	ꯍꯧꯒꯡꯂꯣ
get well soon	ꯌꯥꯝꯅ ꯊꯨꯅ ꯅꯥꯕ ꯐꯕ ꯑꯣꯏꯔꯣ
get	ꯐꯪꯕ
ghosting	ꯇꯤ ꯚꯤꯗꯥ ꯚꯨꯠ ꯃꯥꯟꯕ ꯃꯃꯤ ꯇꯥꯕ
ghost	ꯚꯨꯠ
giant	ꯍꯤꯡꯆꯥꯕ
gift	ꯈꯨꯗꯣꯜ
ginger	ꯁꯤꯡ
girlfriend	ꯅꯨꯡꯁꯤꯅꯕ ꯅꯨꯄꯤ
girl	ꯅꯨꯄꯤꯃꯆꯥ
given	ꯄꯤꯈ꯭ꯔꯕ
give up	ꯇꯣꯛꯄ
give	ꯄꯤꯕ
glad	ꯄꯦꯟꯕ
glance	ꯃꯤꯠꯌꯦꯡ ꯌꯦꯡꯕ
glasses	ꯃꯤꯡꯁꯦꯜ
glass	ꯃꯤꯡꯁꯦꯜ
glimpse	ꯁꯛꯇꯝ ꯑꯃ ꯎꯕ
global	ꯃꯥꯂꯦꯝ ꯄꯨꯝꯕꯒꯤ
gloomy	ꯃꯥꯏꯊꯣꯡ ꯃꯛꯁꯤꯟꯕ
gloves	ꯈꯨꯠ ꯃꯣꯖꯥ
glow up	ꯅꯨꯡꯉꯥꯏꯊꯣꯛꯎꯅꯦ
glow	ꯉꯥꯟꯕ
glue	ꯒꯣꯝ
go ahead	ꯃꯈꯥ ꯆꯠꯊꯔꯦ
goals	ꯄꯥꯟꯗꯝꯁꯤꯡ
goal	ꯄꯥꯟꯗꯝ
goat	ꯍꯥꯃꯦꯡ
go away	ꯆꯠꯈ꯭ꯔꯣ
god bless you	ꯃꯄꯨꯅ ꯆꯥꯟꯕꯤꯕ ꯑꯣꯏꯁꯅꯨ
god	ꯂꯥꯏ
goes	ꯆꯠꯂꯤ
going	ꯆꯠꯂꯤ
gold	ꯁꯅꯥ
gone	ꯆꯠꯈ꯭ꯔꯦ
good afternoon	ꯈꯨꯔꯨꯝꯖꯔꯤ
good bye	ꯀꯥꯏꯅꯔꯁꯤ
goodbye	ꯀꯥꯏꯅꯔꯁꯤ
good day	ꯌꯥꯏꯐꯔꯕ ꯅꯨꯃꯤꯠ
good evening	ꯈꯨꯔꯨꯝꯖꯔ
good job	ꯊꯕꯛ ꯌꯥꯝꯅ ꯐꯩ
good looking	ꯃꯁꯛ ꯐꯖꯩ
good luck	ꯀꯥꯏꯕꯛ ꯐꯕ ꯑꯣꯏꯌꯨ
good morning	ꯈꯨꯔꯨꯝꯖꯔꯤ
good night	ꯒꯨꯗ ꯅꯥꯏꯠ
goods	ꯄꯣꯠꯊꯣꯛꯁꯤꯡ
good	ꯑꯐꯕ
Google Translate	ꯒꯨꯒꯜ ꯇ꯭ꯔꯥꯟꯁꯂꯦꯠ
Google	ꯒꯨꯒꯜ
goose	ꯀꯥꯡꯉꯥ
goo	ꯑꯅꯞꯄ ꯃꯍꯤ
gorgeous	ꯐꯖꯕ
gossip	ꯋꯥꯖꯥꯎ ꯉꯥꯡꯕ
got it	ꯈꯪꯂꯦ
go to bed	ꯇꯨꯝꯕ ꯆꯪꯉꯣ
got	ꯐꯪꯕ
government	ꯁꯔꯀꯥꯔ
go	ꯆꯠꯂꯨ
grab	ꯄꯥꯏꯕ
grade	ꯊꯥꯛ
gradually	ꯇꯞꯅ ꯇꯞꯅ
graduate	ꯒ꯭ꯔꯦꯖꯨꯋꯦꯠ
grain	ꯍꯋꯥꯏ ꯆꯦꯡꯋꯥꯏ
granted	ꯑꯌꯥꯕ ꯄꯤꯔꯕ
grant	ꯄꯤꯕ
grapes	ꯑꯪꯒꯨꯔ
grasp	ꯂꯥꯝꯕ
grass	ꯅꯥꯄꯤ
grateful	ꯇꯧꯕꯤꯃꯜ ꯈꯪꯕ
gratitude	ꯇꯧꯕꯤꯃꯜ ꯈꯪꯕ ꯎꯌꯄ
grave	ꯃꯣꯡꯐꯝ
gray	ꯁꯃꯨ ꯝꯆꯨ
great	ꯌꯥꯝꯅꯥ ꯐꯔꯦ
greedy	ꯑꯍꯦꯟꯕ ꯄꯥꯝꯕ
greed	ꯀꯜꯂꯛ ꯃꯤꯍꯧꯕ
green	ꯑꯁꯪꯕ
greetings	ꯇꯔꯥꯝꯅ ꯑꯣꯛꯄꯒꯤ ꯋꯥꯔꯣꯜ
greeting	ꯏꯀꯥꯏ ꯈꯨꯝꯅꯅ ꯀꯧꯕ
greet	ꯅꯣꯂꯨꯛꯅ ꯀꯧꯕ
grey	ꯁꯃꯨ ꯝꯆꯨ
grid	ꯀꯥꯈꯜ
grief	ꯋꯥꯕ
grind	ꯇꯛꯄ
grip	ꯄꯥꯏꯁꯤꯅꯕ
grocery	ꯆꯦꯡ ꯍꯋꯥꯏ
groom	ꯕꯣꯔ
gross	ꯇꯨꯀꯠꯆꯕ
ground	ꯂꯩꯃꯥꯏ
group	ꯀꯥꯡꯂꯨꯞ
growth	ꯁꯥꯍꯧ ꯂꯩꯕ
grow	ꯆꯥꯎꯈꯠꯄ
grumpy	ꯏꯁꯧ ꯂꯥꯡꯕ
Guarani	ꯒꯨꯋꯥꯔꯥꯅꯤ
guarantee	ꯊꯥꯖꯕ ꯄꯤꯕ
guard	ꯉꯥꯛ ꯁꯦꯟꯕ ꯃꯤ
guess	ꯚꯥꯞꯅ ꯁꯥꯕ
guest	ꯃꯤꯊꯨꯡꯂꯦꯟ
guidance	ꯂꯝꯖꯤꯡ ꯂꯝꯇꯥꯛꯄ
guide	ꯂꯝꯖꯤꯡ ꯂꯝꯇꯥꯛꯄ
guilty	ꯃꯔꯥꯜ ꯂꯩꯕ
guys	ꯅꯨꯄꯥꯁꯤꯡ
guy	ꯟꯨꯄꯥ
gym	ꯁꯥꯖꯦꯜ ꯇꯧꯐꯝ
habitat	ꯂꯩꯐꯝ
habit	ꯍꯩꯅꯕꯤ
hail	ꯖꯦꯟ
hair	ꯁꯝ
half	ꯇꯪꯈꯥꯏ
hall	ꯑꯆꯧꯕ ꯑꯍꯥꯡꯕ ꯀꯥ
handle	ꯄꯥꯏꯐꯝ
handsome	ꯃꯁꯛ ꯃꯇꯧ ꯐꯖꯕ
hand	ꯈꯨꯠ
hang out	ꯀꯣꯏꯊꯣꯛꯄ
hang	ꯌꯥꯟꯕ
happened	ꯄꯥꯡꯊꯣꯛꯈ꯭ꯔꯕ
happen	ꯑꯣꯏꯊꯣꯛꯄ
happiness	ꯅꯨꯡꯉꯥꯏꯕꯒꯤ ꯆꯥꯡ
happy birthday to you	ꯑꯗꯣꯝꯒꯤ ꯃꯄꯣꯛ ꯅꯨꯃꯤꯠꯀꯤ ꯌꯥꯏꯐ ꯄꯥꯎꯖꯦꯜ ꯄꯤꯖꯔꯤ
happy birthday	ꯅꯨꯡꯉꯥꯏꯔꯕ ꯄꯣꯛꯄ ꯅꯨꯃꯤꯠ
happy new year	ꯑꯅꯧꯕ ꯆꯍꯤꯒꯤ ꯌꯥꯏꯐ ꯄꯥꯎꯖꯦꯜ ꯄꯤꯔꯤ
happy	ꯅꯨꯡꯉꯥꯏꯕ
hardly ever	ꯑꯌꯥꯝꯕ ꯃꯇꯝꯗ ꯇꯧꯗꯦ
hardly	ꯋꯥꯔꯞꯅ
hard	ꯀꯟꯕ
harmful	ꯈꯨꯗꯣꯡꯊꯤꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
harmony	ꯅꯨꯡꯁꯤ ꯆꯥꯟꯅꯕ
harm	ꯑꯁꯣꯛꯄ ꯅꯪꯕ
harsh	ꯀꯟꯕ
harvest	ꯂꯣꯛꯄ
hate	ꯅꯨꯡꯁꯤꯗꯕ
have a good day	ꯅꯨꯡꯉꯥꯏꯕ ꯅꯨꯃꯤꯠ ꯑꯃ ꯑꯣꯏꯕꯤꯌꯨ
have a nice day	ꯌꯥꯏꯐꯕ ꯑꯣꯡꯌꯨ
have breakfast	ꯕ꯭ꯔꯦꯛꯐꯥꯁ ꯆꯥꯈ꯭ꯔꯦ
have fun	ꯅꯨꯡꯉꯥꯏꯔꯨꯔꯣ
have you eaten	ꯑꯗꯣꯝ ꯆꯥꯔꯕꯔꯥ
having	ꯂꯩꯕ
hazard	ꯈꯨꯗꯣꯡꯊꯤꯕ ꯌꯥꯕ
haze	ꯋꯥꯈꯜ ꯆꯃꯝꯅꯕꯒꯤ ꯐꯤꯚꯝ
headache	ꯀꯣꯛ ꯆꯤꯛꯄ
head	ꯃꯀꯣꯛ
healing	ꯑꯣꯏꯁꯤꯜꯂꯡꯂꯤ
healthy	ꯃꯁꯥ ꯃꯎ ꯐꯕ
health	ꯍꯛꯁꯦꯜ
heal	ꯑꯣꯏꯁꯤꯟꯕ
heard	ꯇꯥꯈꯤꯕ
heart	ꯊꯃꯣꯏ
hear	ꯇꯥꯕ
heat	ꯃꯩꯁꯥ
heaven	ꯁ꯭ꯋꯔꯒ
heavy	ꯑꯔꯨꯝꯕ
hectic	ꯊꯕꯈ ꯆꯤꯟꯕ
he has	ꯃꯍꯥꯛꯅ
height	ꯑꯋꯥꯡꯕ
heir	ꯐꯝꯊꯣꯜ ꯃꯍꯨꯠ ꯁꯤꯜꯍꯧꯒꯗꯕ
heist	ꯍꯨꯔꯥꯟꯕ
he is	ꯃꯍꯥꯛ ꯑꯁꯤ
held	ꯄꯥꯏꯕ
hello dear	ꯍꯦꯂꯜꯣ ꯅꯨꯡꯁꯤꯕꯤ
hello how are you doing	ꯑꯗꯣꯝ ꯀꯝꯗꯧꯔꯤꯕꯒꯦ
hello how are you	ꯑꯗꯣꯝ ꯀꯝꯗꯧꯔꯤꯕꯒꯦ
Hello	ꯍꯦꯜꯂꯣ
hell	ꯃꯣꯔꯣꯛ
helmet	ꯍꯦꯜꯃꯦꯠ
helpful	ꯃꯇꯦꯡ ꯑꯣꯏꯕ
help	ꯇꯦꯡꯕꯥꯡꯕ
hence	ꯃꯔꯝ ꯑꯗꯨꯅ
herd	ꯃꯥꯟꯅꯕ ꯃꯒꯨꯟ ꯆꯦꯟꯕ ꯃꯤꯑꯣꯏ ꯀꯥꯡꯂꯨꯞ ꯑꯃ
here	ꯃꯐꯝꯁꯤꯗ
heritage	ꯍꯦꯔꯤꯇꯦꯖ
her	ꯃꯍꯥꯛ
hesitate	ꯈꯅꯖꯥꯅꯕ
Hey	ꯍꯦ
he	ꯃꯍꯥꯛ
hidden	ꯂꯣꯠꯇꯨꯅ ꯊꯕ
hide	ꯂꯣꯠꯄ
hierarchy	ꯃꯊꯡ ꯃꯅꯥꯎ
highlight	ꯇꯥꯛꯄ
high	ꯋꯥꯡꯕ
hi how are you	ꯍꯥꯏ ꯀꯝꯗꯧꯔꯤꯒꯦ
hike	ꯆꯤꯡ ꯀꯥꯕ
hiking	ꯆꯤꯡ ꯀꯥꯕ
hilarious	ꯌꯥꯝꯅ ꯅꯣꯛꯅꯤꯡꯕ
hill	ꯆꯤꯡ
him	ꯃꯍꯥꯛ
hint	ꯄꯥꯎꯇꯥꯛ
hips	ꯈ꯭ꯋꯥꯡ
hip	ꯈ꯭ꯋꯥꯡ
hire	ꯅꯦꯛꯄ
hiring	ꯅꯦꯛꯄ
history	ꯄꯨꯋꯥꯔꯤ
his	ꯃꯍꯥꯛꯀꯤ
hit	ꯌꯩꯕ
Hi	ꯍꯥꯏ
hobby	ꯑꯄꯥꯝꯕ
hold on	ꯄꯥꯏꯗꯨꯅ ꯊꯝꯕ
hold	ꯐꯥꯔꯒ ꯊꯝꯕ
hole	ꯑꯍꯣꯕ
holiday	ꯁꯨꯇ
hollow	ꯑꯍꯣꯕ
homework	ꯌꯨꯝꯒꯤ ꯊꯕꯛ
home	ꯌꯨꯝ
honestly	ꯄꯨꯛꯆꯦꯜ ꯁꯦꯡꯅ
honest	ꯄꯨꯛꯆꯦꯜ ꯁꯦꯡꯕ
Honey	ꯈꯣꯏꯍꯤ
honor	ꯏꯀꯥꯏ ꯈꯨꯝꯅꯕ
hood	ꯀꯣꯛꯈꯨꯝ
hook	ꯀꯣꯆꯤ
hopefully	ꯊꯥꯖꯕ ꯊꯝꯕ
hopeless	ꯀꯥꯟꯅꯔꯔꯣꯏ
hope	ꯑꯣꯏꯒꯅꯤ ꯈꯟꯕ
hop	ꯆꯣꯡꯕ
horizontal	ꯑꯐꯩꯕ
horn	ꯝꯆꯤ
horrible	ꯑꯀꯤ ꯇꯨꯖꯨꯡꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
horror	ꯑꯀꯤꯕ
horse	ꯁꯒꯣꯜ
hospitality	ꯃꯤꯒꯤ ꯁꯦꯕꯥ ꯇꯧꯕꯒꯤ ꯃꯑꯣꯡ
hospital	ꯑꯅꯥꯂꯥꯏꯌꯦꯡꯁꯪ
hostile	ꯌꯦꯡꯊꯤꯅꯕ
host	ꯌꯨꯝꯕꯨ
hotel	ꯍꯣꯇꯦꯜ
hot	ꯑꯁꯥꯕ
hours	ꯄꯨꯡ
hour	ꯄꯨꯡ
household	ꯏꯃꯨꯡ ꯃꯅꯨꯡ
house	ꯌꯨꯝ
how about you	ꯑꯗꯣꯝꯗꯤ ꯀꯝꯗꯧꯔꯤ
how are you doing today	ꯑꯗꯣꯝꯕꯨ ꯉꯁꯤꯗꯤ ꯀꯝꯗꯧꯔꯤꯕꯒꯦ
how are you doing	ꯑꯗꯣꯝ ꯀꯝꯗꯧꯔꯤ
how are you today	ꯉꯁꯤꯕꯨ ꯑꯗꯣꯝ ꯀꯝꯗꯧꯔꯤꯒꯦ
how are you	ꯑꯗꯣꯝ ꯀꯝꯗꯧꯔꯤ
how do you do	ꯀꯝꯗꯧꯔꯤꯒꯦ
however	ꯑꯗꯨꯝ ꯑꯣꯏꯅꯃꯛ
how is	ꯀꯔꯝꯅ ꯑꯣꯏꯕꯅꯣ
how many	ꯀꯌꯥꯅꯣ
how much	ꯀꯌꯥꯅꯣ
how often	ꯀꯌꯥꯝ ꯇꯣꯏꯅ
how old are you	ꯑꯗꯣꯝꯒꯤ ꯆꯍꯤ ꯀꯌ ꯁꯨꯔꯦ
how was your day	ꯑꯗꯣꯝꯒꯤ ꯉꯁꯤꯒꯤ ꯅꯨꯃꯤꯠ ꯀꯝꯗꯧꯕꯒꯦ
how was your night	ꯇꯨꯝꯕ ꯌꯥꯈꯤꯕꯔꯥ
how	ꯀꯔꯝꯅ
hubby	ꯃꯄꯨꯔꯣꯏꯕ
hub	ꯄꯨꯟꯐꯝ
huge	ꯌꯥꯝꯅ ꯆꯥꯎꯕ
hug	ꯀꯣꯟꯕ
human	ꯃꯤꯑꯣꯏꯕ
humble	ꯏꯆꯝ ꯆꯝꯖꯕ
humidity	ꯆꯅꯞꯅꯕꯒꯤ ꯆꯥꯡ
humid	ꯆꯣꯠ ꯆꯣꯠ ꯂꯥꯎꯕ
hundred	ꯆꯥꯝꯃ
hungry	ꯆꯥꯛ ꯂꯥꯝꯕ
hunt	ꯁꯥ ꯇꯥꯟꯕ
hurricane	ꯅꯣꯡꯂꯩ ꯅꯨꯡꯁꯤꯠ
hurry up	ꯊꯨꯖꯜꯂꯣ
hurry	ꯊꯨꯔꯣ
hurt	ꯁꯣꯛꯄ
husband	ꯃꯄꯨꯔꯣꯏꯕ
hustle	ꯇꯥꯁꯤꯟꯕ
hut	ꯈꯥꯡꯄꯣꯛꯁꯪ
hygiene	ꯂꯨ ꯅꯥꯟꯅ ꯂꯩꯕ
I am fine	ꯑꯩꯍꯥꯛ ꯅꯨꯉꯥꯏꯔꯤ
I am	ꯑꯩꯍꯥꯛ
I can't	ꯑꯩ ꯉꯝꯂꯣꯏ
I can	ꯑꯩ ꯉꯝꯒꯅꯤ
ice	ꯚꯔꯞ
ideal	ꯆꯞ ꯆꯥꯕ
idea	ꯋꯥꯈꯜ
identical	ꯌꯦꯡꯕꯗ ꯃꯥꯟꯅꯅ ꯎꯕ
identify	ꯁꯛ ꯇꯥꯛꯄ
identity	ꯁꯛꯇꯥꯛ
idiot	ꯑꯄꯪꯕ
idle	ꯊꯕꯛ ꯂꯩꯇꯕ
I do not know	ꯑꯩꯍꯥꯛ ꯈꯪꯗꯦ
I do not understand	ꯑꯩꯍꯥꯛꯅ ꯚꯥꯕ ꯇꯥꯗꯦ
I don't know	ꯑꯩ ꯈꯪꯗꯦ
I don’t know	ꯑꯩꯍꯥꯛꯅ ꯈꯪꯗꯦ
I don't understand what you mean	ꯑꯗꯣꯝꯅ ꯍꯥꯏꯅꯤꯡꯕꯗꯣ ꯑꯩꯍꯥꯛ ꯈꯪꯕ ꯉꯝꯗ꯭ꯔꯦ
I don't understand you	ꯑꯩꯍꯥꯛꯅ ꯚꯥꯕ ꯇꯥꯗ꯭ꯔꯦ
I don't understand	ꯑꯦꯅ ꯈꯪꯕ ꯉꯃꯗꯔꯦ
I don’t understand	ꯑꯩꯍꯥꯛꯅ ꯚꯥꯕ ꯇꯥꯗ꯭ꯔꯦ
I do	ꯑꯩꯍꯥꯛꯅ ꯌꯥꯔꯦ
if	ꯀꯔꯤꯒꯨꯝꯕ
ignore	ꯈꯪꯖꯤꯟꯅꯗꯕ
i guess	ꯑꯩꯍꯥꯛꯅ ꯈꯜꯂꯤ
I hope so	ꯑꯩꯍꯥꯛꯅ ꯈꯂꯂꯤꯅꯦ
I know	ꯑꯩꯅ ꯈꯪꯏ
I like you	ꯑꯩꯍꯥꯛꯅ ꯅꯪꯕꯨ ꯄꯥꯝꯃꯤ
I like	ꯑꯩꯍꯥꯛꯅ ꯄꯥꯝꯃꯤ
illegal	ꯑꯏꯟꯅ ꯌꯥꯗꯕ
illness	ꯑꯅꯥꯕ
ill	ꯅꯥꯕ
Ilocano	ꯂꯣꯀꯥꯅꯣ
I love my big brother	ꯑꯩꯍꯥꯛꯅ ꯏꯌꯥꯝꯕꯥ ꯅꯨꯡꯁꯤ
I love my big sister	ꯑꯩꯍꯥꯛꯅ ꯏꯆꯦ ꯅꯨꯡꯁꯤ
I love my father	ꯑꯩꯍꯥꯛꯅ ꯏꯄꯥ ꯅꯨꯡꯁꯤ
I love my little brother	ꯑꯩꯍꯥꯛꯅ ꯏꯅꯥꯎꯅꯨꯄꯥꯥ ꯅꯨꯡꯁꯤ
I love my little sister	ꯑꯩꯍꯥꯛꯅ ꯏꯆꯜ ꯅꯨꯡꯁꯤ
I love my mother	ꯑꯩꯍꯥꯛꯅ ꯏꯃꯥ ꯅꯨꯡꯁꯤ
I love you so much	ꯑꯩꯅ ꯑꯗꯣꯝꯕꯨ ꯑꯗꯨꯛꯀꯤ ꯃꯇꯤꯛ ꯅꯨꯡꯁꯤ
I love you too	ꯑꯩꯍꯥꯛꯁꯨ ꯅꯪꯕꯨ ꯅꯨꯡꯁꯤ
I love you	ꯑꯩꯅ ꯅꯪꯕꯨ ꯅꯨꯡꯁꯤ
I love	ꯑꯩꯍꯥꯛꯅ ꯅꯨꯡꯁꯤ
image	ꯝꯃꯤ
imagine	ꯈꯅꯗꯨꯅ ꯌꯦꯡꯁꯤ
I mean	ꯑꯩꯍꯥꯛꯅ ꯍꯥꯏꯕꯗꯤ
I'm fine	ꯑꯩ ꯅꯨꯡꯉꯥꯏꯔꯤ
I'm good	ꯑꯩ ꯅꯨꯉꯥꯏꯔꯤ
I'm here	ꯑꯩꯍꯥꯛ ꯁꯤꯗ ꯂꯩꯔꯦ
I miss you so much	ꯑꯩꯍꯥꯛꯅ ꯅꯪꯕꯨ ꯌꯥꯝꯅ ꯎꯅꯤꯡꯉꯦ
I miss you	ꯑꯩꯅ ꯅꯪꯕꯨ ꯎꯗꯕ ꯀꯨꯏꯔꯦ
immediately	ꯈꯨꯗꯛꯇ
immediate	ꯈꯨꯗꯛꯇ
immense	ꯁꯔꯨꯛ ꯌꯥꯝꯕ
impact	ꯆꯩꯊꯦꯡ
impatient	ꯉꯥꯏꯉꯝꯗꯕ
implement	ꯊꯕꯛ ꯑꯣꯏꯅ ꯄꯥꯡꯊꯣꯛꯄ
important	ꯃꯔꯨ ꯑꯣꯏꯕ
import	ꯃꯤꯔꯝꯗꯒꯤ ꯄꯨꯁꯤꯜꯂꯛꯄ
impose	ꯅꯝꯐꯨꯗ ꯆꯠꯅꯍꯟꯕ
impossible	ꯑꯣꯏꯊꯣꯛꯂꯣꯏꯗꯕ
impression	ꯅꯝꯕ
impressive	ꯅꯤꯡꯊꯤꯕ
impress	ꯑꯇꯣꯞꯄꯒꯤ ꯄꯨꯛꯅꯤꯡ ꯁꯨꯝꯍꯠꯄ
improvement	ꯐꯒꯠꯂꯛꯄ
improve	ꯐꯒꯠꯄ
I'm sorry	ꯑꯩ ꯂꯥꯜꯂꯦ
I’m	ꯑꯩꯍꯥꯛ
I'm	ꯑꯩꯍꯥꯛꯇꯤ
in addition	ꯃꯁꯤꯒꯤ ꯃꯊꯛꯇ
inappropriate	ꯆꯥꯟꯅꯗꯕ
incentive	ꯄꯨꯛꯅꯤꯡ ꯊꯧꯒꯠꯄ
incident	ꯊꯧꯗꯣꯛ
include	ꯃꯅꯨꯡ ꯆꯟꯕ
including	ꯃꯅꯨꯡ ꯆꯟꯅ
income	ꯆꯥꯒꯥ
inconvenience	ꯍꯩꯅꯗꯕ
increased	ꯍꯦꯟꯒꯠꯂꯛꯄ
increase	ꯍꯦꯟꯒꯠꯄ
incredible	ꯐꯖꯕ
indeed	ꯇꯁꯦꯡꯅꯃꯛ
independent	ꯃꯅꯤꯡ ꯇꯝꯕ
India	ꯚꯥꯔꯠ
indicate	ꯇꯥꯛꯄ
indigenous	ꯃꯔꯝꯗꯝꯒꯤ
individual	ꯃꯤꯑꯣꯏ ꯑꯃꯃꯝ
industry	ꯏꯅꯗꯁꯇ꯭ꯔꯤ
inevitable	ꯁꯣꯏꯔꯔꯣꯏꯗꯕ
In fact	ꯇꯁꯦꯡꯕꯗꯤ
infant	ꯑꯉꯥꯡ ꯅꯋꯥ
infection	ꯃꯍꯤꯛ ꯄꯛꯄ
infinity	ꯂꯣꯏꯕ ꯅꯥꯏꯗꯕ
inflammation	ꯄꯣꯝꯈꯠꯄ
inflation	ꯀꯥꯝꯈꯠꯄ
influence	ꯏꯊꯤꯜ
information	ꯏꯄꯥꯎ
inform	ꯄꯥꯎ ꯄꯤꯕ
in front of	ꯃꯃꯥꯡꯗ
ingredients	ꯃꯆꯜ
inheritance	ꯃꯄꯥ ꯃꯄꯨꯒꯤ ꯂꯤꯆꯠ ꯂꯧꯍꯧꯕ
initial	ꯑꯍꯧꯕꯗ
initiative	ꯈꯣꯡꯊꯥꯡ
injured	ꯑꯁꯣꯛꯄ
injury	ꯑꯁꯣꯛꯄ
innocent	ꯆꯝꯖꯕ
innovation	ꯑꯅꯧ ꯊꯧꯑꯣꯡ
inquiry	ꯊꯤꯖꯤꯟꯕ
insane	ꯉꯥꯎꯕ
insect	ꯇꯤꯟ
insecure	ꯃꯁꯥꯗ ꯊꯥꯖꯕ ꯋꯥꯠꯄ
insert	ꯏꯅꯁꯤꯟꯕ
inside	ꯃꯅꯨꯡ
insight	ꯅꯨꯡꯒꯤ ꯋꯥꯈꯜ
insist	ꯇꯛꯁꯤꯟꯕ
insomnia	ꯇꯨꯝꯕ ꯌꯥꯗꯕ
inspiration	ꯏꯊꯤꯜ ꯄꯤꯕ
inspire	ꯏꯊꯤꯜ ꯄꯤꯕ
install	ꯈꯤꯟꯕ
instance	ꯃꯤꯠꯀꯨꯞ
instant	ꯈꯨꯗꯛꯇ
instead of	ꯃꯗꯨꯒꯤ ꯃꯍꯨꯠꯇ
instead	ꯃꯍꯨꯠ
instructions	ꯄꯥꯎꯇꯥꯛ
instrument	ꯈꯨꯠꯂꯥꯏ
insult	ꯀꯔꯦꯝꯅꯕ
intact	ꯇꯦꯡꯇ ꯀꯥꯏꯗꯅ ꯂꯩꯕ
integrity	ꯑꯄꯨꯟꯕ ꯁꯛꯇꯝ
intellectual	ꯋꯥꯈꯜ ꯂꯩꯕ ꯃꯤ
intelligence	ꯍꯩ ꯁꯤꯡꯕ
intelligent	ꯍꯩ ꯁꯤꯡꯕ
intended	ꯑꯄꯥꯝꯕꯒꯤ ꯃꯇꯨꯡ ꯏꯅꯅ
intend	ꯅꯤꯡꯕ
intense	ꯀꯨꯡꯕ
intention	ꯄꯥꯡꯊꯣꯛꯀꯦ ꯈꯟꯕ
interaction	ꯋꯥꯔꯤ ꯁꯥꯕ
interact	ꯋꯥꯔꯤ ꯁꯥꯕ
interested	ꯑꯄꯥꯝꯕ ꯐꯥꯎꯕ
interesting	ꯈꯣꯏꯗꯥꯕ
interest	ꯁꯦꯟꯗꯣꯏ
interfere	ꯑꯄꯟꯕ ꯄꯤꯕ
intermediate	ꯃꯔꯛꯇ ꯂꯩꯕ
internal	ꯃꯅꯨꯡꯒꯤ
international	ꯃꯥꯂꯦꯝꯒꯤ ꯑꯣꯡꯕ
interpreter	ꯂꯣꯜ ꯍꯟꯗꯣꯛꯄ ꯃꯤꯑꯣꯏ
interpret	ꯋꯥꯍꯟꯊꯣꯛ ꯍꯟꯕ
interrupt	ꯃꯔꯛ ꯊꯌꯄ
interview	ꯋꯥꯔꯤ ꯁꯥꯕ
intimate	ꯅꯛꯁꯤꯟꯅꯕ
introduce	ꯁꯛꯇꯥꯛꯄ
introduction	ꯁꯛꯇꯥꯛꯄ
introvert	ꯋꯥ ꯉꯡꯒꯟꯗꯕ
intuition	ꯅꯨꯡꯗ ꯐꯥꯎꯕ
invalid	ꯆꯠꯅꯗ꯭ꯔꯕ
inventory	ꯄꯣꯠ ꯃꯌꯥꯝꯒꯤ ꯋꯥꯔꯣꯜ
invent	ꯄꯨꯊꯣꯛꯄ
investigate	ꯊꯤꯖꯤꯟ ꯍꯨꯝꯖꯤꯟꯕ
invest	ꯁꯦꯜ ꯊꯥꯗꯕ
invitation	ꯄꯥꯎꯖꯦꯜ
invite	ꯄꯥꯎꯖꯦꯜ ꯄꯤꯕ
invoice	ꯃꯃꯜ ꯌꯎꯕ ꯆꯦ
involved	ꯁꯔꯨꯛ ꯌꯥꯈꯤꯕ
involve	ꯃꯅꯨꯘ ꯆꯟꯕ
iron	ꯌꯣꯠ
I see	ꯑꯩ ꯈꯪꯂꯦ
island	ꯏꯊꯠ
isolated	ꯇꯣꯉꯥꯟꯅ ꯂꯩꯕ
issues	ꯈꯨꯗꯣꯡꯆꯥꯗꯕꯁꯤꯡ
issue	ꯈꯨꯗꯧꯡꯆꯥꯗꯕ
items	ꯄꯣꯠꯂꯝꯁꯤꯡ
item	ꯄꯣꯠꯂꯝ
I think	ꯑꯩꯍꯥꯛꯅ ꯈꯜꯂꯤ
it is	ꯃꯁꯤꯅꯤ
It's okay	ꯝꯗꯨ ꯌꯥꯔꯦ
it's ok	ꯃꯁꯤ ꯌꯥꯔꯦ
its	ꯃꯁꯤ
it's	ꯝꯁꯤꯗꯤ
it	ꯃꯁꯤ
