abandoned	ފަޅު
prompt	އަވަސް
prone	ޕްރޯން
pronouns	ބަދަލުނަން
pronunciation	ބަސްކިޔާގޮތް
proof	ހެކި
properly	މުދާ
properties	މުދާތައް
property	މުދާ
proper	އެކަށީގެންވާ
proposal	ހުށަހެޅުން
prospect	ހުށަހެޅުން
prosperity	ތަނަވަސްކަން
prosperous	ބާއްޖަވެރި
protect	ރައްކާތެރިކުރުން
proud	ފަޚުރުވެރި
prove	ސާބިތުކުރުން
provided	ފޯރުކޮށްދީފައި
provide	ފޯރުކޮށްދިނުން
province	ޕްރޮވިންސް
provision	ރިޒްޤު
puberty	ބާލިޢުވުން
public	ޢާންމު
pull	ދެމުން
pumpkin	ބަރަބޯ
punctual	ވަގުތަށް ކަމޭހިތާ
pupil	ކަޅި
purchase	ގަތުން
pure	ސާފުތާހިރު
purple	ޖަންބު
purpose	މަޤްޞަދު
purse	ޕަރސް
pursue	ހިޔާރުކުރުން
pursuit	ޕަރސޫޓް
push	ކޮއްޕުން
put	ލުން
qualification	ސަނަދު
quality	ކޮލިޓީ
quantity	ޢަދަދު
quarantine	ކަރަންޓީން
quarrel	މައްސަލަ
quarter	ހަތަރުބައިކުޅަ އެއްބައި
Quechua	ކެޗުވާ
queen	ރާނީ
queer	ކުޔަރ
query	ކުއެރީ
question	ސުވާލު
queue	ކިއު
quickly	އަވަހަށް
quick	އަވަސް
quiet	އަޑުމަޑު
quilt	ކުއިލްޓު
quite	ފުދޭ ވަރަކަށް
quit	ދޫކޮށްލުން
quiz	ކުއިޒް
quotation	ކޮޓޭޝަން
quotes	ލިޔުންކޮޅު
quote	ބަސްކޮޅު
rabbit	މުސަޅު
race	ރޭސް
rage	ރުޅިގަނޑު
rain	ވާރޭ
raised	އުފުލުން
raise	އުސްކުރުން
random	ވަކޮގޮތެއްނެތް
range	މިންގަނޑު
ran	ދުވި
rapidly	ހަލުވި މިނުގައި
rapid	އަވަސް
rarely	ވަރަށްމަދުން
rare	ވަރަށް މަދުން
rash	ރޭޝް
rate	މިންވަރު
rather	ބަދަލުގައި
rational	ރެޝަނަލް
ratio	ރޭޝިއޯ
rat	ހިކަނދި
raw	ރޯ
reached	ފޯރުން
reach	ފޯރުން
reaction	ވީގޮތް
reading	ކިޔުން
ready	ތައްޔާރު
read	ކިޔުން
reality	ހަޤީޤަތް
realized	އެނގުން
realize	ފާހަނގަވުން
really	ހަޤީޤަތުގައި
real	އަސްލު
rear	ފުރަގަސްފަރާތް
reasonable	ޤަބޫލުކުރެވޭ
reason	ސަބަބު
recall	ހަނދާންކުރުން
receipt	ރިސިޓް
received	ލިބުން
receive	ލިބުން
recently	ފަހުގެ ވަގުތެއްގައި
recent	ފަހުގެ
reception	ރިސެޕްޝަން
recipe	ރެސިޕީ
reckless	ފަރުވާކުޑަ
recognition	އަގުވަޒަންކުރުން
recognize	ފާހަގަވުން
recommended	ލަފާދެވިފައިވުން
recommend	ހުށަހެޅުން
record	ރިކޯޑްކުރުން
recovery	ރިކަވަރވުން
recover	ފަސޭހަވުން
rectangle	ރެކްޓޭންގަލް
redeem	ރިޑީމް
redemption	ރިޑެމްޝަން
reduce	މަދުކުރުން
redundant	ރިޑަންޑަންޓް
red	ރަތް
reference	ރިފަރަންސް
refer	ހުށަހެޅުން
reflection	ރިފްލެކްޝަން
reflect	ރިފްލެކްޓް
refrain	ދުރުވުން
refrigerator	ރެފްރިޖަރޭޓަރު
refund	ރީފަންޑް
refused	ދެކޮޅުހެދުން
refuse	ދެކޮޅު
regarding	ގުޅިގެން
regardless	ކޮންމެ ހާލަތެއްގަވެސް
regards	ވެދުން
regard	ހަވާލާދިނުން
region	ސަރަހައްދު
register	ރަޖިސްޓްރީކުރުން
regret	ހިތާމަ
regularly	ޤަވައިދުން
regular	ޢާންމު
reject	ޤަބޫލުނުކުރުން
related	ގުޅުން
relate	ރިލޭޓް
relationship	ގުޅުން
relatives	ގާތްތިމާގެ މީހުން
relative	ގާތްތިމާގެ މީހުން
relax	ހަމަޖެހިލުން
released	ދޫކޮށްފައި
release	ދޫކުރުން
relevant	އެކަށޭނަ
reliable	އިތުބާރުކުރެވޭ
relief	ލުއި
relieved	ލުއި ލިބުން
relieve	ދޫލިބުން
religion	ދީން
religious	ދީނީ
reluctant	ފަސްޖެހުން
rely	ބަރޯސާވުން
remaining	ބާކީހުރިބައި
remain	ދެމިހުރުން
remarkable	ފާހަގަކޮށްލެވޭ
remedy	ފަރުވާ
remember	ހަނދާންކުރުން
reminder	ހަނދާންކޮށްދިނުން
remind	ހަނދާންކޮށްދިނުން
remote	ރިމޯޓް
remove	ރިމޫވް
render	ރެންޑަރ
rent	ކުލި
repair	މަރާމާތުކުރުން
repeat	ރިޕީޓްކުރުން
replace	ރިޕްލޭސް
reply	ޖަވާބުދިނުން
report	ރިޕޯޓު
represent	ތަމްސީލު
reputation	މީހުން ދެކޭގޮތް
request	ރިކުއެސްޓް
required	ބޭނުންވާ
require	ބޭނުންވުން
rescue	ސަލާމަތްކުރުން
research	ދިރާސާ
resemble	ތަމްސީލުކުރަނީ
resentment	ނުރުހުން
reservation	ރިޒަރވޭޝަން
reserve	ރިޒަރވް
resident	ރައްޔިތެއް
resign	އިސްތިޢުފާ ދިނުން
resilience	ރިޒައިލިއެންސް
resilient	ހުރިހާ ޙާލަތަކަށްވެސް ފެތޭ
resistance	ދެކޮޅު ހެދުން
resist	ރުންކުރުވުން
resolution	ރިޒޮލިއުޝަން
resolve	ހައްލުކުރުން
resort	ރިސޯޓު
resources	ރިސޯސަސް
respect	އިޙްތިރާމް
respond	އިޖާބަދިނުން
response	ޖަވާބު
responsibility	މަސްޢޫލިއްޔަތު
responsible	ޒިންމާދާރު
restaurant	ރެސްޓޯރަންޓް
rest in peace	ރެސްޓިން ޕީސް
restore	ރީސްޓޯރ
restrict	މަނާކުރުން
rest	އަރާމުކުރުން
results	ނަތީޖާތައް
result	ނަތީޖާ
resume	އަލުން ފެށުން
retail	ރީޓެއިލް
retain	ދެމެހެއްޓުން
retention	ރިޓެންޝަން
retired	މުސްކުޅިކުރައްވާފައި
retreat	އަނބުރާ ދިޔުން
retrieve	އަލުން ނެގުން
return	ރުޖޫޢަވުން
revealed	ފާޅުވުން
reveal	ފާޅުކުރުން
revenge	ބަދަލު
revenue	އާމްދަނީ
reverse	އަނެއްކޮޅަށް ޖެހުން
review	ރިވިއު
revise	އިޞްލާޙުކުރުން
revision	މުރާޖަޢާ
revolution	ރިވޮލިއުޝަން
reward	ދަރުމަ
re	ކަމަކާ ގުޅިގެން
rhythm	ރިދަމް
rib	މޭކަށި
rice	ބަތް
rich	މުއްސަނދި
ride	ސަވާރީ
ridiculous	ތާކުންތާކު ނުޖެހޭ
rid	ދޫކޮށްލުން
right now	މިހާރު
right	ކަނާތް
rigid	ރުންކުރު
ring	އަނގޮޓި
rinse	ދޮވުން
riot	ހަޅުތާލު
ripe	ދޮންވެފައި
rip	ރިޕް
rise	މައްޗަށް އެރުން
risk	ނުރައްކާ
rival	ހަތުރު
river	ކޯރު
road	މަގު
roast	ރޯސްޓް
robust	ވަރުގަދަ
rock	ހިލަ
rod	ދަގަނޑު ބުރިއެއް
role	ރޯލް
roll	ރޯލް
roof	ފުރާޅު
room	ކޮޓަރި
root	މޫ
rope	ވާގަނޑު
rotten	ކުނިވެފަ
roughly	ގާތްގަނޑަކަށް
rough	ގަދަ
round	ބުރު
route	މަގު
routine	ރޫޓިން
row	ބަރި
rubber	ރަބަރު
rubbish	ކުނި
rub	އުގުޅުން
rude	ރަހުމު ކުޑަ
rug	ރަގް
ruin	ހަލާކުކުރުން
ruler	ފަތިގަނޑު
rules	ޤަވައިދުތައް
rule	ވެރިކަންކުރުން
running	ދުވުން
run	ދުވުން
rural	ރަށްފުށު
rush	އަވަސްކޮށްލުން
sack	ގޯނި
sacred	ހުރުމަތްތެރި
sacrifice	ޤުރުބާންކުރުން
safe flight	ރައްކާތެރި ފުލައިޓް
safety	ރައްކާތެރި
safe	ރައްކާތެރި
sage	ސޭޖް
said	ބުނި
sailing	ދަތުރުކުރުން
sail	ދަތުރުކުރުން
sake	ސޭކް
salary	މުސާރަ
sale	ސޭލް
salmon	ސާމަން
salt	ލޮނު
Same here	މިކޮޅުވެސް
same	އެކައްޗެއް
sample	ސާމްޕަލް
sand	ވެލި
Sanskrit	ސާންސްކުރިޓް
sarcastic	މަލާމާތްކުރުން
sassy	ސެސީ
satisfaction	ފުދުން
satisfied	ފުދިފައި
satisfying	ހިތްހަމަޖެހޭ
satisfy	ފުދުން
Saturday	ހޮނިހިރު ދުވަސް
sat	އިށީން
sausage	ސޮސެޖް
savage	އަނިޔާވެރި
save	ރައްކާކުރުން
saw	ފެނުން
say	ބުނުން
scale	ބަރުދަން ބަލާ ކަށި
scam	ސްކޭމް
scarce	ތަދު
scared	ބިރުގަނެފައިވުން
scarf	ސްކާފް
scary	ބިރުވެރި
scar	ލަކުނު
scattered	ވިއްސިވިހާލިވެފައި
scenery	މަންޒަރުތައް
scene	ސީން
scent	ވަސް
schedule	ޝެޑިއުލް
school	ސްކޫލް
science	ސައިންސު
scientists	ސައިންޓިސްޓުން
scientist	ސައިންޓިސްޓް
scissors	ކަތުރު
scold	އެއްޗެހިކިޔުން
scope	ސްކޯޕް
score	ނަތީޖާ
scrap	އެތިކޮޅެއް
scratch	ކޫރުން
scream	ހަޅޭއްލެވުން
screen	ސްކްރީން
screw	އިސްކުރު
script	ސްކްރިޕްޓް
seal	ސިއްކަ
search	ހޯދުން
season	މޫސުން
seat	ގޮޑި
sea	ކަނޑު
second	ދެވަނަ
secret	ސިއްރު
section	ސެކްޝަން
secure	ރައްކާތެރި
security	ރައްކާތެރިކަން
seed	އޮށް
seek	ހޯދުން
seems	ހީވަނީ
seem	ފެންނަގޮތުގައި
seen	ފެނުނު
see you later	ފަހުން ފެންނާނެ ކަމަށް އުންމީދުކުރަން
see you soon	ތިބާ އަދި ފެންނާނެ ކަމަށް އުންމީދުކުރަން
see you tomorrow	މާދަމާ ފެންނާނެކަމަށް އުންމީދުކުރަން
see you	އެހެން ފަހަރަކުން ފެންނާނެ ކަމަށް އެދެން
see	ފެނުން
seize	ސީޒް
seizure	ސީޒަރ
seldom	ވަރަށް މަދުން
select	ޚިޔާރުކުރުން
self healing	ސެލްފް ހީލިންގެ
selfish	އަމިއްލައެދުން ބޮޑު
self	ނަފްސު
sell	ވިއްކުން
send me your picture	ތިބާގެ ފޮޓޯ ފޮނުވާލަދީ
send	ފޮނުވުން
senior	ސީނިއަރ
sense	ހިއްސު
sensible	ވިސްނުންތެރި
sensitive	ސެންސިޓިވް
sentences	ޖުމްލަތައް
sentence	ޖުމްލަ
sent	ފޮނުވައިފި
separate	ވަކި
Sepedi	ސެޕެޑައި
september	ސެޕްޓެމްބަރ
sequence	ސީކުއެންސް
series	ސީރީޒް
seriously	ސީރިއަސްކޮށް
serious	ސީރިއަސް
serve	ޚިދުމަތްކުރުން
service	ޚިދުމަތް
session	ސެޝަން
setting	ސެޓިންގ
settle	ހަމަޖެހުން
set up	ސެޓް އަޕް
set	ސެޓް
seventeen	ސަތާރަ
seventy	ހަތްދިހަ
seven	ހަތެއް
several	ބައިވަރު
severe	ގަދަފަދަ
sew	ފެހުން
shade	ހިޔާ
shadow	ހިޔަނި
shake	ތަޅުވާލުން
shallow	ތިލަ
shame	ލަދު
shape	ބައްޓަން
share	ޙިއްސާ
sharp	ތޫނު
shed	ފޭބުން
sheep	ބަކަރި
sheet	ޝީޓް
she is	އޭނާ އަކީ
shelf	ހަރުގަނޑު
shell	ބޮލި
shelter	ހިޔާ
she	އޭނާ
shield	ޝީލްޑް
shift	ބަދަލުވުން
shine	ވިދުން
shipping	ޝިޕިންގ
ship	ބޯޓުފަހަރު
shirt	ޤަމީސް
shoes	ބޫޓު
shoot	ނިރު
shopping	ވިޔަފާރިކުރުން
shop	ފިހާރަ
shore	އައްސޭރިފަށް
shortage	މަދުވުން
short	ކުރު
shot	ޝޮޓް
shoulder	ކޮނޑު
shout	ހަޅޭއްލެވުން
shower	ފެންވެރުން
show me	އަހަންނަށް ދައްކާ
show	ދެއްކުން
shrimp	ޑިނގާ
shrink	ކުޑަވުން
shut up	އަނގަމަޑުކުރޭ
shut	އެއްޗެއް ލެއްޕުން
shy	ލަދުވެތި
siblings	އެއްބަޑު އެއްބަފާ ބެއިން
sibling	އެއްބަޑު އެއްބަފާ ބެއިން
sick	ބަލި
side	ފަރާތް
sightseeing	ތަންތަން ބަަލަނ ދިއުން
sight	މަންޒަރު
sigh	އާހ
signature	ސޮއި
significant	ޚާއްސަ
sign	ސޮއި
silence	ހަމަހިމޭންކަން
silent	އަޑުމަޑު
silk	އޫ
silly	މޮޔަ
silver	ރިހި
similar	އެއްގޮތް
simple	އާދައިގެ
simp	ތާކުންތާކު ނުޖެހޭ މީހެއް
simultaneously	ދެކަންތައް އެއްކޮށް ކުރިއަށް ގެންދިއުން
sincerely	ހެޔްޮއެދޭ
sincere	އިޚްލާޞްތެރި
since	ސަބަބުން
singer	ލަވަކިޔާމީހާ
single	އެކަތި
sing	ލަވަކިޔުން
sink	ސިންކް
Sir	ސަރ
sister in law	ފަހަރީ
sister	ދައްތަ
site	ސައިޓް
situation	ޙާލަތު
sit	އިށީނުން
sixteen	ސޯޅަ
sixty	ފަސްދޮޅަސް
six	ހައެއް
size	ސައިޒް
skills	ހުނަރުތައް
skill	ހުނަރު
skinny	ހިކި
skin	ހަންގަނޑު
skip	ދޫކޮށްލުން
skirt	ސްކަރޓް
sky	އުޑު
slave	އަޅުމީހާ
sleeping	ނިދުން
sleepy	ނިދިއައުން
sleep	ނިދުން
sleeve	އަތްކުރި
slice	ފަޅިކުރުން
slide	ސްލައިޑް
slightly	ކުޑަކޮށް
slim	ލުޅާފަތި
slip	ސްލިޕް
slope	ސްލޯޕް
slot	ސްލޮޓް
slowly	މަޑުމަޑުން
slow	މަޑުން
small	ކުޑަ
smart	ވިސްނުންތޫނު
smell	ވަސް
smile	ހިނިތުންވުން
smoke	ދުން
smooth	އޮމާން
snack	ސްނެކް
snail	ފިނިހަކަ
snake	ހަރުފަ
snap	ސްނެޕް
snow	ސްނޯ
soak	މަޑުކުރުން
soap	ސައިބޯނި
sober	ހަމައިގައި
soccer	ސޮކަރ
social	ސޯޝަލް
society	މުޖުތަމަޢު
socks	އިސްޓާކީނު
so cute	ވަރަށް ލޯބި
so far	މިހާތަނަށް
software	ސްފްޓްވެއަރ
soft	މަޑު
soil	ވެލި
soldier	ސިފައިންގެމީހާ
sold out	ވިކި ހުސްވެފައި
sold	ވިކިފައި
sole	ސޯލް
solid	ސޮލިޑް
solution	ޙައްލު
solve	ހައްލުކުރުން
somebody	ކޮންމެވެސް މީހެއް
somehow	ކޮންމެވެސްގޮތަކަށް
someone	ކޮންމެވެސް މީހަކު
something	ކޮންމެވެސް އެއްޗެއް
sometimes	ބައެއް ފަހަރު
some	ބައެއް
song	ލަވަ
soon	އަވަހަށް
sophisticated	ޒަމާނީ
Sorani	ސޯރާނި
sore throat	ކަރުގައި ރިއްސުން
sore	ތަދުވެފައި
sorrow	ހިތާމަ
Sorry	މަޢާފަށް އެދެން
sort	ހަމައަކަށް އެޅުވުން
sought	ހޯދުމަށް ބެލުން
soulmate	ސޯލްމޭޓް
soul	ފުރާނަ
sound	އަޑު
soup	ސޫޕް
source	އަސްލު
sour	ހުތް
south	ދެކުނު
so	އެހެންކަމުން
space	ސަރަހައްދު
spam	ސްޕޭމް
Spanish	ސްޕެނިޝް
span	ދިގުމިން
spare	ސްޕެއަރ
speak	ވާހަކަ ދެއްކުން
special	ޚާއްސަ
species	ވައްތަރުގެ
specific	ވަކި
spectacular	ވަރަށް ފުރިހަމަ
speechless	ބުނާނެ އެއްޗެއް ނެތުން
speech	ވާހަކަ
speed	ސްޕީޑް
spell	ސްޕެލް
spend	ޚަރަދުކުރުން
spent	ޚަރަދުކުރެވިފައި
spicy	ކުޅި
spike	ސްޕައިކް
spinach	ސްޕިނެޗް
spin	އެނބުރުން
spirit	ސްޕިރިޓް
spit	ކުޅުޖެހުން
splendid	އަޖައިބުވަނިވި
split	ބައިކުރުން
spoiled	ހަލާކުވުން
spoil	ހަލާކުވުން
spontaneous	ސްޕޮންޓޭނިއަސް
spoon	ސަމްސާ
spot	ސްޕޮޓް
spouse	ކައިވެނީގެ ގޮތުން ގުޅިފައިވާ ފަރާތް
spread	ފެތުރުން
spring	ސްޕްރިންގ
square	ގޮޅި
squeeze	ފިއްތުން
squid	ދިލަމަސް
squirrel	މުގޮށި މީދާ
stable	ސްޓޭބަލް
stab	ހެރުން
stack	ފުނިޖެހުން
staff	މުވައްޒަފުން
stage	ސްޓޭޖް
stain	ލައް
stairs	ސިޑިބަރި
stake	ސްޓޭކް
stalk	ސްޓޯކް
stall	ސްޓޯލް
stamp	ތައްގަނޑު
standard	އާދައިގެ މިންގަނޑު
stand	ތެދަށްހުރުން
started	ފަށައިފި
start	ފެށުން
starving	ބަނޑުހައިވުން
star	ތަރި
statement	ބަޔާން
state	ޙާލަތު
station	ސްޓޭޝަން
statue	ސްޓެޗޫ
status	ޙާލަތު
stay safe	ސަލާމަތުން ހުރޭ
stay	ހުރުން
steady	ސްޓެޑީ
steak	ސްޓޭކް
steal	ވަގަށްނެގުން
steam	ސްޓްރީމް
steel	ދަގަނޑު
steep	އަޑި
stem	ސްޓެމް
step	ފިޔަވަޅު
stick	ދަނޑިބުރި
stiff	ހަރު
still	އަދިވެސް
stingy	ދަހިވެތި
sting	ކަށި
stir	ގިރުން
stock	ސްޓޮކް
stolen	ވަގަށްނެގުން
stomach	ބަނޑު
stone	ހިލަ
stood	ހުރި
stool	ގޮނޑި
stop	ހުއްޓުން
storage	ތަކެތި ރައްކާކުރާތަން
store	ސްޓޯރ
storm	ޠޫފާން
story	ވާހަކަ
stove	އުނދުން
straightforward	ދިމާއަށް
straight	ސީދާ
strain	ފުރޭނުން
stranger	ނުދަންނަ މީހެއް
strange	އާދަޔާ ޚިލާފު
strategy	ސްޓްރޭޓެޖީ
strawberry	ސްޓްރޯބެރީ
straw	ސްޓްރޯ
streak	ސްޓްރީކް
stream	ކޯރު
street	މަގުމަތި
strength	ބުންވަރު
stress	ފިކުރުގިނަވުން
stretch	ދެމުން
strict	ހަރުކަށި
strike	ސްޓްރައިކް
string	ސްޓްރިންގ
strip	ސްޓްރިޕް
strive	ގަދައަޅާ މަސައްކަތްކުރުން
stroke	ސްޓްރޯކް
strong	ވަރުގަދަ
struck	ސްޓްރަކް
structure	ބިނާ
struggle	ސްޓްރަގްލް
struggling	ހާލުގައި
stubborn	ބޯހަރު
stuck	ތާށިވުން
student	ދަރިވަރު
studying	ކިޔެވުން
study	ކިޔެވުން
stuff	ތަކެތި
stunning	ވަރަށް ފުރިހަމަ
stupid	މޮޔަ
style	ސްޓައިލް
subject	މައުޝޫއު
submission	ހުށަހެޅުން
submit	ހުށަހެޅުން
substance	މާއްދާ
substitute	ބަދަލު
subtle	ސަޓްލް
succeed	ކާމިޔާބުވުން
successful	ކާމިޔާބު
success	ކާމިޔާބު
such as	މިސާލަކަށް
such	އެފަދަ
suck	ދެމުން
suddenly	ހަމަ އެވަގުތު
sudden	ކުއްލި
suffering	އަނިޔާ
suffer	ތަހައްމަލުކުރުން
sufficient	ފުދުން
sugar	ހަކުރު
suggestion	ޚިޔާލު
suggest	ހުށަހެޅުން
suitable	އެކަށީގެންވާ
suitcase	ސޫޓްކޭސް
suit	ކޯޓު ފަޓުލޫނު
summary	ޚުލާސާ
summer	ހޫނު މޫސުން
summit	ސަމިޓް
sum	ޖުމްލަ
sunday	އާދީއްތަ ދުވަސް
sunny	ހޫނު
sunset	އިރުއޮއްސުން
sunshine	އިރުގެއަލި
sun	އިރު
superior	ބާރުގަދަ
supervisor	ސުޕަރވައިޒަރު
super	ސުޕަރ
supper	ރޭގަނޑުގެ ކެއުން
supply	ސަޕްލައި
support	ހިތްވަރު
supposed	ކުރަންޖެހޭ ކަމެއް
suppose	ހީވާގޮތުން
sure	ޔަޤީން
surface	ސަރފޭސް
surgery	ސަރޖަރީ
surge	ސަރޖް
surname	އާއިލާގެ ނަން
surprised	އާޝޯޚްވުން
surprise	ސަރޕްރައިޒް
surrender	ދޫކޮށްލުން
surrounding	ވަށައިގެންވާ މާޙައުލު
surveillance	ސަރވެއިލެންސް
survey	ސަރވޭ
survive	ސަރވައިވް
suspect	ޝައްކުކުރެވޭ
suspended	ސަސްޕެންޑްކުރުން
suspicious	ޝައްކު ކުރެވޭ
sustainability	ދެމެހެއްޓެނިވި
sustainable	ދެމެހެއްޓެނިވި
sustain	ދެމެހެއްޓުން
swag	ސްވެގް
swallow	ދިރުވުން
swap	ބަދަލުކޮށްލުން
swear	ހުވާކުރުން
sweater	ސްވެޓަރ
sweat	ދާ
sweep	ކުނިކެހުން
sweet dreams	ބާއްޖަވެރި ހުވަފެންތަކަކަށް އެދެން
sweetheart	ސްވީޓް ހާޓް
sweet tooth	ސްވީޓް ޓޫތް
sweet	ފޮނި
swelling	ދުޅަވުން
swell	ދުޅަވެފަ
swimming	ފެތުން
swim	ފެތުން
swing	ސްވިންގ
switch	ބަދަލުކުރުން
swollen	ދުޅަވެފައި
sword	ކަނޑި
symbol	ނިޝާން
sympathy	ސިމްޕަތީ
symptoms	ޢަލާމާތްތައް
system	ސިސްޓަމް
table	މޭޒު
tackle	ޓެކްލް
tag	ޓެގް
tail	ނިގޫ
take away	ގެންދިޔުމަށް
take care	އަޅާލުން
taken	ނަގާފައި
take off	ޓޭކް އޯފް
take	ނެގުން
talkative	ވާހަކަގިނަ
talk	ވާހަކަ ދެއްކުން
tall	ދިގު
tape	ޓޭޕް
tap	ފެން އިސްކުރު
target	އަމާޒު
task	މަސައްކަތެއް
taste	ރަހަ
tasty	މީރު
taught	ކިޔަވައިދިން
teacher	މުދައްރިސު
teach	ކިޔަވައިދިނުން
team	ޓީމު
tears	ކަރުނަތައް
tear	ކަރުނަ
tease	ދިމާކުރުން
tea	ސައި
technology	ޓެކްނޮލޮޖީ
teeth	ދަތް
tell me	އަހަރެން ކައިރީ ބުނެބަ
tell	ބުނުން
temperature	ފިނިހޫނުމިން
temper	ރުޅި
temple	ބުދުފައްޅި
temporary	ވަގުތީ
tenant	ގޭގައި ކުއްޔަށް ދިރުއުޅޭ
tendency	ކަމެއްކުރުމަށް އިޚްތިޔާރުކުރެވޭގޮތް
tender	މަޑު
tense	ކަންތައް ބޮޑުވެފައި
tension	ފިކުރު
tentative	ވަގުތީ
ten thousand	ދިހަ ހާސް
tent	ޓެންޓް
ten	ދިހައެއް
terms	ޝަރުޠުތައް
term	މުއްދަތު
terrible	ބިރުވެތި
terrific	ބަރާބަރު
territory	ސަރަހައްދު
test	އިމްތިޙާން
text	ލިޔުންކޮޅު
Thanks for using our app	އަަހަރުމެންގެ މި އެޕް ބޭނުންކުރީތީވެ ޝުކުރިއްޔާ
thanks	ޝުކުރިއްޔާ
Thank you for your patience while we investigate shipment	ޝިޕްމަންޓްގެ ކަންތައްތައް ބަލާދެވެންދެން މަޑުކޮށްދެއްވތީ ޝުކުރިއްޔާ
thank you so much	ވަރަށް ބޮޑަށް ޝުކުރިއްޔާ
thank you very much	ވަރަށް ބޮޑަށް ޝުކުރިއްޔާ
thank you	ޝުކުރިއްޔާ
thank	ޝުކުރު
than	ވުރެ
that is	އެއީ
that's good	އެހެންވިއްޔާ ރަނގަޅު
that	އެ
theft	ވައްކަން
their	އެމީހުންގެ
theme	ތީމް
themselves	އެމީހުން
them	އެމީހުން
then	އޭރު
theory	ތިއަރީ
there are	އެމީހުންނަކީ
therefore	އެހެންކަމުން
there is	އެބައޮތް
there	އެތަނުގަ
these	މި އެއްޗެހި
they are	އެމީހުންނަކީ
they	އެމީހުން
thick	ބޯމިން
thief	ވަގު
thigh	ފަލަމަސްގަނޑު
things	ތަކެތި
thing	އެއްޗެއް
think	ވިސްނުން
thin	ހިމަ
third	ތިންވަނަ
thirsty	ކަރުހިއްކުން
thirteen	ތޭރަ
thirty	ތިރީސް
this is	މިއީ
this	މި
thoroughly	އެއްކޮށް
thorough	އެއްކޮށް
those	އެތަކެތި
thoughtful	ވިސްނޭ
thoughts	ޚިޔާލުތައް
thought	ހީކުރީ
though	އެހެންވިޔަސް
thousand	އެއްހާސް
thread	ރޮދި
threaten	ބިރުދެއްކުން
threat	ބިރުދެއްކުން
three	ތިނެއް
threshold	ތްރެސްހޯލްޑް
thrilled	އުފާވެފައި
thrive	ކުރިއެރުން
throat	ކަރު
throughout	މުޅި މަރުޙަލާގައި
through	ތެރެއިން
throw	އެއްލުން
thumb	ބޮޑުވާ އިނގިލި
thunder	ގުގުރި
Thursday	ބުރާސްފަތި
thus	އެެހެންކަމުން
tick	ހެޔޮފާހަނގަ
tide	ދިޔަވަރު
tidy	ސާފުކުރުން
tie	ގޮށްޖެހުން
tiger	މިނިކާވަގު
tight	ބަންދު
Tigrinya	ޓިގްރީންޔާ
time	ވަގުތު
timid	ބަސްމަދު
tiny	ކުޑަ
tips	ނުކުތާތައް
tip	ކޮޅު
tired	ވަރުބަލިވެފައި
tire	ވަރުބަލިވުން
tissue	ޓިޝޫ
title	މަޤާމު
toast	ޓޯސްޓް
to be	ވާންއުޅޭ
today	މިއަދު
toddler	ކުޑަކުއްޖާ
toes	ފައިގެ އިނގިލިތައް
together	އެކުގައި
toilet	ފާޚާނާ
told	ބުނުން
tolerance	ކެތްތެރިކަން
tolerate	ކެތްކުރުން
tomato	ވިލާތު ބަށި
tomorrow	މާދަމާ
tongue	ދޫ
tonight	މިރޭ
took	ނެގުން
tools	ސާމާނުތައް
tool	ޓޫލް
tooth	ދަތް
too	ވެސް
topic	މައުޟޫއު
top	މަތި
torn	އިރާލުން
torture	އަނިޔާ
total	ޖުމްލަ
touch	އަތްލުން
tough	އުނދަގޫ
tour	ޓުއަރ
towards	އެދިމާއަށް
toward	ދިމާއަށް
towel	ތުވާލި
town	ޓައުން
toxic	ނުރައްކާތެރި
to	އަށް
trace	ޓްރޭސް
track	ޓްރެކް
trade	ވިޔަފާރި
traditional	ޘަޤާފީ
tradition	ޘަޤާފަތް
traffic	ޓްރެފިކް
trail	ޓްރެއިލް
training	ތަމްރީނު
train	ޓްރެއިން
traits	ސިފަތައް
trait	ސިފައެއް
transfer	ބަދަލުކުރުން
transition	ބަދަލުވުން
translate	ތަރުޖަމާކުރުން
transparent	ދެކޮޅު ފެންނަ
transportation	ދަތުރުފަތުރު
transport	ދަތުރުފަތުރު
trap	ދަންމަޅި
trash	ކުނި
trauma	އަނިޔާ
travel	ދަތުރުކުރުން
tray	ޓުރޭ
treasure	ޚަޒާނާ
treatment	ފރުވާ
treat	ފިޔަވަޅު އެޅުން
tree	ގަސް
tremendous	ބައިވަރު
trend	އާގޮތް
trial	ޓްރަޔަލް
trick	އޮޅުވާލުން
tried	ވަރުބަލިވެފައި
trigger	ކަމެއްވުމަށް މެދުވެރިވާ ސަބަބު
trim	ކޮށުން
trip	ދަތުރު
trouble	މައްސަލަ
trousers	ފަޓުލޫނު
truck	ޓްރަކް
true	ރަނގަޅު
trunk	ގަހުގެ ބުޑު
trust	އިތުބާރު
truth	ޙަޤީޤަތް
try	މަސައްކަތްކުރުން
Tsonga	ސޮންގާ
tube	ހޮޅި
Tuesday	އަންގާރަ ދުވަސް
tuition	ޓިއުޝަން
turkey	ތުރުކީ
turmeric	ރީނދޫ
turn	އެނބުރުން
turtle	ކަހަނބު
tutor	ކިޔަވައިދޭމީހާ
twelve	ބާރަ
twenty-one	އެކާވީސް
twenty	ވިހި
twice	ދެފަހަރު
twist	އަނބުރާލުން
Twi	ޓުވި
two	ދޭއް
type	ވައްތަރު
