qunxaama	a little
racmat le	tender
ceynitiyya	tense
taqabi	tension
naqabu	tension
meesi	tension
meeko qari	tent
elle sugà	tentative
ambalal caaloota	term
ambalal caaloota	terms
conxo le	terrible
cunxo le	terrific
rakaakaya	territory
aqayyaare	test
kutbe	text
gadda	thank
faata koh gacsa	thank you
gadda gey	thank you
quukitte fokkaqnah gide nee qambalteemih gadda gey	Thank you for your patience while we investigate shipment
kaxxa gadda koh gacsa	thank you so much
kaxxa gadda koh gacsa	thank you very much
gadda gey	thanks
ni tadeera tintifiqqeemih gadda gey	Thanks for using our app
too	that
ama	that
kinnih	that is
woh meqeh	that's good
garqa	theft
ken	their
usun	them
lafa le mabla	theme
sinnih	themselves
tokkeek	then
woo waqdi	then
mabla	theory
tokkel	there
wokkel	there
tanih	there are
tanih	there is
tohih sabbatah	therefore
ta	these
ahim	these
usun	they
usun kinnoonuh	they are
gabul le	thick
garqa	thief
xeeqare	thigh
qaku le	thin
tiya	thing
tu	thing
tumamme	things
duyye	things
ascubiyya	think
uscub	think
sidic haytu	third
bakaarite	thirsty
taban kee sidocu	thirteen
soddomu	thirty
ah	this
tah	this
aham	this is
digga luk	thorough
addaffakot luk	thoroughly
oson	those
woo	those
takkay immay	though
mabla	thought
mabla leemi	thoughtful
maqaane leemi	thoughtful
mablooli	thoughts
alfi	thousand
tufulu	thread
meesisso	threat
tirtiris	threaten
meesis	threaten
sidoc	three
heteritte	threshold
kaxxam farci	thrilled
dadliyya	thrive
leediyya	thrive
garoyra	throat
tokkeek	through
malat	throughout
qambisiyya	throw
kaxxa gili	thumb
angaade	thunder
kamiisi	Thursday
tokkeek	thus
asta xongolo	tick
dufa	tide
saytun	tidy
maxxeena	tie
axiyya	tie
kabqi	tiger
digga le	tight
Tigreh afa	Tigrinya
waktih addat	time
udduru	time
warigga li	timid
kaxxam qunxa	tiny
acwa	tip
amo	tip
fayitte	tips
taqbiyya	tire
gomma	tire
taqbeh	tired
lee summuusa warkata	tissue
ammunta	title
iffan	to
wohuh	to
akkem	to be
laqlaqiyya	toast
asaaku	today
alqi	toddler
ibi feeraari	toes
siitalluk	together
daacò-buxa	toilet
warseh	told
iyyeh	told
qansiisasinna	tolerance
xiqiyya	tolerate
timaatimi	tomato
kamadooru	tomato
beera	tomorrow
arraba	tongue
abar	tonight
kaadu	too
kaxxam	too
beeh	took
silaaca	tool
silaacitte	tools
moddina	tooth
amo	top
fayya le	top
ammunta	topic
qanxixxeh	torn
qansariyya	torture
digaaliyya	torture
amolladih	total
xag	touch
gidba le	tough
diggale	tough
wacaysir	tour
iffan	toward
iffan	towards
foota	towel
magaala	town
summutte	toxic
raata	trace
raat katiyya	track
badaaqa	trade
tellemmo	trade
qaada	tradition
qaadah imi	traditional
tiraafiki	traffic
raat katiyya	trail
aydakaakaniyya	train
aydakaakana	training
baxsa le caalata	trait
Baxsale caaloota	traits
tatrusiyya	transfer
tabsa	transition
tatrusiyya	transition
af gacis	translate
maqnis	translate
qaduk	transparent
merraytu	transport
merraytu	transportation
oflo	trap
wasaka	trash
qudufu	trash
msenkaca qansaru	trauma
safara	travel
taqabi	tray
agarawa	tray
gadda	treasure
haysitiyya	treat
daylisiyya	treat
arcibisiyya	treat
mabbuxu	treatment
dayla	treatment
caxa	tree
kaxxam naba	tremendous
qusba salu	trend
gabbatu	trial
aylahu	trick
aylahis	trick
gabbatteh	tried
gabbateh	tried
ugussah	trigger
daggos	trim
biliyya	trim
safara	trip
taqabi	trouble
sirwaala	trousers
quuki makiina	truck
NUMMA	true
laqibitte	trunk
aamaniyya	trust
numma	truth
gabbat	try
Tsongah afa	Tsonga
xabaxa	tube
talaata	Tuesday
barittò mekla	tuition
iro baaxoh dorrahi	turkey
sugudi	turmeric
xambaqimiyya	turn
gobal goblaali	turtle
dubuk barsiyya	tutor
taban kee nammaya	twelve
labaatanna	twenty
labaatanna kee ti	twenty-one
Twih afa	Twi
nammada	twice
mak	twist
nammay	two
qaynata	type
yitbiqen kutbe	type
qaynata	typical
qax umaane	ugly
inkih naba	ultimate
elle caboh	ultimate
agoogar	umbrella
duudewayti	unable
qammi	uncle
hawri sinna	unconscious
gubak	under
gubak	underneath
addah heenimi	underrated
cediyya	understand
cedeh	understood
qaasir maliino	unfortunately
inkinnal	uniform
inki belu le sara	uniform
dibiino	unique
baxsa le	unique
acassaale	unit
jaamiqata	university
amixxigewaytaama	unknown
kalih	unless
maleh	unless
tohum fan	until
suge wayteemi	unusual
fayya	up
daga	up
kol raqta	up to you
maysaasa	update
dadlisiyya	upgrade
dagal	upon
ceeriyya	upset
anqibiyya	upset
magaala	urban
kaxxa fayxi	urge
alliliyya	urge
sissikuk	urgent
xeyih	urgent
nanu	us
xoqoysimi	use
intifiq	use
tuxxiqil asse	used
tuxxiq leemi	useful
ayfaf tacee	useful
tuxxiq mali	useless
barteenimi	usual
mango waqdi	usually
ayfaafaya	utility
ufuy ruubo	vacation
ramaqqa	vacation
aftabu	vaccination
aftabi	vaccine
caacaymal	vacuum
badit leemi	vague
qidi-sinna	vague
oggol leemi	valid
golò	valley
nhirleemi	valuable
nihir	value
qaynat qaynata	variety
baxaabaxsa le	various
baxsale	vary
birrò daffeyna	vase
kaxxam mango	vast
caxaaxuwa	vegetable
caxaaxuwa	vegetables
kokkobeena	vehicle
yaylammi	vendor
ali summi	venom
bohoy le gibbatu	venture
handaga	venue
ixmiq	verify
mangaafà mihartle	versatile
iyyenti exxa	version
kareeri	vertical
kaxxam	very
kaxxam meqe	very good
markaba	vessel
kabuuk	via
umamle	vicious
biyaakime	victim
magada	victim
viidio	video
yangayye muuci	video
mabla	view
baari'	village
uma numu	villain
mulcu	vinegar
dumih udduruhimi	vintage
dobolloko	violence
dobollok le	violent
vayrasak temeeti	viral
bikirit yan	virgin
bikirit tan	virgin
baguh yaaxigeenimi	virtual
meqem-mariino	virtue
hadafa	vision
mabla	vision
gufne	visit
boosa	visit
diyaara	visit
intih yableenimi	visual
issaasak tanim	vital
qadoh	vivid
qangooru	vocabulary
anay	voice
xomgol	voice
oggolsinna	void
anaya	volume
xongolo	volume
labbatiinu	volunteer
alliyo	vomit
taanoyta	vulnerable
qasbi	wage
qasbi	wages
axca	waist
qambal	wait
idiy	wait
arcibise	waiter
qambaaliyya	waiting
ugutaanama	wake
mastara	wake
ugut	wake up
ibah gexaanama	walk
ibi gexo	walking
gidaara	wall
maali borsa	wallet
meeko	wander
faxà	wanna
fayxi	want
faxxiimtam	wanted
gorrisaanam	wanted
carbi	war
sari armmadiyo	wardrobe
magaazini	warehouse
laqna	warm
takkawso	warn
takkawsiyya	warning
qeebi abe	warrior
carbeyna	warrior
sugtè	was
suge	was
kaqlis	wash
finqa	waste
baysiyya	waste
wagit	watch
lee	water
cabcaba	watermelon
ayburruciyya	wave
ugaara	wave
gita	way
gurra	way
nanu	we
nanu kinninoh	we are
nanu dudnah	we can
boola	weak
boola	weakness
gaddaliino	wealth
gaddali	wealthy
saritaanama	wear
haanama	wear
aclisiyya	wearing
silayti awwaala	weather
ayro caalata	weather
digibi	wedding
arbaqa	Wednesday
caffatuna	weed
ayyaama	week
sabti kee caada	weekend
qilsa	weight
qaadak iro	weird
baxsaleemi	weird
arcib	welcome
manò caabi	welfare
qeela	Well
nagay	Well
meqem abte	well done
gexeh	went
sugne	were
sugen	were
ayrò  korma	west
wiinaana	wet
baddi qambara	whale
maca	what
atu isihii?	what about you
macaay abtam?	what are you doing
away macaay abtam	what are you doing now
Away abtam macaay?	what are you doing right now
Atu macaay abta?	what do you do
kok taama macaay?	what do you do for a living
amahak maqna macaay?	what do you mean
maca faxxaah	what do you want
maca tekkeeh	what happened
macaay	what is
ah macaa?	what is this
taama kok macaay?	what is your job
migaq kok iyyaay?	what is your name
maca tan	what's up
migaq kok macaay?	what's your name
faxem takkay	whatever
qasdaro	wheat
baabur gomma	wheel
mawaqdi	when
faxe waqdi	whenever
anke	where
ankeel tantoo?	where are you
anni baaxok temeete	where are you from
ankel tantoo?	where are you now
guubuh ankel tanii?	where do you live
ankel tan	where is
takkewak	whereas
kinnik waytam	whether
annitii	which
annim	which
waqdi	while
kinni way	while
tutucu	whisper
fooxisaanama	whistle
qidi	white
iyyi	who
iyyaay?	who
iyyaay atu?	who are you
iyyaay	who is
ah iyyaay	who is this
inkiih	whole
kibu	whole
iyyi	whom
iyyin imi	whose
macah	why
maca sabbatah	why
macah akkewayta?	why not
umaane	wicked
fidna leemi	wide
gubnà	widow
fidna	width
buxah ina	wife
baarra	wife
dubaala	wild
fayxi	will
takku waytaama	will
gulgulu	willing
mayso	win
silaytu	wind
taagata	window
silaytule	windy
mees	wine
karma	winter
dug	wipe
fiik	wipe
qerrata	wire
siibo	wire
kasa	wisdom
kas le	wise
niya	wish
Meqem koh qaagita	wish you all the best
baab abeyna	witch
luk	with
lih	with
ewqa'	withdraw
cabti	withdraw
mawqà	withdrawal
addat	within
maleh	without
ane kal	without
sumaawa	witness
maxco meqe	witty
suulà	wolf
barrà	woman
agabu	women
yeyseh	won
teyseh	won
maaba	won't
cakkumistaanama	wonder
qajab leemi	wonderful
caxxa	wood
suufu	wool
qangara	word
qangooru	words
taama	work
xagar angoyya	work out
taamitaanama	work out
taamitiyya	working
baada	world
daariyaytu	worm
tembexeh	worn
meesiteh	worried
ceenooteh	worried
adaadara	worry
gacah	worse
gactah	worse
yaqbudeenimi	worship
inkih umaama	worst
tuxxiq	worth
tassacakkeh	worth it
yaguudeh	worthy
takkem bictaama	would
raare	would
dale le	wound
mudim	wound
cibaanama	wrap
bakcarra	wrath
mogoyu	wrist
uktub	write
akkel uktub	Write here
kutbe	writing
tunkuttubeemi	written
hoxa	wrong
yuktubeh	wrote
xexxar macassalà	yard
adengaaqa	yawn
yeey	Yeah
sanata	year
sanatitte	years
liggiditte	years
ayqu	yeast
seec/kaay/	yell
deero	yell
walqin bisu	yellow
Yeey	Yes
Meqeh	Yes
meqeh yi dahabey	yes baby
meqeh yi kacnoytay	yes dear
meqeh yi malabey	yes honey
meqeh yi kacanow	yes my love
yeey asmatah	yes of course
kimal	yesterday
takkay immay	yet
uxih	yet
murti	yield
isin	you
atu	you
atu kinnitoh	you are
atu kaxxam qax miqito	you are beautiful
Atu kaxxam qax miqito	you are so beautiful
gadda mawaan	you are welcome
atu duddah	you can
Atu taaxigeh	You know
atu kaadu	you too
gadda mawaan	you're welcome
bar qunxa numu	young
kuumi	your
sin imi	your
gadda mawaan	your welcome
arcib	your welcome
atu isih	yourself
qunxaaneyta	youth
gadda mawaan	you’re welcome
arcib	you’re welcome
salfa le	yummy
foyya	zero
