a	éí
obstacle	tʼáá haʼátʼííshį́į́ hachʼą́ą́h hólónígíí
obtain	chóʼooztʼeʼ
obtain	nídiilyá
obtained	nízhdiilá
obtained	nídiilyá
obvious	tʼáá ííshjání átʼéhígíí
obviously	tʼáá ííshjání átʼéhígíí
occasionally	łah da
occupation	naanish
occupied	hanaanish hólǫ́ǫgo
occur	ádzaa
occur	áhoodzaa
occurred	ádzaago
occurs	adzaa
ocean	tóniteel
october	Ghąąjįʼ
odd	haashį́į́ yitʼé
odds	dabiʼohígíí
of course	tʼáá áko
off	asdiid
offensive	akʼizhdiitʼaah
offer	bóʼoolkąąh
office	naaltsoos binidaʼanish góneʼ
official	ilį́įgo alyaa
often	tʼáá ałhxą́ą́h
Oh	Ǫ́ǫ
oh really	daʼ tʼáá aníí
oil	akʼah
oil	chidí bikʼah
ok	bíighah
ok	tʼáá áko
ok dear	bíighah, awééʼ
ok honey	bíighah, shichʼooníh
ok my love	tʼáá áko, shichʼooníh
okay	bíighah
okay	tʼáá áko
okay baby	bíighah, awééʼ
okay dear	tʼáá áko, awééʼ
okay honey	tʼáá áko, shichʼooníh
okay my love	tʼáá áko, shichʼooníh
old	sání
on	bikáaʼgi
once	tʼááłáʼíhídi
one	tʼááłáʼí
one	tʼáá eii
one language is never enough	saad tʼááłáʼígo doo bíighah da
onion	tłʼohchin
online	béésh łichíiʼii nitsékeesí biyiʼjįʼ
only	téíyá
open	ąąʼátʼé
operation	naanish biʼoonishígíí
opinion	íizhnizingo bee haʼoodzíʼígíí
opportunities	bee adahaztʼiʼígíí
opportunity	bił hooʼaahgo
opportunity	bikʼéhalzhishgo
opposite	bidinínáh átʼéhígíí
optimistic	hajoobaʼ íizhnizin
option	łahgo átʼéego baa nááhonítʼiʼgo
optional	bíighahdą́ą́ʼ
or	doodago
orange	łitsxo
order	bikáʼéʼalnééh
ordinary	tʼáá ákotʼéhígíí
organization	ałąąh nehaʼníiłgo hashtʼeelnééh
organization	ałkééʼ nehaʼníiłgo hashtʼeelnééh
orientation	naanish binaʼniltin
origin	bee hahoolzhiizhígíí
original	ałtsé alyaaígíí
Oromo	Ethiopia Dineʼé Bizaad
orphan	hamá dóó hazheʼé ádingo
other	nááná łaʼ
otherwise	nááná łah átʼéego
ought	akotéego nítʼę́ę́ʼ
our	nihí
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Nihinaanish íinéhígíí: dinéʼ tʼáá ałtsoh hazʼą́ą́góó díí nahasdzáán yaaʼákonízingo yikʼiʼdiitįįh dóó saad tʼáá ałʼąą ádaatʼéhígíí yee ałhxił halneʼgo ádoolnííł.
Our mission: to organize the world's information and make it universally accessible and useful.	Nihinaanish íilnéhígíí: nahasdzáán tʼáá náhwiizʼą́ą́ nítʼę́ę́ʼ bee baa haneʼí ałkééʼ nidooʼnił dóó tʼáá ałtsohjįʼ diné bee bichʼįʼ báʼahootʼiʼ dóó choyoołʼį́h biniiyé.
out	ch'í-
outcome	ałtsoh ályaago
outfit	ééʼ biiʼ náʼanahígíí
outgoing	ayóo báhózhǫ́
outgoing	ayóo hwáhózhǫ́ǫgo
outlet	naalyéhí bádahooghan
outline	bá nahasdzoh
outside	tłʼóógóó
outside	tłʼóoʼdi
outstanding	nizhónígo aʼjiłį́
oven	chʼiyáán biyiʼ yitʼeesígíí
over	bitis
over there	dząądí
overall	tʼáá átʼéénéeʼgo
overcome	bilájiyá
overthinking	ádił nitsáhákees
overwhelmed	adeʼáhoodzaa
overwhelming	hwił yaa nináhádááh
overwhelming	adił nitsáhákees
owe	tʼáá haʼátʼííshį́į́ haʼínilgo nátʼą́ą́ nináʼilyéhígíí
owl	néʼashjaaʼ
own	bí
own	shí
owner	bíhígíí
ox	béégashii ałchiní
pace	tsxį́įłgo bee hoolzhishígíí
pack	hxééł ályaa
package	tʼáá haʼátʼííshį́į́ bił asdisgo
paid	naʼilyá
pain	diniih
paint	dleesh
painting	hojidleesh
pair	naakigo
pale	yigai
palm	alátłʼááh
pan	tseeʼí
pandemic	nitsihodinídéélgo hooʼah
panic	nijildzid
pants	tłʼaajįʼééʼ
paper	naaltsoos
paradise	hózhǫ́ǫgo hazʼánígíí
parallel	ałhxą́ą́h ídzoh
parallel	nanoolzheeʼ
parcel	tʼáá haʼátʼííshį́į́ naaltsoos bił yisdisgo bił éʼalnéhígíí
pardon	aaníʼdeetʼaah
parents	amá dóó azheʼé
park	hodootłʼizhgi
parrot	tsídii yáłtiʼí
parsley	chʼil
part	tʼáá haʼátʼííshį́į́ łahdóó átʼéhígíí
participate	bee atah jilį́
particular	tʼáá haashį́į́ yitʼéé shį́į́
particularly	tʼáá haashį́į́ yitʼééshį́į́
partner	yił naaʼaashígíí
partner	yił naalnishígíí
party	daʼadą́h
party	daʼjiyą́
pass	bilááh
pass	bitis
passage	haneʼ
passed	bíighah góneʼ dahodiitʼiʼ
passion	hwił yáʼátʼééh
passionate	baa ájąʼjolníh
passive	tʼáá bíʼnidii áhooníłígíí
password	saad bee yah ahóótʼiʼígíí
past	ałkʼidą́ą́ʼ
patch	bidániʼdeetʼą
path	atiin
pathetic	hahojoobáʼígo
patience	ahwishdéeszééʼ
patient	nábidiʼnélʼįįhí
pattern	ałkééʼ honiʼą́ągo bee éʼalną́hígíí
pattern	bikʼehgo áʼalʼíní
pause	neʼ adzaa
pavement	ildléézh
pay	bikʼéh naʼilyé
payment	tʼáá haʼátʼííshį́į́ bikʼeh naʼilyá
peace	kʼé hwiinidzin
peace	hodéezyéél
peaceful	hodéezyéél
peach	didétsoh
peak	dahatsʼos
pear	chʼil łitsooí betseeʼ hólónígíí
peas	naaʼółí nimazí
peculiar	tʼóó haashį́į́ yitʼé
pee	łizh
peel	bedǫ́ǫ́s
peer	diné tʼáá ałhxąąh naniseʼígíí
peers	diné bił ałhxąąh nidazhniseʼígíí
pen	bee naʼadzooí
pencil	bee akʼeʼalchíhí
pending	tʼáhdii baa hoolzhíísh
pending	tʼáhdii bichʼįʼ oolzhish
people	diné
pepper	azeeʼ díchʼííʼ łibáhí
perceive	bikʼizhdiitįįh
perception	baa nitsíjikeesígíí
perfect	nizhóní
perform	tʼáá haʼátʼííshį́į́ ajilééh
performance	bee aʼjilééh
perhaps	ją́ą́shį́į́
period	dah alzhin
permanent	tʼáá átʼéegi átʼéhígíí
permission	bee há ląʼ adoodleełígíí wokeed
permit	naaltsoos bikʼehgo tʼáá haʼátʼííshį́į́ alnéhígíí
perseverance	izhą́ shį́į́ nanitłʼah nidi tʼáá ádoonííł
persistent	bee jizínígíí bee aʼjilééh
person	diné
personal	tʼóó hó jizínígi hodeetʼiʼígíí
personality	haʼátʼeʼ dóó ájitʼéhígíí
perspective	tʼáá hó baa nitsíjikeesígíí
persuade	abijiníigo adzaa
pervert	dinéʼ tʼóó baaʼihgo nitsékeesígíí
pet	łį́į́ʼ
phase	biyiʼ hoolzhishígíí
phenomenon	doo ééhozingóó áhoonííł
philosophy	haneʼ bee nidaʼnitinígíí
phone	béésh bee haneʼí
photo	ééʼalyaaígíí
phrase	saad bee haʼoodzíiʼgo
physical	atsʼíís bee nijigháhígíí
pick	bikʼih hodiiniiʼ
pick up	nizhdiiʼaah
picture	naʼashchʼąąʼ
picture	ééʼalyaaígíí
piece	bidooltsʼiʼgo
pieces	tʼáá haʼátʼííshį́į́ ádaałtsʼíísígíí
pig	bisóodi
pigeon	hisbídí
pile	táadooleʼé yanáaʼáh
pillow	tsiiʼááł
pilot	chidí naatʼaʼí neiłtʼaʼí
pin	iłdah nátį́hį́
pineapple	bilasáana diwozhí
pink	dinilchííʼ
pit	ahoodzą́h
pitch	ajiisghan
pity	aahojoobaʼ
place	hazʼánídi
place	hazʼą́ądi
places	nahazʼą́ą́góó
plague	naałniih
plain	doo naashchʼąąʼ da
plan	nahatʼá
plane	chidí naatʼaʼí
plant	naniseʼ
plants	chʼil
plate	asaaʼ bikááʼ adání
platform	dah náhastʼánígi
play	naʼaʼné
playing	naʼané
pleasant	nizhóní
please	tʼáá shǫǫdí
pleased	hwił yáʼátʼééh
pleasure	bee ił hózhǫ́
pledge	bee ádeehazhdoodzííʼ
plenty	ląʼí dah
plot	baa haneʼígíí
plug	baaʼiiltʼééh
plum	chʼil naʼatłʼoʼiitsoh
plumber	tó bá nidaʼatsih yinaalnishí
plural	tʼáá haʼátʼííshį́į́ ląʼígo
podcast	yátiʼgo doodago sin bikʼih niiʼnííł
poem	haneʼ yázhí
poetry	haneʼ yázhí hadadilyaaígíí
point	dah aʼtsih
poison	beʼajił
police	silao
policy	bee hazʼáanii bikʼehgo nidaʼanishígíí
polite	haʼáhwiinítʼį́
pollution	tʼáá haʼátʼííshį́į́ baaʼih yileeh
pond	tó siyį́h
pool	tó biyiʼ naʼalkǫ́ʼígíí
poop	chąąʼ
poor	tʼáá hajoobááʼí
pop	dilchosh
popular	bééhoʼdilzin
population	diné ánéeltʼeʼígíí
pork	bisóodi bitsįʼ
porridge	tóshchíín
port	tsinaaʼeeł dah nidaaʼeełígi
position	siʼánígíí
position	niitánígíí
positive	hózhǫ́
possess	hó silį́įgo
possession	tʼáá haʼátʼííshį́į́ hóhígíí
possessive	hógo
possible	tʼáá bíighah
post	tsin iiʼáh
postpone	náás deestʼą́h
potato	nimasii
potential	baaʼahodlíh
pound	dahidédloʼígíí
poverty	teʼeʼį́h
power	adziil
powerful	ayóí ábóodziil
practical	tʼáá ákotʼée łeh
practice	nabíʼnitaah
praise	aahojiniih
praise	haahaʼniih
prank	tʼóó ił naʼané
prank	tʼóó aaʼoodloh
pray	tsodizin
precious	baa hastiʼ
precise	tsʼídá tʼáá ákwii átʼéhígíí
precisely	tsʼídá tʼáá ákotʼé
predict	náasdi áhodooníłígíí baa haneʼ
prefer	áájígo dooleeł
preference	tʼáá haʼátʼííshį́į́ jinízinígíí
pregnant	ootsą́h
prejudice	diné jijoołá
prejudice	diné bázhdoolnih
premises	hazʼánígi
premium	béeso áchʼą́ą́h naaʼnil bikʼéh nahalyéhígíí
preparation	hashtʼeʼ ázdólzinígíí
prepare	hashtʼeʼ ázdolzin
prepared	hashtʼeʼ ázdolzin
preposition	saad bee yátiʼgo háadi adzaaígíí baa haneʼ
presence	ákweʼé hojilǫ́h
present	kʼad
present	kǫ́ǫ́h
presentation	diné bił ííshjání eʼelnééh
preserve	baa hą́ą́h hwiinidzin
president	naatʼáanii aląąjįʼ dah sidáhígíí
press	yaago bizhdeelchidgo
pressure	níłchʼih bidziilígíí
pretend	tʼóó ahatʼį́
pretty	nizhóní
prevent	bitsʼąą áhatʼį́h
previous	akéediígíí
prey	naaldlooshii dah biʼdoodį́łígíí
price	bą́ą́h alʼínígíí
pride	ádéíjódlíh
priest	diyin bizaad yaa halneʼí
primary	alą́ąjįʼ
prime	tsʼídá áłtsé átʼéhígíí
princess	chʼikę́ę́h nizhóní
principal	óltaʼ binaatáanii
prior	alʼą́ąjįʼ
priority	aląąjįʼ nahaaʼnilígíí
prison	awáaliyah
privacy	tʼáá hó tʼéíyá hwił bééhozingo
privacy	tʼáá sahdii ajiltéhígíí
private	doo háída bee bił haneʼ da
private	tʼáá hótʼée yá hwil bééhozin
privilege	tʼáá haʼátʼííshį́į́ yéego ilį́įgo bee háʼahootʼiʼígíí
prize	woobiihígíí
probably	shąʼshin
problem	anáhootʼiʼ
procedure	bikʼehgo niʼdoonishígíí
proceed	náás hoolzhish
process	binaʼanish
process	ałkéé dahoniʼą́ągo binaʼanishígíí
produce	naniseʼ chʼiyáán
product	tʼáadooleʼé alyaaígíí
production	tʼáá haʼátʼííshį́į́ ałtsoh ádaayaaígíí
profession	hwinaanish ájiłʼínígíí
professional	honaanish yéego bééhojisingo ájiłʼínígíí
profile	bee baa haneʼí
profit	béeso binahjįʼ ályaaígíí
profound	tʼáá íiyisíí nizhóní
profound	bohónéedzą́h
progress	náás hoolzhishígíí
project	naanish alnéhígíí
prominent	yéego bóholnííh
promise	bee ádáhwijiilʼah
promote	naanish biyiʼ náás ahoʼdooltʼeʼgo
promotion	naanish biyiʼ náás ahoʼdiltʼeehígíí
prompt	binahjįʼ haneʼígíí
prone	ayoochʼííd
pronouns	saad bee yátiʼgo daabíhígíí bee wójíh
pronunciation	saad wóltaʼgo bee ajinínígíí
proof	binahjįʼ bee ééhozinígíí
proper	tʼáá ákotʼéego bee hazʼą́
properly	shąʼshin
properties	kéyah hadahasdzooígíí
property	daahóhígíí
proposal	naaltsoos bee ókeedgo hadilyaaígíí
prospect	nawolnínígíí
prosperity	asah naʼadáh
prosperous	akʼihojidlíh
protect	baa hą́ą́h hasin
proud	hxééhwiinidzin
prove	ją́ą́shį́į́ ííshjání alnééh
provide	hólǫ́ǫgo áálzin
provide	hólǫ́ǫgo áyosin
provided	hólǫ́ǫgo alyaa
province	kéyah bił hahoodzooígíí
provision	choidooʼįįłígíí chóoztʼeʼ
puberty	teʼiʼį́h
public	hasdlą́ągi
public	hasdlą́ądi
pull	deeztsʼǫ́ǫ́d
pumpkin	naayízíłchííʼ
punctual	bee nihootʼání góneʼ áadi biniiyé naʼadá
pupil	nooséłí
purchase	nahaniih
pure	doo bąąh chxin da
purple	tsédídéehgo dootłʼizh
purpose	biniiyéhígíí
purpose	biniinaaígíí
purse	béeso bizis
pursue	bizhneeshnish
pursuit	jinoołchééł
push	biʼdeesgil
put	dah sitįįh
put	dah silé
put	dah siʼaah
qualification	bee áʼadahaztʼiʼígíí
quality	yéego atisgo átʼéhígíí
quantity	anéeltʼeʼígíí
quarantine	tʼáá sahdii asdáago
quarrel	ałchʼįʼ saad hojiłǫ́
quarter	naakiyáál
Quechua	South America Dineʼé
queen	asdzání naatʼáanii
queer	diigis
query	naʼídikid
question	naʼídikid
queue	idzoh
quick	tsxį́įłgo
quickly	tʼáá tsxį́įłgo
quiet	doo íitsʼaʼí da
quilt	holchxóón
quit	tʼóó neʼ adzaa
quit	tʼóó neʼ ajiilaa
quite	kʼasdą́ą́ʼ
quiz	bee nináʼídikid
quotation	tʼáá haishį́į́ saad yee haadzíigo naasdzooígíí
quote	haʼoodzííʼ bee ályaa
quotes	saad bee hadaʼiisdzíʼígíí
rabbit	gah
race	ałhazhdikááh
race	ałʼąą dineʼé
rage	yéego áhachxįʼ
rain	nahałtin
raise	biyaa hooʼaah
raise	dego ályaa
raised	biyaa hooʼaʼ
raised	biyaa hojiiłʼaʼ
ran	yíwod
random	tʼáá haitʼéé shį́į́
range	haanídzahjįʼ bee hazʼą́
rapid	tʼóó hónishgháníjįʼ tsxį́įłgo ádzaago
rapidly	tʼáá naʼnileʼdii tsxį́įlgo
rare	doo áłahahjįʼ da
rarely	doo tʼáá ałhxą́ąh da
rash	akááʼ niʼníkę́ę́z
rat	łeʼatsoh
rate	bą́ą́h alʼínígíí
rather	áko shį́į́
ratio	haashį́į́ néeltʼeʼgo haadzooígíí
rational	biniinaanii
raw	tʼáá łichíiʼ
reach	bíighah ájiilaa
reached	baaʼídzáh
reaction	hatah áhoolaaígíí
read	wóltaʼ
reading	naaltsoos wóltaʼ
ready	hashtʼeetʼé
real	tʼáá anínígíí
reality	tʼáá aníinii
realize	baaʼákozhniizį́į́ʼ
realized	baaʼákohwiiniidzį́į́ʼ
really	yéego
rear	bikéedi
reason	biniinaa
reasonable	tʼáá bíighah
recall	bééjiliniih
receipt	naaltsoos bikʼeh niʼjiilnihígíí
receive	nidiilyá
received	nídiiʼnil
received	nídiilyá
recent	tʼáá aniid
recently	tʼáá aniidígo
reception	daʼadą́
recipe	bikʼeh chʼiyáán alʼínígíí
reckless	tʼáá naʼnileʼdii
recognition	bee hwééhoʼdoolzįįhígíí
recognize	bééhoozin
recommend	díidi shąʼ jiníigo bee hajoodzííʼ
recommended	baa haʼniihgo baa chʼóhootą́
record	bikʼih niiʼnííł
recover	bikʼínaʼneestą́ą́ʼ
recovery	hashtʼeʼ nináʼidááh
rectangle	dikʼą́ągo heeneez
red	łichííʼ
redeem	nídiiʼnííł
redeem	nídiilyé
redemption	hwaaníʼditʼaah
reduce	béé dooʼnił
reduce	nátʼą́ą́ʼ ánalyaa
redundant	tʼááłáhígi átʼéego hááhatʼééh
refer	bichʼįʼ baa naʼnitáh
reference	binahjíʼ éédahozinígíí
reflect	ninánélʼį́įgo binahjįʼ nitsáhákees
reflection	ninánéélʼį́įgo binahjįʼ baa nitsáhákeesígíí
refrain	diné tʼáá haʼátʼííshį́į́ ííléehgo neʼ ajilaago
refrigerator	biiʼ azkʼazí
refrigerator	biiʼ atiní
refund	béesó nátʼą́ą́ʼ aanáʼníłígíí
refuse	dooda hwiinidzin
refused	doosh niizį́į da
regard	baa haneʼígíí
regard	binahjįʼ haneʼígíí
regarding	baa náhátʼínígíí
regardless	izhą́shį́į́ ákotée nidi
regards	baa yátiʼígíí
regards	baa hwiinítʼínígíí
region	bił hahoodzooígíí
register	hadilnééh
regret	doodadoo nítʼę́ę́ʼ
regular	tʼáá ákotʼéhígíí
regularly	tʼáá ahooníłígi átʼéego
reject	dooda hoʼdooʼniid
relate	hodeetʼiʼgo
related	bideetʼiʼ
related	akʼéí
relationship	iiná alnééh
relationship	diné bił ałhééhojilzinígíí
relative	hakʼéí
relative	akéí
relatives	hakʼéí
relax	hazhóʼó jizdáh
release	biʼilniiʼ
released	biʼilniiʼ
relevant	bideetʼiʼígíí
reliable	baʼahódlíigo
relief	hwiiʼhááhwiisdoh
relieve	hwaahodiildoh
relieved	hwiiʼhááhwiisdzol
religion	oodląʼ
religious	oodląʼ
reluctant	bichʼįʼ neʼjilį́
rely	baaʼahodlíh
remain	yidziih
remaining	yidziihígíí
remarkable	nizhóní
remedy	azeeʼ ąąh álʼínígíí
remember	bééhaniih
remind	bééjoolnííh
reminder	bee éénihoʼdiyiilníhį́
remote	tʼáá sahdii hazʼą́
remove	nahjįʼ kólyaa
render	ákaʼajilyeed
rent	aʼítą́ągo bikʼéh naʼiilyé
repair	hashtʼe nálnééh
repair	hashtʼéé jidlééh
repeat	ánáánályaago
replace	bitsáskʼeh anályé
reply	nátʼą́ą́ʼ hááʼoodzííʼ
reply	nátʼą́ą́ʼ náhaneʼ
report	baa náhooneʼ
report	naaltsoos bee haʼdítʼéhígíí
represent	bá jizínígíí
reputation	bee jizínígíí
reputation	bee hwił áhootʼéhígíí
request	wókeed
require	bee hazʼą́
required	bee hazʼą́
rescue	nizhdinidáahgo bee ákaʼeʼeyeed
research	naʼalkaah
resemble	bináłtʼéh
resentment	doo nidzin da
reservation	bee nihootʼą́ągo
reserve	ánalzį́į́h
resident	diné bighanígíí
resign	bitsʼá jiníyá
resilience	tʼáá haʼátʼííshį́į́ bee achʼįʼ anáhatʼihgo bichʼįʼ haʼahóníh dóó bee adziilígíí
resilient	anáhootih haleego bichʼįʼ haʼahonínígíí
resist	doo íinizin da
resist	doo áhwiinidzin da
resistance	doo áhwiinidzin da
resolution	naaltsoos bee nihootʼą́ągo hadilyaaígíí
resolve	hashtʼeedzaa
resort	daʼnijah bił hazʼą́ągi
resources	chooʼį́įgo binahjįʼ tʼáá haʼátʼííshį́į́ alnééh
respect	ił ídlį́
respond	nátʼą́ą́ʼ náháneʼ
response	bee haneʼ ánalyaaígíí
response	bee náhooneʼígíí
responsibility	hodeetʼiʼígíí
responsible	hodeetʼiʼ
rest	hááʼayį́į́
rest in peace	hazhóʼó háánilyį́į́h
restaurant	daʼjiyání bił hazʼánígíí
restore	hashtʼe nályaa
restrict	baa hóchįʼ
result	bee ééhozinígíí
results	bikʼíʼneestą́ʼígíí
resume	hanínááhalzhíísh
retail	íiyisíí bą́ą́h alʼínígíí
retain	tʼáá hweehólǫ́ǫgo
retention	béé jilniihígíí
retired	naanish woozbą́h
retreat	nátʼą́ą́ʼ ádzaa
retrieve	nídiilyá
return	nátʼą́ą́ʼ analyaa
reveal	ííshjání ádzaa
revealed	ííshjání ályaa
revenge	akééʼnaʼiidá
revenue	béeso alyaaígíí
reverse	nátʼą́ą́ʼ ánályaa
review	ninánelʼį́h
revise	ninánelʼį́h
revision	ninánéélʼį́įgo łahgo ánályaa
revolution	tʼáá hooshchʼįʼ łahgo átʼįįh
reward	bee ééhoʼdoolzįįhígíí
rhythm	asaaʼ diitʼaʼígíí
rib	íítsą́ą́ʼ
rice	alóós
rich	atʼį́
rid	biʼilnííh
ride	hwił ilwoł
ridiculous	tʼóó nihxǫʼí
right	nishnáájí
right	tʼáá ákotʼé
right now	kʼad
rigid	ayóo niłdzil
ring	yoostsah
rinse	bąąh naaleeł
riot	chʼahooshkał
rip	yizdlad
ripe	neestʼą́h
rise	dego ídzaa
risk	bee achʼįʼ anáhodootʼih nawolnígíí
rival	tʼááłáʼígíí baa ahaajiyeetʼash
river	tooh
road	chidí beʼatiin
road	atiin
roast	biiʼatʼeesí biyiʼ atʼees
robust	yéego bidziilgo
rock	tsé
rod	béésh
role	honaanish ájiłʼínígíí
roll	yimas
roof	hooghan bikáaʼgi
roof	hooghan bikáaʼdi
room	hazʼą́h
root	chʼil bikétłʼóól
rope	tłʼóół
rotten	dííłdzid
rotten	dííkʼǫsh
rough	dichʼíízh
roughly	tʼáá naʼnileʼdii
round	nímaz
route	atiin
routine	ałkééʼ dahoniʼą́ągo hoolzhishígíí
row	ałkééʼ nitʼiʼ
row	ałkééʼ sinil
rub	bizhdilnih
rubber	jeeh díghází
rubbish	tʼáá ádzaagóó
rude	doo yáʼájitʼéeh da
rug	diyogí
rug	neʼgóó sikaadígíí
ruin	yichxǫʼ
rule	bee hazʼáanii
ruler	bee íʼneelʼąąhį́
rules	bee hazʼáanii
run	yiwoł
running	yilwoł
rural	tʼáá náhwíizánídi
rural	tʼáá náhwíizánígi
rush	tsxį́įłgo
sack	azis
sacred	diyin
sacrifice	tʼáá hó ájitʼéego
safe	siʼah
safe flight	nizhónígo niłniʼdootʼah
safety	siʼah naʼadáh
sage	tsʼah
said	dííniid
sail	naatʼą́hí nibaal
sailing	ooʼoł
sake	biniiyéhígíí
salary	nináhaháago béeso alʼínígíí
sale	nahaniih
salmon	łóóʼ
salt	ashįįh
same	ałhxeełtʼé
Same here	kweʼé ałdó ákotʼé
sample	binahjįʼ átʼéhígíí
sand	łeezh
Sanskrit	Indo-European ałkʼidą́ą́ʼ saad
sarcastic	tʼáá aaʼoodlohgo yátiʼígíí
sarcastic	tʼáá aanáhatʼį́įgo yátiʼígíí
sassy	hwił hózhǫ́
sat	asdáh nítʼę́ę́ʼ
satisfaction	hwił yáʼátʼéhígíí
satisfied	baa hwił hóxhǫ́
satisfy	hwił yáʼátʼééh
satisfying	hwił yáʼátʼééh
Saturday	Damóo Yázhí
sausage	achʼííʼ
savage	doo yistiʼii
save	ą́nasdzįįd
saw	iiltsąh
say	aní
scale	bee dah áʼdiileehí
scam	inaʼadloʼ
scar	sid
scarce	áádįįł
scared	náhadzid
scarf	zéédeełdoi
scary	bááhadzid
scattered	nikeelʼáago
scene	ahootʼéhígíí
scenery	nilááhgóó áhootʼéhígíí
scent	halchiní
schedule	bee nihootʼą́
school	óltaʼ
science	naʼalkaahgo binahjįʼ óhooʼaah
scientist	naʼałkaahí
scientists	nidaʼałkaahí
scissors	béésh ałhédiłí
scold	hojishkéh
scold	hachʼįʼ hoʼdishké
scope	hazʼánígíí nélʼį́h
score	háʼiidzohígíí
scrap	dabííʼohígíí
scratch	yichʼid
scream	hazhdoolghaazh
screen	biyiʼjįʼ naʼalkidí
screw	ił adaʼagizí
script	saad naasdzoh
sea	tó niteel
seal	bidaʼdeedléézh
search	naʼnitáh
season	ałʼąą anáhooʼníłígíí
seat	bikááʼ dah asdáhí
second	naaki góneʼ
secret	tʼáá haʼátʼííshį́į́ nanilinígíí
section	dah naazhjaaʼígíí
secure	siiʼhasin
security	aaʼáhalyání
security	aaʼáhayą́
see	nélʼį́įgo
see	jooʼį́įgo
see you	neeshʼį́h
see you later	hahgo shį́į́ náániideetsééł
see you soon	tʼáá hahgo shį́į́ náániideestsééł
see you tomorrow	yiską́ągo náániideestsééł
seed	kʼeelyééh
seek	haʼnitáh
seek	haʼdéestʼííʼ
seem	nahalin
seems	nahalin
seen	néélʼį́į́ʼ
seize	yikáh deezhchid
seizure	atah hoditsʼiz yileehgo
seldom	łah da
select	bikʼih hodiiniiʼ
self	tʼáá hó
self healing	tʼáá hó níjiłdziih
selfish	doo hwił hadleeʼ da
sell	nahaniih
send	biʼilniiʼ
send me your picture	nééʼalyaaígíí shichʼįʼ anilééh
senior	ółtaʼí naakitsʼáadah yółtaʼígíí
senior	hastoí dóó sáanii náás silį́ʼígíí
sense	hatsʼíís baʼátʼeʼ
sensible	hodeetʼiʼ
sensitive	ahaní jizʼą́
sent	bił éʼalyaa
sentence	saad bee haʼoodzíigo yisdzohígíí
sentences	saad bee haʼoodzííʼ naasdzogo
separate	ałtsʼááʼnil
Sepedi	South Africa Dineʼé Bizaad
september	Bineʼanitʼą́ą́tsoh
sequence	ałkééʼ honiʼą́
sequence	ałkééʼ silnilígíí
series	ałkééʼ dah naazhjaaʼígíí
series	ałkééʼ bee ádaʼalyaaígíí
serious	tʼáá aníí áhwiinidzin
serious	tʼáá aníí ahaʼní
seriously	tʼáá aníigo
serve	bá naʼanish
service	bee ákaʼeʼeyeed
session	bił náhootʼaahígíí
set	bee nihootʼą́
set	nijiniʼą́h
set up	hahodilnééh
setting	háadi dóó hádą́ą́ʼ
settle	adił hooʼaʼ
seven	tsotsʼid
seventeen	tsostsʼidtsʼáadah
seventy	tsostsʼidiin
several	dikwíida
severe	yéego ádzaa
sew	nálkad
sh	geʼ - shh be quiet
shade	chashoh
shadow	hachahaʼoh
shake	jigháád
shall	ákoósh
shallow	ałtʼą́ą́ʼí
shame	baa yáhasin
shape	haashį́į́ yitʼéego naashchʼąąʼígíí
share	ałhxeeltʼéego chooʼį́h
sharp	hááhaashchiiʼ
sharp	deení
she	bí
she has	bí éí
she is	bí éí
shed	shashoh
sheep	dibé
sheet	naaltsoos
shelf	dah azáh
shell	yoosdísí
shelter	hooghan
shield	áchʼą́ą́h naatʼáhí
shift	hideesnááʼ
shine	disxǫs
ship	bił éʼélyaa
ship	tsinaaʼeełtsoh
shipping	bił éʼélnééh
shirt	dejįʼ ééʼ
shoes	ké
shoot	adiildǫǫh
shop	niʼjiiłniih
shopping	niʼjiiłniih
shore	tábąąh
short	ałtsʼíísí
shortage	biʼoh silį́į́ʼ
shot	adeesdǫǫh
should	dooleeł nítʼę́ę́ʼ
shoulder	awos
shout	adiwosh
shout	dilwosh
show	ííshjání alnééh
show me	shił ííshjání anilééh
shower	taʼazdigis
shrimp	táłtłʼááh chʼosh daadánígíí
shrink	ałhaniníyáh
shut	daʼdeelkaal
shut up	tʼáadoo anilchxį́įdii
shy	yáshnizin
sibling	ił háájééʼ
siblings	ił háájééʼ
sick	atah honeezgai
sick	atah hodiniih
side	bíighahjí
sigh	náhizhdidziih
sight	ajooʼínígíí
sightseeing	nahgóó naʼagal
sign	bee éédahosinígíí
signature	yizhí alyaaígíí
significant	tʼáá íiyisíí
silence	hodéezyééł
silence	doo íitsʼaí da
silent	doo íitsʼaʼí da
silent	hodéezyéél
silk	naatʼáhí
silly	adilááh
silver	béésh łigaii
similar	benáłtʼé
simp	hweʼadilááh
simp	beʼadilááh
simple	doo nanitłʼah da
simultaneously	tʼáá ałhxąąh áhoonííł
since	íídą́ą́ʼ
since	yę́ędą́ą́ʼ
sincere	tʼáá anii bee íizhnizinígíí bee yájitiʼ
sincerely	baa ahxééhwiinidzin
sincerely	ahxéheeʼ
sing	hataał
singer	hataałii
single	tʼááłáʼí
sink	biyiʼ taʼadigizí
Sir	Hastiin
sister	shádí
sister	shideezhí
sister in law	hwaʼayééh
sit	asdáh
site	ahootʼą́hídi
site	ahootʼéhígi
situation	biyiʼ ił hoolzhishígíí
six	hastą́ą́
