ɖé	a
azɔwanú	surgery
nyikɔ	surname
é kpaca mɛ	surprise
é kpácá mì	surprised
ɖŏ gbè	surrender
kpá	surrounding
nukúnkpinkpan	surveillance
alasidùdo	survey
bà kpɔ̀n	survey
nɔ́ nɔ gbɛ	survive
oun dido	suspect
è ɖè	suspended
ɖiɖó	suspicious
dŏ alɔ	sustain
tekowo	sustainability
hwénù	sustainable
glo	swag
nù	swallow
ɖyɔ	swap
xwlé	swear
kanmɛ	sweat
awu	sweater
ɖì	sweep
mɛfifa	sweet
amlɔ ɖagbe	sweet dreams
wewé	sweet tooth
alɔví ce	sweetheart
do jɔ́hɔn	swell
ɖì	swelling
xù	swim
tɔ́n	swimming
ɖŏ wŭ	swing
ti ta	switch
nu tita	switch
mi	swollen
hwǐ	sword
nùjlɛdonǔwu	symbol
wènú	sympathy
nùjlɛdonǔwu	symptoms
azɔwanú	system
távo	table
kɔ́	tackle
àcidikwin	tag
xù	tail
hɛn	take
ɖè	take away
kpé nukún wǔ	take care
ɖé kpò	take off
è yí	taken
xòfinflàn	talk
kè nu	talk
xóxótɔ́	talkative
Gǎn	tall
ponpi	tap
lɛ́ɛ	tape
jlɔ́ do ji	target
atà	target
azɔ tɔn	task
dɔ	taste
ni dɔ	taste
jokpé	tasty
kplɔ́n nǔ mɛ	taught
tii	tea
kplɔ́n mɛ	teach
mɛsi	teacher
kplékplé	team
ɖì	tear
avǐ	tears
hwàn	tease
azɔwanú	technology
aɖǔ	teeth
ɖɔ	tell
ɖɔ nú mì	tell me
xomɛsin	temper
hùn	temperature
tɛmpli	temple
hweɖelɛnu	temporary
wǒ	ten
afatɔ́n	ten thousand
xɔtɔ́	tenant
ɖŏ mε	tend
nǔ ɖò jijɛ wɛ	tendency
nùɖíɖó	tender
nùɖé	tense
gǎndido	tension
goxɔ	tent
tinténkpɔ́n	tentative
hwenu	term
akpáxwé lɛ	terms
nǔ nyanya	terrible
é nyɔ́ kpɔ́n	terrific
tò ɔ	territory
tɛ́n kpɔ́n	test
wemafɔ	text
hú	than
kú dó	thank
un dó kú nú we	thank you
mi dó kú nú mǐ ɖó sɔxwixwe e mi ɖó hwenu e mǐ ɖò nǔ kpinkpɛn lɛ gbéjé wɛ é	Thank you for your patience while we investigate shipment
kú dó nú mi	thank you so much
kú dó nú mi	thank you very much
un dó kú nú we	thanks
Kpeɖe mi ɖɔ mi na zán app mǐtɔn	Thanks for using our app
é	that
é wɛ nyí	that is
é nyɔ́	that's good
ɔ	the
kpò	the
ajogbé	theft
yetɔn	their
ye	them
xota	theme
yeɖesunɔ	themselves
enɛ gudo ɔ	then
nùkplɔnmɛ	theory
ɖò finɛ	there
é ɖò	there are
é ɖò	there is
enɛ wu ɔ	therefore
enɛ lɛ	these
ye	they
ye wɛ	they are
kpiti	thick
ajotɔ́	thief
alɔví	thigh
nùɖé	thin
nù	thing
nǔ lɛ	things
lin nù	think
atɔngɔ́ ɔ́	third
kɔ xú	thirsty
kanwe afɔtɔn	thirteen
xwè kanɖé	thirty
nù élɔ́	this
nù elɔ wɛ	this is
gùngɔ́n	thorough
baà	thoroughly
enɛ lɛ	those
é ɖó mɔ̌ có	though
linlin	thought
ayi ɖó nǔ wu	thoughtful
linlin lɛ	thoughts
afatɔ́n	thousand
nù	thread
xεsi	threat
ɖ'azɔn	threaten
atɔn	three
alihénnù	threshold
xomɛ hun mì	thrilled
vlɔ́n kàn	thrive
gbekàn	throat
gbɔn	through
gbɔn fí bǐ	throughout
kɔ́n nyi	throw
alɔví	thumb
jiɖiɖe	thunder
lamisigbè	Thursday
enɛ wu ɔ	thus
kpàxɔ́	tick
xù	tide
nùɖíɖó	tidy
ɖŏ wŭ	tie
kɔ́n	tie
kpɔ́n	tiger
kpíkpé	tight
Tigrinya	Tigrinya
hwenu	time
xlonɔ	timid
kpɛví	tiny
nùɖé	tip
sewadɔ́	tips
ci kɔ́ nù me	tire
ci kɔ́	tired
s'vɔ́	tissue
xota tɔn	title
ɖò	to
wà	to be
xɔta	toast
égbé	today
yɔkpwéyɔkpwé	toddler
afɔkpa	toes
mǐ ɖó kpɔ́	together
àcɔ́	toilet
ɖɔ	told
ɖekpo	tolerance
yi gbè nù me	tolerate
tomati	tomato
sɔ	tomorrow
gbè	tongue
zanzan elɔ	tonight
nyɛ lɔ	too
yí	took
azɔwanú	tool
azɔwanú	tools
aɖù	tooth
mɛ	top
xota	topic
gblá	torn
gbɔdónúmɛ	torture
nùkúnnúmɛ	total
dŏ alɔ	touch
hwɛhwɛ	tough
ali yiyi	tour
é dido	toward
yì yì	towards
alɔkpa	towel
toxo	town
gboke	toxic
nùɖé	trace
ali	track
sà	trade
ajɔ̀	trade
hwɛndo	tradition
hwɛndo	traditional
ajɔ́	traffic
ali	trail
ayihun	train
azɔ̌ kplɔnkplɔn	training
jujɔ́	trait
nùjɔnǔ	traits
ɖén	transfer
ɖyɔ̀n	transition
lilɛ̀	translate
nyénminyénmi	transparent
hɛn	transport
sɛ́ nú	transportation
mɔtin	trap
zunkɔ́	trash
awě	trauma
yi tomè	travel
xàgbàjé	tray
dɔkun	treasure
jɛ nukɔn	treat
nukùnkpénùwù	treatment
atín	tree
sisɔ́sisɔ	tremendous
nǔ ɖò jijɛ wɛ	trend
hwɛjijɔ	trial
mɔtin	trick
tɛ́n kpɔ́n	tried
ɖŏ	trigger
fé nùdé do me	trigger
ɖù	trim
ali yiyi	trip
tagba	trouble
gàn	trousers
mɔ̆to	truck
ÐÁÍ	TRUE
xoto	trunk
kpanzɔn	trust
ayijeɖó	trust
nugbǒ	truth
tɛ́n kpɔ́n	try
Tsonga	Tsonga
gbɔ́nbà	tube
Azǎn atɔngɔ	Tuesday
wemaxɔmɛ	tuition
tɔ́n	turkey
kuù	turmeric
yí	turn
akpatà logozo	turtle
mɛsi	tutor
wè	twelve
xwè kanɖé	twenty
xwè kanɖé ɖokpó	twenty-one
Twi	Twi
azɔn wè	twice
sloslo	twist
wè	two
alɔkpa	type
nùjlɛdonǔwu	typical
wŭ	ugly
nùɖíɖó gudo tɔn	ultimate
sunsun	umbrella
kpéwú	unable
tɔ́n	uncle
xomevɔnɔ	unconscious
asà	under
ɖò wezun jí	underneath
ma kpé nukun wù	underrated
mɔ nú jɛ mɛ	understand
mɔ nukúnnú jɛ mɛ	understood
é blawu ɖɔ	unfortunately
awu ɖokpo ɖokpo	uniform
nǔ ɖokpo ɔ	unique
bǔninɔ	unit
wemaxɔmɛ	university
è tuùn ǎ	unknown
é má nyí	unless
káká jɛ	until
nùɖíɖó ɖé	unusual
yì jǐ	up
é ɖò hwi sí	up to you
ɖŏ mε	update
ɖŏ mε o	update
ɖi yo	upgrade
suɖe ji	upgrade
ɖò è nù	upon
ɖŏ	upset
toxo tɔn	urban
nu fiyɔ̌n	urge
fiyɔ̌n	urge
nǔ ɖò dandan	urgent
mǐ	us
zǎn	use
nùwalɔ	use
è zán	used
nǔ ɖagbe	useful
nùɖíɖó ɖé ǎ	useless
xololo	usual
ayi tɔn gbadó	usually
azɔwanú	utility
gbɔjɛ	vacation
azɔnkwín	vaccination
azɔnkwín	vaccine
nùɖé	vacuum
nùjlɛdonǔwu	vague
do ganji	valid
tɔdo	valley
xɔ akwɛ	valuable
axi	value
gbédé	value
alɔkpa	variety
alɔkpa alɔkpa	various
jàn	vary
adùn	vase
gbló	vast
atín	vegetable
atín	vegetables
mɔ̆to	vehicle
nùɖúɖútɔ́	vendor
àdivé	venom
azɔwanú	venture
fí e è na bló nǔ lɛ ɖè é	venue
kpɔ́n	verify
nùɖúɖú	versatile
nùwlanwlan	version
ɖŏ	vertical
é ɖò taji tawun	very
é nyɔ́ tawun	very good
tɔjihun	vessel
gbɔn	via
Xwiɖè	vibe
Xwiɖè lɛ	vibes
nùblíblí	vicious
mε wε	victim
vidio	video
kpɔ́n	view
gletoxo	village
mɛ nyanya	villain
vinagɛ	vinegar
xwè tɔn	vintage
adǎn	violence
adǎn	violent
azɔnkwín	viral
ɖyɔvǐ	virgin
nùjlɛdonǔwu	virtual
jijɔ ɖagbe	virtue
nukúnɖíɖó	vision
yì kpɔ́n	visit
nǔwukpikpé	visual
nùɖíɖó taji	vital
gbédé	vivid
xógbe	vocabulary
gbè	voice
nùɖé ǎ	void
hlɔnhlɔn	volume
mɛɖòɖó	volunteer
vǐ vi	vomit
vǐ	vomit
mɛ e ɖò wǔvɛ́ mɔ wɛ	vulnerable
azɔxɔ	wage
azɔxɔ	wages
gàn	waist
mi nɔ te	wait
mɛ̌si	waiter
ɖŏ te	waiting
fɔ́n	wake
fɔ́n	wake up
alizɔ́n	walk
zun zɔ́nlin	walk
zɔnlin ɖi	walking
xú	wall
akwɛ́kpo	wallet
ɖì	wander
jló	wanna
jló	want
jló	wanted
ahwan	war
alumaà	wardrobe
nùɖúɖú	warehouse
zo zo	warm
é wun mi yon	warm
xwi ɖí	warn
xlɛ́n	warning
ahwanvu	warrior
é nyí	was
klɔ̀	wash
ɖú akpà	waste
nùgùgù	waste
klɔ́	watch
nukɔn nukɔntɔn ɔ	water
nùsúnnú	watermelon
jĭ	wave
ali	way
mǐ	we
mǐ wɛ	we are
mǐ sixu	we can
gbɔjɛ	weak
gǎnmaɖó	weakness
dɔkun	wealth
dɔkunnɔ	wealthy
dŏ wŭ	wear
dó	wearing
jɔhɔnhɔn	weather
gbɛmɛ	weather
alɔwliwli	wedding
Azǎnzǎn	Wednesday
nùxuxu	weed
aklunɔzángbe	week
gbɔjɛzán gbe	weekend
dà	weight
gàndànù	weight
dŏ wŭ	weird
yí mε	welcome
nyɔ́ná	welfare
é nyɔ́	Well
azɔwanú ɖagbe	well done
yì	went
ɖo	were
gbadahweji	west
kpɔ́ncɔɔ́n	wet
hweví	whale
etɛ	what
hwi lɔ gbɔn	what about you
nɛ̌ a ka ɖe gbɔn	what are you doing
etɛ́ a ka ɖo wà wɛ din	what are you doing now
etɛ a ka ɖo wiwa wɛ din	what are you doing right now
etɛ a nɔ wà	what do you do
azɔ̌ tɛ́ a ka nɔ́ wa dó mɔ akwɛ́	what do you do for a living
étɛ́ ɖɔ wɛ a ka ɖe	what do you mean
etɛ a jló	what do you want
etɛ jɛ	what happened
etɛ nyí	what is
etɛ ka wɛ	what is this
azɔ̌ tɛ́ a nɔ wà	what is your job
nyikɔ towe	what is your name
etɛ ka ɖò jijɛ wɛ	what's up
nyikɔ towe	what's your name
nǔ ɖebǔ	whatever
jinukún	wheat
abɔ̀	wheel
hwetɛnu	when
hweɖebǔnu	whenever
fítɛ́	where
fítɛ́ a ɖè	where are you
fítɛ́ a ka gosín	where are you from
fitɛ a ɖè din	where are you now
fitɛ a nɔ nɔ	where do you live
fitɛ wɛ	where is
ɖó	whereas
ɛɛn	whether
etɛ	which
hwenu e	while
é ɖò có	while
hlùn nù do	whisper
kpetè	whistle
wěwé	white
mɛ̌	who
mɛ̌ wɛ a ka nyí	who are you
mɛ e nyí	who is
mɛ̌ wɛ nyí mɛ élɔ́	who is this
wěziza	whole
mɛ	whom
mɛ̌ tɔn	whose
etɛwu	why
etɛwu ma ka nyí mɔ̌ ǎ	why not
mɛ nyanya	wicked
vlogodoó	wide
asúkúsi	widow
gbò	width
asì	wife
gběkanlin	wild
jlǒ	will
jlǒ	willing
ɖu ɖ'é jí	win
jɔhɔn	wind
finɛtinu	window
jɔhɔn	windy
vɛɛn	wine
finɛ	winter
Xwiɖè	wipe
wuntun	wire
nùnywɛ	wisdom
nùnywɛ	wise
déxixó	wish
Un ɖo nǔ ɖagbe lɛ́ɛ byɔ́ we wɛ	wish you all the best
azɛtɔ́	witch
kpo	with
ɖè sín tò ɔ mɛ	withdraw
ɖyɔ́n	withdrawal
ɖò mɛ	within
ma ɖó	without
kúnnuɖetɔ́	witness
úɖe kúnnu	witness
ahàn	witty
wulu	wolf
nyɔnu	woman
nyɔnu lɛ	women
ɖu ɖ'é jí	won
é ná nyí mɔ̌ ǎ	won't
nǔ kpácá	wonder
é nyɔ́ ɖɛkpɛ	wonderful
atín	wood
wùn	wool
xógbe	word
xógbe lɛ	words
azɔ̌	work
azɔ̀	work out
azɔ̀ wiwà	working
gbɛ̀ ɔ	world
zozo	worm
dɔ́ nù me dayi	worn
adohu adohu	worried
ɖŏ ado	worry
nyanya hú mɔ̌	worse
sèn	worship
nǔ nyanya hugǎn	worst
sixu nyí	worth
é jɛxa	worth it
é jɛxa	worthy
mi jló	would
nùɖé	wound
ɖŏ	Wow
cyɔ̀n	wrap
xomɛsin	wrath
alɔví	wrist
wlan	write
Wlǎn nǔ elɔ	Write here
wlan	writing
wlan	written
nùwanyido	wrong
wlan	wrote
xɔmɛ	yard
jɔhɔn	yawn
kɔ́n	yawn
Ɛɛn	Yeah
xwè	year
xwè	years
wɔ́xùxùfɔ́nnù	yeast
xlɛ́	yell
xwɛ	yellow
Ɛɛn	Yes
ɛɛn vǐví	yes baby
Ɛɛn, vǐví ce	yes dear
ɛɛn, vǐví	yes honey
ɛɛn xɔ́ntɔn ce	yes my love
ɛɛn	yes of course
sɔ́	yesterday
é kpo ɖò mɔ̌	yet
nùyiyà	yield
hwi	you
a wɛ	you are
a nyɔ́ ɖɛkpɛ	you are beautiful
a nyɔ́ ɖɛkpɛ tawun	you are so beautiful
mi yí gbè	you are welcome
a sixu	you can
A tuùn	You know
hwi lɔ	you too
É ɖò dandan	you're welcome
mɛ winnyawinnya	young
kpɔn	your
mi yí mì	your welcome
hwiɖesunɔ	yourself
ɖyɔvǐ	youth
É nyí nǔtí ǎ	you’re welcome
Mi yí gbè nú mì	you’re welcome
é nyɔ́	yummy
nùɖé ǎ	zero
