ⴰ	a
ⵛⵖⴻⵍ ⵉⴳⴻⵔⵣⴻⵏ	good job
ⵢⴻⵍⵀⴰ	good looking
ⴰⴼⵓⴷ ⵉⴳⴻⵔⵔⵣⴻⵏ	good luck
ⵜⵉⴼⴰⵡⵉⵏ	good morning
ⴰⵣⴻⴽⴽⴰ ⵉⴳⴻⵔⵔⵣⴻⵏ ⴰ ⵜⴰⵢⵔⵉⵯⵡ.	good morning my love
ⵉⴹ ⵉⴳⴻⵔⵔⵣⴻⵏ	good night
ⴰⵔ ⵜⵓⴼⴰⵜ	goodbye
ⵉⴹ ⴰⵎⴻⴳⴳⴰⵣ	goodnight
ⴰⵍⵣⴰⵣⴻⵏ	goods
ⴳooⴳⵍⴻ	Google
ⴰⵙⴻⴳⵣⵉ ⵏ ⴳooⴳⵍⴻ	Google Translate
ⵓⵡⴻⵣⵣⵉⵡ	goose
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	gorgeous
ⴰⵙⵙⵉⵡⴻⵍ ⵖⴻⴷ ⵎⴻⴷⴷⴻⵏ	gossip
ⵢⴻⵡⵡⴻⴹ	got
ⵥⵔⵉⵖⵯⵜ	got it
ⵜⴰⵇⵇⴻⴷⴰⵛⵜ	government
ⵟⵟⴼⴻⵏ	grab
ⵜⵉⵣⵎⵉⵍⵉⵏ	grade
ⵙ ⵜⵜⴰⵡⵉⵍ	gradually
ⴰⴳⴻⵔⴷⴰⵙ	graduate
ⵉⵎⴻⵏⴷⵉⵢⴻⵏ	grain
ⴻⴼⴽ	grant
ⵢⴻⵜⵜⵓⵏⴻⴼⴽ	granted
ⴰⴹⵉⵍ	grapes
ⵢⴻⴹⴹⴻⴼ	grasp
ⵜⵓⴳⴰ	grass
ⵏⵛⴻⴽⴽⴻⵔ ⴰⵟⴰⵙ	grateful
ⵜⴰⵏⴻⵎⵎⵉⵔⵜ	gratitude
ⴰⵥⴻⴽⴽⴰ	grave
ⴰⵛⵉⴱⴰⵏ	gray
ⵢⴻⵍⵀⴰ ⵏⴻⵣⵣⴻⵀ	great
ⴰⵇⵊⵎⴰⵔ	greed
ⵟⵟⵎⴻⵄ	greedy
ⴰⵣⴻⴳⵔⴰⵡ	green
ⵢⴻⵍⵀⴰ	greet
ⴰⵣⵓⵍ	greeting
ⴰⵣⵓⵍ	greetings
ⵜⵜⵛⴰⴱⴻⵖ	grey
ⵙⴻⴼⵔⴻⴳ	grid
ⵍⴻⵃⵣⴻⵏ	grief
ⴷⴷⴻⵣ	grind
ⴰⵍⵜⴰⵖ	grip
ⵜⴰⵃⴰⵏⵓⵜ	grocery
ⵉⵙⵍⵉ	groom
ⵉⵎⴻⵇⵔⴰⵏⴻⵏ	gross
ⴰⴽⴰⵍ	ground
ⴰⴳⵔⴰⵡ	group
ⵙⴻⵎⵖⵓⵔ	grow
ⵜⵉⵎⵖⵓⵔ	growth
ⵢⴻⵔⴼⴰ	grumpy
ⵖⵓⵔⴰⵏⵉ	Guarani
ⵏⴻⴹⵎⴻⵏⵯⵉⵜ	guarantee
ⵜⴰⵄⴻⵙⵙⴰⵙⵜ	guard
ⴰⴷ ⴷⵯⵜⵉⵏⵉⴷ	guess
ⵉⵏⴻⴱⴳⵉ	guest
ⴰⵙⵖⴰⵍ	guidance
ⵏⵀⴻⵔ	guide
ⴷ ⴰⵎⴻⴷⵏⵓⴱ	guilty
ⴰⵔⴳⴰⵣ	guy
ⴰⵢ ⴰⵔⵔⴰⵛ	guys
ⴰⴷⴷⴰⵍ	gym
ⵜⴰⵏⵓⵎⵉ	habit
ⴰⵎⴹⵉⵇ	habitat
ⵢⴻⵍⵍⴰ	had
ⵡⴻⴱⵔⵓⵔⵉ	hail
ⴰⵛⵣⴱⴱⵓⴱ	hair
ⴰⵣⴳⴻⵏ	half
ⵜⴰⵣⴻⵖⵖⴰ	hall
ⴰⴼⵓⵙ	hand
ⴰⵙⴻⵍⴽⵉⵎ	handle
ⵢⴻⵔⴱⴻⵃ	handsome
ⴼⵙⴻⵔ	hang
ⴰⴷ ⵏⴻⵣⵣⵉ	hang out
ⵢⴻⴹⵔⴰ	happen
ⵜⴻⴷⵔⴰ	happened
ⵙⵙⴻⵄⴷⵯⵏⵙⴻⵏ	happiness
ⵢⴻⴼⵔⴻⵃ	happy
ⴰⵎⵓⵍⵉ ⴰⵎⴻⴳⴳⴰⵣ	happy birthday
ⴰⵎⵓⵍⵉⵯⴽ ⴷ ⴰⵎⴻⴳⴳⴰⵣ	happy birthday to you
ⴰⵙⴻⴳⴳⴰⵙ ⴰⵎⴻⴳⴳⴰⵣ	happy new year
ⵉⴳⴷⴻⵔ	hard
ⵙⵉⵖⵉⵍ	hardly
ⴷ ⴰⵡⴻⵣⵖⵉ	hardly ever
ⵙⵡⵉⵖ	harm
ⵜⴰⵇⵔⵉⵃⵜ	harm
ⵢⴻⵙⴹⵓⵔⵔⵓ	harmful
ⴰⵎⵜⴰⵡⴰ	harmony
ⴷ ⴰⵥⵉⴹⴰⵏ	harsh
ⵜⴻⵎⴳⴻⵔ	harvest
ⵢⴻⵙⵄⴰ	has
ⵢⴻⴽⴻⵀ	hate
ⵢⴻⵙⵄⴰ	have
ⵙεⵓⵜ ⴰⵙⵙ ⵢⴻⵍⵀⴰⵏ	have a good day
ⴰⵙⵙ ⴰⵎⴻⴳⴳⴰⵣ	have a nice day
ⵞⵞⴻⵜ ⵉⵎⴻⴽⵍⵉ	have breakfast
ⴰⵏⴻⵛⵔⴰⵃ	have fun
ⵜⴻⵞⵞⵉⴹ ?	have you eaten
ⵙⴻεεⵓ	having
ⴰⵎⵉⵀⵉ	hazard
ⴰⴳⴳⵓ	haze
ⵏⴻⵜⵜⴰ	he
ⵢⴻⵙεⴰ	he has
ⴷ ⵏⴻⵜⵜⴰ	he is
ⴰⵇⴻⵔⵔⵓ	head
ⴰⵇⵔⴰⵃ ⵏ ⵢⵉⵖⴻⴼ	headache
ⴰⵙⵙⴻⵃⵍⵓ	heal
ⴰⵙⴻⵃⵍⵓ	healing
ⵜⴰⵣⵎⴻⵔⵜ	health
ⵉⵍⵀⴰ ⵉ ⵜⴻⵣⵎⴻⵔⵜ	healthy
ⵢⴻⵙⵍⴰⴷ	hear
ⵢⴻⵍⵙⴰ	heard
ⵇⴻⵔⵉⵃ	heart
ⵙⴻⵃⵎⵓ	heat
ⵉⴳⴻⵏⵏⵉ	heaven
ⵣⵣⴰⵢⴻⵏ	heavy
ⴰⵎⵣⵓⵏ	hectic
ⵍⴰⵄⵍⵉ	height
ⵎⴻⴽⴽⵓⵙ	heir
ⵜⵉⵔⵣⵉ	heist
ⵢⴻⵟⵟⴳⴻⵏ	held
ⵜⵉⵎⴻⵙ	hell
ⴰⴻⵓⵍ	Hello
ⴰⵣⵓⵍ ⴰⵢ ⴰⵃⴱⵉⴱ	hello dear
ⴰⵣⵓⵍ, ⴰⵎⴻⵍ ⵉ ⵜⴻⵜⵜⵉⵍⵉⴹ?	hello how are you
ⴰⵣⵓⵍ ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴷ?	hello how are you doing
ⴰⵎⵙⴻⴳⴷⴰⵍ	helmet
ⵄⵉⵡⴻⵏ	help
ⵉⵄⴰⵡⵏⴻⵏ	helpful
ⵉⵀⵉ	hence
ⴰⴳⵍⴰⵯⵙ	her
ⵜⵇⴻⴹεⵉⵜ	herd
ⴷⴰⴳⵉ	here
ⵍⵡⴻⵔⵜ	heritage
ⵢⴻⴽⵓⴽⵔⴰ	hesitate
ⵉⵢ	Hey
ⴰⵣⵉⵍ	Hi
ⴰⵣⵓⵍ ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴷ	hi how are you
ⴰⵣⵓⵍ ⴷⵉⵏⴰ	Hi there
ⵢⴻⴼⴼⴻⵔ	hidden
ⴰⴷ ⵢⴻⴼⴼⴻⵔ	hide
ⵉⴳⴹⴰⵎ	hierarchy
ⵄⴻⵍⴰⵢ	high
ⴷⴻⵔⵔⴻⵔ	highlight
ⵉⵎⵣⵡⵓⵔⴰ	hike
ⴰⵎⴻⵔⵔⴻⵃ	hiking
ⵢⴻⵙⵙⴻⴹⵙⴰⵢ	hilarious
ⵜⵉⵖⵉⵍⵜ	hill
ⵏⴻⵜⵜⴰ	him
ⴰⵡⴻⵀⵀⵉ	hint
ⴰⵎⵎⴰⵙ ⵜⴰⵖⵎⴰ	hip
ⵜⴰⵖⵎⴰ	hips
ⴽⵔⵓ	hire
ⵍⴻⴽⵔⴰ	hiring
ⴰⵢⵍⴰⵯⵙ	his
ⴰⵎⴻⵣⵔⵓⵢ	history
ⵢⴻⴽⴽⴰⵜ	hit
ⵢⴰⵀ	Hmm
ⴰⵔⴰⵎⵙⵓ	hobby
ⵟⵟⴻⵟ	hold
ⵟⵟⴻⴼ	hold on
ⵜⴰⵙⵔⴰⴼⵜ	hole
ⵉⵎⵓⵔⴰⵙ	holiday
ⴷ ⵜⵉⵍⴻⵎⵜ	hollow
ⴰⵅⴰⵎ	home
ⴰⵖⴰⵏⴻⵏ	homework
ⴰⴼⴻⵃⵍⵉ	honest
ⵜⵉⴷⴻⵜ ⴽⴰⵏ	honestly
ⴰⵢ ⴰⵎⴻⵍⵃⴰⵏ	Honey
ⵄⵓⵣⵣ	honor
ⴰⵔⴰⵣⴰⵍ	hood
ⵄⴻⵍⵍⵇ	hook
ⵉⵏⴻⴳⴳⴻⵣ	hop
ⵙⵉⵔⴻⵎ	hope
ⵏⴻⵙⵙⴰⵔⴰⵎ	hopefully
ⵓⵍⴰⵛ ⴰⵙⵉⵔⴻⵎ	hopeless
ⵉⴳⵍⵉ	horizontal
ⵉⵛⵉⵡ	horn
ⵙⵙⴻⵅⵍⴰⵄ	horrible
ⵜⵓⴳⴷⵉ	horror
ⴰⵢⵉⵙ	horse
ⵙⴱⵉⵟⴰⵔ	hospital
ⵜⴰⵙⵏⵓⴱⴻⴳⵜ	hospitality
ⵉⵙⵏⵓⴱⴳⴰ	host
ⵢⵓⵄⴻⵔ	hostile
ⵢⴻⵃⵎⴰⵏ	hot
ⴰⵙⴻⵏⵙⵓ	hotel
ⵙⵙⴰεⴰ	hour
ⵜⵉⵙⴰⵄⵜⵉⵏ	hours
ⴰⵅⵅⴰⵎ	house
ⵜⴰⵡⴰⵛⵓⵍⵜ	household
ⴰⵎⴻⴽ	how
ⵉ ⴽⴻⵎⵎ?	how about you
ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴹ	how are you
ⴰⵎⴻⴽ ⵉ ⵜⴻⵜⵜⵉⵍⵉⴹ	how are you doing
ⴰⵎⴻⴽ ⵉ ⵜⴻⵍⵍⵉⴹ ⴰⵙⵙⴰ	how are you doing today
ⴰⵎⴻⴽ ⵜⴻⵜⵜⵉⵍⵉⴹ ⴰⵙⵙⴰ	how are you today
ⴰⵎⴻⴽ ⵉ ⵜⴻⵜⵜⵉⵍⵉⴷ	how do you do
ⴰⵎⴻⴽ ⴰⴽⴽⴰ	how is
ⴰⵛⵃⴰⵍ	how many
ⴰⵛⵃⴰⵍ	how much
ⴰⵛⵃⴰⵍ ⵏ ⵜⵉⴽⴽⴰⵍ	how often
ⴰⵛⵃⴰⵍ ⵜⴻⵙⵄⵉⴹ ⵏ ⵢⵉⵙⴻⴳⴳⴰⵙⴻⵏ	how old are you
ⴰⵎⴻⴽ ⵉ ⵉⵄⴻⴷⴷⴰ ⵡⴰⵙⵙⵯⵉⴽ?	how was your day
ⴰⵎⴻⴽ ⵢⴻⵍⵍⴰ ⵢⵉⴹⵯⵉⵎ?	how was your night
ⵎⴰⵅⴰ	however
ⵜⴰⵍⴻⵎⴰⵙⵜ	hub
ⴰⵢ ⴰⵔⴳⴰⵣ	hubby
ⵙⵓⴷⴰⵏ	hug
ⴰⵎⴻⵇⵇⵔⴰⵏ	huge
ⴰⵎⴷⴰⵏ	human
ⵢⴻⵙⵜⵓⴼⴰⵏ	humble
ⵢⴻⴱⵣⴻⴳ	humid
ⴰⵙⴻⴱⵣⴻⴳ	humidity
ⵜⴰⵡⵉⵏⴰⵙ	hundred
ⵍⴰⵥ	hungry
ⵚⵚⵢⴰⴷⴰ	hunt
ⵜⴰⴱⵓⵛⵉⴹⴰⵏⵜ	hurricane
ⵖⵉⵡⴻⵍ	hurry
ⴰⵄⵊⴻⵍ	hurry up
ⵢⴻⵊⵔⴻⵃ	hurt
ⴰⵔⴳⴰⵣ	husband
ⴷⴻⵔⵔⴻⵃ	hustle
ⴰⴳⵓⵔⴱⵉ	hut
ⵉⴼⴼⵉⵙⴻⵏ	hygiene
ⵉ	I
ⴷ ⵏⴻⴽⴽ	I am
ⵓⵔ ⵉⵢⵉⵯⵢⵓⵖ ⵡⴰⵔⴰ	I am fine
ⵣⴻⵎⵔⴻⵖ	I can
ⵓⵔ ⵣⵎⵉⵔⴻⵖ ⴰⵔⴰ	I can't
ⵅⴻⴷⵎⴻⵖ	I do
ⵓⵔ εⵍⵉⵎⴰⵖ ⴰⵔⴰ	I do not know
ⵓⵔ ⴼⴻⵀⵉⵎⴰⵖ ⴰⵔⴰ	I do not understand
ⵓⵔ ⵜⵜⵯⵙⵙⵉⵏⴻⵖ ⴰⵔⴰ	I don't
ⵓⵔ ⵥⵔⵉⵖ ⴰⵔⴰ	I don't know
ⵓⴼⴻⵀⵉⵎⴻⵖ ⴰⵔⴰ	I don't understand
ⴷⵯⴰⵛⵓ ⵜⴻⴱⵖⵉⴹ	I don't understand what you mean
ⵓⵔ ⴽⵯⴼⵀⵉⵎⴻⵖ ⴰⵔⴰ	I don't understand you
ⵓⵔ εⵍⵉⵎⴻⵖ ⴰⵔⴰ	I don’t know
ⵓⵔ ⴼⵀⵉⵎⴻⵖ ⴰⵔⴰ	I don’t understand
ⵛⵓⴽⴽⴻⵖ	i guess
ⵍⵍⵉⵖ	I had
ⵙⵄⵉⵖ	I have
ⵍⵍⵉⵖ	I have been
ⴰⴽⴰ ⵉ ⵙⴰⵔⵎⴻⵖ ⵓⵍⴰ ⴷ ⵏⴻⴽⴽ	I hope so
ⵄⴻⵍⵎⴻⵖ	I know
ⵃⴻⵎⵍⵍⴻⵖ	I like
ⵃⴻⵎⵍⴻⵖⵯⴽ	I like you
ⵃⴻⵎⵎⵍⴻⵖ	I love
ⵃⴻⵎⵍⴻⵖ ⴳⵎⴰ ⴰⵎⴻⵇⵔⴰⵏ	I love my big brother
ⵃⴻⵎⵍⴻⵖ ⵓⵍⴻⵜⵎⴰ ⵜⴰⵎⴻⵇⵔⴰⵏⵜ	I love my big sister
ⵃⴻⵎⵍⴻⵖ ⴱⴰⴱⴰ	I love my father
ⵃⴻⵎⵍⴻⵖ ⴳⵎⴰ ⴰⵎⴻⵛⵟⵓⵃ	I love my little brother
ⵃⴻⵎⵍⴻⵖ ⵓⵍⴻⵜⵎⴰ ⵜⴰⵎⴻⵛⵟⵓⵃⴻⵜ	I love my little sister
ⵃⴻⵎⵍⴻⵖ ⵢⴻⵎⵎⴰ	I love my mother
ⵃⴻⵎⵍⴻⵖⵯⴽ	I love you
ⵃⴻⵎⵎⵍⴻⵖⵯⴽⴻⵎ ⴰⵟⴰⵙ	I love you so much
ⵃⴻⵎⵎⵍⴻⵖⵯⴽⴻⵎ ⵓⵍⴰ ⴷ ⵏⴻⴽⴽ	I love you too
ⴱⵖⵉⵖ ⴰⴷ ⴷⵯⵉⵏⵉⵖ	I mean
ⵅⴰⵇⴻⵖ ⴼⴻⵍⵍⵯⴰⵎ	I miss you
ⵛⵛⴻⵖ ⴼⴻⵍⵍⵯⴰⵎ ⴰⵟⴰⵙ.	I miss you so much
ⵥⵔⵉⵖ	I see
ⵛⵓⴽⴽⴻⵖ	I think
ⴼⴻⵀⵎⴻⵖ	I understand
ⴱⵖⵉⵖ	I want
ⴱⵖⵉⵖ ⴰⴷ ⴽⴻⵎⵯⵥⵔⴻⵖ.	I want to see you
ⴱⵖⵉⵖⵯⴽ	I want you
ⵍⵍⵉⵖ	I was
ⴰⴷ	I will
ⴰⴷ ⵉⵍⵍⵉⵖ	I would be
ⵏⴻⴽⴽⵉⵏⵉ	I'm
ⵓⵔ ⵉⵢⵉⵯⵢⵓⵖ ⵡⴰⵔⴰ	I'm fine
ⴰⵙⵍⵉⵯⵉ ⴰⴽⴽⴻⵏ ⵉⵍⴰⵇ	I'm good
ⴰⵇⵍⵉ ⴷⵯⴰ	I'm here
ⵙⵙⵓⵔⴻⴼⵯⵉⵢⵉ	I'm sorry
ⴰⴷⴼⴻⵍ	ice
ⵜⴰⵎⴰⴳⵔⵉⵙⵜ	ice cream
ⵜⵉⴽⵜⵉ	idea
ⵉⴳⴻⵔⵔⵣⴻⵏ	ideal
ⵢⴻⵜⵎⵛⵓⴱⴰ	identical
ⵉⵙⵙⵉⵏ	identify
ⵍⴰⵚⴻⵍ	identity
ⴰⵎⴻⵏⵣⵓⴳ	idiot
ⵜⵉⴼⴼⴻⵏⵢⴻⵏⵜ	idle
ⵎⴰ ⵢⴻⵍⵍⴰ	if
ⵓⵔ ⵜⵜⵯⵏⴻⵃⵙⵉⴱ	ignore
ⵢⵓⴹⴻⵏ	ill
ⵢⴻⵜⵜⵡⴰⴳⴷⴻⵍ	illegal
ⴰⵟⵟⴰⵏ	illness
Iⵍⵓⵛⴰⵏⵓ	Ilocano
ⵜⴰⵡⵍⴼⴰⵜ	image
ⴰⴷ ⵜⵅⴰⵢⵍⴻⴹ	imagine
ⵉⵎⵉⵔⴻⵏ ⴽⴰⵏ	immediate
ⵉⵎⵉⵔⴻⵏ ⴽⴰⵏ	immediately
ⵉⵎⵉⵔⴻⵏ	immense
ⵙⵉⴽⴻⵛ	impact
ⵓⵔ ⵉⵚⴻⴱⴱⴻⵕ ⴰⵔⴰ	impatient
ⴰⵙⴻⵇⴷⴻⵛ	implement
ⴽⵜⴻⵔ	import
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	important
ⵙⵎⴰⵟⴰ	impose
ⴷ ⴰⵡⴻⵣⵖⵉ	impossible
ⵢⴻⵙⵙⴻⵡⵀⴻⵎ	impress
ⴰⵙⵉⴳⴳⴻⵣ	impression
ⵜⴰⵙⵙⴻⵡⵀⴻⵎ	impressive
ⵙⴻⵍⵀⵓ	improve
ⴰⵙⴻⵍⵀⵓ	improvement
ⴷⴻⴳ	in
ⵏⵏⵉⴳ	in addition
ⴳ ⵜⵉⴷⴻⵜ	In fact
ⵣⴷⴰⵜ	in front of
ⵉ ⵡⴰⴽⴽⴻⵏ ⴰⴷ	in order to
ⵓⵔ ⵏⵍⴰⵇ ⴰⵔⴰ	inappropriate
ⴰⵙⵏⴻⵔⵏⵉ	incentive
ⵜⴰⴷⵢⴰⵏⵜ	incident
ⴳⴰⵔⵯⴰⵙⴻⵏ	include
ⴳⴰⵔⵯⴰⵙⴻⵏ	including
ⵍⴻⵎⴷⵅⵓⵍ	income
ⵛⴻⴱⴱⴻⵍ	inconvenience
ⵔⵏⵓ	increase
ⵢⴻⵜⵏⴻⵔⵏⵉ	increased
ⴷ ⴰⵢⴻⵏ ⵓⵔ ⵏⴻⵜⵜⵎⵏⴻⵏ	incredible
ⵙ ⵜⵉⴷⴻⵜ	indeed
ⵜⵉⵍⴻⵍⵍⵉ	independent
ⵍⵀⴻⵏⴷ	India
ⵙⵙⵉⵖⵉⵎ	indicate
ⴰⵢⵍⴰ ⵏ ⵜⵎⵓⵔⴻⵜ	indigenous
ⵡⴰⵃⴷⴻⵙ	individual
ⵜⴰⵎⴳⵓⵔⵉ	industry
ⵜⴻⵔⵔⴰ ⵜⵎⴰⵔⴰ	inevitable
ⵍⵍⵓⴼⴰⵏ	infant
ⴰⵖⴻⵜⴻⵍ	infection
ⵉⴼⴰⴹ	infinity
ⵜⴰⵃⴰⵡⵛⴰⵔⵜ	inflammation
ⵉⵡⴻⵔⵣⴰⵏ	inflation
ⵡⴻⴽⴽⵉ	influence
ⵙⵙⴻεⵍⴻⵎ	inform
ⵉⵙⴰⵍⵍⴻⵏ	information
ⵍⴻⵃⵡⴰⵍ	ingredients
ⵢⴻⴽⴽⵓⵙ	inheritance
ⵜⴰⵣⵡⴰⵔⴰ	initial
ⵜⴰⵙⵏⵜⴰⵢⵜ	initiative
ⵢⴻⵜⵜⵡⴰⵊⴻⵔⵃⴻⵏ	injured
ⵍǧⴻⵔⵃ	injury
ⵓⵔ ⵢⴻⵙⵄⵉ ⴷⴷⵏⵓⴱ	innocent
ⴰⵎⴻⵙⵏⵓⵍⴼⵓ	innovation
ⴰⵙⴻⵇⵙⵉ	inquiry
ⴰⵎⴻⵀⴱⵓⵍ	insane
ⴰⴱεⵓⵛ	insect
ⵓⵔ ⵢⴻⵜⵜⵡⴰⵃⵔⴻⵣ	insecure
ⴳⴻⵔ	insert
ⴷⴻⴳ ⴷⴰⵅⴻⵍ	inside
ⵜⵉⴽⵜⴰ	insight
ⵢⵡⴻⴽⴽⴻⴷ	insist
ⵍⴻⵄⵣⵉⵕ	insomnia
ⵜⴰⵙⵡⴻⴷⵜ	inspiration
ⵉţţⵓⵡⴻⵃⵃⴰ	inspire
ⴰⵙⵙⴻⵔⵙⵉ	install
ⴰⵎⴻⴷⵢⴰ	instance
ⵜⴰⵙⵡⵉεⵜ	instant
ⴷⴻⴳ ⵓⵎⴽⴰⵏ	instead
ⴷⴻⴳ ⵡⴻⴱⴷⵉⵍ	instead of
ⵍⴻⵡⵚⴰⵢⴰⵜ	instructions
ⵡⴰⵍⵍⴰⵍ ⵏ ⵓⵥⴰⵡⴰⵏ	instrument
ⵔⵔⴻⴳⵎⴰⵜ	insult
ⴰⵙⴻⴳⵣⴰⵡⴰⵍ	insurance
ⵜⵓⵎⵎⵉⴹⵜ	intact
ⵜⴰⵃⴻⵇⵇⵉⵜ	integrity
ⴰⴳⴳⴰⴳ	intellectual
ⴰⴳⴳⴰⴳⴻⵏ	intelligence
ⵢⴻⵃⵔⴻⵛ	intelligent
ⴰⴷ ⵜⵯⵉⴷⵯⵢⴻⴼⴽ	intend
ⵢⴻⵜⵡⵇⵙⴻⴷ	intended
ⵢⴻⵙⵄⴰⵏ ⵜⴰⵣⵣⵍⴰ	intense
ⵍⴻⴱⵖⵉ	intention
ⵎⵢⴻⵔⵎⴻⴷ	interact
ⵢⴻⵜⴼⴰⴻⵍ	interaction
ⴰⵎⵓⵔ	interest
ⵉⵍⴻⵜⵀⴰ	interested
ⵢⵀⵓⵎ	interesting
ⴰⵏⴽⴻⵛⵛⴰⵎ	interfere
ⵜⴰⵍⴻⵎⵎⴰⵙⵜ	intermediate
ⴰⵔ ⴷⴰⵅⵅⴻⵍ	internal
ⴰⴳⵔⴰⵖⵍⴰⵏ	international
ⴰⵙⵡⵉⵔ	internship
ⵢⴻⵙⵙⴻⴼⵀⴻⵎ	interpret
ⴰⵎⴻⵙⵍⴰⵢ	interpreter
ⵉⴳⴻⵣⵣⴻⵎ	interrupt
ⵜⴰⴷⵉⵡⴻⵏⵏⵉⵜ	interview
ⵜⴷⵓⴽⵍⵉ	intimate
ⴷⴻⴳ	into
ⵉⵙⵙⴻⴽⵛⴻⵎ	introduce
ⵜⴰⵣⵙⴰⵔⴻⵜ	introduction
ⵓⵔ ⵉⵙⵄⵉ ⴰⵔⴰ ⵢⵉⵡⴻⵜ ⵜⴻⵎⵍⴰⵢⴻⵜ	introvert
ⴰⵏⴰⵣⵣⴰⵢ	intuition
ⵓⵔ ⵢⴻⵙⵄⵉ ⴰⵔⴰ ⴰⵣⴰⵍ	invalid
ⴰⵙⵏⵓⵍⴼⵓ	invent
ⵜⴰⵙⴹⵓⵏⵜ	inventory
ⴰⵙⴻⴼⵜⵉ	invest
ⴰⵍⴻⵡⵡⴰⵟ	investigate
ⵜⵉⵏⵓⴱⴳⴰ	invitation
ⵄⵔⴻⴹ	invite
ⵜⴰⴼⴰⵟⵓⵔⵜ	invoice
ⵉⴷⵯⵢⴻⵜⵜⴰⵡⵓⵏ	involve
ⵢⴻⵜⵜⴻⴽⴽⴰ	involved
ⵄⴻⴷⴷⵉ	iron
ⴷ	is
ⵜⵉⴳⵣⵉⵔⵜ	island
ⵢⴻⵅⵍⴰ	isolated
ⴰⵛⴻⴱⴱⵓⵍ	issue
ⵜⵉⵎⵙⴰⵍ	issues
ⵢⴻⵙⵯⵙ	it
ⴷ ⴰⵢⴻⵏ	it is
ⵢⴻⵍⵍⴰ	it was
ⴷ	it's
ⵓⵍⴰⵛ ⴰⵖⴱⴻⵍ	it's ok
ⴷⴰⵢⴻⵏ	It's okay
ⵜⴰⵡⵓⵔⵉ	item
ⵜⵉⵖⴰⵡⵙⵉⵡⵉⵏ	items
ⴷ	its
ⵏⴻⴽⴽ	I’m
ⵜⴰⴽⴻⴱⴱⵓⴹⵜ	jacket
ⵜⴰⴽⵓⵔⵎⵓⵜ	jail
ⵢⴻⵏⵏⴰⵢⴻⵔ	January
ⵜⴱⵓⵇⴰⵍⵜ	jar
ⴰⵖⴻⵙⵎⴰⵕ	jaw
ⵢⴻⵜⴰⵙⴻⵎ	jealous
ⵙⴻⵏⵀⴻⵣ	jerk
ⵉⵙⵖⵓⵏⴻⵏ	jewelry
ⴰⵅⴻⴷⴷⵉⵎ	job
ⵜⴰⵣⵣⵍⴰ	jogging
ⵔⵏⵓ ⵖⴻⵔ	join
ⵓⵙⵖⵉⵏ	joint
ⵜⵉⵇⵇⴻⵙⴻⵔⵜ	joke
ⴰⵏⴻⵖⵎⴰⵙ	journalist
ⴰⴷⵉⵜⴽⴻⵍ	journey
ⵜⴰⵍⵡⵉⵜ	joy
ⵢⴻⵃⴽⴻⵎ	judge
ⵉⵥⴻⵎⵯⴰ	juice
ⵢⵓⵍⵢⵓ	july
ⵏⴻⴳⴳⴻⵣ	jump
ⵢⵓⵏⵢⵓ	june
ⵣⴱⴻⵍ	junk
ⴰⵔⴷⴰⴳⵉ	just
ⴽⴰⵏ	just
ⵅⴻⴷⵎⵉⵜ ⴽⴰⵏ	just do it
ⵜⴰⵖⴷⴻⵎⵜ	justice
ⵉⵙⴼⵓⴽⵓⵍⴻⵏ	justify
ⵅⴰⵍⴰⵍⵉⵙⵓⵜ	Kalaallisut
ⵜⵄⴻⵙⵇⴻⴹ	keen
ⵟⵟⴻⵏ	keep
ⴽⴻⵎⵎⵍⴻⵜ ⴰⴽⴻⵏ	keep it up
ⵢⴻⵊⵊⴰ	kept
ⵜⴰⵙⴻⵔⴽⴰⵎⴻⵜ	kettle
ⵜⴰⵙⴰⵔⵓⵜ	key
ⵡⵡⴻⵜ	kick
ⴰⵇⵛⵉⵛ	kid
ⴰⵇⴻⵙⵙⴻⵔ	kidding
ⵜⵉⴳⴻⵣⵣⴻⵍⵜ	kidney
ⴰⵔⵔⴰⵛ	kids
ⵢⴻⵏⵖⴰ	kill
ⵚⵚⴻⵏⴼ	kind
ⴰⵎⴻⵃⴷⵓⵇ	kind
ⵛⵡⵉⵢⴰ	kinda
ⵜⵅⵅⵉⵍⵯⴽ	kindly
ⵍⴻⵃⴷⴰⵇⴰ	kindness
ⴰⴳⴻⵍⵍⵉⴷ	king
ⵙⵙⵓⴷⴻⵏ	kiss
ⵜⴰⵛⵓⵛⵜ	kitchen
ⵜⴰⵏⴰⴼⴰⴳⵜ	kite
ⴰⴽⴽⴰⵜⵓⵙ	kitten
ⵜⵉⴳⴻⵛⵔⵉⵔⵜ	knee
ⵢⴻⵥⵔⴰ	knew
ⵍⵎⵓⵙ	knife
ⴰⵎⵏⴰⵢ	knight
ⵣⵔⵉⵖ	know
ⵜⴰⵎⵓⵙⵏⵉ	knowledge
ⵢⴻⵜⵜⵡⴰⵙⵙⴻⵏ	known
ⵅⵓⵏⴽⴰⵏⵉ	Konkani
