abandoned	ምቁራጽ
straight	ቀጥታ
strain	ምፅዓን
stranger	ጋሻ
strange	ዘይተለመደ
strategy	ሜላ
strawberry	ስትሮበሪ
straw	ባርኔጣ
streak	ውሕሉል
stream	መመሓላለፊ
street	ፅርጊያ
strength	ጥንካረ
stress	ጭንቀት
stretch	ዘርገሐ
strict	ጥብቂ
strike	ኣድማ
string	ገመድ
strip	ቁራፅ
strive	ምጽዓር
stroke	ውቃዕ
strong	ጠንካራ
struck	ወቐዐ
structure	ቅርፂ
struggle	ገልታዕታዕ
struggling	ምቅላስ
stubborn	ዕቡይ
stuck	ዝለገበ
student	ተምሃራይ
studying	ምምሃር
study	መፅናዕቲ
stuff	እኩብ
stunning	ዘደምም
stupid	ደደብ
style	ኣገባብ
st	ቅዱስ
subject	ዋና
submission	ተገዛእነት
submit	ኣእትው
substance	ዓውደ ኣካል
substitute	መተካእታ
subtle	ሕቡእ
succeed	ዕውት
successful	ዕውት
success	ዓወት
such as	ከም
such	ከምዚ
suck	ምስሓብ
suddenly	ብድንገት
sudden	ኣጋጣሚ
suffering	ይሳቐ
suffer	ምቅላዕ
sufficient	እኹል
sugar	ሽኮር
suggestion	ምኽሪ
suggest	ሓሳብ ምቕራብ
suitable	ምችው
suitcase	ክዳን መትሓዚ ሻንጣ
suit	ሱፍ
summary	መጠቃለሊ
summer	ክረምቲ
summit	ዋዕላ
sum	ድምር
sunday	ሰንበት
sunny	ጸሓይ ዝበዝሖ
sunset	ጸሓይ ዕራርቦ
sunshine	ብርሃን ጸሓይ
sun	ፀሓይ
superior	ጸብለልታ ዘለዎ
supervisor	ሓላፊ
super	ብሉፅ
supper	ድራር
supply	ቀረብ
support	ሓገዝ
supposed	ተባሂሉ ይሕሰብ
suppose	ኢልካ ሓዝ
sure	እርግፀኛ
surface	ገፅ
surgery	መጥባሕቲ
surge	ብራኸ
surname	ሽም አቦሓጎ
surprised	ዝተገረመ
surprise	ዘይተሓሰበ
surrender	ኢድካ ምሃብ
surrounding	ከባቢ
surveillance	ሓለዋ
survey	ሓተታዊ መፅናዕቲ
survive	ህላወ
suspect	ጥርጣረ
suspended	ዝተኸልከለ
suspicious	ዘጠራጥር
sustainability	ቀዋሚ ምዃን
sustainable	ዘተኣማምን
sustain	ምጽናሕ
swag	ሓሪፍ
swallow	ውሓጥ
swap	ምልውዋጥ
swear	ማሕላ
sweater	ሹራብ
sweat	ረሃጽ
sweep	ምጽራግ
sweet dreams	ልዋም ለይቲ
sweetheart	ወለላይ
sweet tooth	ደስ በሃሊ ስኒ
sweet	ጥዑም
swelling	ሕበጥ
swell	ሕበጥ
swimming	ምሕማስ
swim	ምሕማስ
swing	ምውዝዋዝ
switch	ለውጥ
swollen	ዝሓበጠ
sword	ሴፍ
symbol	ምልክት
sympathy	ሓዘኔታ
symptoms	ምልክታት
system	ስርዓት
table	ጠረጴዛ
tackle	መሰናኽል
tag	ምልጣፍ
tail	ጭራ
take away	ሒዝካ ምኻድ
take care	ተጠንቀቅ
taken	ተወሲዱ
take off	ኣውፅእ
take	ውሰድ
talkative	ሃታፊ
talk	ተዛረብ
tall	ነዊሕ
tape	ካሴት
tap	ንኽእ ኣብል
target	ዒላማ
task	ዕዮ
taste	ጣዕሚ
tasty	ጥዑም
taught	ዝተመሃረ
teacher	መምህር
teach	መሃረ
team	ጉጅለ
tears	ንብዓት
tear	ንብዓት
tease	ምልጋጽ
tea	ሻሂ
technology	ቴክኖሎጂ
teeth	ኣስናን
tell me	ንገረኒ
tell	ንገር
temperature	መጠን ሙቁት
temper	ቁጥዐ
temple	ቤተ መቕደስ
temporary	ግዚያዊ
tenant	ተኻራዪ
tendency	ዝንባለ
tender	ለውሃት
tend	ኹነታት
tense	ውጥረት
tension	ውጥረት
tentative	ግዝያዊ
ten thousand	ዓሰርተ ሽሕ
tent	ድኳን
ten	ዓሰርተ
terms	ስያመታት
term	ቃል
terrible	ብጣዕሚ ሕማቅ
terrific	ብሉፅ
territory	ግዝኣት
test	ፈተና
text	ጽሑፍ
Thanks for using our app	ኣፕሊኬሽንና ስለዝተጠቐምኩም ነመስግን
thanks	የቅንየለይ
Thank you for your patience while we investigate shipment	እቲ ዝተፀዓነ እስካብ ንምርምሮ ንትዕግስቶም ነመስግን
thank you so much	ብጣዕሚ የቅንየልና
thank you very much	ብጣዕሚ የቅንየለይ
thank you	የቕንየለይ
thank	ምስጋና
than	ካብ
that is	እቲ እዩ
that's good	ጽቡቕ እዩ
that	እቲ
theft	ስርቂ
their	ናቶም
theme	ጭብጢ
themselves	ባዕሎም
them	ንሶም
then	ሽዑ
theory	ሓሳብ
there are	ንሳቶም እውን
therefore	ስለዚ ድማ
there is	ኣሎ
there	ኣብቲ
these	እዚ
they are	ንሶም እዮም
they	ንሶም
the	እቲ
thick	ረጒድ
thief	ሰራቒ
thigh	ሽለፍ
things	ነገራት
thing	ነገር
think	ሕሰብ
thin	ቀጢን
third	ሳልሳይ
thirsty	ፅምእ
thirteen	ዓሰርተ ሰለስተ
thirty	ሰላሳ
this is	እዚ እዩ
this	እዚ
thoroughly	ምሉእ ብምሉእ
thorough	ምሉእ ብሙሉእ
those	እቲኦም
thoughtful	ሓልዮት ዝመልኦ
thoughts	ሓሳባት
thought	ሓሳብ
though	እኳ
thousand	ሽሕ
thread	ክሪ
threaten	ምፍርራሕ
threat	ምፍርራሕ
three	ሰለስተ
threshold	ኣበሳ
thrilled	ተዋዓውዐ
thrive	ዓብዩ
throat	ጎሮሮ
throughout	በቲ
through	ብውሽጢ
throw	ደርቢ
thumb	ዓብዓባይቶ
thunder	ነጎዳ
Thursday	ሓሙስ
thus	ስለዝኾነ
tick	ምልክት ምግባር
tide	ማዕበል
tidy	ንፁህ
tie	ከረባታ
tiger	ነብሪ
tight	ፀቢብ
Tigrinya	ትግሪኛ
time	ግዜ
timid	ሓፋር
tiny	ደቃቅ
tips	መቑሽሽ
tip	መቅሹሽ
tired	ምድካም
tire	ጎማ
tissue	ቲሹ
title	ርእሲ
toast	ምጥባስ
to be	ንምዃን
today	ሎምዓንቲ
toddler	ዝዓቢ ቆልዓ
toes	ዓንኬል
together	ብሓባር
toilet	ሽቓቕ
told	ተባሂሉ
tolerance	ምክእኣል
tolerate	ምፅዋር
tomato	ኮመደረ
tomorrow	ፅባሕ
tongue	መልሓስ
tonight	ሎሚ ምሸት
took	ምውሳድ
tools	መሳረሕታት
tool	መሳርሒ
tooth	ስኒ
too	እዉን
topic	ኣርእስቲ
top	ላዕለዋይ
torn	ዝተቐደደ
torture	ምስቓይ
total	ድምር
touch	ምንካእ
tough	ተሪር
tour	ዙር
towards	ናብ ገፅ
toward	ንቕድሚት
towel	ፎጣ
town	ንእሽተይ ከተማ
toxic	መርዛም
to	ናብ
trace	ኣሰር
track	ናይ ፅዕነት መኪና
trade	ንግዲ
traditional	ባህላዊ
tradition	ልምዲ
traffic	ትራፊክ
trail	ኣሰር
training	ስልጠና
train	ባቡር
traits	ባህርያት
trait	ባህሪ
transfer	ምምሕልላፍ
transition	መሰጋገሪ
translate	ምትርጓም
transparent	ግልፂ
transportation	መጓዓዝያ
transport	መጓዓዝያ
trap	መጻወድያ
trash	መአከቢ ጉሓፍ
trauma	ሕማቕ ተሞኩሮ
travel	ምጉዓዝ
tray	ሸሓነ
treasure	ሃፍቲ
treatment	ህክምና
treat	አታሕዛ
tree	ኦም
tremendous	ኣዝዩ ዘደንቕ
trend	ኣንፈት
trial	ሙከራ
trick	ምትላል
tried	ሞከረ
trigger	ምልዕዓል
trim	ዝተስተኻኸለ
trip	ጉዕዞ
trouble	ፀገም
trousers	ስረ
truck	ናይ ፅዕነት መኪና
true	ሓቂ
trunk	ጉንዲ
trust	እምነት
truth	ሓቂ
try	ፈትን
Tsonga	ፆንጋ
tube	ቱቦ
Tuesday	ሰሉስ
tuition	ምህሮ
turkey	ቱርኪ
turmeric	ዕርዲ
turn	ተጠወ
turtle	ኣባጎብየ
tutor	ሓጋዚ
twelve	ዓሰርተ ክልተ
twenty-one	ዒስራን ሓደን
twenty	ዒስራ
twice	ኽልተ ግዜ
twist	ምጥዋይ
Twi	ትዊ
two	ክልተ
type	ዓይነት
typical	ዝተለመደ
ugly	መፅልኢ
ultimate	ናይ መወዳእታ
umbrella	ጽላል
unable	ኣይከኣልን እዩ
uncle	ኣኮ
unconscious	ሃለዋቱ ዘጥፈአ
underneath	ኣብ ታሕቲ
underrated	ዝተሓተ
understand	ተረዳእ
understood	ርዱእ
under	ትሕቲ
unfortunately	ብዘሕዝን
uniform	ተመሳሳሊ
unique	ዝተፈለየ
unit	ምዕራፍ
university	ዩኒቨርሲቲ
unknown	ዘይፍለጥ
unless	እንተደኣ
until	ክሳብ
unusual	ዘይተለመደ
update	ኣዘምን
upgrade	ምምሕያሽ
upon	ኣብ ግዘ
upset	ምቁጣዕ
up to you	ናይ ባዕልኻ ጉዳይ
up	ሓፍ
urban	ከተማ
urgent	ህፁፅ
urge	ስምዒት
used	ዘገልገለ
useful	ጠቃሚ
useless	ዘይጠቅም
use	ጥቅሚ
usually	ብልሙድ
usual	ልሙድ
us	ንሕና
utility	ኣቕርቦት
vacation	ምንፋስ
vaccination	ክትባት
vaccine	ክታበት
vacuum	ህዋ
vague	ግልጺ ዘይኮነ
valid	ዘገልግል
valley	ሽንጥሮ
valuable	ዋጋ ዘለዎ
value	ዋጋ
variety	ፍልልይ
various	ዝተፈላለዩ
vary	ይፈላለ
vase	ሳርማ
vast	ሰፊሕ
vegetables	ኣሕምልቲ
vegetable	ኣሕምልቲ
vehicle	ተሽከርካሪ
vendor	ዓዳጊ
venom	መርዚ
venture	ኣብ ሓደጋ ኣውደቐ
venue	መንገዲ
verify	ኣረጋግጽ
versatile	ተቓያያሪ
version	ሕታም
vertical	ንትኹል
very good	ብጣዕሚ ፅቡቅ
very	ብጣዕሚ
vessel	መርከብ
via	ብመልክዕ
vibes	ድባባት
vibe	ሃውሃው
vicious	ሕሱም
victim	ግዳይ
video	ቪዲዮ
view	ኣረኣእያ
village	ገጠር
villain	ገበነኛ
vinegar	ቖምጣጤ
vintage	ወይኒ
violence	ዓመጽ
violent	ዓመጸና
viral	ቫይረሳዊ
virgin	ድንግል
virtual	ብግብሪ
virtue	ሰናይ ስራሕ
vision	ራእይ
visit	ጎብንይ
visual	ምስላዊ
vital	መሰረታዊ
vivid	ህያው
vocabulary	መዝገበ ቃላት
voice	ድምፂ
void	ባዶ
volume	ትሕዝቶ
volunteer	ግዱስ
vomit	ንዓቐብ
vulnerable	ተቃላዒ
wages	ደሞዝ
wage	ደሞዝ
waist	ሽንጢ
waiter	መስተኣናገዲ
waiting	ምጽባይ
wait	ፅናሕ
wake up	ተስእ
wake	ምቕስቃስ
walking	ምኻድ
walk	ተእጓዓዝ
wallet	ሳንጣ
wall	መንደቅ
wander	ኮለል
wanna	ምድላይ
wanted	ተደላዪ
want	ምድላይ
wardrobe	ክዳውንቲ
warehouse	መኽዚን
warm	ውዑይ
warning	ምኸዳን
warn	ምጥንቃቕ
warrior	ተዋጋኢ
war	ውግእ
wash	ምሕጻብ
waste	ተረፍ
was	ኔሩ
watch	ተመልከት
watermelon	ብርጭቕ
water	ማይ
wave	ማዕበል
way	መንገዲ
weakness	ድኻም
weak	ድኹም
wealthy	ሃብታም
wealth	ሃፍቲ
we are	ንሕና ኢና
wearing	ምኽዳን
wear	ተኸደን
weather	አየር
we can	ንኽእል ኢና
wedding	መርዓ
Wednesday	ረቡዕ
weed	ፃህያይ
weekend	ቀዳመ-ሰንበት
week	ሰሙን
weight	ክብደት
weird	መሕፈሪ
welcome	እንኳዕ ደሓን መፁ
welfare	ድሕንነት
well done	ጽቡቕ ተሰሪሑ
Well	ደሓን
went	ኬዱ
were	ኔሮም
west	ምዕራብ
wet	ርሑስ
we	ንሕና
whale	ዓሳ ነባሪ
what about you	ብዛዕባኻ እንታይ
what are you doing now	ሕዚ እንታይ ትገብር ኣለኻ
what are you doing right now	ሕጂ እንታይ ትገብር ኣለኻ
what are you doing	እንታይ ትገብር አለኻ
what do you do for a living	ንምንባር እንታይ ትሰርሕ
what do you do	እንታይ ትገብር
what do you mean	እንታይ ማለትካ እዩ
what do you want	እንታይ ኢኻ ደሊኻ
whatever	ዝኾነ ይኹን
what happened	ታይ ተፈጢሩ
what is this	እዚ እንታይ እዩ
what is your job	ስራሕኻ እንታይ እዩ
what is your name	ሽምካ መን ይበሃል
what is	እንታይ እዩ
what's up	እንታይ ኣሎ ሓዱሽ ነገር
what's your name	ሽምካ መን እዩ
what	እንታይ
wheat	ስርናይ
wheel	መንኮርኮር
whenever	ኣብ ዝኾነ ይኹን እዋን
when	መዓዝ
where are you from	ካበይ ኢኻ መፂኻ
where are you now	ሕዚ ኣበይ አለኻ
where are you	አበይ ኣለኻ
whereas	ክኸውን ከሎ
where do you live	ኣበይ ኢኻ ትነብር
where is	ኣበይ እዩ
where	አበይ
whether	ዶ
which	አየናይ
while	እስካብ
whisper	ሕሹኽሹኽ
whistle	ፋፃ
white	ፃዕዳ
who are you	ንስኻ መን ኢኻ
who is this	እዚ መን እዩ
who is	መን እዩ
whole	ሙሉእ
whom	መን
whose	ናይ መን
who	መን
why not	ንምንታይ ዘይከውን
why	ንምንታይ
wicked	ኽፉእ
wide	ሰፊሕ
widow	መበለት
width	ስፍሓት
wife	ሰበይቲ
wild	ልቂ
willing	ፍቃደኛ
will	ንመፃእ
window	መስኮት
windy	ብርቱዕ ንፋስ
wind	ንፋስ
wine	ወይኒ
winter	ሓጋይ
win	ዓወት
wipe	ምጽራግ
wire	ገመድ
wisdom	ጥበብ
wise	ለባም
wish you all the best	ፅቡቕ ዕድል ይምነየልካ
wish	ትምኒት
witch	ጠንቋሊ
withdrawal	ወጻኢ ምግባር
withdraw	ምቁራፅ
within	አብ ውሽጢ
without	ብዘይካ
with	ምስ
witness	ምስክር
witty	ለባም
wolf	ተኹላ
woman	ሰበይቲ
women	ኣንስቲ
wonderful	ዘደንቅ
wonder	መስተንክር
won't	ኣይከውንን
won	ተዓወተ
wood	ዕንጨይቲ
wool	ሱፍ
words	ቃላት
word	ቃል
working	ምስራሕ
work out	ምንቅስቓስ
work	ስራሕ
world	ዓለም
worm	ሓሰኻ
worn	ዝተኸደነ
worried	ጭኑቕ
worry	ተሻቐለ
worse	ዝኸፍአ
worship	ኣምልኾ
worst	ዝኸፈአ
worth it	ዋጋ ኣለዎ
worthy	ብቑዕ
worth	ዋጋ
would	ይኸውን
wound	ቁስሊ
Wow	ዋው
wrap	ጠቕለለ
wrath	ቑጠዐ
wrist	ክሳድ ኢድ
Write here	ኣብዚ ፀሓፍ
write	ፀሓፍ
writing	ምጽሓፍ
written	ዝተፀሓፈ
wrong	ጌጋ
wrote	ጽሒፉ
yard	ቐጽሪ
yawn	ምንጋጋ
Yeah	እወ
years	ዓመታት
year	ዓመት
yeast	ይስት
yellow	ብጫ
yell	ኣውያት
yes baby	እወ ህፃን
yes dear	እወ ኽቡር
yes honey	እወ መዓር
yes my love	እወ ፍቅረይ ናተይ
yes of course	እወ ብዝግባእ
yesterday	ትማሊ
Yes	እወ
yet	እስካብ ዛሕዚ
yield	ድነን
you are beautiful	ፅብቕቲ ኢኺ
you are so beautiful	ብጣዕሚ ቆንጆ ኢኺ
you are welcome	ገንዘብካ
you are	ንስኻ ኢኻ
you can	ትኽእል
You know	ትፈልጥ ኢኻ
young	ንእሽተይ
you’re welcome	ምንም ኣይኮነን
you're welcome	ገንዘብካ
yourself	ዓርስኻ
your welcome	ገንዘብካ
your	ናትካ
youth	መንእሰይ
you too	ናዓኻ እውን
you	ንስኻ
yummy	ምቁር
zero	ባዶ
