тӀэкӀу	a little
гъэгугъэныгъэ	promise
гъэкӀуэтэн	promote
хэгъэхъуэныгъэ	promotion
щэхуу жеӀэн	prompt
зыгуэрым хуэмахэ	prone
цӀэпапщӀэ	pronouns
къэпсэлъыкӀэ	pronunciation
щыхьэт	proof
зэрыщытын хуей	proper
пэж	properly
щытыкӀэ щхьэхуэ	properties
мылъку	property
псалъэуха	proposal
хьэрычэт	proposal
перспективэ	prospect
фӀыуэ зыужьыныгъэ	prosperity
къэгъэгъэныгъэ	prosperity
ефӀэкӀ	prosperous
гъагъэ	prosperous
хъумэн	protect
пагэныгъэ зыхэлъ	proud
гъэнэхуэн	prove
бгъэдэлъхьэн	provide
етын	provided
куей	province
зэгъэпэщыныгъэ	provision
пубертатнэ зэман	puberty
цӀыхубэм яцӀыху	public
лъэфын	pull
къэб	pumpkin
къыкӀэрымыху	punctual
нэджыдж	pupil
къэщэхун	purchase
къабзэ	pure
шакъафэ	purple
епэрыфэ	purple
нэщэнэ	purpose
гухэлъ	purpose
мурад	purpose
бохъшэ	purse
иужь итын	pursue
кӀэлъыплъыныгъэ	pursuit
щӀэрыӀэн	push
телъхьэн	put
квалификацэ	qualification
фӀагъ	quality
бжыгъэ	quantity
щхьэхуэу Ӏыгъыныгъэ	quarantine
зэфӀэнэн	quarrel
псалъэмакъ	quarrel
плӀанэ	quarter
Кечуэ	Quechua
королым и фыз	queen
къэралхъан	queen
гъэщӀэгъуэн	queer
телъыджэ	queer
щӀэупщӀэныгъэ	query
упщӀэ	question
чэзум хэувэн	queue
чэзу	queue
псынщӀэ	quick
псынщӀэу	quickly
щэху	quiet
пычыхуаурэ зыпыда шхыӀэн	quilt
хыфӀэдзэн	quit
ирикъун	quite
зыуи	quite
викторинэ	quiz
цитатэ	quotation
цитатэ жыӀэн	quote
цитатэ	quote
цитатэхэр	quotes
жыӀэгъуэхэр	quotes
тхьэкӀумэкӀыхь ӀэрыпӀ	rabbit
пӀащӀэныгъэ	race
губжь ин	rage
уэшх	rain
дэгъэкӀуэтеин	raise
хэгъэхъуэныгъэ	raise
дэгъэкӀуеиныгъэ	raise
къиӀэтащ	raised
жащ	ran
зэрымыщӀэ	random
къриубыдэр	range
псынщӀэ	rapid
псынщӀэу	rapidly
цӀырхъ	rare
зэзэмызэ	rarely
къилъэлъыгъэ	rash
дзыгъуэ	rat
хуабжьагъ	rate
куэдщ	rather
зэхущытыкӀэ	ratio
мыхьэнэ зиӀэ	rational
щхьэпэ	rational
цӀынэ	raw
зыӀэрыгъыхьэн	reach
нэсащ	reached
реакцэ	reaction
зыкъегъэщӀэныгъэ	reaction
еджэн	read
къеджэныгъэ	reading
хьэзыр	ready
иджы	real
мы	real
щыӀэныгъэ	reality
зэхэщӀыкӀын	realize
къыгурыӀуэжащ	realized
пэж дыдэу	really
щӀыбагъ	rear
щхьэусыгъуэ	reason
акъылыфӀэ	reasonable
къэщӀэжын	recall
квитанцэ	receipt
къыпӀэрыхьэн	receive
къыӀэрыхьэн	received
куэд мыщӀа	recent
куэд мыщӀэу	recently
хэгъыхьэныгъэ	reception
къеӀыхыныгъэ	reception
рецепт	recipe
гъэзэщӀапщхъэ	recipe
емыгупсыс	reckless
акъылыншэ	reckless
лъытэныгъэ	recognition
зыумысыжын	recognition
къэщӀэн	recognize
хущытхъун	recommend
зыхущытхъуа	recommended
трегъэтхэн	record
тетха	record
зэтегъэувэжын	recover
зэтеувэжыныгъэ	recovery
плӀанэпэ занщӀэ зиӀэ плӀимэ	rectangle
плъыжь	red
гъэпскӀын	redeem
гъэзэкӀуэжыныгъэ	redemption
гъэмэщӀэн	reduce
лей	redundant
тегъэщӀэн	refer
ссылкэ	reference
къищын	reflect
гъуджэм укъыызэрищ	reflection
зызэтеӀыгъэн	refrain
зышыӀэн	refrain
зыубыдын	refrain
щӀыӀалъэ	refrigerator
хэгъэхъуэжыныгъэ	refund
хуэмеин	refuse
мыдэн	refuse
идакъым	refused
уасэ хуэгъэувын	regard
абы теухауэ	regarding
абы емыпха	regardless
сэлам	regards
куей	region
итхэн	register
егъэщӀылӀэн	register
щӀегъуэжын	regret
зэпымыууэ	regular
зэпымыуу	regularly
мыдэн	reject
хущытын	relate
зэпха	related
зэхущытыкӀэ	relationship
благъэ	relative
ехьэлӀа	relative
благъэ	relatives
Ӏыхьлы	relatives
зыгъэпсэхужын	relax
къэхуитыжыныгъэ	release
хуит къэщӀыжын	release
хуит хъужа	released
зэдай	relevant
дзыхь зыхуэпщӀ хъун	reliable
гъэпсынщӀэныгъэ	relief
гъэпсынщӀэн	relieve
тыншыгъуэ гъуэтыжауэ	relieved
дин	religion
диным тет	religious
хуэмейщэу зыщӀэ	reluctant
щыгугъын	rely
къэнэн	remain
къэна	remaining
мыхьэнэшхуэ зиӀэ	remarkable
хущхъуэ	remedy
щӀэжын	remember
игу къэгъэкӀыжын	remind
игу къэгъэкӀыжын	reminder
ӀугъэкӀуэта	remote
игъэкӀыжын	remove
хуэщӀын	render
бэджэнд	rent
щӀыжын	repair
тегъэзэжын	repeat
зэхъуэкӀын	replace
жэуап	reply
жэуап тын	reply
хуэӀуэтэн	report
доклад	report
егъэцӀыхун	represent
гъэлъэгъуэн	represent
щӀыхь	reputation
щӀэлъэӀун	request
щӀэупщӀэныгъэ	request
пэубыдын	require
зыхуэныкъуэ	required
къегъэлын	rescue
къэхутэныгъэ	research
ещхьын	resemble
губгъэн	resentment
хэхын	reservation
резерв щӀын	reserve
щыпсэу цӀыху	resident
хуэмеин	resign
мыдэн	resign
быдагъэ	resilience
быдэу щыт	resilient
зэпӀэзэрыт	resilient
еныкъуэкъун	resist
пэщӀэтыныгъэ	resistance
хэкӀыпӀэ	resolution
унафэ	resolution
зэхэгъэкӀын	resolve
бгъэдэлъэдэн	resort
фӀыгъуэ	resources
пщӀэ хуэщӀын	respect
пщӀэ	respect
ипщэ илъын	respond
жэуап етын	respond
жэуап	response
жэуап хьыныгъэ	responsibility
жэуаптакӀуэ	responsible
зыгъэпсэхуныгъэ	rest
ахърэт нэху къыуит	rest in peace
шхапӀэ	restaurant
зэтегъэувэжын	restore
гъэмэщӀэн	restrict
кӀэ зэригъуэт щӀыкӀэ	result
кърикӀуахэр	results
пыщэн	resume
зэрыз	retail
хъумэн	retain
хэгъэкӀыныгъэ	retention
пенсэм кӀуа	retired
икӀуэтыжын	retreat
етыжын	retrieve
етыжын	return
зэӀухын	reveal
зэтехын	revealed
наӀуэ щӀын	revealed
зэӀухын	revealed
мыгъэгъуныгъэ	revenge
хэхъуэ	revenue
къэзыгъэзэж	reverse
зэпыплъыхьын	review
къызэхэпыплъыхьыныгъэ	review
хэплъэжын	revise
еплъыжыныгъэ	revision
революцэ	revolution
тыгъэ	reward
пкъы	rhythm
жыпхъэ	rhythm
дзажэналъэ	rib
прунж	rice
къулей	rich
къыӀэщӀэкӀын	rid
къэжыхьын	ride
кӀуэныгъэ	ride
дыхьэшхэн	ridiculous
ижьымкӀэ	right
пэжыныгъэ	right
иджыпсту дыдэ	right now
ткӀий	rigid
Ӏэлъын	ring
жьэдэгъэжыхьыныгъэ	rinse
псы щӀэгъэжыныгъэ	rinse
къызэрыӀэтыныгъэ	riot
зэпычын	rip
зэпычыныгъэ	rip
хъуа	ripe
дэгъэкӀуэтеиныгъэ	rise
дэкӀуэтеин	rise
таучэл	risk
тегушхуэн	risk
ныкъуакъуэгъу	rival
псыежэх	river
гъуэгу	road
гъэжьэн	roast
быдэ	robust
мывэ	rock
пкъы	rod
цӀыхум и къалэн хэха	role
гъэжэн	roll
унащхьэ	roof
пэш	room
лъабжьэ	root
кӀапсэ	rope
фа	rotten
пхъашэ	rough
хуэгъэфэщауэ	roughly
хъурей	round
гъуэгу хэха	route
зызымыхъуэж	routine
сатыр	row
тхъущӀын	rub
хьэфэ	rubber
пхъэнкӀий	rubbish
пхъашэ	rude
алэрыбгъу	rug
утэн	ruin
хабзэ	rule
унафэщӀ	ruler
зезыхьэ	ruler
хабзэ	rules
жэн	run
жэ	running
къуажэдэс	rural
псынщӀэу	rush
зедзын	rush
къэп	sack
лъапӀэ	sacred
щхьэузыхь	sacrifice
шынагъуэншэ	safe
шынагъуэншэу лъэтэныгъэ	safe flight
шынагъуэншагъэ	safety
цӀыху Ӏущ	sage
жиӀащ	said
чэтэн	sail
есыныгъэ	sailing
абы щхьа	sake
улахуэ	salary
псори щэжыныгъэ	sale
зэкӀэ щэжыныгъэ	sale
бдзэжьей лӀэужьыгъуэ	salmon
шыгьу	salt
ар дыдэр	same
Мыбдежи ар дыдэращ	Same here
щапхъэ	sample
пшахъуэ	sand
Санскрит	Sanskrit
щӀэнэкӀалъэ	sarcastic
Ӏэдэбыншэ	sassy
щысащ	sat
арэзы хъуныгъэ	satisfaction
арэзы хъуа	satisfied
арэзы щӀын	satisfy
гуакӀуэ	satisfying
Щэбэт	Saturday
нэкулъ	sausage
емылыдж	savage
мыгъасэ	savage
зехьэн	save
илъэгъуащ	saw
псэлъэн	say
щапхъэ	scale
гъэпцӀагъэ	scam
дыркъуэ	scar
мащӀэ	scarce
мыхьэнэншэ	scarce
шына	scared
пщэдэлъ	scarf
шынагъуэ	scary
икъухьа	scattered
зэбгрыдза	scattered
утыку	scene
щӀыуэпс сурэт	scenery
мэ	scent
зэхэгъэувэн	schedule
расписанэ	schedule
школ	school
щӀэныгъэ	science
щӀэныгъэлӀ	scientist
щӀэныгъэлӀхэр	scientists
лэныстэ	scissors
шхыдэн	scold
къызэщӀэубыдэныгъэ	scope
есэп	score
зэракъуутэ Ӏэмэпсымэ	scrap
къутахуэ	scrap
къитхъа	scratch
кӀиин	scream
пэӀудз	screen
экран	screen
винт	screw
сценарий	script
хы	sea
дамыгъэ	seal
лъыхъуэн	search
чэзу	season
зэман	season
тӀысыпӀэ	seat
дэкъикъэ	second
напӀэзыпэ	second
щэху	secret
гуэшыныгъэ	section
Ӏыхьэ	section
шынагъуэншэ	secure
шынагъуэншагъэ	security
лъагъун	see
дызыхуэзэнщ	see you
нэхъ гувауэ дызэрылъагъунщ	see you later
икӀэщӀыпӀэкӀэ дызэрылъагъунущ	see you soon
пщэдей дызыхуэзэнщ	see you tomorrow
жылэ	seed
къэлъыхъуэн	seek
фӀэщӀын	seem
къызэрыпщыхъумкӀэ	seems
илъэгъуащ	seen
зэщӀэубыдэн	seize
теуэныгъэ	seizure
техьэгъуэ	seizure
зэзэмызэ	seldom
къыхэхын	select
езы	self
езым зыгъэхъужыныгъэ	self healing
щхьэзыфӀэфӀ	selfish
щэн	sell
хуегъэхьын	send
уи сурэт къысхуегъэхь	send me your picture
нэхъыжь	senior
гухэлъ	sense
акъылыфӀэ	sensible
псынщӀэу зыхэзыщӀыкӀ	sensitive
дзыхэ	sensitive
иригъэхьащ	sent
псалъэуха	sentence
хьэрычэт	sentence
псалъэуха	sentences
къыхэлъхьэныгъэ	sentences
щхьэхуэ	separate
Сепедэ	Sepedi
фокӀадэ	september
зэкӀэлъыкӀуэныгъэ	sequence
сериал	series
зэпӀэзэрыт	serious
гушыӀэншэу	seriously
къулыкъу щӀэн	serve
къулыкъу	service
зэман хэхакӀэ ягъэзащӀэ Ӏуэхугъуэ	session
къэщтэныгъэ	set
гъэувын	set
тегъэувэн	set up
теухуэныгъэ	setting
щӀэтӀысхьэн	settle
блы	seven
пщыкӀубл	seventeen
блыщӀ	seventy
зыбжанэ	several
хьэлъэ	severe
дын	sew
ныбжь	shade
ныбжь	shadow
зедзэн	shake
щыӀэнущ	shall
мыкууущэ	shallow
напэтех	shame
формэ	shape
щытыкӀэ	shape
гуэшэн	share
сыр	sharp
ар	she
абы иӀэщ	she has
ар щытщ	she is
гуэщ	shed
мэл	sheep
тхьэмпэ	sheet
дэлъхьэпӀэ	shelf
фампӀэ	shell
джэдыкӀампӀэ	shell
дафэ	shell
быдапӀэ	shelter
зэгъэпщкӀупӀэ	shelter
мэӀу	shield
зыхууэгъэкӀуэтэн	shift
цӀуун	shine
кхъухь	ship
хьыныгъэ	shipping
джанэ	shirt
вакъэ	shoes
еуэн	shoot
гъэуэн	shoot
лъэщапӀэ	shop
къэщэхуныгъэ	shopping
псы Ӏуфэ	shore
кӀэщӀ	short
иримыкъуныныгъэ	shortage
гъэуэн	shot
уэгъуэ	shot
хуейщ	should
блыпкъ	shoulder
кӀиин	shout
гъэлъэгъуэныгъэ	show
егъэлъагъун	show
сыгъэлъагъу сэ	show me
зыгъэпскӀыпӀэ	shower
креветкэ	shrimp
мащӀэ хъун	shrink
зэхуэщӀын	shut
зэтепӀэн	shut up
укӀытэх	shy
дэлъху хьэмэрэ шыпхъу	sibling
зэдэлъху-зэшыпхъу	siblings
сымаджэ	sick
лъэныкъуэ	side
жьы жьэдэшэныгъэ	sigh
плъагъэ	sight
нэ	sight
гу зылъытапхъэ щӀыпӀэхэр къэплъыхьын	sightseeing
дамыгъэ	sign
ӀэщӀэдз	signature
мыхьэнэ зиӀэ	significant
щым	silence
псалъэгъуей	silent
щэху	silent
шылэ	silk
делэ	silly
дыжьын	silver
зэщхь	similar
симп	simp
къызэрыгуэкӀ	simple
зэуэ	simultaneously
и гъусэу	since
гупцӀанэ	sincere
гу зэӀуха	sincere
гузэӀухауэ	sincerely
уэрэд жыӀэн	sing
уэрэджыӀакӀуэ	singer
зызакъуэ	single
блэтхьэкӀумэ	sink
блащхьэ	sink
итхьэлэн	sink
зиусхьэн	Sir
шыпхъу	sister
нысащӀэ	sister in law
щысын	sit
щӀыпӀэ	site
щытыкӀэ	situation
хы	six
пщыкӀух	sixteen
хыщӀ	sixty
инагъ	size
есэныгъэ	skill
есэныгъэ	skills
фэ	skin
гъурыӀуэ	skinny
блэгъэкӀын	skip
кӀэ	skirt
уафэ	sky
пщылӀ	slave
жеин	sleep
жей	sleeping
пщӀыхь	sleepy
Ӏэщхьэ	sleeve
Ӏыхьэ	slice
упщӀэтэн	slice
цӀэнтхъуэн	slide
мащӀэу	slightly
зэкӀуж	slim
пкъыфӀэ	slim
цӀэнтхъуэн	slip
егъэзыхыпӀэ	slope
безынэ	slot
хуэм	slow
хуэму	slowly
цӀыкӀу	small
губзыгъэ	smart
мэ	smell
гуфӀэ	smile
пыгуфӀыкӀын	smile
Ӏугъуэ	smoke
зэтес	smooth
шхын псынщӀэ	snack
нэщӀэпкӀэ	snail
блэ	snake
теуӀуэн	snap
уэс	snow
аращи	so
сыту гуапэ	so cute
узыншэу	so far
апщӀэндэху	so far
зыщӀегъэфын	soak
сабын	soap
чэфыншэ	sober
топджэгу	soccer
жылэӀуэху	social
социальнэ	social
жылагъуэ	society
лъэпэд	socks
щабэ	soft
програмнэ обеспеченэ	software
щӀыгулъ	soil
яща	sold
зыбгыращыкӀащ	sold out
сэлэт	soldier
лъэгу	sole
лъэгущӀыхь	sole
быдэ	solid
хэкӀыпӀэ	solution
унафэ	solution
зэхэгъэкӀын	solve
зыбжанэ	some
зыгуэр	somebody
зыгуэрурэ	somehow
зыгуэр	someone
зыгуэр	something
иныкъуэм деж	sometimes
уэрэд	song
куэд мыщӀэу	soon
гъэщӀэрэщӀа	sophisticated
Соранэ	Sorani
цӀынагъэ	sore
сымаджэ	sore
тэмакъ уз	sore throat
нэщхъеиныгъэ	sorrow
Къысхуэгъэгъу	Sorry
зэхэдзын	sort
хущӀэкъут	sought
псэ	soul
псэкӀэ зэблагъэ	soulmate
зи дуней еплъыкӀэ зытехуэ	soulmate
макъ	sound
хьэнтхъупс	soup
гуащӀэ	sour
псыкъижыпӀэ	source
ипщэ	south
зэхуаку	space
мыхьэнэ зимыӀэ	spam
зэхуаку	span
Испанскэ	Spanish
щысхьын	spare
лей	spare
псэлъэн	speak
зыми хуэмыдэ	special
теплъэ	species
хэха	specific
пыухыкӀа	specific
гъуэзэджэ	spectacular
псалъэкӀэ	speech
псалъэкӀэ зыфӀэкӀуэда	speechless
псынщӀагъ	speed
тебжэныгъэ	spell
тегъэкӀуэдэн	spend
гъэкӀуэда	spent
сыр	spicy
банэ	spike
гъэкӀэрэхъуэн	spin
къуэтыр	spinach
джэдз	spinach
жин	spirit
убжьынтхэн	spit
гъуэзэджэ	splendid
зэгуэгъэхун	split
къута	split
утэн	spoil
зэкӀуэкӀа	spoiled
зэӀыхьа	spoiled
езырезыру къэхъу	spontaneous
бжэмышх	spoon
бжыгъэ	spot
щхьэгъусэ	spouse
хэӀущӀыӀу щӀын	spread
гъатхэ	spring
плӀимэ	square
къыщӀытӀыкӀын	squeeze
къыщӀэкъузыкӀын	squeeze
кальмар	squid
кӀэпхъ	squirrel
фӀэбзын	stab
фӀэгъэжын	stab
быдэу щыт	stable
зэпӀэзэрыт	stable
стэчан цӀыкӀу	stack
песонал	staff
утыку	stage
бжыгъэ	stain
пкӀэлъей	stairs
Ӏыхьэ	stake
жэпкъ	stalk
кабинэ цӀыкӀу	stall
дамыгъэ	stamp
щытын	stand
увыкӀэ	stand
жыпхъэм ит	standard
вагъуэ	star
щӀэдзэн	start
щӀэдза	started
мэжалӀэ	starving
быдэу жыӀэн	state
щытыкӀэ	state
лъэӀу	statement
станц	station
статуе	statue
щытыкӀэ	status
щыӀэн	stay
къэнэн	stay
зыхуэсакъыж	stay safe
быдэу щыт	steady
зэпӀэзэрыт	steady
лышхуэ гъэжьа	steak
дыгъуэн	steal
бахъэ	steam
жыр	steel
лъэщ	steep
задэ	steep
жэпкъ	stem
лъэбакъуэ	step
баш	stick
ткӀий	stiff
иджыри	still
мыхъей	still
уэн	sting
нэпсей	stingy
зэхэгъэзэрыхьын	stir
гъэтӀылъыгъэ	stock
къадыгъуа	stolen
ныбэ	stomach
мывэ	stone
щытащ	stood
шэнтщхьэгуэ	stool
къэувыӀэн	stop
гъэтӀылъыпӀэ	storage
зыкӀуэцӀылъхьэн	store
борэн	storm
тхыдэ	story
мывэ упса	stove
захуэ	straight
захуэу кӀуэ	straightforward
къехьэкӀ-нехьэкӀыншэ	straightforward
къару щӀэлъхьэныгъэ	strain
гъэщӀэгъуэн	strange
телъыджэ	strange
мынэӀуасэ	stranger
Ӏуэхугъуэ гуэрым узэрыхуэкӀуэ щӀыкӀэ	strategy
шхий	straw
хьэуазэ	straw
мэракӀуэ	strawberry
кусэ	streak
псы уэр	stream
кърикӀуэ	stream
уэрам	street
къару	strength
гупщӀэуз	stress
зыхэшын	stretch
бгэ	strict
ткӀий	strict
удын	strike
бзэпс	string
кусэ	strip
хущӀэкъун	strive
удын	stroke
къарууфӀэ	strong
зэуа	struck
зэхэлъыкӀэ	structure
зэуэн	struggle
зауэ	struggle
щӀэбэн	struggling
ерыщ	stubborn
хэна	stuck
ӀэщӀагъэ щрагъэгъуэт еджапӀэм щеджэ	student
зэгъэщӀэн	study
зэгъэщӀэныгъэ	study
зэгъэщӀэныгъэ	studying
иукӀэн	stuff
телъыджащэ	stunning
делэ	stupid
зыщӀыкӀэ	style
зыхуэпэкӀэ	style
стиль	style
хьэпшып	subject
едэӀуэныгъэ	submission
хуэпщылӀын	submit
пкъахуэ	substance
хъуэжыныгъэ	substitute
ерагъыу гу зылъыптэ	subtle
хунэсын	succeed
хэхъуэныгъэ	success
ехъулӀэныгъэ зыхэлъ	successful
апхуэдэ	such
мыпхуэдэ	such
хуэдэ	such as
ещхь	such as
щӀэфын	suck
напӀэзыпӀэ	sudden
умыщӀэххэу	suddenly
гугъу ехьын	suffer
гукъеуэ	suffering
гузэвэгъуэ	suffering
ирикъу	sufficient
фошыгъу	sugar
хуэгъэлъэгъуэн	suggest
хуэгъэфэщэн	suggest
псалъэуха	suggestion
хьэрычэт	suggestion
щыгъын	suit
къекӀу	suit
екӀу	suitable
пхъуантэ	suitcase
шумэдан	suitcase
зэрыхъур	sum
суммэ	sum
купщӀэ кӀэщӀ	summary
гъэмахуэ	summer
лъагапӀэ дыдэ	summit
дыгъэ	sun
тхьэмахуэ	sunday
дыгъэ	sunny
къухьэпӀэ	sunset
дыгъэ бзий	sunshine
супер	super
ефӀэкӀ	superior
кӀэлъыплъакӀуэ	supervisor
пщыхьэщхьашхэ	supper
зыхуей хуэгъэзэн	supply
мылъку	supply
зыщӀэгъэкъуэн	support
зыщӀэгъэкъуэныгъэ	support
хуэгъэфэщэн	suppose
хуэгъэфэща	supposed
дауи	sure
щхьэфэ	surface
къэунэхуныгъэ	surge
операцэ	surgery
унэцӀэ	surname
гъэщӀэгъуэн щыщӀын	surprise
зыгъэщӀэгъуа	surprised
зытын	surrender
дыкъэзыухъуреихь	surrounding
кӀэлъыплъыныгъэ	surveillance
упщӀэ	survey
еупщӀын	survey
къелын	survive
шэч хуэщӀын	suspect
шэч зыхуащӀ	suspect
кӀэрыщӀа	suspended
шэч уэзыгъэщӀ	suspicious
дэӀыгъын	sustain
быдагъэ	sustainability
быдэу щыт	sustainable
зэпӀэзэрыт	sustainable
щыхупӀэ	swag
егъэнэхын	swallow
хъуэжын	swap
тхьэ Ӏуэн	swear
пщӀэнтӀэпс	sweat
цыджанэ	sweater
пхъэнкӀэн	sweep
ӀэфӀ	sweet
ӀэфӀу ужеину	sweet dreams
ӀэфӀ зыфӀэфӀ	sweet tooth
фӀыуэ плъагъу	sweetheart
къэпщын	swell
къэпщыгъэ	swelling
есын	swim
есыныгъэ	swimming
хъыринэ	swing
сысын	swing
гъэпкӀэн	switch
зэрагъапкӀэ	switch
бэга	swollen
джатэ	sword
дамыгъэ	symbol
гущӀэгъу	sympathy
симптомхэр	symptoms
системэ	system
Ӏэнэ	table
жэуап къэлъыхъуэн	tackle
дамыгъэ	tag
кӀапэ	tail
къэщтэн	take
къытехын	take away
зыхуэсакъыж	take care
щыхын	take off
техын	take off
къащта	taken
псэлъэн	talk
псалъэмакъ	talk
псэлъэрей	talkative
лъагэ	tall
теуӀуэн	tap
етӀыркъын	tap
лентӀ	tape
нэщэнэ	target
зыхуэунэтӀын	target
къалэн	task
еплъын	taste
ӀэфӀагъ	taste
ӀэфӀ	tasty
иригъэсащ	taught
шей	tea
зэгъэщӀэн	teach
егъэджэн	teach
егъэджакӀуэ	teacher
гуп зэкъуэт	team
командэ	team
нэпс	tear
нэпсхэр	tears
гъэбэмпӀэн	tease
технологие	technology
щӀыкӀэ	technology
дзэ	teeth
псэлъэн	tell
къызжеӀэ сэ	tell me
хьэл-щэн	temper
температурэ	temperature
чылисэ	temple
пӀалъэ зиӀэ	temporary
пщӀы	ten
минипщӀ	ten thousand
щыпсэу	tenant
хущӀэкъун	tend
хущӀэкъуныгъэ	tendency
гуакӀуэ	tender
гузэва	tense
къару щӀэлъхьэныгъэ	tension
шэтыр	tent
ипэ къихуэ	tentative
ехьэлӀа псалъэ	term
Ӏуэху щытыкӀэ	terms
гуӀэгъуэ	terrible
гъуэзэджэ	terrific
щӀыпӀэ	territory
къызэрапщытэ лэжьыгъэ	test
къэпщытэн	test
тхыгъэ	text
сыткӀэ	than
фӀыщӀэ хуэщӀын	thank
упсэу	thank you
ФӀыщӀэ фхудощӀ посылкэр къэлъыхъуэным папщӀэ едгъэкӀуэкӀ Ӏуэхугъуэм теухуауэ фызэрытэмакъкӀыхьым щхьэ	Thank you for your patience while we investigate shipment
упсэушхуэ	thank you so much
упсэушхуэ	thank you very much
упсэу	thanks
Упсэу ди приложенэр къызэрыбгъэсэбэпам щхьэ	Thanks for using our app
ар	that
ар щытщ	that is
ар тэмэмщ	that's good
дыгъун	theft
я	their
я	them
зытеухар	theme
темэ	theme
сэ	themselves
абы щыгъуэ	then
теорие	theory
абдеж	there
щытын	there are
щыӀэщ	there is
абы щхьэ	therefore
мыхэр	these
ахэр	they
ахэр щытщ	they are
пшэр	thick
дыгъуакӀуэ	thief
дыгъу	thief
куэ	thigh
пӀащӀэ	thin
хьэпшып	thing
щыгъынхэр	things
егупсысын	think
ещанэ	third
псы зыхуэлӀэ	thirsty
пщыкӀущ	thirteen
щэщӀ	thirty
мыр	this
мыр щытщ	this is
зэгугъу	thorough
егугъуу	thoroughly
а	those
пэтми	though
щхьэкӀэ	though
гупсысащ	thought
гупсысэ	thought
хэгупсысыхьа	thoughtful
гупсысэ	thoughts
мин	thousand
Ӏуданэ	thread
гъэгузэвэн	threat
гъэшынэн	threaten
щы	three
щӀыхьэпӀэ	threshold
гухэхъуэм зэщӀищтэныгъэ	thrilled
гъэгъэн	thrive
ефӀэкӀуэн	thrive
тэмакъ	throat
кӀэ	throughout
дзын	throw
Ӏэпхъуамбэшхуэ	thumb
уафэгъуагъуэ	thunder
Махуэку	Thursday
къызэрыщӀэкӀымкӀэ	thus
мэлхьэпӀацӀэ	tick
къыӀухьэныгъэ	tide
къабзэ	tidy
пщэдэлъ	tie
пхэн	tie
къаплъэн	tiger
зэв	tight
Тинринэ	Tigrinya
зэман	time
укӀытэх	timid
цӀыкӀунитӀэ	tiny
кӀапэ дыдэ	tip
шеибжьэ	tips
шинэ	tire
езэша	tired
салфеткэ	tissue
нэкӀур Ӏупэр зэралъэщӀыж платоку цӀыкӀу	tissue
цӀэ	title
щыӀэн	to be
хъуэхъу	toast
нобэ	today
сабий цӀынэ	toddler
лъэхъуамбэ	toes
зэгъусэу	together
псыунэ	toilet
жиӀащ	told
шыӀэныгъэ	tolerance
шэчын	tolerate
бэдрэжан	tomato
пщэдей	tomorrow
бзэгу	tongue
ныщхьэбэ	tonight
ари	too
къищтащ	took
Ӏэмэпсымэ	tool
Ӏэмэпсымэ	tools
дзэ	tooth
лъагапӀэ	top
зытеухар	topic
темэ	topic
зэфӀэтхъа	torn
бэлыхь	torture
хьэзаб	torture
зэдай	total
лъэӀусын	touch
хьэлъэ	tough
къекӀуэкӀыгъуэ	tour
тур	tour
гъэзауэ	toward
гъэзауэ	towards
напэӀэлъэщӀ	towel
къалэ	town
ӀукӀей-щӀыкӀей	toxic
лъэужь	trace
гъуэгу	track
сату	trade
сату щӀын	trade
хабзэ	tradition
зэса	traditional
хабзэ хъуа	traditional
гъэхъеиныгъэ	traffic
лъэужь	trail
мафӀэгу	train
егъэджэныгъэ	training
екъуа	trait
щытыкӀэ	traits
зэхэлъыкӀэ	traits
нэгъуэщӀым етын	transfer
зэпрыкӀыпӀэ	transition
щхьэпрыкӀыныгъэ	transition
зэдзэкӀын	translate
узыпхрыплъ	transparent
транспорт	transport
транспорт	transportation
къапхъэн	trap
пхъэнкӀий	trash
фэбжь	trauma
дунеяпъэ	travel
сату зэращӀ пхъуантэ	tray
хьэкхъуафэ	tray
фӀыгъуэ	treasure
зыхуэгъэзэн	treat
зыхуэгъэзэныгъэ	treatment
жыг	tree
абрагъуэ	tremendous
зэманым къекӀу	trend
гъэунэхуныгъэ	trial
хэтащ	tried
гъэтыр	trigger
зыщӀэгъэплъэн	trigger
къыхэгъэжын	trim
кӀуэныгъэ	trip
мыщхьэпагъэ	trouble
гъуэншэдж	trousers
хьэлъэзешэ машинэ	truck
пэжщ	true
хьэпшып зыдахьыну е ирагъэшэнухэм я илъхьэпӀэ	trunk
хьэпшып илъхьэпӀэ	trunk
дзыхь хуэщӀын	trust
дзыхь	trust
пэж	truth
еплъын	try
Тсонгэ	Tsonga
бжьамий цӀыкӀу	tube
мыштыку	tube
трубкэ	tube
Гъубж	Tuesday
егъэджэныгъэ	tuition
гуэгуш	turkey
куркумэ	turmeric
ежэкӀыпӀэ	turn
шылъэгу	turtle
егъэджакӀуэ	tutor
пщыкӀутӀ	twelve
тӀощӀ	twenty
тӀощӀрэ зы	twenty-one
Чвэ	Twi
тӀэу	twice
къуэнтӀэн	twist
тӀу	two
телъэ	type
ещхьыркъабзэ	typical
лъагъугъуей	ugly
и кӀэм нэгъэса	ultimate
жьауэ	umbrella
егъэсэгъуей	unable
мыгурыхуэ	unable
анэ дэлъху	uncle
адэ къуэш	uncle
къэмэхащ	unconscious
лъабжьэ	under
щӀагъ	under
лъабжьэ	underneath
