бер аҙ	a little
сатыр	umbrella
һәләтһеҙ	unable
ағай	uncle
бабай	uncle
һушһыҙ	unconscious
аҫтында	under
аҫтында	underneath
баһалап еткермәгән	underrated
аңларға	understand
аңлаған	understood
ҡыҙғанысҡа ҡаршы	unfortunately
униформа	uniform
уникаль	unique
берәмек	unit
университет	university
билдәһеҙ	unknown
түгел иһә	unless
тиклем	until
үҙенсәлекле	unusual
өҫкә	up
һинән тора	up to you
яңыртыу	update
яңыртырға	update
яңыртыу	upgrade
яңыртырға	upgrade
өҫтөндә	upon
боҙорға	upset
күңелһеҙ	upset
ҡала	urban
мәжбүр итергә	urge
нәфсе	urge
ашығыс	urgent
беҙҙе	us
файҙаланырға	use
файҙаланыу	use
ҡулланылған	used
файҙалы	useful
файҙаһыҙ	useless
ғәҙәти	usual
ғәҙәттә	usually
файҙалылыҡ	utility
ял	vacation
вакцинация	vaccination
вакцина	vaccine
вакуум	vacuum
тоноҡ	vague
йоғоносло	valid
ғәмәлдәк	valid
үҙән	valley
ҡиммәтле	valuable
баһа бирергә	value
байлыҡ	value
күплек	variety
төрлө	various
айырылырға	vary
ваза	vase
киң	vast
йәшелсә	vegetable
йәшелсә	vegetables
транспорт	vehicle
һатыусы	vendor
ағыу	venom
предприятие	venture
осрашыу урыны	venue
тикшерергә	verify
төрлө яҡлы	versatile
версия	version
вертикаль	vertical
бик	very
бик яҡшы	very good
судно	vessel
аша	via
вибрация	vibe
мөхит	vibes
аяуһыҙ	vicious
ҡорбан	victim
видео	video
күренеш	view
ауыл	village
яуыз	villain
һеркә	vinegar
иҫке модалағы	vintage
көс ҡулланыу	violence
көсләү	violent
вируслы	viral
ғиффәтле	virgin
ысын	virtual
изгелек	virtue
күреү	vision
визит	visit
килеп инергә	visit
визуаль	visual
тормошсан	vital
асыҡ	vivid
һүҙҙәр запасы	vocabulary
тауыш	voice
бушлыҡ	void
күләм	volume
ирекмән	volunteer
ҡоҫоҡ	vomit
ҡоҫорға	vomit
йомшаҡ	vulnerable
эш хаҡы	wage
эш хаҡы	wages
бил	waist
көтөргә	wait
официант	waiter
көтөү	waiting
уятырға	wake
уянырға	wake up
йөрөргә	walk
йөрөп килеү	walk
йөрөү	walking
стена	wall
янсыҡ	wallet
ҡыҙырырға	wander
теләргә	wanna
теләргә	want
эҙләнеүсе	wanted
теләгән	wanted
һуғыш	war
гардероб	wardrobe
склад	warehouse
йылытырға	warm
йылы	warm
иҫкәртергә	warn
иҫкәртеү	warning
яугир	warrior
булған	was
йыуырға	wash
буш юғалтыу	waste
юҡҡа эшләргә	waste
ҡарарға	watch
ҡул сәғәт	watch
һыу	water
ҡарбуз	watermelon
тулҡын	wave
юл	way
беҙ	we
беҙ	we are
беҙ эшләй алабыҙ	we can
көсһөҙ	weak
көсһөҙлөк	weakness
байлыҡ	wealth
хәлле	wealthy
кейергә	wear
арытҡыс	wearing
кейеп йөрөгән	wearing
һауа	weather
туй	wedding
Шаршамбы	Wednesday
ҡый үләне	weed
аҙна	week
ял көнө	weekend
үлсәргә	weight
ауырлыҡ	weight
сәйер	weird
рәхим итегеҙ	welcome
байлыҡ	welfare
ярҙам аҡса	welfare
Ярай	Well
Ҡоҙоҡ	Well
Шулай итеп	Well
афарин	well done
барған	went
булдылар	were
көнбайыш	west
дымлы	wet
кит	whale
нимә	what
ә һин	what about you
нимә эшләйһең	what are you doing
һәҙер һин нимә эшләйһең	what are you doing now
һин хәҙер нимә эшләйһең	what are you doing right now
Һин кем булып эшләйһең	what do you do
һин йәшәү өсөн нимә эшләйһең	what do you do for a living
һин нимә эйтергә теләйһең	what do you mean
һиң нимә кәрәк	what do you want
нимә булды	what happened
нимә ул	what is
был нимә ул	what is this
һеҙ кем булып эшләйһегеҙ	what is your job
һинең исемең нисек	what is your name
ниндәй яңылыҡтар бар	what's up
исемең нисек	what's your name
нимә генә булмаһа	whatever
бойҙай	wheat
тәгәрмәс	wheel
ҡасан	when
һәр тапҡыр	whenever
ҡайҙа	where
һин ҡайҙа	where are you
һин ҡайҙан	where are you from
һин хәҙер ҡайҙа	where are you now
һин ҡайҙа йәшәйһең	where do you live
ҡайҙа	where is
шул уҡ ваҡытта	whereas
ҡайһы	which
шул арала	while
бышылдау	whisper
һыҙғырырға	whistle
аҡ	white
кем	who
һин кем	who are you
кем	who is
был кем ул	who is this
бөтөн	whole
кемде	whom
кемдең	whose
нимәгә	why
ни өсөн	why
ниңә юҡ	why not
уҫал	wicked
киң	wide
тол ҡатын	widow
киңлек	width
ҡатын	wife
ҡыр	wild
ирек	will
әҙер	willing
еңеү яуларға	win
йел	wind
тәҙрә	window
елле	windy
шарап	wine
ҡыш	winter
һөртөргә	wipe
сым	wire
аҡыл	wisdom
аҡыллы	wise
теләк	wish
теләргә	wish
иң яҡшы теләктәр	wish you all the best
сихырсы	witch
менән	with
кире алырға	withdraw
кире алыу	withdrawal
эсендә	within
-һеҙ	without
шаһит	witness
шаһит булырға	witness
үткер аҡыллы	witty
бүре	wolf
ҡатын ҡыҙ	woman
ҡатын ҡыҙҙар	women
еңеү яулаған	won
булмаясаҡ	won't
ғәжәпләнергә	wonder
ғәжәп	wonderful
ағас	wood
йөн	wool
һүҙ	word
һүҙҙәр	words
эшләргә	work
эш	work
күнегеү	work out
эшләгән	working
донья	world
селәүсен	worm
туҙған	worn
болоҡһотоҡ	worried
борсолорға	worry
насарыраҡ	worse
табынырға	worship
иң насар	worst
лайыҡ	worth
иғтибарға лайыҡ	worth it
лайыҡ	worthy
ине	would
яра	wound
Вау	Wow
урарға	wrap
асыу	wrath
шаушаҡ	wrist
яҙырға	write
Бында яҙығыҙ	Write here
яҙыу	writing
яҙылған	written
дөрөҫ түгел	wrong
яҙған	wrote
ихата	yard
иҫнәү	yawn
иҫнәргә	yawn
Әйе	Yeah
йыл	year
йылдар	years
сүпрә бәшмәк	yeast
ҡысҡырырға	yell
һары	yellow
Эйе	Yes
эйе балаҡайым	yes baby
эйе ҡәҙерлем	yes dear
эйе йәнем	yes honey
эйе йөрәкәйем	yes my love
эйе әлбиттә	yes of course
кисэнге	yesterday
әле	yet
уңыш	yield
сығарырға	yield
һин	you
һин	you are
һин сибәр	you are beautiful
һин шундай матур	you are so beautiful
рәхим итегеҙ	you are welcome
һин алаң	you can
Беләһеңме	You know
һин дә	you too
рәхим итегәҙ	you're welcome
йәш	young
һинең	your
рәхим итегеҙ	your welcome
үҙен	yourself
йәш саҡ	youth
йәшлек	youth
рәхим итегеҙ	you’re welcome
тәмле	yummy
нуль	zero
