a little	халта
value	үнэ сэн
variety	янза
various	элдэб янзын
vary	илгарха
vase	ваар
vast	туйлай ехэ
vegetable	ногоон
vegetables	ногоон
vehicle	унаа
vendor	наймашан
venom	хорото
venture	талаан туршалга
venue	болохо газар
verify	шалгаха
versatile	хайшаашье тэгшэ
version	нэгэ илгаань
vertical	сэхэ уруугаа
very	угаа
very	тон
very good	ехэ һайн
vessel	һаба
via	дамжаад
vibe	элшэ
vibes	элшэ
vicious	хайра гамгүй
victim	хохирогшо
video	бэшэлгэ
view	хараса
village	тосхон
villain	хоротой хүн
vinegar	уксус
vintage	хуушанай эдлэл
violence	хүсэрхэл
violent	хэрзэгы
viral	вирусна
virgin	хурисал үзөөгүй хүн
virtual	бии боломоор
virtue	буян
vision	хараса
vision	хараа
visit	эрьехэ
visual	визуал
vital	гол шухала
vivid	яларһан
vocabulary	хэлэн
voice	хоолой
void	хооһон
volume	багтаса
volume	шанга
volunteer	өөрын дураараа ажалшан
vomit	бөөлжэхэ
vulnerable	хэбрэг
wage	салин
wages	салин
waist	бэлхүүһэн
wait	хүлеэхэ
wait	хүлеэ
waiter	зөөгшэ
waiting	хүлеэлгэ
wake	һэрюулхэ
wake up	һэрихэ
walk	алхаха
walking	алхалта
wall	хана
wallet	сүүмхэ
wander	зайха
wanna	хэхээ һанаха
want	хүсэхэ
wanted	хүсэһэн
war	дайн
wardrobe	хубсаһанай шкаф
warehouse	склад
warm	дулаан
warn	урид мэдүүлхэ
warning	һэргылэлгэ
warrior	сэрэгшэ
was	байгаа
wash	угааха
waste	гаргашалга
watch	гарай саг
watch	хараха
water	уһан
watermelon	тарбас
wave	долгин
way	зам
we	бидэ
we are	бидэ бол
we can	бидэ шадахабди
weak	һула
weakness	һуларал
wealth	баялиг
wealthy	баян
wear	үмдэхэ
wearing	үмдэһэн
weather	уларил
wedding	хурим
wedding	түрэ
Wednesday	Гурбадахи үдэр
weed	буртаг
weed	үрмэдүүл
week	долоо хоног
weekend	амаралтын үдэр
weight	шэгнүүри
weird	гайхалтай
weird	жэгтэй
welcome	орожо хайрлыт
welfare	хангагданги байлга
Well	Һайн
well done	һайн хэгдэһэн
went	ябаһан
were	байһан
west	баруун
wet	нойтон
whale	халим
what	юу
what about you	харин шинии хубида
what are you doing	юу хэжэ байнат
what are you doing	юу хэжэ байнаш
what are you doing now	мүнөө юу хэжэ байнаш
what are you doing right now	мүнөө юу хэжэ байнаш
what are you doing right now	мүнөө юу хэжэ байнат
what do you do	та юу хэдэгбта
what do you do	ши юу хэдэгбши
what do you do for a living	та юу хэдэг хүмта
what do you do for a living	ши юу хэдэг хүмши
what do you mean	юун гэжэ хэлэхээ һананаш
what do you want	яахаа һананабта
what do you want	яахаа һананаш
what happened	юун болооб
what is	юун бэ
what is this	энэ юун бэ
what is your job	ямар ажалтайш
what is your job	ямар ажалтайбта
what is your name	хэн гэжэ нэрэтэйш
what's up	хэрбта
what's up	хэрбши
what's your name	танай нэрэтнай хэн бэ
what's your name	шинии нэрэшни хэн бэ
whatever	ямаршье
wheat	улаан таряан
wheel	сахариг
when	хэзээ
whenever	хэзээшье
where	хаана
where are you	хаана байна
where are you from	ши хаанахимши
where are you from	та хаанахимта
where are you now	мүнөө хаана байнаш
where do you live	хаана байдагбши
where do you live	хаана байдагбта
where is	хаана байнаб
whereas	тиихэдэнь
whether	энэ хоёрой алиншье
which	али
while	тиихэдэ
whisper	шэбэнээн
whistle	һэшхэрхэ
white	сагаан
who	хэн
who are you	ши хэмши
who is	хэн бэ
who is this	энэ хэн бэ
whole	бүхэли
whom	хэндэ
whose	хэнэй
why	яагаад
why	юундэ
why not	юундэ үгыб
wicked	ууртай
wide	үргэн
widow	бэлбэһэн эхэнэр
width	үргэниинь
wife	һамган
wild	зэрлиг
will	хүсэл
willing	бэлэн
win	диилэхэ
wind	һалхин
window	сонхо
windy	һалхитай
wine	улаан архи
winter	үбэл
wipe	аршаха
wire	шабын түмэр
wisdom	сэсэн ухаан
wise	сэсэн
wish	хүсэхэ
wish you all the best	шамда һайн һайханиие хүсэнэб
wish you all the best	танда һайн һайханиие хүсэнэб
witch	шолмос эмэ
with	хамта
withdraw	бусааха
withdrawal	бусаалга
within	туршада
without	үгыгөөр
witness	гэршэ
witty	ухаатай
wolf	шоно
woman	эхэнэр
woman	һамган
women	эхэнэр
won	диилэһэн
wonder	гайхаха
wonderful	гайхамшагтай
wood	модон
wool	нооһон
word	үгэ
words	үгэнүүд
work	ажал
work out	бэе һорилго
working	ажалһан
world	дэлхэй
worm	үтэн
worn	элэһэн
worried	һанаагаа зобоһон
worry	һанаагаа зобохо
worse	бүри муу
worship	мүргэхэ
worst	эгээ муу
worth	сэн
worth it	болохотой
worthy	табимаар
wound	шарха
Wow	Үүй
wrap	орёохо
wrath	уур
wrist	сарбуу
write	бэшэхэ
Write here	Эндэ бэшэгты
Write here	Эндэ бэшэ
writing	бэшэлгэ
written	бэшээтэй
wrong	буруу
wrote	бэшээ
yard	хотон
yawn	эбһээлхэ
Yeah	Аһа
year	жэл
years	жэлнүүд
yeast	эһээлтэ
yell	хашхарха
yellow	шара
Yes	Тиимэ
yes baby	за бэйби
yes dear	заа хонгормни
yes honey	заа инагни
yes my love	тиимэ минии дурамни
yes of course	заа мэдээжэ
yesterday	үсэгэлдэр
yet	үшөөшье
yield	ургаса
you	ши
you are	ши бол
you are beautiful	ши сэбэрхэнши
you are beautiful	та сэбэрхэнта
you are so beautiful	ши тон һайханши
you are so beautiful	та тон һайханта
you are welcome	хайрлыт даа
you can	шадахаш
You know	Ши мэдэнэш
You know	Та мэдэнэт
you too	та баһа
you too	ши баһа
you're welcome	хайрлыт даа
young	залуу
your	шинии
your welcome	хайрлыт даа
yourself	өөрыгөө
youth	залуу наһан
you’re welcome	хайрлыт даа
yummy	амтатайхан
zero	тэн
