kele	a
mɔgɔya	sympathy
bana taamasiyɛnw	symptoms
sisitɛmu	system
tabaki	table
ka ɲɛnabɔ	tackle
ka nɔrɔ	tag
kukala	tail
ku	tail
minɛ	take
ta	take
mina	take
ta ka boyi	take away
mara	take care
bɔsi	take off
fosi	take off
pan	take off
a talen	taken
kuma	talk
kumakɛlaba	talkative
janmajan	tall
orobinɛ	tap
gosigosi	tap
worobinɛ	tape
dilankun	target
dasigi	target
baarakèta	task
nɛmu	taste
timi	tasty
kalanan	taught
tee	tea
dute	tea
kalan	teach
mɛtɛrɛ	teacher
karamɔgɔ	teacher
jɛnkulu	team
ɲɛji	tear
ɲɛji	tears
ka dalabo	tease
tɛkinolozi	technology
ɲiinw	teeth
fɔ	tell
kuma	tell
a fɔ ne ye	tell me
nunsɔ	temper
dusuman	temper
gwanniyahakɛ	temperature
alabatosoba	temple
donkatɛmɛ	temporary
tan	ten
waga mugan	ten thousand
luwanse	tenant
ka sama	tend
cogo	tendency
maga	tender
waati	tense
tansiyon	tension
finiso	tent
ka eseye	tentative
kumasɛn	term
laban	term
bɛnkanw	terms
kabakoman	terrible
sariyanfɛn	terrific
jamana	territory
mara	territory
kɛkafilɛ	test
kɔrɔbɔ	test
masalabolo	text
katɛmɛ	than
i ni ce	thank
Barika	thank you
i ni ce	thank you
Abarika	thank you
I ni ce i ka muɲuli kama an bena sɛgɛsɛgɛli kɛ ka filɛ i ci minaw be yɔrɔ min	Thank you for your patience while we investigate shipment
i ni ce kosɔbɛ	thank you so much
i ni ce kosɔbɛ	thank you very much
abarika	thanks
barika	thanks
a ni ce	thanks
I ni ce i ye baara cɛ ni an ka aplikasiyɔn kama	Thanks for using our app
nin	that
o	that
ko	that
nin don	that is
a kaɲi	that's good
sonya	theft
u	their
u	them
dakun	theme
u yɛrɛ	themselves
o yɛrɛ dama	themselves
kɔfɛ	then
o kɔfɛ	then
kɛ cogo	theory
yen	there
yenfɛ	there
bɛ ye	there are
be yen	there is
o de kosɔn	therefore
nunu	these
ninnu	these
u	they
o	they
u ye	they are
bon bon	thick
nson	thief
woro	thigh
misɛnman	thin
fasa	thin
fɛn	thing
fɛnw	things
miiri	think
sabanan	third
jiminnɔgɔ .na	thirsty
tan ni saba	thirteen
minnɔgɔ	thirty
nin	this
nin ye	this is
fɛsɛfɛsɛ	thorough
kɔsɛbɛ	thoroughly
minnu	those
jaa	though
dun	though
miiriya	thought
kɔnɔnako	thought
miiri	thought
miriya	thoughtful
miriya	thoughts
wa kelen	thousand
gaari	thread
kalan	thread
bagabaga	threat
baabaali	threaten
papa	threaten
saba	three
dakun	threshold
lasiralen	thrilled
ɲasuma	thrive
yiriwa	thrive
kan konola	throat
ka tèmè a fè	through
banabiri	throughout
fili	throw
bolokɔni kunba	thumb
sanpɛrɛnkan	thunder
alamisa	Thursday
alamusa	Thursday
o kaman	thus
ka yigi yigi	tick
kɔgɔjitagama	tide
sani	tidy
saani	tidy
siri	tie
waranikala	tiger
ŋaɲi	tight
Tigrinyakan	Tigrinya
siɲɛ	time
jamana	time
wagati	time
maloya	timid
fitinin	tiny
dakun	tip
juu	tip
laadilikan	tips
mɔbilisen	tire
manan	tire
sɛgɛra	tired
finimugu	tissue
tɔgɔ	title
ra	to
la	to
ka kɛ	to be
ka tɔsi kɛ	toast
bi	today
bilaroroniw	toddler
senkumaden	toes
ɲɔgɔn	together
ɲɛgɛn	toilet
fɔla	told
yafa	tolerance
ka yafa	tolerate
tomati	tomato
sini	tomorrow
nɛɛn	tongue
su ni na	tonight
fana	too
minana	took
minɛn	tool
minɛnw	tools
ɲin	tooth
sanfɛ	top
kunko	topic
tunɔminen	torn
ka tɔɔrɔ	torture
kasabi	total
tu	touch
maga	touch
fasa	tough
turi	tour
kasin	toward
fɛ	towards
jɔsilan	towel
duguba	town
sɔfɛ	toxic
baga	toxic
ka nɔ bɔ	trace
nɔ	track
tɛmɛyɔrɔ	track
jago	trade
jagobaara	trade
julaya	trade
kɔrɔmanko	tradition
landa	tradition
landa	traditional
sira	traffic
sirikilasiyɔ	traffic
kiri	trail
kolo	train
bolodon	train
tɛrɛn	train
baaradegeli	training
degeli	training
taamasiyɛn	trait
taamasiyɛn	traits
k'a  tchi  a ma	transfer
furancɛfanga	transition
ka bayɛlɛma	translate
jɛlen	transparent
doni	transport
taransipɔrɔ	transportation
foolo	trap
ɲamaɲama	trash
nɔgɔ	trash
jawili	trauma
dugutaga	travel
tagama	travel
tiriwari	tray
nafolo	treasure
furakɛ	treat
furakɛli	treatment
yiri	tree
dakabana	tremendous
taabolo	trend
kititigɛ	trial
ka lafili	trick
kititigɛla	tried
kɛkafilɛra	tried
kɔrɔbɔla	tried
daɲini	trigger
kankɔrɔbɔ	trigger
marfaviridaki	trigger
ka gana	trim
talon	trip
dugutaga	trip
gwɛlɛya	trouble
kulusi	trousers
pantalɔn	trousers
kamiyɔn	truck
HALALA	true
SƐBƐ	true
LAKIKA	true
suun	trunk
cɛmabacɛ	trunk
limaniya	trust
tiɲɛ	truth
banba	try
Songokan	Tsonga
tiyo	tube
Tarata	Tuesday
ladonli	tuition
kulokulo	turkey
kirkuma	turmeric
kuruda	turn
faran	turn
koorokaara	turtle
ladonbaga	tutor
tan ni fila	twelve
mugan	twenty
mugan ni kelen	twenty-one
Ashantikan	Twi
siɲɛ fila	twice
ka tunɔmi	twist
fila	two
sugu	type
gansan	typical
cɛjugu	ugly
kɔdan	ultimate
sanjibɛnnan	umbrella
se tan	unable
belencɛ	uncle
miribali	unconscious
duguma	under
jukɔrɔ	underneath
sɔngojugu	underrated
faamu	understand
famuyala	understood
n'ga malatikè	unfortunately
teni	uniform
ɲɔgɔntɛ	unique
kelenpe	unique
inite	unit
kalansoba	university
lakodonbali	unknown
fɔ	unless
fo	until
min te loon o loon koe ye	unusual
sanfɛ	up
a bagara i ma	up to you
lakuraya	update
kuraya	update
ka fisaya	upgrade
kè min kèra	upon
funu	upset
furuku	upset
duguba	urban
teli	urge
teli	urgent
an	us
annu	us
anwu	us
kɛ	use
ɲɛci	use
kolon	used
nafama	useful
kolon	useless
kɔrɔlen	usual
tuma wo tuma	usually
nafa	utility
kɔnze	vacation
boloci	vaccination
boloci	vaccine
lankolon	vacuum
kuma min ti pelepele	vague
jaati	valid
kulufurance	valley
dondala	valuable
taare	valuable
daman	value
sugu	variety
sugu wɛrɛw	various
ka yɛlɛ ka jigi	vary
tinto	vase
kabon	vast
nanfɛnkɛnɛ	vegetable
nafɛn kɛnɛ	vegetables
mɔbili	vehicle
feerekɛla	vendor
baga	venom
ka taga taama la	venture
nani	venue
sɛgɛsɛgɛ	verify
nafacaman	versatile
wɛrisiyɔn	version
jɔlen	vertical
yɛrɛ	very
ka ɲi kosɔbɛ	very good
bato	vessel
fɛ	via
mamagali	vibe
ɲagali	vibes
diyatɔ	vicious
kasaaratɔ	victim
wideyo	video
hakilila	view
dugu	village
cɛjugu	villain
winɛgiri	vinegar
kɛnɛ	vintage
tɔɲɔnli	violence
nijugu	violent
diɲɛ lamini	viral
npogotigi	virgin
Ɛntɛrinɛti kɔnɔ kow	virtual
kalite	virtue
jiralifɛn	vision
lajɛ	visit
na	visit
ye ko	visual
niin	vital
yelenman	vivid
kumadengafe	vocabulary
kumaden kalan	vocabulary
kumakan	voice
kolon	void
lakolon	void
makan	volume
wɔlɔntɛri	volunteer
kun fɔ	vomit
faantan	vulnerable
sara	wage
sara	wages
cɛ	waist
i lɔ	wait
baarakɛden	waiter
makɔnɔli	waiting
ka wuli	wake
kunu	wake up
tama	walk
tagama	walk
tagama	walking
kogo	wall
pɔrɔtɔmani	wallet
yaalayaala	wander
bɛna	wanna
fɛ	want
tun bi . fɛ	wanted
tun kanuna	wanted
kɛlɛ	war
faninbilayɔrɔ	wardrobe
taafebilayɔrɔ	wardrobe
magasan	warehouse
funteni	warm
funtenima	warm
bagibagi	warm
wɔlɔkɔ	warn
lasɔmi	warning
kɛlɛkɛla	warrior
tun be	was
tun bi	was
ka ko	wash
tiɲɛ	waste
ɲaman	waste
filɛ	watch
jii	water
nsɛrɛ	watermelon
melon	watermelon
jikuru	wave
sira	way
anwu	we
annu	we
an	we
an ye	we are
anwu ye	we are
an bi se	we can
an be se	we can
faantan	weak
fɛgɛnya	weakness
nafolo	wealth
nafolotigiya	wealthy
don	wear
donfini	wearing
nɛɛmayafɛnw cogo	weather
furusiri	wedding
musofuru	wedding
arabalon	Wednesday
bin	weed
lɔgɔkun	week
lɔgɔkun laban	weekend
wikɛni	weekend
guliya	weight
kunntan	weird
i dansɛ	welcome
i ni tagama	welcome
bisimila	welcome
kɛnɛya	welfare
A nyèna	Well
baara ɲuman lo	well done
tara	went
tagara	went
tun be	were
tun bi	were
tileben	west
ɲigira	wet
balɛni	whale
mun	what
ele don	what about you
i bi mun lo kɛra	what are you doing
i bi mun kɛ	what are you doing
i bi mun baara kɛra	what are you doing
i bi mun lo kɛra sisan	what are you doing now
i bi mun kɛra sisan	what are you doing now
i be mun don kɛ sisan sisan	what are you doing right now
i bi mun baara kɛɛra	what do you do
e bɛ baara jumɛ de kɛ	what do you do for a living
i ye min fɔ kɔrɔ ko di	what do you mean
i be mun lo fɛ	what do you want
mun lo kɛra	what happened
mun ye	what is
mun lo ye	what is
nin ye mun ye	what is this
i bɛ mun baara kɛ	what is your job
i i tɔgɔ ko di	what is your name
i tɔgɔ be di	what is your name
mun bɛ ye	what's up
i tɔgɔ be di	what's your name
o	whatever
alikama	wheat
sen	wheel
yɔrɔ min	when
minkɛ	when
tuman min	when
wati wati	whenever
min	where
yɔrɔ juman	where
i be min	where are you
i bɔra min	where are you from
i be bɔra min	where are you from
i be min sisan	where are you now
i sigilen be min	where do you live
i sigilen be yɔrɔ juman	where do you live
a bɛ min	where is
kamasɔrɔ	whereas
kasɔrɔ	whereas
yala ni	whether
juman	which
jumɛn	which
kamasɔrɔ	while
kasɔrɔ	while
ka.to	while
ɲunuɲunu	whisper
filenin	whistle
gwɛman	white
jɔɔn	who
i ye jon ye	who are you
jɔn ye	who is
jon lo	who is this
mumɛ	whole
kunturu	whole
minw	whom
min	whom
jon ta	whose
mun kosɔn	why
mun na	why
mun y'a to	why
munna ayi	why not
jugu	wicked
fɛrɛ	wide
muso cɛ salen	widow
lɔsurun	width
panpara	width
muso	wife
kongo kɔnɔ fɛn	wild
bina	will
sagoya	will
bena	will
diyanyetɔ	willing
sɔrɔ	win
tɔnɔ	win
fɔɲɔ	wind
finɛtiri	window
fiyɛma	windy
diwɛn	wine
foonɛnɛ	winter
ka jɔsi	wipe
filijuru	wire
hakilimaya	wisdom
hakilitigiya	wisdom
hakilima	wise
hakilitigi	wise
ŋaniya	wish
sago	wish
ne ka duba i ye	wish you all the best
subaga	witch
ni	with
ani	with
bɔsi	withdraw
labɔli	withdrawal
kɔnɔ	within
cɛman	within
ni . tɛ	without
seereya	witness
hakilinako	witty
lugaru	wolf
muso	woman
musow	women
sɔrɔla	won
tɛna	won't
yɛrɛ ɲininga	wonder
kabako	wonder
kabakoman	wonderful
batu	wood
lɔgɔjalan	wood
sagasi	wool
kumasɛn	word
kumadenw	words
baarakɛtaw	work
ciya	work
baara	work
ka labɛn	work out
be kèkan	working
duniɲa	world
ntumu	worm
ka kankarimada	worn
ɲimiɲama	worried
jɔrɔ	worry
haminanko	worry
hami	worry
kajugu ka tɛmɛ	worse
bato	worship
lajuguya	worst
hɔɔrɔn	worth
ka kan ka	worth
a bɛ a kun bɔ	worth it
nafaman	worthy
tun	would
nigɛda	wound
joli	wound
joginda	wound
ankasa	Wow
ka meleke	wrap
dimi	wrath
bolokan	wrist
sɛbɛn	write
Sɛbɛ yan	Write here
sɛbɛnni	writing
sɛbɛnnin	written
gasi	wrong
sɛbɛnna	wrote
lukɛnɛ	yard
haalo	yawn
Awɔ	Yeah
Unhun	Yeah
Ɔnhɔn	Yeah
san	year
saanw	years
fununnan	yeast
kule	yell
nɛrɛmuguman	yellow
Awɔ	Yes
unhun	Yes
Ɔnhɔn	Yes
hɔnhɔn bebe	yes baby
hɔhɔn balima	yes dear
awɔ n jarabi	yes honey
awɔ n jarabi	yes my love
hɔnhɔn kɛ	yes of course
kunu	yesterday
nga	yet
fɔlɔ	yet
sɔrɔhakɛ	yield
i	you
Aw	you
Á	you
i ye	you are
i ye sarama ye	you are beautiful
i kɛ ka ɲi	you are beautiful
i cɛ ka ɲi	you are so beautiful
bisimila	you are welcome
i dansɛ	you are welcome
i be se	you can
i bɛ a dɔn	You know
i fana	you too
i dansɛ	you're welcome
misɛnman	young
cinin	young
i	your
ile	your
i dansɛ	your welcome
i yɛrɛ	yourself
denmisɛnya	youth
i dansɛ	you’re welcome
timiman	yummy
fu	zero
