a	kĩ
utility	ũhũthĩri
vacation	kũhurũka
vaccination	ũheyani wa njanjo
vaccine	njanjo
vacuum	hatarĩ kindũ
vague	gĩtarĩ gikinyaniru
valid	kĩrũgamĩrĩire
valley	gĩtuamba
valuable	ma bata
value	thogora
variety	mĩthemba
various	mĩthemba mĩingĩ
vary	nĩ ngũrani
vase	njagi
vast	na ũingĩ
vegetable	mboga
vegetables	mboga
vehicle	ngari
vendor	mũendia
venom	thumu
venture	kũingĩra
venue	gĩikaro
verify	gwĩkĩra mũkonde
versatile	ũhoti mũnene
version	rĩandĩko
vertical	na igũrũ
very	mũno
very good	wega mũno
vessel	nyũngũ ya riũmba
vessel	mũkiha
via	kũgerera
vibe	mĩario
vibes	uria uraigua
vicious	mũru
victim	mũndũ ũrĩa ũragũthumbũra
video	video
view	muonere
village	gĩcagi
villain	mũndũ mũũru
vinegar	thiki
vintage	ihinda
violence	ngũi
violent	ngũi
viral	mũrimũ
virgin	gathirange
virtual	ũrĩa ũtangĩoneka
virtue	ngumo njega
vision	muonere
visit	gũceera
visual	maitho
vital	bata mũnene
vivid	na njĩra ndikĩru
vocabulary	ciugo
voice	mũgambo
void	handũ hatarĩ na kndũ
volume	ũingĩ
volunteer	kwĩrutĩra
vomit	gũtahika
vulnerable	kũhinyĩrĩrĩka
wage	mũcara
wages	mũcara
waist	njohero
wait	eterera
waiter	mũtungatĩri
waiting	gweterera
wake	gũũkĩra
wake up	ukĩra
walk	gũthiĩ
walking	gũthiĩ
wall	rũthingo
wallet	kabeti
wander	gũcangacanga
wanna	nĩ ngwenda
want	kwenda
wanted	nĩ meriragĩria
war	mbaara
wardrobe	kabati ya nguo
warehouse	thito
warm	rĩhiũhĩte
warn	mũkaana
warning	mũkaana
warrior	njamba ya ita
was	warĩ
wash	gũthambia
waste	gĩko gĩa gũte
watch	thaa
watch	rora
water	maaĩ
watermelon	watermelon
wave	rũhuho
way	njĩra
we	ithuĩ
we are	nĩ ithuĩ
we can	no tũhote
weak	kwaga hinya
weakness	kwaga hinya
wealth	ũtonga
wealthy	gĩtonga
wear	kwĩhumba
wearing	gwĩkĩra
weather	rĩera
wedding	ũhiki
Wednesday	Mũthenya wa gatatũ
weed	riya
week	kiumia
weekend	mũthia-inĩ wa kiumia
weight	ũritũ
weird	ũndũ wa kiriga
welcome	nĩ ndamwamũkĩra
welfare	ũgitĩri
Well	Wega.
well done	weka wega
went	agĩthiĩ
were	maarĩ
west	mwena wa ithũĩro
wet	kiigũ
whale	nyamũngumĩ
what	nĩ kĩĩ
what about you	Ĩ wee
what are you doing	nikii ureka
what are you doing now	nĩ kĩĩ ureka thaa ici
what are you doing right now	nĩ kĩĩ ureka thaa ici
what do you do	wĩkaga atĩa
what do you do for a living	ũrutaga wĩra ũrĩkũ
what do you mean	ũrenda kuuga atĩa
what do you want	ũkwenda atĩa
what happened	nĩ kĩĩ kĩahanikire
what is	nĩ kĩĩ
what is this	nĩ kĩĩ gĩkĩ
what is your job	wĩra waku nĩ ũrĩkũ
what is your name	wĩtagwo atĩa
what's up	nĩ atĩa
what's your name	wĩtagwo atĩa
whatever	o ũrĩa wothe
wheat	ngano
wheel	kũgũrũ
when	rĩ
whenever	rĩrĩa rĩothe
where	kũrĩa
where are you	Wee ũrĩ kũ
where are you from	muumĩte kũu
where are you now	wĩ kũ rĩu
where do you live	ũikaraga kũ
where is	nĩ kũ
whereas	no atĩ
whether	kana
which	ũrĩa
while	rĩrĩa
whisper	kũheherera
whistle	kũhuha
white	njerũ
who	nĩa
who are you	Wee ũrĩ ũ
who is	nũũ ũcio
who is this	ũyũ nũũ
whole	gĩothe
whom	nũũ
whose	nĩ yaũ
why	nĩkĩ
why not	nĩkĩ
wicked	mũndũ mwaganu
wide	warii
widow	mũtumia wa ndigwa
width	warii
wife	mũtumia wa mundu
wild	mutitu
will	nĩ egwĩka
willing	nĩ arenda
win	gũtoria
wind	rũhuho
window	ndirica
windy	rũhuho rũnene
wine	ndibei
winter	hĩndĩ ya heho
wipe	kũhura
wire	waya
wisdom	ũũgĩ
wise	ũũgĩ
wish	merirĩria
wish you all the best	nĩ ndakwendithiria wega
witch	mũrogi
with	hamwe na
withdraw	gũtigana
withdrawal	kũruta
within	thĩinĩ
without	hatarĩ
witness	mũira
witty	mũthekania
wolf	mbwe
woman	mũtumia
women	atumia
won	nĩ ahotete
won't	ndingĩhota
wonder	kũgegio
wonderful	magegania
wood	mbao
wool	gũoya
word	kiugo
words	ciugo
work	wĩra
work out	kũruta wĩra
working	kũruta wĩra
world	thĩ
worm	kĩgunyũ
worn	kũhumbwo
worried	ndĩ na mĩtangĩko
worry	nĩ ũndũ wa gũtangĩka
worse	uru gũkĩra ũguo
worship	gũthathaiya
worst	ũũru mũno
worth	thogora
worth it	nĩ wagĩrĩire
worthy	mũndũ wa bata
would	nĩ ingĩekire ũguo
wound	kĩronda
Wow	Nĩ wega mũno
wrap	gũkũnja
wrath	marakara
wrist	guoko
write	kwandĩka
Write here	Andĩka haha
writing	kwandĩka
written	kwandĩkwo
wrong	mahĩtia
wrote	aandĩkire
yard	kĩhaaro
yawn	kũrũta mieo
Yeah	Ĩĩ
year	mwaka
years	mĩaka
yeast	ndawa ya kuimbia
yell	kũgũthũka
yellow	rangi wa yellow
Yes	Ĩĩ nĩ ũguo
yes baby	ĩĩ mwendwa
yes dear	nĩguo mwendwa
yes honey	ĩĩ, mwendwa
yes my love	ĩĩ, mwendwa wakwa
yes of course	Ĩĩ nĩ ma
yesterday	ira
yet	nginya rĩu
yield	maumĩrĩro
yield	magetha
you	wee
you are	wee wĩ
you are beautiful	wee ũrĩ mũthaka
you are so beautiful	wee ũrĩ mũthaka mũno
you are welcome	wi munyite ugeni
you can	no ũhote
You know	Nĩ ũĩ
you too	o nawe
you're welcome	wĩ mũnyite ũgeni
young	mũndũ mwĩthĩ
your	gĩaku
your welcome	wĩ mũnyite ũgeni
yourself	wee mwene
youth	mbeu njithĩ
you’re welcome	nĩ ngũkena mũno
yummy	kĩna cama mũno
zero	kĩbũgũ
