ɖo aba	laid
Kuɖa	Wednesday
gbe	weed
kᴐsiɖa	week
kɔsiɖanuwuwu	weekend
kpekpeme	weight
woezɔ̃	welcome
dedienɔnɔ	welfare
Vudo	Well
yi	went
wonye	were
ɣetodoƒe	west
boso	whale
lu	wheat
kekefɔti	wheel
ɖe	whether
dali	whisper
kpe	whistle
ɣi	white
blibo	whole
tagbɔsesẽtɔ	wicked
keke	wide
ahosi	widow
kekeme	width
lɔlɔ̃nu	will
ya	wind
fesre	window
wain	wine
vuvᴐŋᴐli	winter
tutu	wipe
galɛ	wire
nunya	wisdom
didi	wish
adzetɔ	witch
kple	with
manᴐmee	without
gbɔdzɔgbɔdzɔ	witness
nyanu	witty
kple wò	and you
be woanye	in order to
si wobu	estimated
si wobu fɔ̃	damn
si woda ɖi	reserve
si wodina	favorite
le wo dome	around
si woɖe ɖe go	revealed
Mekpɔ wò edidi	I miss you so much
mekpɔ wò edidi	long time no see
si wofi	stolen
na wò	for you
si wogblẽ ɖi	abandoned
Melɔ̃ wò	I like you
Melɔ̃ wò	I love you
melɔ̃ wò	I love you too
si wokpɔ mɔ na	expected
si wole dzadzram	commercial
amegaxi	wolf
lɔ̃ wò	love you
nyɔnu	woman
si womekpɔ kpɔ o	unusual
si womekpᴐ kpᴐ o	strange
nyɔnuwo	women
si womenya o	unknown
nukunu	wonder
ɖo wò nɔnɔmetata ɖem	send me your picture
si wonya	familiar
si wonya	known
esi wònye ko	whatever
esi wònye	since
Melɔ̃ wò ŋutᴐ	I love you so much
ati	wood
alẽfu	wool
nya	word
nyawo	words
dɔ	work
xexeame	world
ŋɔvi	worm
nyi	worn
dzitsitsi	worry
subɔsubɔ	worship
dze	worthy
si wotsᴐ na	dedicated
abi	wound
eii	Wow
si wowɔ na	intended
ke wò ya ɖɛ	how about you
ke wò ya ɖɛ	what about you
si woyɔ	mentioned
si woyra	blessed
si wozã	used
si wɔa nu geɖe	versatile
si wɔ avu	violent
tsɔ wɔ dɔ	execute
si wɔ nuku	fascinating
aleke wɔ	why not
le wɔwɔm nyuie	cautious
dɔ wɔwɔ nyuie	efficiency
wòe wɔ̃	your welcome
tsᴐe wᴐ dᴐ	apply
bla	wrap
adã	wrath
alɔnu	wrist
ŋlᴐ	write
nuŋɔŋlɔ	writing
ŋlɔ	wrote
si wu ale sidze	overwhelming
nyo wu	better
dɔ wum	hungry
gblẽ wu	worse
tsi xaxa	pool
afu xe	foggy
me xe	narrow
ɖe xe	vomit
do xoxo	obsolete
si xɔ asi	premium
si xɔ asi	valuable
wɔa xɔlɔ̃	friendly
si xɔ ŋkɔ	vintage
gbɔ ya	breathe
le ya ƒom	windy
dzidzenu	yard
haha	yawn
Ee	Yeah
ƒe	year
ƒewo	years
nuʋãnu	yeast
aŋgbaɖiɖi	yellow
Ɛ̃	Yes
tututu	yes of course
ƒe yeye na wò	happy new year
tɔtrɔ yeye	revolution
tsɔe yi	convey
tsɔ yi	deliver
tse	yield
si yina gagbɔna	cycle
te yi	shift
tsᴐe yi	submit
tsɔ yi teƒe bubu	transfer
ti yome	chase
wò	you
ènye	you are
wòezᴐ	you are welcome
Ènya	You know
wò	your
wòezɔ	you’re welcome
sɔhɛ	youth
vivi	yummy
dzigbe zã nyuie na wò	happy birthday
ga zazã	finance
medzᴐna zi geɖe o	rarely
ɖe zɔ̃	march
wòe zɔ	you're welcome
le zɔzɔm	walking
ɖe zᴐ	move
va zu	became
