a	Langai
optional	mai lata la hpa
or	shing nrai
orange	lwi dwi si
order	matsun
ordinary	lawu tsang
organization	hpung kaba
origin	daipawt daihpang
origin	npawt gindai
original	madung re ai
orphan	jahkrai nmai
orphan	jahkrai ma
other	kaga
other	shaje
other	laga
otherwise	kaga lam
otherwise	maga mi
ought	ging ai
our	anhte a
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Anhte a lit: Shara shagu na masha shagu mungkan hpe chyena lu na hte ga amyu myu hku n na tinang hkum hpe tinang tsun dan lu na matu re ai
Our mission: to organize the world's information and make it universally accessible and useful.	Anhte a lit: Mungkan shiga ni hpe hkrang shapraw n na, yawng a matu akyu rawng ai hte lu mai hkra galaw na matu re ai
out	shing gan de
out	pru
outcome	pru sa ai lam
outcome	pru wa ai akyu
outfit	hking
outgoing	pru mat wa ai
outlet	pru lam
outlet	pru na shara
outline	ga hkrang masa
outside	shinggan de
outstanding	ningtawn ai
oven	di jang
over	ntsa e
over	ngut mat sai
over there	htawra kaw
overall	yawng
overcome	dang kau lu ai
overcome	awng dang kau ai
overthinking	ladu lai myit ai
overthinking	myit shalai mat ai
overwhelmed	kaput ai
overwhelming	ka up kau ai
overwhelming	lim mat ai
owe	hka kap ai
owe	lit nga ai
owl	u hku
own	madu ai
owner	madu
ox	u tang
ox	dumsu u tang
pace	hkam
pack	magun lit
pack	lit
package	matep
package	shabawn
package	makai
paid	wa ai
paid	shata shabai
paid	gumhpraw jaw ai
pain	machyi ai
paint	tsi chya ai
paint	sumla soi tsi
painting	sumla soi ai
pair	yan
pair	gup
pale	nsam kya ai
pale	kya ai
palm	lata lahpan
palm	namhtan hpun
pan	di dam
pan	di jang
pandemic	ana zinli
panic	tsang taw ai
panic	kajawng kaja re ai
pants	mazaw gai
pants	kata labu kasha
paper	mai sau
paradise	sumsing mungdan
parallel	kapyawn ai
parallel	dinggreng di da ai
parcel	majaw
parcel	makai
pardon	mara raw ya ai
parents	kanu kawa
park	nampan sun
park	mawdaw jahkring da shara
parrot	hkai ke
parsley	hpak ki
part	daw chyen daw sang
part	daw shan
participate	shang lawm ai
particular	ding hkrai
particularly	lak lai ai
particularly	a lak mi re ai
partner	ningrum ningtau
party	hpung
pass	hprang ai
pass	tawt lai ai
passage	hkrun lam
passage	lam
passed	dinghkren lai wa ai
passed	lai wa ai
passed	dinglai ai
passion	myit rawt ai
passionate	grai tsawra chye ai
passionate	masin pawt yak ai
passive	kahtet kamawt nre ai
passive	a ngwi a ngawn ga
password	ga makoi
past	moi na
past	moi moi
patch	ga lawk kaji kapa ai
patch	hkang
path	lam
pathetic	yawn hkyen ai
pathetic	matsan dum na zawn re ai
patience	myit galu ai
patience	sharang ai
patient	Myit galu ai
patient	Machyi masha
pattern	maka
pause	chyahkring mi hkring sa ai lam
pause	jahkring da ai
pavement	lung nyep
pavement	lung nyep lam
pay	jaw ai
payment	shabrai
payment	shabrai jaw ai lam
payment	gumhpraw jaw ai lam
peace	simsa lam
peace	simsa ai
peaceful	ngwi pyaw simsa ai
peach	sumwum si
peak	bumsen
peak	bum pungding
pear	magaw si
peas	shapre ni
peculiar	lak lai ai
peculiar	alak mi re ai
pee	jit ji ai
peel	yen kau ai
peel	gaw kau ai
peel	sep kau ai
peer	du magam wa
peers	du magam wa
pen	mahkret shingna
pencil	mahkret shingna
pencil	hke dan
pending	jahkring da ai
people	masha
pepper	majap lawm
perceive	mu hkrup ai
perceive	hkaja hkrup ai
perception	mu mada ai lam
perception	ning mu
perfect	hkrak dik sai
perfect	hkum dingnum
perform	shachyen ai
perform	galaw ai
performance	hkrang shala ai
performance	galaw shachyen ai
perhaps	nhten
perhaps	mai byin ai
period	aten ladaw
permanent	grin ai
permission	ahkaw a hkang, a hkang aya
permit	ahkang a ya
permit	ahkang jaw ai
perseverance	shakut shaja ai lam
perseverance	marai dat ai lam
persistent	shakut sharang ai
person	wa
personal	marai hkum hte seng ai
personality	hkum mari
personality	lai nsam ningja
perspective	ningmu
perspective	mu mada ai lam
persuade	gunglau ai
pervert	nhkru n kaja ai
pervert	lam yit ai
pet	nta rem dusat
phase	galu kaba wa madang
phenomenon	byin nga masa lam
philosophy	myit mang hpaji
photo	dat sumla
phrase	ga majaw
phrase	ga shingkyang
physical	gawng shingyang
pick	dagawt ai
pick	lata ai
pick up	wai
pick up	manaw yu
pick up	hta ai
picture	sumla
piece	ahkyep alep
pieces	hkyep ni
pieces	chyen ni
pig	wa
pigeon	u ra
pile	tawn ai
pile	sumpum
pillow	bunghkum
pillow	baw hkum
pilot	pyenli hkang ai wa
pin	samyit
pineapple	jang wawm si
pink	sumwum pu nsam
pit	nsung hku
pitch	nsen nyem tsaw
pity	myit npyaw hpa
pity	myit du ai
pity	matsan dum ai
place	shara
places	shara
plague	palik ana
plain	layang
plain	prang
plan	masing masa
plane	jak pyen li
plant	hkai ai
plant	ban ai
plants	hpun kaji
plants	hkai ai
plate	ban
plate	shat ban
platform	pinra
play	dum
play	ginsup
playing	ginsup taw ai
playing	shala chyai taw ai
pleasant	ngawn ai
pleasant	nga ai
pleasant	pyaw ai
please	Chyeju hte
pleased	ra sharawng ai
pleased	kabu ya ai
pleasure	pyaw hpa
pledge	ga sadi
pledge	mau hke hka
plenty	sumpum mi
plot	shara
plot	pa
plot	hting ra
plug	matsut
plug	matsut tawn ai
plum	mahkaw si
plumber	hka ting rat matut ai wa
plural	law ai masa
plural	langai hta grai law ai
poem	ga shagawp
poetry	ga shagawp
poetry	ningchying ga
point	htawng madun ai
point	masen ai
poison	gung
poison	ntuk
police	pya da
policy	ga shaka laika
polite	Sumnung ai
pollution	awu asin re ai lam
pond	nawng
pool	hka lawng
pool	hka la ing
poop	sanghpaw mai maga
poor	matsan ai
pop	kapaw pru nsen
pop	masha ra law ai mying kaba ai
pop	kapaw ai
popular	mying gumhkawng ai
popular	mying kaba ai
population	masha jahpan
pork	wa shan
porridge	hpa
port	hka daru
port	sanghpaw daru
position	madang
positive	kaja ai lai len
possess	nat kap ai
possess	lu la ai
possess	lu madu ai
possession	kyem ai
possession	maga ai
possessive	lu la ai hpe madun ai ga
possessive	lu la tawn ai rai hte seng ai
possible	mai byin ai
post	shadaw
postpone	jahkring tawn kau ai
postpone	nhtoi htawt kau ai
potato	yang yi
potential	byin mai ai lam
pound	adawt ai
pound	htu ai
poverty	matsan ai
power	n gun
powerful	daru magam lu ai
powerful	hpung kaba ai
practical	ta tut re ai
practical	ta tut mai ai
practice	shaman shakyang ai
praise	shakawn ai
prank	shala ai
pray	tawng ban ai
pray	a kyu hpyi ai
precious	manu dan ai
precise	azin ayang re ai
precise	tuphkrak
precisely	tuphkrak rai hkra
precisely	azin ayang rai hkra
predict	hkaw ya ai
predict	myi htoi gat tsun ai
prefer	mayu ai
preference	ningshawng jaw ai lam
pregnant	na um na sain re ai
pregnant	hkumgawng li ai
prejudice	myiman lata ai lam
premises	nta wang
premium	pahkam gumhpraw
preparation	hkyen lajang ai
prepare	hkyen lajang ai
prepared	hkyen lajang da ai
prepared	shachyip da ai
preposition	ga madun
presence	du dung lawm ai lam
presence	shara shatsam da ai
present	htawng madun ai
present	ya
present	kumhpa
presentation	tang madun ai lam
presentation	madun da ai lam
preserve	kyem mazing da ai
president	ningbaw
president	gumsan magam
press	dip gamyet ai
pressure	ngun
pretend	sumhpai ai
pretty	Tsawm htap ai
pretty	grai nan
prevent	makawp maga ai
previous	moi na
prey	kashun kashe sha ai
price	manu
price	manu jahpu
pride	arawng sadang
priest	hpung up sara
primary	madung
prime	kaba htum ai wa
prime	ahkyak dik re ai
prime	hpa awn wa
princess	hkawseng shayi
princess	hkawhkam nang
principal	tara
prior	re nrai shi yang
prior	shawng
prior	madung tawn ai
priority	madung tawn ai
prison	htawng
privacy	garu kachyi n nga ai shara
private	dinghkrai
privilege	laksan ahkaw ahkang
prize	shagrau kumhpa
probably	mai byin ai lam
problem	manghkang
problem	mayak
procedure	htung lai sa
proceed	matut galaw ai
proceed	matut manoi
process	mabyin
process	masa
produce	shapraw ai
product	kun rai
production	gunrai shapraw ai lam
profession	kan bau bungli
professional	kan bau bungli hte seng ai lam
profile	prat labau kadun n gyeng sumla
profit	amyat
profound	lachyum sung ai
progress	jat wa ai
progress	rawt jat wa ai
project	sawn hpajang magam
prominent	danhkung
promise	ga sadi jaw ai
promote	shatsaw ya ai
promotion	aya sharawt ya ai lam
prompt	ya jang jang
prompt	kalang ta
prone	shagum up re ai
pronouns	ga
pronouns	myinghkawt
pronunciation	ga nsen
proof	sakse
proper	ai
proper	htuk manu ai
properly	ai rai
properly	ai sha
properties	sut rai
properties	sut gan
properties	madu ai arai
property	a rai
proposal	tang madun ai lam
prospect	dam lada ai myi n shat
prospect	myit mada shara
prosperity	wunli ring ai nga mu nga mai ai lam
prosperous	sut ring ai
prosperous	sut su nga mai ai
prosperous	sut wunli chying wa ai
protect	makawp maga ai
proud	arawng la ai
prove	sakse madun dan ai
prove	chyam dinglik dan ai
provide	karum jaw ai
provide	ya ai
provide	karum ya ai
provided	garum madi shadaw ai
province	ginwang
provision	lusha jarik
provision	jahkrat masat tawn ai lam
puberty	hkawn ram prat
public	shawa mung hte seng ai
public	ninggawn shawa mung shawa singa
pull	gang ai
pumpkin	hkahkum si
punctual	aten hkrak hkrak re ai
pupil	jawng ma
pupil	sa pe
purchase	mari la ai
pure	ajet re ai
pure	majing re ai
pure	san seng ai
purple	shaba pu nsam
purpose	yaw shada ai lam
purse	gumhpraw sumbu kasha
pursue	matut manoi galaw
pursue	hkan nang hkan sa
pursuit	hkan tam ai lam
push	ganawng ai
push	htu ai
put	tawn ai
qualification	marai ningja
quality	atsam ningja
quantity	hti hkum
quarantine	lak san garen da ai shara
quarrel	ga law hkat ai lam
quarrel	ga law ga la
quarter	mare lawk
quarter	jik mi sumpum mali na langai
queen	Num hkawhkam
queen	Hkawhkam jan
queer	lak lai ai
queer	alak mi re ai
query	hkan sagawn ai lam
query	san sawk ai lam
query	ga san kumla
question	ga san
queue	tsap ding greng ai
queue	kara hkri ai
quick	larau ladau
quick	zet let ai
quick	lawan ai
quickly	lawan ladan
quiet	shim
quiet	katsi katsang
quiet	azim sha
quilt	pasi nba
quilt	si htun nba
quit	pru ai
quite	tsawmra mi
quiz	ga san shingjawng ai lam
quotation	la kap shaw la ai lam
quotation	la kap ai lam
quote	la kap la ai
quotes	la kap la ai
quotes	la kap shaw la ai
rabbit	bang tai
race	shing jawng lamang
race	amyu bawsang
rage	n yun
rage	pawt sin dawng ai
rain	marang
raise	sharawt ai
raise	jun ai
raise	shalat ai
raised	sharawt ai
raised	ladawn ai
raised	shalun ai
ran	ka gat ai
random	hta hkrup
range	masat masa madang
rapid	chyang ai
rapid	lawan ladan re ai
rapidly	a lawan sha
rapidly	lawan ladan
rare	taw ai
rarely	taw dik ai
rash	jan maru
rash	atin shapun re ai
rat	yu
rate	manu
rather	ram ram
ratio	htam
rational	myit yu chye ai
rational	myit sumru yu chye ai
raw	katsing
re	kalang bai
reach	du ai
reached	du ai
reached	lep ai
reaction	hti htang galaw ai lam
read	hti ai
reading	laika hti ai
ready	jin jin
ready	ri ri
real	jet ai
real	kaja sha
reality	tatut re ai lam
reality	kaja wa teng ai lam
realize	hkawn hkrang ai
realize	myit hprang ai
realize	dumhprang ai
realized	chye na myit hkawn wa ai
really	kaja wa i
really	kaja sha
rear	hpang de
rear	shing du de
reason	mabyin lam
reasonable	sawn dinglik mai ai lam
reasonable	hkap la mai ai lam
recall	bai shaga la ai
recall	bai myit dum hprang ai
receipt	hkap la lu ai
receive	ja
receive	hkap la ai
received	hkap la lu ai
recent	ndai laman hta sha
recent	ya hte sha
recently	ndai laman
reception	hkalum poi
reception	poi shingra
recipe	matsun
recipe	tsi gayau matsun
reckless	n sadi ai
reckless	kam mara re ai
recognition	matsing masat da ai lam
recognize	yin la ai
recognize	matsing ai
recognize	hkap la ai
recommend	madi shadaw ai
recommended	madi shadaw ai
record	masat masa
recover	bai lu la ai
recover	bai hkam kaja wa ai
recovery	bai lu la ai lam
rectangle	jut ding mali lawk zawn re
red	hkyeng ai
redeem	shaw la ai
redeem	hkrang shaw la ai
redeem	galai la ai
redemption	galai la ai
reduce	shayawm ai
redundant	law htam ai
refer	mahta ai
reference	lashum laika
reference	lakap laika
reflect	pat shingna jung ai
reflect	myit aru yu ai
reflection	bai myit aru yu ai lam
reflection	pat shingna
refrain	koi kau ai
refrain	koi gam ai
refrigerator	katsi jak
refrigerator	hka shage sadek
refund	gumhpraw bai nhtang ai
refuse	koi kau ai
refuse	ninghkap ai
refused	ning hkap kau ai
refused	ning dang kau ai
regard	sawn la ai
regard	yu ai
regarding	seng n na
regardless	ahkrak ntawn
regards	myit dum let
region	ginra
region	hkawng
register	jahpan bang ai
register	ka matsing jahpan laika
regret	myit malai lu ai
regret	myit npyaw ai
regular	shawoi
regularly	aten hkrak hkrak
regularly	masa jaw ai
reject	ningdang kau ya ai
reject	shabai kau ai
relate	matut mahkai ai
relate	hkai tsun dan ai
relate	amyu daw ai
related	chyaw ai
related	daw ai
relationship	mahku mara ai lam
relative	jinghku jingyu
relatives	makyin jinghku
relatives	jinghku jingyu
relax	ban
release	shapru ai
release	dat ya ai
released	dat ya ai
released	raw dat ai
released	shapraw ya ai
relevant	htap htuk manu ai
reliable	kam mai ai
reliable	mai kam hpa ai
relief	karum ningtum
relieve	hkyam sa jaw ai
relieved	hkyem sa jaw ai
religion	makam masham grai shakut ai
religion	makam masham
religion	nawku htung hte seng ai
religious	makam masham hte seng ai
religious	nawku htung hte seng ai
reluctant	myit nhkrum ai
reluctant	kanung
rely	manem
rely	kamhpa ai
remain	jan ai
remain	hti
remain	naw ngam ai
remaining	ngam ai
remarkable	matsing da mai ai lam
remarkable	matsing la mai ai
remedy	tsi lajang ai
remedy	tsi lajang ai masa
remember	dum shai ai
remember	myit dum ai
remember	dum ai
remind	shadum jahprang ai
remind	shadum jashai ai
reminder	shadum jahprang ai lam
remote	tsan gang
remove	la kau ai
remove	mala kau ai
remove	shaw kau ai
render	gam jaw ai
render	ga gale ai
rent	ga hkang
rent	shap shabrai
repair	me ai
repair	byeng ai
repeat	kahtap di ai
repeat	kahtap tsun ai
replace	malai bang ai
reply	htai ai
reply	n htang ai
report	tang madun ai
report	shana ai
represent	malai tai ai
represent	gawng malai
reputation	gumhkawng ai
reputation	arawng sadang
request	hpyi lajin ai
request	hpyi shawn ai
require	ra ai
require	ra ahkrak ai
required	ra ai
required	ning ra ai
rescue	mawai la ai
rescue	hkye mawai la ai
rescue	sai la ai
research	sawk sagawn ai
resemble	bung ai
resentment	masin pawt ai lam
reservation	ngam da ya ai lam
reservation	lak san tawn da ya ai shara
reserve	ngam da ya ai
reserve	masat tawn da ai
resident	nga ai wa
resign	hkring mat ai
resign	pru mat ai
resilience	hkam mana lu ai
resilience	hkin dit lamat chye ai
resilient	hkam jan lu ai
resist	hkap shadaw ai
resist	hkap shadang ai
resistance	ninghkap gasat ai lam
resistance	hka shadaw ai lam
resolution	ngang kang ai
resolution	dawdan lam
resolve	myit shatawng ai
resolve	myit jahkut ai
resort	ban sa shara
resort	chyai ginra
resort	sa ra
resources	hpung tang sut sut rai
resources	myit gawat ai
respect	hkungga la ra ai
respond	gin htang ai
respond	htang shana ai
response	yau ya ai
response	mahtai
responsibility	lit nga ai
responsibility	seng ang ai
responsible	lit nga ai
rest	sa la ai
rest	hkring la ai
rest in peace	Ngwi pyaw ai hte ban sa nga u
restaurant	lu sha seng
restore	gram lajang ai
restrict	tara hte tek jum tawn ai
result	mahtai
result	akyu ara
results	mahtai
results	akyu ara lu la ai
results	akyu ara
resume	bai hpang ai
retail	hkyawt dut ai
retain	mahkyu la lu ai
retain	matut lu la ai
retention	tut kyem da lu ai atsam
retired	bungli hkring mat ai
retired	hkring sa ai
retreat	hting nut ai
retreat	n gun awai sharin hpawng
retrieve	bai lu la ai
retrieve	zing la ai
return	bai wa ai
return	ginhtang ai
reveal	hpyan ai
reveal	shapyan
revealed	hpaw tsun dan da ai
revealed	hpaw shaleng dan da ai
revenge	matai htang ai
revenge	hka htang ai
revenue	shang gumhpraw
revenue	hkang se
reverse	ngam da ya ai
reverse	lak san tawn da ya ai
review	bai dinglik yu ai
revise	bai gram lajang ai
revise	gin htang lajang ai
revision	bai yu ai lam
revision	nnan kaw n na bai ginhtang sharin ai lam
revolution	gumlang ai lam
revolution	rawt malan ai lam
reward	shagrau kumhpa
reward	shagrau kum hpa jaw ai
rhythm	yu kap nsen
rib	garep nra
rib	jawng lapa
rice	shat
rice	n gu
rich	lauban ai
rich	lu su ai
rid	hprun kabai kau ai
ride	hkang ai
ride	jau ai
ride	jawn ai
ridiculous	lachyum nrawng ai
ridiculous	nmai byin ai lam
right	jaw ai
right	teng ai
right	lahkra maga de
right now	ya jang jang
rigid	tara ja ai
ring	tachyawp
rinse	kashin agrak kau ai
rinse	arut kashin kau ai
riot	ruk rak ai
riot	kabrawng ai
rip	gang jen kau ai
ripe	aten du sai
ripe	myin ai
rise	jat wa ai
rise	rawt ai
risk	tsang hpa
rival	shingjawng manang
river	hka
road	lam kaba
roast	ka i ai
roast	ju ai
roast	ka kang ai
robust	akam asham re ai
robust	n gun ja ai
robust	n gun lagaw ja ai
rock	lunghkrung
rod	sumprang
rod	shingna
role	daw sang
role	lit lamang
roll	katsu ai
roll	taleng ai
roof	nta n gaw
room	gawk
room	gawk shap nga ai
root	ru pawt
root	ningpawt
root	aru jung ai
root	ru ru ai
rope	sumri
rotten	yet mat ai
rotten	hpu ai
rough	yak hkak ai
roughly	nru nra re ai
roughly	mazut ai
roughly	arut arat re ai
round	pawng pawng
round	gumdin
route	hkawm lam
route	lam
routine	galaw laisa
row	ding ren
rub	arut ai
rub	ganun ai
rubber	noi kret
rubbish	maza mala
rubbish	shanut shanaw
rude	zai ai
rug	pa nep
ruin	hten run mat ai
ruin	hten za mat ai
rule	uphkang ai wa
rule	mungdu
rule	du wa
ruler	uphkang ai wa
ruler	pe dan
rules	uphkang ai wa
rules	mungdu
run	ka gat ai
running	galaw taw ai
running	ka gat taw ai
rural	buga
rush	kyin ai
sack	tingsan
sack	n hpye kaba
sacred	chyoi pra ai
sacrifice	hkungga jaw
safe	shim ai
safe	shimlum ai
safe flight	shinglum ai pyen lam rai u ga
safety	shim lam
sage	alawng
sage	hpaji rawng ai wa
said	tsun ai
sail	sumpan li
sail	li yawng ai
sail	jawn ai
sailing	li jawn hkawm ai
sailing	li yawng hkawm ai
sake	jaw e
sake	gawp e
sake	marang e
salary	shabrai
sale	dut sha ai lam
salmon	salmon nga
salt	jum
same	bung ai
same	maren sha
Same here	ndai kaw mung maren sha re
sample	kasi rai
sample	kasi
sand	hkum tsai
sand	zai bru
sat	dung ai
satisfaction	myit dik ai
satisfaction	myit krem ai
satisfied	myit dik myit pyaw ai
satisfy	myit dik ai
satisfy	myit krem ai
satisfying	myit dik ai
Saturday	mashang shani
Saturday	bat kru ya shani
sausage	wa pu shan jahkraw
savage	zai ai
save	sai la ga
save	zing da ai
saw	mu ai
say	tsun ai
say	nga ai
scale	joi
scar	nma
scar	nma hkang
scarce	lu la yak ai
scarce	grai n law ai
scarce	taw ai
scared	shagri brep ai
scarf	du gyit
scary	nma
scary	nma hkang
scattered	shabra kau ai
scattered	agat kau ai
scattered	jahtaw kau ai
scene	sumla zat pang
scenery	u hkru ginra
scenery	myi hkru ginra
scent	bat
scent	samu
scent	n ngawt
schedule	aten mahkyen
school	jawng
science	hpung tang hpaji
scientist	hpungtang hpaji ninghkring
scientists	hpungtang hpaji ninghkring ni
scissors	zen dau
scold	daru ai
scold	daru sharin ai
scope	ginwang
scope	myi gaiwang
score	lu ai amat
scrap	adaw chyen
scrap	kabai kau ai
scratch	ahkrawt
scratch	mahkyit ai
scratch	ahkret
scream	jahtau marawn ai
scream	kyek ai
screen	nba grang
screen	pan grang
screw	hpri nai
script	lata laika
script	ka matsing
sea	pang lang
seal	dazik
search	tam
search	ahkrawk
search	gasawk
season	duhkra ladaw
seat	lahkum
seat	punghkum
seat	dung shara
second	lahkawng
secret	ning ip ga makoi magap tawn ai
section	daw garan ai
section	daw
secure	ngang kang ai
secure	shim ai
secure	makawp maga ai
security	pahkam rai ga shaka laika
security	shim lam
see	mu mada ai
see	mu ai
see you	bai hkrum ga
see you later	hpang e bai hkrum ga
see you soon	kade n na yang bai hkrum ga
see you tomorrow	Hpawt de bai hkrum ga
seed	nli tum
seed	tum
seed	nli
seek	sawk tam ai
seem	htang ai
seem	zawn nawn ai
seem	nawn ai
seems	zawn re
seen	mu kau da ai
seize	hkap rim la ai
seize	rim magra la ai
seizure	rim la ai lam
seldom	tsan e kalang
select	lata san ai
select	lata la ai
self	hkum nan
self	madu hkum
self healing	madu hkum madu shamai la ai
self healing	madu hkum madu tsi la ai
selfish	myit tawk ai
selfish	tinggyeng myit
selfish	machyu ai
sell	dut ai
send	shagun ai
send	sa ai
send me your picture	Ngai hpe nang na sumla sa ya rit
senior	arawng aya grau kaba ai wa
sense	maju
sense	lachyum
sensible	myit sawn lu mai ai
sensible	myit sawn chye ai
sensitive	hkra loi
sensitive	loi ai
sensitive	machyi loi
sent	shagun dat ai
sent	shabawn dat ai
sentence	ari jaw ai lam
sentence	ga yan
sentences	ari jaw ai lam
sentences	ga yan
separate	garan ai
separate	ginghka ai
september	gumtung ta
series	hti hkum
serious	laja lana re ai
seriously	asu a li
seriously	laja lana
serve	galaw jaw ai
serve	daw jaw ai
service	daw jau
session	zuphpawng
session	dakasu hpaji lamang
session	tara rung
set	masat ai
set up	gaw gap ai
set up	shakap ai
settle	chyarang sanglang ai
seven	sanit
seventeen	shi sanit
seventy	sanit shi
several	nkau mi
severe	sawng ai
sew	chywi ai
shade	shingnip
shadow	shingnang
shake	kanawn kawam ai
shake	ashun kau ai
shake	ashun ashan di ai
shall	ging ai
shallow	hka tang
shame	kaya kahpa
shape	hkrang
share	gambum
share	gam jaw ai
sharp	heng
sharp	dai ai
she	shi
she has	shi kaw nga ai
she is	shi re ai
shed	dumsu lawng
sheep	sagu
sheet	pa
sheet	panyep
shelf	garap
shelf	di hpra
shell	kawp
shell	hkoi kawp
shelter	nga shara
shelter	shingbyi shara
shield	makawp maga ai
shield	ninggang
shift	htawt ai
shift	sit ai
shine	htoi kabrim ai
ship	hka li
ship	sanghpaw li
shipping	sanghpaw hte kun rai htaw ai lam
shirt	lawnghkai
shoes	hka kau
shoot	sumla hkrung dem ai
shoot	gap ai
shop	rai mari ai
shop	gat seng
shopping	gat mari hkawm ai
shore	panglai hka kau
short	kadun ai
short	dawk
shortage	dum hprut ai lam
shortage	nlaw nla re ai lam
shot	sinat pala
shot	gap ai
shot	sinat goi nsen
should	ging ai
shoulder	hpai ai
shoulder	kahpa
shout	marawn ai
shout	jahtau ai
show	madun ai
show me	Ngai hpe madun yu rit
shower	marant mahpawng
shower	marang n zam
shrimp	hkatsu
shrink	kyip mat ai
shrink	htun mat ai
shut	pat ai
shut	chyinghka la ai
shut	hking dit ai
shut up	magap u
shut up	pat u
shy	kaya ai
sibling	kahpu kanau majing
siblings	kahpu kanau majing
sick	machyi makaw
side	maga
side	hkran
sigh	gaham ai
sigh	nsa kaba shaw ai
sight	mu lu ai lam
sightseeing	gayin yu hkawm ai
sign	ta maka
signature	sen
signature	lata masat
significant	lak lai ai
significant	dan dawng ai
silence	zim taw ai
silence	zim zam
silent	zim zam re ai
silent	zim sha nga ai
silk	lai
silk	lai ri
silly	sangawk
silly	mana ai
silver	gumhpraw
similar	raw
similar	bung pre ai
simp	a ngawk ai wa
simple	myit marawng ai
simple	nyan tang ai
since	kaw nna
sincere	myit su ai
sincere	myit malang ai
sincerely	myit hpraw ai
sincerely	myit lawm hkum lawm
sing	hkawn ai
singer	mahkawn hkawn ai wa
single	shingtai
sink	lim ai
Sir	Sara
sister	kana
sister	kanau
sister in law	ning
sit	dung ai
site	htinghput htingra
situation	mabyin masa
six	kru
sixteen	shi kru
sixty	kru shi
size	masat masa
size	hkrang
skill	kyang let ai lam
skill	lakung lama
skills	kung
skin	hpyi yen kau ai
skin	shan hpyi
skin	hpyi
skinny	kri ai
skinny	lasi ai
skip	shalai ai
sky	lamu
slave	mayam
slave	mayam zawn galaw ai
sleep	yup ai
sleeping	yup pyaw taw ai
sleepy	yup mayu ai
sleepy	yup nga ai
sleeve	palawng lawng ta
slice	mawt ai
slice	galep ai
slice	kadoi ai
slide	kashawt ai
slide	dumhpyut ai
slide	sumla chyasi
slightly	kaji kachyaw
slim	ahpa shala re ai
slim	lasi ai
slip	gashawt galau ai
slip	kaprau ai
slope	nyem rem
slope	lanyem ding ru
slot	hku kaji
slow	lanyan
slowly	a ngwi a bwi
slowly	gau ngwi
small	kaji ai
smart	chyau la chyan
smell	sama
smile	sumsai
smile	mani ai
smoke	hka yawm lu ai
smoke	wan hkut
smoke	wan hkut hku ai
smooth	mani ai
smooth	sha pri ai
smooth	pri nyem ai
snack	muk
snail	lapawp
snail	hkoi
snake	lapu
snap	maja gawa makret ai
snap	grai lawan ai hku sumla dem ai
snow	hkyen
so	Raiyang
so	Shing rai yang
so	Dai hku ngu yang
so cute	grai kaw lakai re ai
so far	ya du hkra
soak	tsing tawn ai
soak	madit ai
soap	bup tawng
soap	sabya
sober	sadi sahka nga ai
sober	chyaru tsa nlu ai
soccer	gawdin hpung
social	masha nga pra lam hte seng ai
society	rap
socks	maw za
soft	shakya
soft	akya
soft	sumnung ai
software	kompyuta lamang ni
soil	ga
sold	dut kau sai
sold out	dut kau sai
sold out	dut shama kau sai
soldier	hpyen la
sole	tinang chyu sha
sole	marai langai sha
sole	lagaw lahpan
solid	ngang kang ai
solid	langai sha re ai
solid	atawng apa
solution	mahtai
solve	jahpra ai
solve	hpran ai
some	Nkau mi
somebody	langai ngai
somehow	gara hku raitim
somehow	gara hku rai rai
someone	langai ngai
something	lama mi
something	lama ma
sometimes	kalang lang
sometimes	kalang marang
song	mahkawn ga
song	ningchyin
song	yungwi
soon	kade n na yang
sophisticated	mahkrum madup law ai
sophisticated	prat dep ai
sore	wunma
sore	hpye ai
sore throat	yu hkraw hpye ai
sore throat	yu hkraw machyi ai
sorrow	yawn hkyen lam
Sorry	Grai agam sai
Sorry	myit n pyaw sai
Sorry	Hpyi nyem sai
sort	hpan
sort	amyu lata ai
sort	baw
sought	tam kau da ai
sought	sawk kau da ai
soul	wenyi
soulmate	prat manang
sound	mahku ngoi ai
sound	nsen
soup	si mai ntsin
soup	si mai
sour	hkri ai
source	daju
source	marum
south	dingda
space	hpat wat
span	lahkam mi
span	gum chyan
spare	hkyem sa jaw ai
spare	malai
speak	tsun ai
speak	shaga ai
special	da sang nan
species	myu hpan
specific	hkrak tup
spectacular	grai yu htuk na zawn re ai
speech	matsun
speech	manaw
speechless	tsun na ga n nga mat ai
speechless	hpa nchye tsun mat ai
speed	lawan shadang
spell	hti ai
spend	jai lang ai
spent	aten jahtum kau ai
spent	jai lang kau ai
spicy	jap ai
spike	masen ai
spike	hpri masen
spin	ri kaboi ai
spinach	salau lap
spirit	wenyi
spit	mahtaw kau ai
spit	mayen
spit	prat kau ai
splendid	hkik hkam ai
split	kaprang ai
split	ga ai
spoil	kashun la ai
spoil	jahten kau ai
spoil	lagu la ai
spoiled	lagu
spoiled	gashun la ai
spoiled	gashun la ai rai
spoiled	jahten kau ai
spontaneous	shi hte shi byin sa ai
spoon	chyaw
spoon	gamai ai
spoon	lakung
spot	shara
spouse	madu la
spouse	ningrum ningtau jan
spouse	ningrum ningtau wa
spouse	madu jan
spread	bra ai
spring	hka bawng
spring	hka hpawk
spring	Lap run ginhtawng ta
square	man bung lawk
square	htam lahkawng sawn hku
squeeze	shup la ai
squeeze	manat ai
squeeze	nyap la ai
