a little	тӀэкӀу
promise	гъэгугъэныгъэ
promote	гъэкӀуэтэн
promotion	хэгъэхъуэныгъэ
prompt	щэхуу жеӀэн
prone	зыгуэрым хуэмахэ
pronouns	цӀэпапщӀэ
pronunciation	къэпсэлъыкӀэ
proof	щыхьэт
proper	зэрыщытын хуей
properly	пэж
properties	щытыкӀэ щхьэхуэ
property	мылъку
proposal	псалъэуха
proposal	хьэрычэт
prospect	перспективэ
prosperity	фӀыуэ зыужьыныгъэ
prosperity	къэгъэгъэныгъэ
prosperous	ефӀэкӀ
prosperous	гъагъэ
protect	хъумэн
proud	пагэныгъэ зыхэлъ
prove	гъэнэхуэн
provide	бгъэдэлъхьэн
provided	етын
province	куей
provision	зэгъэпэщыныгъэ
puberty	пубертатнэ зэман
public	цӀыхубэм яцӀыху
pull	лъэфын
pumpkin	къэб
punctual	къыкӀэрымыху
pupil	нэджыдж
purchase	къэщэхун
pure	къабзэ
purple	шакъафэ
purple	епэрыфэ
purpose	нэщэнэ
purpose	гухэлъ
purpose	мурад
purse	бохъшэ
pursue	иужь итын
pursuit	кӀэлъыплъыныгъэ
push	щӀэрыӀэн
put	телъхьэн
qualification	квалификацэ
quality	фӀагъ
quantity	бжыгъэ
quarantine	щхьэхуэу Ӏыгъыныгъэ
quarrel	зэфӀэнэн
quarrel	псалъэмакъ
quarter	плӀанэ
Quechua	Кечуэ
queen	королым и фыз
queen	къэралхъан
queer	гъэщӀэгъуэн
queer	телъыджэ
query	щӀэупщӀэныгъэ
question	упщӀэ
queue	чэзум хэувэн
queue	чэзу
quick	псынщӀэ
quickly	псынщӀэу
quiet	щэху
quilt	пычыхуаурэ зыпыда шхыӀэн
quit	хыфӀэдзэн
quite	ирикъун
quite	зыуи
quiz	викторинэ
quotation	цитатэ
quote	цитатэ жыӀэн
quote	цитатэ
quotes	цитатэхэр
quotes	жыӀэгъуэхэр
rabbit	тхьэкӀумэкӀыхь ӀэрыпӀ
race	пӀащӀэныгъэ
rage	губжь ин
rain	уэшх
raise	дэгъэкӀуэтеин
raise	хэгъэхъуэныгъэ
raise	дэгъэкӀуеиныгъэ
raised	къиӀэтащ
ran	жащ
random	зэрымыщӀэ
range	къриубыдэр
rapid	псынщӀэ
rapidly	псынщӀэу
rare	цӀырхъ
rarely	зэзэмызэ
rash	къилъэлъыгъэ
rat	дзыгъуэ
rate	хуабжьагъ
rather	куэдщ
ratio	зэхущытыкӀэ
rational	мыхьэнэ зиӀэ
rational	щхьэпэ
raw	цӀынэ
reach	зыӀэрыгъыхьэн
reached	нэсащ
reaction	реакцэ
reaction	зыкъегъэщӀэныгъэ
read	еджэн
reading	къеджэныгъэ
ready	хьэзыр
real	иджы
real	мы
reality	щыӀэныгъэ
realize	зэхэщӀыкӀын
realized	къыгурыӀуэжащ
really	пэж дыдэу
rear	щӀыбагъ
reason	щхьэусыгъуэ
reasonable	акъылыфӀэ
recall	къэщӀэжын
receipt	квитанцэ
receive	къыпӀэрыхьэн
received	къыӀэрыхьэн
recent	куэд мыщӀа
recently	куэд мыщӀэу
reception	хэгъыхьэныгъэ
reception	къеӀыхыныгъэ
recipe	рецепт
recipe	гъэзэщӀапщхъэ
reckless	емыгупсыс
reckless	акъылыншэ
recognition	лъытэныгъэ
recognition	зыумысыжын
recognize	къэщӀэн
recommend	хущытхъун
recommended	зыхущытхъуа
record	трегъэтхэн
record	тетха
recover	зэтегъэувэжын
recovery	зэтеувэжыныгъэ
rectangle	плӀанэпэ занщӀэ зиӀэ плӀимэ
red	плъыжь
redeem	гъэпскӀын
redemption	гъэзэкӀуэжыныгъэ
reduce	гъэмэщӀэн
redundant	лей
refer	тегъэщӀэн
reference	ссылкэ
reflect	къищын
reflection	гъуджэм укъыызэрищ
refrain	зызэтеӀыгъэн
refrain	зышыӀэн
refrain	зыубыдын
refrigerator	щӀыӀалъэ
refund	хэгъэхъуэжыныгъэ
refuse	хуэмеин
refuse	мыдэн
refused	идакъым
regard	уасэ хуэгъэувын
regarding	абы теухауэ
regardless	абы емыпха
regards	сэлам
region	куей
register	итхэн
register	егъэщӀылӀэн
regret	щӀегъуэжын
regular	зэпымыууэ
regularly	зэпымыуу
reject	мыдэн
relate	хущытын
related	зэпха
relationship	зэхущытыкӀэ
relative	благъэ
relative	ехьэлӀа
relatives	благъэ
relatives	Ӏыхьлы
relax	зыгъэпсэхужын
release	къэхуитыжыныгъэ
release	хуит къэщӀыжын
released	хуит хъужа
relevant	зэдай
reliable	дзыхь зыхуэпщӀ хъун
relief	гъэпсынщӀэныгъэ
relieve	гъэпсынщӀэн
relieved	тыншыгъуэ гъуэтыжауэ
religion	дин
religious	диным тет
reluctant	хуэмейщэу зыщӀэ
rely	щыгугъын
remain	къэнэн
remaining	къэна
remarkable	мыхьэнэшхуэ зиӀэ
remedy	хущхъуэ
remember	щӀэжын
remind	игу къэгъэкӀыжын
reminder	игу къэгъэкӀыжын
remote	ӀугъэкӀуэта
remove	игъэкӀыжын
render	хуэщӀын
rent	бэджэнд
repair	щӀыжын
repeat	тегъэзэжын
replace	зэхъуэкӀын
reply	жэуап
reply	жэуап тын
report	хуэӀуэтэн
report	доклад
represent	егъэцӀыхун
represent	гъэлъэгъуэн
reputation	щӀыхь
request	щӀэлъэӀун
request	щӀэупщӀэныгъэ
require	пэубыдын
required	зыхуэныкъуэ
rescue	къегъэлын
research	къэхутэныгъэ
resemble	ещхьын
resentment	губгъэн
reservation	хэхын
reserve	резерв щӀын
resident	щыпсэу цӀыху
resign	хуэмеин
resign	мыдэн
resilience	быдагъэ
resilient	быдэу щыт
resilient	зэпӀэзэрыт
resist	еныкъуэкъун
resistance	пэщӀэтыныгъэ
resolution	хэкӀыпӀэ
resolution	унафэ
resolve	зэхэгъэкӀын
resort	бгъэдэлъэдэн
resources	фӀыгъуэ
respect	пщӀэ хуэщӀын
respect	пщӀэ
respond	ипщэ илъын
respond	жэуап етын
response	жэуап
responsibility	жэуап хьыныгъэ
responsible	жэуаптакӀуэ
rest	зыгъэпсэхуныгъэ
rest in peace	ахърэт нэху къыуит
restaurant	шхапӀэ
restore	зэтегъэувэжын
restrict	гъэмэщӀэн
result	кӀэ зэригъуэт щӀыкӀэ
results	кърикӀуахэр
resume	пыщэн
retail	зэрыз
retain	хъумэн
retention	хэгъэкӀыныгъэ
retired	пенсэм кӀуа
retreat	икӀуэтыжын
retrieve	етыжын
return	етыжын
reveal	зэӀухын
revealed	зэтехын
revealed	наӀуэ щӀын
revealed	зэӀухын
revenge	мыгъэгъуныгъэ
revenue	хэхъуэ
reverse	къэзыгъэзэж
review	зэпыплъыхьын
review	къызэхэпыплъыхьыныгъэ
revise	хэплъэжын
revision	еплъыжыныгъэ
revolution	революцэ
reward	тыгъэ
rhythm	пкъы
rhythm	жыпхъэ
rib	дзажэналъэ
rice	прунж
rich	къулей
rid	къыӀэщӀэкӀын
ride	къэжыхьын
ride	кӀуэныгъэ
ridiculous	дыхьэшхэн
right	ижьымкӀэ
right	пэжыныгъэ
right now	иджыпсту дыдэ
rigid	ткӀий
ring	Ӏэлъын
rinse	жьэдэгъэжыхьыныгъэ
rinse	псы щӀэгъэжыныгъэ
riot	къызэрыӀэтыныгъэ
rip	зэпычын
rip	зэпычыныгъэ
ripe	хъуа
rise	дэгъэкӀуэтеиныгъэ
rise	дэкӀуэтеин
risk	таучэл
risk	тегушхуэн
rival	ныкъуакъуэгъу
river	псыежэх
road	гъуэгу
roast	гъэжьэн
robust	быдэ
rock	мывэ
rod	пкъы
role	цӀыхум и къалэн хэха
roll	гъэжэн
roof	унащхьэ
room	пэш
root	лъабжьэ
rope	кӀапсэ
rotten	фа
rough	пхъашэ
roughly	хуэгъэфэщауэ
round	хъурей
route	гъуэгу хэха
routine	зызымыхъуэж
row	сатыр
rub	тхъущӀын
rubber	хьэфэ
rubbish	пхъэнкӀий
rude	пхъашэ
rug	алэрыбгъу
ruin	утэн
rule	хабзэ
ruler	унафэщӀ
ruler	зезыхьэ
rules	хабзэ
run	жэн
running	жэ
rural	къуажэдэс
rush	псынщӀэу
rush	зедзын
sack	къэп
sacred	лъапӀэ
sacrifice	щхьэузыхь
safe	шынагъуэншэ
safe flight	шынагъуэншэу лъэтэныгъэ
safety	шынагъуэншагъэ
sage	цӀыху Ӏущ
said	жиӀащ
sail	чэтэн
sailing	есыныгъэ
sake	абы щхьа
salary	улахуэ
sale	псори щэжыныгъэ
sale	зэкӀэ щэжыныгъэ
salmon	бдзэжьей лӀэужьыгъуэ
salt	шыгьу
same	ар дыдэр
Same here	Мыбдежи ар дыдэращ
sample	щапхъэ
sand	пшахъуэ
Sanskrit	Санскрит
sarcastic	щӀэнэкӀалъэ
sassy	Ӏэдэбыншэ
sat	щысащ
satisfaction	арэзы хъуныгъэ
satisfied	арэзы хъуа
satisfy	арэзы щӀын
satisfying	гуакӀуэ
Saturday	Щэбэт
sausage	нэкулъ
savage	емылыдж
savage	мыгъасэ
save	зехьэн
saw	илъэгъуащ
say	псэлъэн
scale	щапхъэ
scam	гъэпцӀагъэ
scar	дыркъуэ
scarce	мащӀэ
scarce	мыхьэнэншэ
scared	шына
scarf	пщэдэлъ
scary	шынагъуэ
scattered	икъухьа
scattered	зэбгрыдза
scene	утыку
scenery	щӀыуэпс сурэт
scent	мэ
schedule	зэхэгъэувэн
schedule	расписанэ
school	школ
science	щӀэныгъэ
scientist	щӀэныгъэлӀ
scientists	щӀэныгъэлӀхэр
scissors	лэныстэ
scold	шхыдэн
scope	къызэщӀэубыдэныгъэ
score	есэп
scrap	зэракъуутэ Ӏэмэпсымэ
scrap	къутахуэ
scratch	къитхъа
scream	кӀиин
screen	пэӀудз
screen	экран
screw	винт
script	сценарий
sea	хы
seal	дамыгъэ
search	лъыхъуэн
season	чэзу
season	зэман
seat	тӀысыпӀэ
second	дэкъикъэ
second	напӀэзыпэ
secret	щэху
section	гуэшыныгъэ
section	Ӏыхьэ
secure	шынагъуэншэ
security	шынагъуэншагъэ
see	лъагъун
see you	дызыхуэзэнщ
see you later	нэхъ гувауэ дызэрылъагъунщ
see you soon	икӀэщӀыпӀэкӀэ дызэрылъагъунущ
see you tomorrow	пщэдей дызыхуэзэнщ
seed	жылэ
seek	къэлъыхъуэн
seem	фӀэщӀын
seems	къызэрыпщыхъумкӀэ
seen	илъэгъуащ
seize	зэщӀэубыдэн
seizure	теуэныгъэ
seizure	техьэгъуэ
seldom	зэзэмызэ
select	къыхэхын
self	езы
self healing	езым зыгъэхъужыныгъэ
selfish	щхьэзыфӀэфӀ
sell	щэн
send	хуегъэхьын
send me your picture	уи сурэт къысхуегъэхь
senior	нэхъыжь
sense	гухэлъ
sensible	акъылыфӀэ
sensitive	псынщӀэу зыхэзыщӀыкӀ
sensitive	дзыхэ
sent	иригъэхьащ
sentence	псалъэуха
sentence	хьэрычэт
sentences	псалъэуха
sentences	къыхэлъхьэныгъэ
separate	щхьэхуэ
Sepedi	Сепедэ
september	фокӀадэ
sequence	зэкӀэлъыкӀуэныгъэ
series	сериал
serious	зэпӀэзэрыт
seriously	гушыӀэншэу
serve	къулыкъу щӀэн
service	къулыкъу
session	зэман хэхакӀэ ягъэзащӀэ Ӏуэхугъуэ
set	къэщтэныгъэ
set	гъэувын
set up	тегъэувэн
setting	теухуэныгъэ
settle	щӀэтӀысхьэн
seven	блы
seventeen	пщыкӀубл
seventy	блыщӀ
several	зыбжанэ
severe	хьэлъэ
sew	дын
shade	ныбжь
shadow	ныбжь
shake	зедзэн
shall	щыӀэнущ
shallow	мыкууущэ
shame	напэтех
shape	формэ
shape	щытыкӀэ
share	гуэшэн
sharp	сыр
she	ар
she has	абы иӀэщ
she is	ар щытщ
shed	гуэщ
sheep	мэл
sheet	тхьэмпэ
shelf	дэлъхьэпӀэ
shell	фампӀэ
shell	джэдыкӀампӀэ
shell	дафэ
shelter	быдапӀэ
shelter	зэгъэпщкӀупӀэ
shield	мэӀу
shift	зыхууэгъэкӀуэтэн
shine	цӀуун
ship	кхъухь
shipping	хьыныгъэ
shirt	джанэ
shoes	вакъэ
shoot	еуэн
shoot	гъэуэн
shop	лъэщапӀэ
shopping	къэщэхуныгъэ
shore	псы Ӏуфэ
short	кӀэщӀ
shortage	иримыкъуныныгъэ
shot	гъэуэн
shot	уэгъуэ
should	хуейщ
shoulder	блыпкъ
shout	кӀиин
show	гъэлъэгъуэныгъэ
show	егъэлъагъун
show me	сыгъэлъагъу сэ
shower	зыгъэпскӀыпӀэ
shrimp	креветкэ
shrink	мащӀэ хъун
shut	зэхуэщӀын
shut up	зэтепӀэн
shy	укӀытэх
sibling	дэлъху хьэмэрэ шыпхъу
siblings	зэдэлъху-зэшыпхъу
sick	сымаджэ
side	лъэныкъуэ
sigh	жьы жьэдэшэныгъэ
sight	плъагъэ
sight	нэ
sightseeing	гу зылъытапхъэ щӀыпӀэхэр къэплъыхьын
sign	дамыгъэ
signature	ӀэщӀэдз
significant	мыхьэнэ зиӀэ
silence	щым
silent	псалъэгъуей
silent	щэху
silk	шылэ
silly	делэ
silver	дыжьын
similar	зэщхь
simp	симп
simple	къызэрыгуэкӀ
simultaneously	зэуэ
since	и гъусэу
sincere	гупцӀанэ
sincere	гу зэӀуха
sincerely	гузэӀухауэ
sing	уэрэд жыӀэн
singer	уэрэджыӀакӀуэ
single	зызакъуэ
sink	блэтхьэкӀумэ
sink	блащхьэ
sink	итхьэлэн
Sir	зиусхьэн
sister	шыпхъу
sister in law	нысащӀэ
sit	щысын
site	щӀыпӀэ
situation	щытыкӀэ
six	хы
sixteen	пщыкӀух
sixty	хыщӀ
size	инагъ
skill	есэныгъэ
skills	есэныгъэ
skin	фэ
skinny	гъурыӀуэ
skip	блэгъэкӀын
skirt	кӀэ
sky	уафэ
slave	пщылӀ
sleep	жеин
sleeping	жей
sleepy	пщӀыхь
sleeve	Ӏэщхьэ
slice	Ӏыхьэ
slice	упщӀэтэн
slide	цӀэнтхъуэн
slightly	мащӀэу
slim	зэкӀуж
slim	пкъыфӀэ
slip	цӀэнтхъуэн
slope	егъэзыхыпӀэ
slot	безынэ
slow	хуэм
slowly	хуэму
small	цӀыкӀу
smart	губзыгъэ
smell	мэ
smile	гуфӀэ
smile	пыгуфӀыкӀын
smoke	Ӏугъуэ
smooth	зэтес
snack	шхын псынщӀэ
snail	нэщӀэпкӀэ
snake	блэ
snap	теуӀуэн
snow	уэс
so	аращи
so cute	сыту гуапэ
so far	узыншэу
so far	апщӀэндэху
soak	зыщӀегъэфын
soap	сабын
sober	чэфыншэ
soccer	топджэгу
social	жылэӀуэху
social	социальнэ
society	жылагъуэ
socks	лъэпэд
soft	щабэ
software	програмнэ обеспеченэ
soil	щӀыгулъ
sold	яща
sold out	зыбгыращыкӀащ
soldier	сэлэт
sole	лъэгу
sole	лъэгущӀыхь
solid	быдэ
solution	хэкӀыпӀэ
solution	унафэ
solve	зэхэгъэкӀын
some	зыбжанэ
somebody	зыгуэр
somehow	зыгуэрурэ
someone	зыгуэр
something	зыгуэр
sometimes	иныкъуэм деж
song	уэрэд
soon	куэд мыщӀэу
sophisticated	гъэщӀэрэщӀа
Sorani	Соранэ
sore	цӀынагъэ
sore	сымаджэ
sore throat	тэмакъ уз
sorrow	нэщхъеиныгъэ
Sorry	Къысхуэгъэгъу
sort	зэхэдзын
sought	хущӀэкъут
soul	псэ
soulmate	псэкӀэ зэблагъэ
soulmate	зи дуней еплъыкӀэ зытехуэ
sound	макъ
soup	хьэнтхъупс
sour	гуащӀэ
source	псыкъижыпӀэ
south	ипщэ
space	зэхуаку
spam	мыхьэнэ зимыӀэ
span	зэхуаку
Spanish	Испанскэ
spare	щысхьын
spare	лей
speak	псэлъэн
special	зыми хуэмыдэ
species	теплъэ
specific	хэха
specific	пыухыкӀа
spectacular	гъуэзэджэ
speech	псалъэкӀэ
speechless	псалъэкӀэ зыфӀэкӀуэда
speed	псынщӀагъ
spell	тебжэныгъэ
spend	тегъэкӀуэдэн
spent	гъэкӀуэда
spicy	сыр
spike	банэ
spin	гъэкӀэрэхъуэн
spinach	къуэтыр
spinach	джэдз
spirit	жин
spit	убжьынтхэн
splendid	гъуэзэджэ
split	зэгуэгъэхун
split	къута
spoil	утэн
spoiled	зэкӀуэкӀа
spoiled	зэӀыхьа
spontaneous	езырезыру къэхъу
spoon	бжэмышх
spot	бжыгъэ
spouse	щхьэгъусэ
spread	хэӀущӀыӀу щӀын
spring	гъатхэ
square	плӀимэ
squeeze	къыщӀытӀыкӀын
squeeze	къыщӀэкъузыкӀын
squid	кальмар
squirrel	кӀэпхъ
stab	фӀэбзын
stab	фӀэгъэжын
stable	быдэу щыт
stable	зэпӀэзэрыт
stack	стэчан цӀыкӀу
staff	песонал
stage	утыку
stain	бжыгъэ
stairs	пкӀэлъей
stake	Ӏыхьэ
stalk	жэпкъ
stall	кабинэ цӀыкӀу
stamp	дамыгъэ
stand	щытын
stand	увыкӀэ
standard	жыпхъэм ит
star	вагъуэ
start	щӀэдзэн
started	щӀэдза
starving	мэжалӀэ
state	быдэу жыӀэн
state	щытыкӀэ
statement	лъэӀу
station	станц
statue	статуе
status	щытыкӀэ
stay	щыӀэн
stay	къэнэн
stay safe	зыхуэсакъыж
steady	быдэу щыт
steady	зэпӀэзэрыт
steak	лышхуэ гъэжьа
steal	дыгъуэн
steam	бахъэ
steel	жыр
steep	лъэщ
steep	задэ
stem	жэпкъ
step	лъэбакъуэ
stick	баш
stiff	ткӀий
still	иджыри
still	мыхъей
sting	уэн
stingy	нэпсей
stir	зэхэгъэзэрыхьын
stock	гъэтӀылъыгъэ
stolen	къадыгъуа
stomach	ныбэ
stone	мывэ
stood	щытащ
stool	шэнтщхьэгуэ
stop	къэувыӀэн
storage	гъэтӀылъыпӀэ
store	зыкӀуэцӀылъхьэн
storm	борэн
story	тхыдэ
stove	мывэ упса
straight	захуэ
straightforward	захуэу кӀуэ
straightforward	къехьэкӀ-нехьэкӀыншэ
strain	къару щӀэлъхьэныгъэ
strange	гъэщӀэгъуэн
strange	телъыджэ
stranger	мынэӀуасэ
strategy	Ӏуэхугъуэ гуэрым узэрыхуэкӀуэ щӀыкӀэ
straw	шхий
straw	хьэуазэ
strawberry	мэракӀуэ
streak	кусэ
stream	псы уэр
stream	кърикӀуэ
street	уэрам
strength	къару
stress	гупщӀэуз
stretch	зыхэшын
strict	бгэ
strict	ткӀий
strike	удын
string	бзэпс
strip	кусэ
strive	хущӀэкъун
stroke	удын
strong	къарууфӀэ
struck	зэуа
structure	зэхэлъыкӀэ
struggle	зэуэн
struggle	зауэ
struggling	щӀэбэн
stubborn	ерыщ
stuck	хэна
student	ӀэщӀагъэ щрагъэгъуэт еджапӀэм щеджэ
study	зэгъэщӀэн
study	зэгъэщӀэныгъэ
studying	зэгъэщӀэныгъэ
stuff	иукӀэн
stunning	телъыджащэ
stupid	делэ
style	зыщӀыкӀэ
style	зыхуэпэкӀэ
style	стиль
subject	хьэпшып
submission	едэӀуэныгъэ
submit	хуэпщылӀын
substance	пкъахуэ
substitute	хъуэжыныгъэ
subtle	ерагъыу гу зылъыптэ
succeed	хунэсын
success	хэхъуэныгъэ
successful	ехъулӀэныгъэ зыхэлъ
such	апхуэдэ
such	мыпхуэдэ
such as	хуэдэ
such as	ещхь
suck	щӀэфын
sudden	напӀэзыпӀэ
suddenly	умыщӀэххэу
suffer	гугъу ехьын
suffering	гукъеуэ
suffering	гузэвэгъуэ
sufficient	ирикъу
sugar	фошыгъу
suggest	хуэгъэлъэгъуэн
suggest	хуэгъэфэщэн
suggestion	псалъэуха
suggestion	хьэрычэт
suit	щыгъын
suit	къекӀу
suitable	екӀу
suitcase	пхъуантэ
suitcase	шумэдан
sum	зэрыхъур
sum	суммэ
summary	купщӀэ кӀэщӀ
summer	гъэмахуэ
summit	лъагапӀэ дыдэ
sun	дыгъэ
sunday	тхьэмахуэ
sunny	дыгъэ
sunset	къухьэпӀэ
sunshine	дыгъэ бзий
super	супер
superior	ефӀэкӀ
supervisor	кӀэлъыплъакӀуэ
supper	пщыхьэщхьашхэ
supply	зыхуей хуэгъэзэн
supply	мылъку
support	зыщӀэгъэкъуэн
support	зыщӀэгъэкъуэныгъэ
suppose	хуэгъэфэщэн
supposed	хуэгъэфэща
sure	дауи
surface	щхьэфэ
surge	къэунэхуныгъэ
surgery	операцэ
surname	унэцӀэ
surprise	гъэщӀэгъуэн щыщӀын
surprised	зыгъэщӀэгъуа
surrender	зытын
surrounding	дыкъэзыухъуреихь
surveillance	кӀэлъыплъыныгъэ
survey	упщӀэ
survey	еупщӀын
survive	къелын
suspect	шэч хуэщӀын
suspect	шэч зыхуащӀ
suspended	кӀэрыщӀа
suspicious	шэч уэзыгъэщӀ
sustain	дэӀыгъын
sustainability	быдагъэ
sustainable	быдэу щыт
sustainable	зэпӀэзэрыт
swag	щыхупӀэ
swallow	егъэнэхын
swap	хъуэжын
swear	тхьэ Ӏуэн
sweat	пщӀэнтӀэпс
sweater	цыджанэ
sweep	пхъэнкӀэн
sweet	ӀэфӀ
sweet dreams	ӀэфӀу ужеину
sweet tooth	ӀэфӀ зыфӀэфӀ
sweetheart	фӀыуэ плъагъу
swell	къэпщын
swelling	къэпщыгъэ
swim	есын
swimming	есыныгъэ
swing	хъыринэ
swing	сысын
switch	гъэпкӀэн
switch	зэрагъапкӀэ
swollen	бэга
sword	джатэ
symbol	дамыгъэ
sympathy	гущӀэгъу
symptoms	симптомхэр
system	системэ
table	Ӏэнэ
tackle	жэуап къэлъыхъуэн
tag	дамыгъэ
tail	кӀапэ
take	къэщтэн
take away	къытехын
take care	зыхуэсакъыж
take off	щыхын
take off	техын
taken	къащта
talk	псэлъэн
talk	псалъэмакъ
talkative	псэлъэрей
tall	лъагэ
tap	теуӀуэн
tap	етӀыркъын
tape	лентӀ
target	нэщэнэ
target	зыхуэунэтӀын
task	къалэн
taste	еплъын
taste	ӀэфӀагъ
tasty	ӀэфӀ
taught	иригъэсащ
tea	шей
teach	зэгъэщӀэн
teach	егъэджэн
teacher	егъэджакӀуэ
team	гуп зэкъуэт
team	командэ
tear	нэпс
tears	нэпсхэр
tease	гъэбэмпӀэн
technology	технологие
technology	щӀыкӀэ
teeth	дзэ
tell	псэлъэн
tell me	къызжеӀэ сэ
temper	хьэл-щэн
temperature	температурэ
temple	чылисэ
temporary	пӀалъэ зиӀэ
ten	пщӀы
ten thousand	минипщӀ
tenant	щыпсэу
tend	хущӀэкъун
tendency	хущӀэкъуныгъэ
tender	гуакӀуэ
tense	гузэва
tension	къару щӀэлъхьэныгъэ
tent	шэтыр
tentative	ипэ къихуэ
term	ехьэлӀа псалъэ
terms	Ӏуэху щытыкӀэ
terrible	гуӀэгъуэ
terrific	гъуэзэджэ
territory	щӀыпӀэ
test	къызэрапщытэ лэжьыгъэ
test	къэпщытэн
text	тхыгъэ
than	сыткӀэ
thank	фӀыщӀэ хуэщӀын
thank you	упсэу
Thank you for your patience while we investigate shipment	ФӀыщӀэ фхудощӀ посылкэр къэлъыхъуэным папщӀэ едгъэкӀуэкӀ Ӏуэхугъуэм теухуауэ фызэрытэмакъкӀыхьым щхьэ
thank you so much	упсэушхуэ
thank you very much	упсэушхуэ
thanks	упсэу
Thanks for using our app	Упсэу ди приложенэр къызэрыбгъэсэбэпам щхьэ
that	ар
that is	ар щытщ
that's good	ар тэмэмщ
theft	дыгъун
their	я
them	я
theme	зытеухар
theme	темэ
themselves	сэ
then	абы щыгъуэ
theory	теорие
there	абдеж
there are	щытын
there is	щыӀэщ
therefore	абы щхьэ
these	мыхэр
they	ахэр
they are	ахэр щытщ
thick	пшэр
thief	дыгъуакӀуэ
thief	дыгъу
thigh	куэ
thin	пӀащӀэ
thing	хьэпшып
things	щыгъынхэр
think	егупсысын
third	ещанэ
thirsty	псы зыхуэлӀэ
thirteen	пщыкӀущ
thirty	щэщӀ
this	мыр
this is	мыр щытщ
thorough	зэгугъу
thoroughly	егугъуу
those	а
though	пэтми
though	щхьэкӀэ
thought	гупсысащ
thought	гупсысэ
thoughtful	хэгупсысыхьа
thoughts	гупсысэ
thousand	мин
thread	Ӏуданэ
threat	гъэгузэвэн
threaten	гъэшынэн
three	щы
threshold	щӀыхьэпӀэ
thrilled	гухэхъуэм зэщӀищтэныгъэ
thrive	гъэгъэн
thrive	ефӀэкӀуэн
throat	тэмакъ
throughout	кӀэ
throw	дзын
thumb	Ӏэпхъуамбэшхуэ
thunder	уафэгъуагъуэ
Thursday	Махуэку
thus	къызэрыщӀэкӀымкӀэ
tick	мэлхьэпӀацӀэ
tide	къыӀухьэныгъэ
tidy	къабзэ
tie	пщэдэлъ
tie	пхэн
tiger	къаплъэн
tight	зэв
Tigrinya	Тинринэ
time	зэман
timid	укӀытэх
tiny	цӀыкӀунитӀэ
tip	кӀапэ дыдэ
tips	шеибжьэ
tire	шинэ
tired	езэша
tissue	салфеткэ
tissue	нэкӀур Ӏупэр зэралъэщӀыж платоку цӀыкӀу
title	цӀэ
to be	щыӀэн
toast	хъуэхъу
today	нобэ
toddler	сабий цӀынэ
toes	лъэхъуамбэ
together	зэгъусэу
toilet	псыунэ
told	жиӀащ
tolerance	шыӀэныгъэ
tolerate	шэчын
tomato	бэдрэжан
tomorrow	пщэдей
tongue	бзэгу
tonight	ныщхьэбэ
too	ари
took	къищтащ
tool	Ӏэмэпсымэ
tools	Ӏэмэпсымэ
tooth	дзэ
top	лъагапӀэ
topic	зытеухар
topic	темэ
torn	зэфӀэтхъа
torture	бэлыхь
torture	хьэзаб
total	зэдай
touch	лъэӀусын
tough	хьэлъэ
tour	къекӀуэкӀыгъуэ
tour	тур
toward	гъэзауэ
towards	гъэзауэ
towel	напэӀэлъэщӀ
town	къалэ
toxic	ӀукӀей-щӀыкӀей
trace	лъэужь
track	гъуэгу
trade	сату
trade	сату щӀын
tradition	хабзэ
traditional	зэса
traditional	хабзэ хъуа
traffic	гъэхъеиныгъэ
trail	лъэужь
train	мафӀэгу
training	егъэджэныгъэ
trait	екъуа
traits	щытыкӀэ
traits	зэхэлъыкӀэ
transfer	нэгъуэщӀым етын
transition	зэпрыкӀыпӀэ
transition	щхьэпрыкӀыныгъэ
translate	зэдзэкӀын
transparent	узыпхрыплъ
transport	транспорт
transportation	транспорт
trap	къапхъэн
trash	пхъэнкӀий
trauma	фэбжь
travel	дунеяпъэ
tray	сату зэращӀ пхъуантэ
tray	хьэкхъуафэ
treasure	фӀыгъуэ
treat	зыхуэгъэзэн
treatment	зыхуэгъэзэныгъэ
tree	жыг
tremendous	абрагъуэ
trend	зэманым къекӀу
trial	гъэунэхуныгъэ
tried	хэтащ
trigger	гъэтыр
trigger	зыщӀэгъэплъэн
trim	къыхэгъэжын
trip	кӀуэныгъэ
trouble	мыщхьэпагъэ
trousers	гъуэншэдж
truck	хьэлъэзешэ машинэ
true	пэжщ
trunk	хьэпшып зыдахьыну е ирагъэшэнухэм я илъхьэпӀэ
trunk	хьэпшып илъхьэпӀэ
trust	дзыхь хуэщӀын
trust	дзыхь
truth	пэж
try	еплъын
Tsonga	Тсонгэ
tube	бжьамий цӀыкӀу
tube	мыштыку
tube	трубкэ
Tuesday	Гъубж
tuition	егъэджэныгъэ
turkey	гуэгуш
turmeric	куркумэ
turn	ежэкӀыпӀэ
turtle	шылъэгу
tutor	егъэджакӀуэ
twelve	пщыкӀутӀ
twenty	тӀощӀ
twenty-one	тӀощӀрэ зы
Twi	Чвэ
twice	тӀэу
twist	къуэнтӀэн
two	тӀу
type	телъэ
typical	ещхьыркъабзэ
ugly	лъагъугъуей
ultimate	и кӀэм нэгъэса
umbrella	жьауэ
unable	егъэсэгъуей
unable	мыгурыхуэ
uncle	анэ дэлъху
uncle	адэ къуэш
unconscious	къэмэхащ
under	лъабжьэ
under	щӀагъ
underneath	лъабжьэ
