халта	a little
үнэ сэн	value
янза	variety
элдэб янзын	various
илгарха	vary
ваар	vase
туйлай ехэ	vast
ногоон	vegetable
ногоон	vegetables
унаа	vehicle
наймашан	vendor
хорото	venom
талаан туршалга	venture
болохо газар	venue
шалгаха	verify
хайшаашье тэгшэ	versatile
нэгэ илгаань	version
сэхэ уруугаа	vertical
угаа	very
тон	very
ехэ һайн	very good
һаба	vessel
дамжаад	via
элшэ	vibe
элшэ	vibes
хайра гамгүй	vicious
хохирогшо	victim
бэшэлгэ	video
хараса	view
тосхон	village
хоротой хүн	villain
уксус	vinegar
хуушанай эдлэл	vintage
хүсэрхэл	violence
хэрзэгы	violent
вирусна	viral
хурисал үзөөгүй хүн	virgin
бии боломоор	virtual
буян	virtue
хараса	vision
хараа	vision
эрьехэ	visit
визуал	visual
гол шухала	vital
яларһан	vivid
хэлэн	vocabulary
хоолой	voice
хооһон	void
багтаса	volume
шанга	volume
өөрын дураараа ажалшан	volunteer
бөөлжэхэ	vomit
хэбрэг	vulnerable
салин	wage
салин	wages
бэлхүүһэн	waist
хүлеэхэ	wait
хүлеэ	wait
зөөгшэ	waiter
хүлеэлгэ	waiting
һэрюулхэ	wake
һэрихэ	wake up
алхаха	walk
алхалта	walking
хана	wall
сүүмхэ	wallet
зайха	wander
хэхээ һанаха	wanna
хүсэхэ	want
хүсэһэн	wanted
дайн	war
хубсаһанай шкаф	wardrobe
склад	warehouse
дулаан	warm
урид мэдүүлхэ	warn
һэргылэлгэ	warning
сэрэгшэ	warrior
байгаа	was
угааха	wash
гаргашалга	waste
гарай саг	watch
хараха	watch
уһан	water
тарбас	watermelon
долгин	wave
зам	way
бидэ	we
бидэ бол	we are
бидэ шадахабди	we can
һула	weak
һуларал	weakness
баялиг	wealth
баян	wealthy
үмдэхэ	wear
үмдэһэн	wearing
уларил	weather
хурим	wedding
түрэ	wedding
Гурбадахи үдэр	Wednesday
буртаг	weed
үрмэдүүл	weed
долоо хоног	week
амаралтын үдэр	weekend
шэгнүүри	weight
гайхалтай	weird
жэгтэй	weird
орожо хайрлыт	welcome
хангагданги байлга	welfare
Һайн	Well
һайн хэгдэһэн	well done
ябаһан	went
байһан	were
баруун	west
нойтон	wet
халим	whale
юу	what
харин шинии хубида	what about you
юу хэжэ байнат	what are you doing
юу хэжэ байнаш	what are you doing
мүнөө юу хэжэ байнаш	what are you doing now
мүнөө юу хэжэ байнаш	what are you doing right now
мүнөө юу хэжэ байнат	what are you doing right now
та юу хэдэгбта	what do you do
ши юу хэдэгбши	what do you do
та юу хэдэг хүмта	what do you do for a living
ши юу хэдэг хүмши	what do you do for a living
юун гэжэ хэлэхээ һананаш	what do you mean
яахаа һананабта	what do you want
яахаа һананаш	what do you want
юун болооб	what happened
юун бэ	what is
энэ юун бэ	what is this
ямар ажалтайш	what is your job
ямар ажалтайбта	what is your job
хэн гэжэ нэрэтэйш	what is your name
хэрбта	what's up
хэрбши	what's up
танай нэрэтнай хэн бэ	what's your name
шинии нэрэшни хэн бэ	what's your name
ямаршье	whatever
улаан таряан	wheat
сахариг	wheel
хэзээ	when
хэзээшье	whenever
хаана	where
хаана байна	where are you
ши хаанахимши	where are you from
та хаанахимта	where are you from
мүнөө хаана байнаш	where are you now
хаана байдагбши	where do you live
хаана байдагбта	where do you live
хаана байнаб	where is
тиихэдэнь	whereas
энэ хоёрой алиншье	whether
али	which
тиихэдэ	while
шэбэнээн	whisper
һэшхэрхэ	whistle
сагаан	white
хэн	who
ши хэмши	who are you
хэн бэ	who is
энэ хэн бэ	who is this
бүхэли	whole
хэндэ	whom
хэнэй	whose
яагаад	why
юундэ	why
юундэ үгыб	why not
ууртай	wicked
үргэн	wide
бэлбэһэн эхэнэр	widow
үргэниинь	width
һамган	wife
зэрлиг	wild
хүсэл	will
бэлэн	willing
диилэхэ	win
һалхин	wind
сонхо	window
һалхитай	windy
улаан архи	wine
үбэл	winter
аршаха	wipe
шабын түмэр	wire
сэсэн ухаан	wisdom
сэсэн	wise
хүсэхэ	wish
шамда һайн һайханиие хүсэнэб	wish you all the best
танда һайн һайханиие хүсэнэб	wish you all the best
шолмос эмэ	witch
хамта	with
бусааха	withdraw
бусаалга	withdrawal
туршада	within
үгыгөөр	without
гэршэ	witness
ухаатай	witty
шоно	wolf
эхэнэр	woman
һамган	woman
эхэнэр	women
диилэһэн	won
гайхаха	wonder
гайхамшагтай	wonderful
модон	wood
нооһон	wool
үгэ	word
үгэнүүд	words
ажал	work
бэе һорилго	work out
ажалһан	working
дэлхэй	world
үтэн	worm
элэһэн	worn
һанаагаа зобоһон	worried
һанаагаа зобохо	worry
бүри муу	worse
мүргэхэ	worship
эгээ муу	worst
сэн	worth
болохотой	worth it
табимаар	worthy
шарха	wound
Үүй	Wow
орёохо	wrap
уур	wrath
сарбуу	wrist
бэшэхэ	write
Эндэ бэшэгты	Write here
Эндэ бэшэ	Write here
бэшэлгэ	writing
бэшээтэй	written
буруу	wrong
бэшээ	wrote
хотон	yard
эбһээлхэ	yawn
Аһа	Yeah
жэл	year
жэлнүүд	years
эһээлтэ	yeast
хашхарха	yell
шара	yellow
Тиимэ	Yes
за бэйби	yes baby
заа хонгормни	yes dear
заа инагни	yes honey
тиимэ минии дурамни	yes my love
заа мэдээжэ	yes of course
үсэгэлдэр	yesterday
үшөөшье	yet
ургаса	yield
ши	you
ши бол	you are
ши сэбэрхэнши	you are beautiful
та сэбэрхэнта	you are beautiful
ши тон һайханши	you are so beautiful
та тон һайханта	you are so beautiful
хайрлыт даа	you are welcome
шадахаш	you can
Ши мэдэнэш	You know
Та мэдэнэт	You know
та баһа	you too
ши баһа	you too
хайрлыт даа	you're welcome
залуу	young
шинии	your
хайрлыт даа	your welcome
өөрыгөө	yourself
залуу наһан	youth
хайрлыт даа	you’re welcome
амтатайхан	yummy
тэн	zero
