kĩ	a
ũhũthĩri	utility
kũhurũka	vacation
ũheyani wa njanjo	vaccination
njanjo	vaccine
hatarĩ kindũ	vacuum
gĩtarĩ gikinyaniru	vague
kĩrũgamĩrĩire	valid
gĩtuamba	valley
ma bata	valuable
thogora	value
mĩthemba	variety
mĩthemba mĩingĩ	various
nĩ ngũrani	vary
njagi	vase
na ũingĩ	vast
mboga	vegetable
mboga	vegetables
ngari	vehicle
mũendia	vendor
thumu	venom
kũingĩra	venture
gĩikaro	venue
gwĩkĩra mũkonde	verify
ũhoti mũnene	versatile
rĩandĩko	version
na igũrũ	vertical
mũno	very
wega mũno	very good
nyũngũ ya riũmba	vessel
mũkiha	vessel
kũgerera	via
mĩario	vibe
uria uraigua	vibes
mũru	vicious
mũndũ ũrĩa ũragũthumbũra	victim
video	video
muonere	view
gĩcagi	village
mũndũ mũũru	villain
thiki	vinegar
ihinda	vintage
ngũi	violence
ngũi	violent
mũrimũ	viral
gathirange	virgin
ũrĩa ũtangĩoneka	virtual
ngumo njega	virtue
muonere	vision
gũceera	visit
maitho	visual
bata mũnene	vital
na njĩra ndikĩru	vivid
ciugo	vocabulary
mũgambo	voice
handũ hatarĩ na kndũ	void
ũingĩ	volume
kwĩrutĩra	volunteer
gũtahika	vomit
kũhinyĩrĩrĩka	vulnerable
mũcara	wage
mũcara	wages
njohero	waist
eterera	wait
mũtungatĩri	waiter
gweterera	waiting
gũũkĩra	wake
ukĩra	wake up
gũthiĩ	walk
gũthiĩ	walking
rũthingo	wall
kabeti	wallet
gũcangacanga	wander
nĩ ngwenda	wanna
kwenda	want
nĩ meriragĩria	wanted
mbaara	war
kabati ya nguo	wardrobe
thito	warehouse
rĩhiũhĩte	warm
mũkaana	warn
mũkaana	warning
njamba ya ita	warrior
warĩ	was
gũthambia	wash
gĩko gĩa gũte	waste
thaa	watch
rora	watch
maaĩ	water
watermelon	watermelon
rũhuho	wave
njĩra	way
ithuĩ	we
nĩ ithuĩ	we are
no tũhote	we can
kwaga hinya	weak
kwaga hinya	weakness
ũtonga	wealth
gĩtonga	wealthy
kwĩhumba	wear
gwĩkĩra	wearing
rĩera	weather
ũhiki	wedding
Mũthenya wa gatatũ	Wednesday
riya	weed
kiumia	week
mũthia-inĩ wa kiumia	weekend
ũritũ	weight
ũndũ wa kiriga	weird
nĩ ndamwamũkĩra	welcome
ũgitĩri	welfare
Wega.	Well
weka wega	well done
agĩthiĩ	went
maarĩ	were
mwena wa ithũĩro	west
kiigũ	wet
nyamũngumĩ	whale
nĩ kĩĩ	what
Ĩ wee	what about you
nikii ureka	what are you doing
nĩ kĩĩ ureka thaa ici	what are you doing now
nĩ kĩĩ ureka thaa ici	what are you doing right now
wĩkaga atĩa	what do you do
ũrutaga wĩra ũrĩkũ	what do you do for a living
ũrenda kuuga atĩa	what do you mean
ũkwenda atĩa	what do you want
nĩ kĩĩ kĩahanikire	what happened
nĩ kĩĩ	what is
nĩ kĩĩ gĩkĩ	what is this
wĩra waku nĩ ũrĩkũ	what is your job
wĩtagwo atĩa	what is your name
nĩ atĩa	what's up
wĩtagwo atĩa	what's your name
o ũrĩa wothe	whatever
ngano	wheat
kũgũrũ	wheel
rĩ	when
rĩrĩa rĩothe	whenever
kũrĩa	where
Wee ũrĩ kũ	where are you
muumĩte kũu	where are you from
wĩ kũ rĩu	where are you now
ũikaraga kũ	where do you live
nĩ kũ	where is
no atĩ	whereas
kana	whether
ũrĩa	which
rĩrĩa	while
kũheherera	whisper
kũhuha	whistle
njerũ	white
nĩa	who
Wee ũrĩ ũ	who are you
nũũ ũcio	who is
ũyũ nũũ	who is this
gĩothe	whole
nũũ	whom
nĩ yaũ	whose
nĩkĩ	why
nĩkĩ	why not
mũndũ mwaganu	wicked
warii	wide
mũtumia wa ndigwa	widow
warii	width
mũtumia wa mundu	wife
mutitu	wild
nĩ egwĩka	will
nĩ arenda	willing
gũtoria	win
rũhuho	wind
ndirica	window
rũhuho rũnene	windy
ndibei	wine
hĩndĩ ya heho	winter
kũhura	wipe
waya	wire
ũũgĩ	wisdom
ũũgĩ	wise
merirĩria	wish
nĩ ndakwendithiria wega	wish you all the best
mũrogi	witch
hamwe na	with
gũtigana	withdraw
kũruta	withdrawal
thĩinĩ	within
hatarĩ	without
mũira	witness
mũthekania	witty
mbwe	wolf
mũtumia	woman
atumia	women
nĩ ahotete	won
ndingĩhota	won't
kũgegio	wonder
magegania	wonderful
mbao	wood
gũoya	wool
kiugo	word
ciugo	words
wĩra	work
kũruta wĩra	work out
kũruta wĩra	working
thĩ	world
kĩgunyũ	worm
kũhumbwo	worn
ndĩ na mĩtangĩko	worried
nĩ ũndũ wa gũtangĩka	worry
uru gũkĩra ũguo	worse
gũthathaiya	worship
ũũru mũno	worst
thogora	worth
nĩ wagĩrĩire	worth it
mũndũ wa bata	worthy
nĩ ingĩekire ũguo	would
kĩronda	wound
Nĩ wega mũno	Wow
gũkũnja	wrap
marakara	wrath
guoko	wrist
kwandĩka	write
Andĩka haha	Write here
kwandĩka	writing
kwandĩkwo	written
mahĩtia	wrong
aandĩkire	wrote
kĩhaaro	yard
kũrũta mieo	yawn
Ĩĩ	Yeah
mwaka	year
mĩaka	years
ndawa ya kuimbia	yeast
kũgũthũka	yell
rangi wa yellow	yellow
Ĩĩ nĩ ũguo	Yes
ĩĩ mwendwa	yes baby
nĩguo mwendwa	yes dear
ĩĩ, mwendwa	yes honey
ĩĩ, mwendwa wakwa	yes my love
Ĩĩ nĩ ma	yes of course
ira	yesterday
nginya rĩu	yet
maumĩrĩro	yield
magetha	yield
wee	you
wee wĩ	you are
wee ũrĩ mũthaka	you are beautiful
wee ũrĩ mũthaka mũno	you are so beautiful
wi munyite ugeni	you are welcome
no ũhote	you can
Nĩ ũĩ	You know
o nawe	you too
wĩ mũnyite ũgeni	you're welcome
mũndũ mwĩthĩ	young
gĩaku	your
wĩ mũnyite ũgeni	your welcome
wee mwene	yourself
mbeu njithĩ	youth
nĩ ngũkena mũno	you’re welcome
kĩna cama mũno	yummy
kĩbũgũ	zero
