a	а
priority	авалияблъи
prison	туснахъ
privacy	бахчараб
private	жиндирабго
privilege	цогидазеялдаса цӀикӀкӀараб ихтияр
privilege	привилегия
prize	шапакъат
probably	балагьунбихьила
problem	авари
procedure	къагӀид
proceed	халат гьабизе
process	цебетӀей
produce	биччазе
product	нигӀмат
production	гьаби
profession	пиша
profession	махщел
professional	пишаяб
profile	рикӀкӀадасан бихьулеб къватӀисеб сипат
profit	пайдаяб
profit	мунпагӀатаб
profit	хайираб
profound	гъваридаб
progress	цебетӀей
project	проект
prominent	бихьулеб
promise	рагӀи кьезе
promote	кӀодо гьавизе
promote	тӀадегӀанаб даражаялде вахинавизе
promote	даража борхизабизе
promotion	цӀикӀкӀинаби
promotion	эхеде бахинаби
promotion	борхизаби
promotion	тӀадегӀан борхи
prompt	хехаб
prone	распростертый
prone	склонный
pronouns	местоимения
pronunciation	каламалъул гьаркьал абулеб къагӀида
pronunciation	гьаркьал рахъи
proof	хӀужжа
proper	дурусаб
proper	битӀараб
properly	мухӀканго
properties	хасият-гӀамал бихьизаби
property	бетӀергьанлъи
proposal	бокьун букӀин лъазаби
prospect	цебе рехун бихьулеб сундулниги сурат
prosperity	тӀегьай
prosperous	тӀегьалев
protect	хьихьизе
proud	чӀухӀизе
prove	ритӀухълъи хӀужжабаздалъун чӀезабизе
provide	чӀезабизе
provided	цебе лъуна
province	административияб бутӀа
provision	чӀезаби
provision	хьезаби
provision	букӀинаби
puberty	балухлъиялде вахин
public	гӀемерал гӀадамалги ракӀарун гьабулеб
pull	цӀазе
pull	бухьине
pumpkin	хъабахъ
punctual	дурусав
pupil	цӀалдохъан
purchase	къвачӀа
pure	бацӀцӀадаб
purple	фиолетовый
purpose	гӀуж
purse	бухча
pursue	хадув лъугьине
pursuit	хадур лъугьин
push	цуйзе
put	лъезе
qualification	махшел
qualification	гьунар
qualification	квалификация
qualification	устарлъи
quality	хасият
quantity	къадар
quarantine	карантин
quarrel	къел кквезе
quarrel	дагӀбадизе
quarrel	къацандизе
quarter	ункъил бутӀа
Quechua	Кечуа
queen	къираласул чӀужу
queer	хӀикматаб
queer	тамашаяб
queer	гӀажаибаб
query	цӀех-рех
question	суал
queue	кьер
queue	мухъ
quick	хехав
quickly	хехго
quiet	шурун
quilt	юргъан
quit	ине
quite	гӀураб
quiz	контролияб
quiz	халгьабиялъул гьикъи
quotation	щибго хисизабичӀого тексталдаса босараб кесек
quote	щибго хисизабичӀого тексталдаса босараб кесек
quotes	кавычкаби
rabbit	рукъалъул гӀанкӀ
race	рекеризе тӀами
rage	ццидахин
rage	кутакаб ццин бахъин
rain	цӀад
raise	Борзизабизе
raised	борхараб
ran	векерана
random	ракӀалда гьечӀого
range	чин
range	даража
range	категория
rapid	алхунареб
rapid	дурусаб
rapid	мухӀканаб
rapid	гӀужда гьабулеб
rapidly	хехго
rare	лъедераб
rarely	лъедераб
rash	сыпь
rat	нука
rate	процент
rate	такрарлъи
rather	хехго
ratio	бухьен
ratio	гьоркьоблъи
rational	санагӀатаб
rational	мунпагӀатаб
rational	мустахӀикъаб
rational	гӀакълуялда рекъон кколеб
raw	регьел бугеб
raw	регьел хӀалаб
re	рэ
reach	гӀунтӀизе
reached	щвезе
reaction	реакция
read	цӀале
reading	цӀали
ready	хӀадураб
real	гьанжесеб
reality	хӀакъикъияб
reality	ургъун бахъичӀеб жо
reality	хӀакъикъат
reality	унгоунголъунги бугеб
realize	билълъинабизе
realized	тӀубараб
really	унгозгийищ
rear	нахъисеб
reason	гӀилла
reasonable	гӀакълу бугеб
reasonable	гӀакъилаб
recall	ракӀалде щвезабизе
receipt	чек
receipt	тукадаса босараб къайиялъухъ гӀарац кьеялъул кагъат
receive	щвезе
receive	босизе
received	щвезе
received	босизе
recent	дагьаб цебегӀан ккараб
recently	дагьаб цебегӀа
reception	разилъизе бегьулеб
reception	къабул гьабизе
recipe	рецепт
reckless	ургъичӀого гьабураб
reckless	тохаб
reckless	ахӀмакъаб
reckless	пикру гьабичӀого гьабураб
recognition	рикӀкӀин
recognize	батӀа бахъизе лъазе
recommend	рекомендация
recommended	лъикӀаблъун рихьизарурал
record	хъвазе
recover	цӀилъизе
recovery	рукӀалиде ккезаби
recovery	бахъун чӀезаби
recovery	гъоркь букӀахъе ккезаби
rectangle	бокӀонбитӀ
red	багӀараб
redeem	бахъун чӀезабизе
redeem	рукӀалиде ккезабизе
redeem	гъоркь букӀахъе гьабизе
redemption	мунагь чури
redemption	тӀаса лъугьинави
reduce	гьитӀин гьабизе
redundant	къваригӀунелдаса цӀикӀкӀараб
redundant	гьарзаяб
redundant	гӀунги тӀокӀаб
redundant	гӀемераб
refer	ссылка
reference	нугӀлъиялъе бачараб текст
reflect	нахъе буссинаби
reflection	нахъчӀвай
refrain	кочӀол щибаб куплеталда хадуб хисичӀого ахӀулеб бутӀа
refrigerator	холодильник
refund	нахъ буссинабизе
refund	нахъе кьезе
refund	бецӀизе
refuse	нахъчӀвазе
refused	инкар гьабун чӀана
refused	нахъчӀвана
regard	пикру кьей
regarding	гӀахьалаб
regardless	гьелъухъ балагьичӀого
regards	уважениегун
region	регион
register	регистр
regret	ракӀалда бухьана
regular	низамалда лъугьунеб
regularly	тартибалда рекъон
regularly	жиндир гӀужда
reject	нахъе цузе
relate	гӀагарлъи букӀине
related	бухьараб
relationship	цоцадехун бугеб гьоркьоблъи (бухьен
relationship	хурхен)
relative	гӀагарав чи
relatives	гӀагарал
relax	отдыхать
release	борчӀизабизе
released	къватӀиве виччарав
relevant	рекъолеб
relevant	данде кколеб
relevant	битӀун кколеб
reliable	йигей
reliable	божи вугев
relief	тӀадагьлъи
relieve	тӀадагьлъизабизе
relieve	тӀадагь гьабизе
relieved	бигьалъигун
religion	дин
religious	диналъул
religious	динияб
religious	дин гьабулеб
reluctant	чара гьечӀеб
rely	мугъ чӀвазе
remain	чӀезе
remaining	хутӀарав
remarkable	гьайбатаб
remarkable	машгьураб
remedy	тадбир
remedy	гӀамал
remedy	къагӀида
remedy	чара
remember	ракӀалда букӀине
remember	кӀочон тунгутӀизе
remind	ракӀалде щвезаби
reminder	ракӀалде щвезаби
reminder	лъазаби
remote	довегьанав
remove	бахъизе
render	гьабизе
rent	бахъизе
repair	къачӀай
repeat	такрар гьабизе
replace	хисизабизе
reply	жаваб кьезе
report	отчет
represent	вакиллъи
reputation	сий
reputation	цӀар
reputation	къадру
request	тӀалаб
require	тӀалабалда рекъон
required	тӀад лъун бугеб
rescue	хвасар гьабизе
research	цӀех-рех гьабураб  хӀалтӀи
resemble	релълъенлъи букӀине
resemble	релълъараб букӀине
resentment	ццин бахъин
reservation	къвакӀгьаби
reserve	бронировать
resident	ивниги гӀумру гьабун чӀарав чи
resign	гӀодов чӀейалъе заявка кьезе
resilience	щулалъи
resilience	къвакӀи
resilient	хьвагӀолареб
resilient	чӀолеб
resist	данде чӀезе
resistance	дандечӀей гьаби
resistance	дандечӀей
resolution	ихтияр
resolution	изну
resolve	решать
resort	пайда босизе
resources	ресурсы
respect	хӀурмат гьабизе
respond	жаваб кьезе
response	жаваб
responsibility	жавабчилъи
responsible	жавабчилъи
rest	хӀалчвайи
rest in peace	халхъи гьабе гӀумригун
restaurant	ресторан
restore	бахъун чӀезабизе
restore	рукӀалиде ккезабизе
restore	гъоркь букӀахъе гьабизе
restrict	цӀикӀкӀине биччалареб алат
result	хӀасил
results	хӀасил
resume	хӀасил
retail	бичари
retain	ккойзе
retention	кквей
retention	гьоркь кквей
retention	тӀаса кквей
retired	пенсиялде арав
retreat	нахъе къай
retrieve	босизе
return	тӀадбуссинаби
return	нахъекьей
return	нахъбуссинаби
reveal	рагьизе
revealed	рагьараб
revenge	рецӀел
revenge	къисас
revenue	доход
revenue	харж
revenue	тӀаде бачӀунеб хайир
reverse	нахъехун балагьараб
review	бер щвезаби
review	балагьи
review	хал гьаби
revise	битӀизабизе
revision	ревизия
revolution	хисасвери
revolution	гӀуцӀиялда кколеб кӀудияб беки
reward	шапакъат
rhythm	рекъей
rib	хьабалухъагӀучӀ
rice	дугу
rich	бечелъи
rid	хвасар гьаризе
ride	бачине
ridiculous	гӀадаллъарав
ridiculous	гӀадалав
right	кванараб
right now	хӀанч
rigid	къвакӀараб
ring	мургьо
rinse	чуризе
riot	багъа-бачари
rip	бихъизе
ripe	барщараб
rise	кодобе босизе
risk	хӀинкъи бугеб
rival	дандеяв
river	гӀор
road	сапар
road	нух
roast	бежизе
robust	щулияб
robust	къуватаб
robust	къвакӀараб
rock	гамачӀ
rod	мокъ
role	роль
roll	гури
roof	тӀох
room	комната
root	кьибил
rope	квар
rotten	турараб
rough	къвакӀго
roughly	хъачӀго
roughly	адаб тун
round	гургинаб
route	маршрут
routine	рутина
row	очередь
rub	лъулъайзе
rubber	резина
rubbish	чороклъи
rubbish	рищни-къул
rude	хъачӀго
rug	тӀанса
ruin	магӀишат биххизаби
rule	къагӀида
ruler	хӀучч
ruler	мухъ
rules	къагӀида
run	рекери
running	рекери
rural	росдал(аб)
rush	кого-что рещтӀинавизе
sack	къвачӀа
sack	таргьа
sacred	динияб
sacred	бацӀцӀадаб
sacrifice	къурбан
safe	хӀинкъи гьечӀолъи
safe flight	хӀинкъи гьечӀеб боржин
safety	паракъалъи
safety	хӀинкъи гьечӀолъи
sage	тӀадегӀанаб лъай бугев чи
said	абуна
sail	лъедезе
sailing	парусияб спорт
sake	гӀоло
salary	харж
salary	алапа
salary	захӀматхӀакъ
sale	бичизе
salmon	лосось
salt	цӀан
same	чанго
Same here	гъобго жо
sample	мисал
sample	тайпа
sand	сали
Sanskrit	Санскрит
sarcastic	иришватлъи бугеб
sarcastic	инжит гьавулеб
sarcastic	тӀадрелъанхъи гьоркьоб бугеб
sarcastic	ццидалаб
sassy	нич гьечӀеб
sassy	нич тӀагӀараб
sat	шамат къо
satisfaction	рази гьави
satisfied	разияв
satisfy	къабул гьабизе
satisfying	данде кколеб рекъолеб
Saturday	шамат къо
sausage	колбаса
savage	гӀалхулаб
save	цӀунизе
saw	бихьана
say	абизе
scale	шкала
scam	хӀалихьалъи
scam	нахъегӀанлъи
scam	къадарлъи
scam	гьерсихъанлъи
scar	ругънал хутӀараб гӀуж
scarce	дагьаб
scarce	мискинаб
scarce	мукъсанаб
scarce	загӀипаб
scared	хӀинкъизавурал
scared	хӀинкъизавурай
scared	хӀинкъизавурав
scarf	габурбухь
scary	хӀинкъи бугеб
scattered	цояб цояздаса рикӀкӀадаб
scene	сцена
scenery	тӀабигӀаталъул сипатсурат
scent	махӀ
schedule	хъвараб заман
school	школа
science	гӀелму
scientist	гӀелму бугев чи
scientists	цӀаларал чагӀи
scissors	кӀвекьмахх
scold	вагъизе
scope	объем
score	рикӀкӀен
score	хӀисаб
scrap	хӀос
scratch	хъарсизе
scream	чӀичӀиди
scream	гьаракь
scream	гӀергӀеди
scream	ахӀи
screen	экран
screw	бурав
script	сценаялде рахъине кколеб низамги заманги бихьизабун пьесаялъул гӀахьалчагӀазе хъвараб сияхӀ
sea	ралъад
seal	noun -ралъдал гьой
seal	verb - мугьру чӀвазе
search	ралагьизе
season	лъагӀалил бутӀа
seat	гӀодор чӀолеб бакӀ
second	кӀиабилеб
secret	балъголъи
secret	балъгояб жо
section	раздел
section	бикьи
secure	хӀинкъи гьечӀеб
secure	божилъи бугев
secure	паракъатаб
security	охрана
see	бихьула
see you	дида мун вихьула
see you later	дагь нахъ ртхьила
see you soon	рихьила
see you tomorrow	метер рихьила
seed	мугь
seek	балагьизе
seek	батизе
seem	ккана
seems	дида ккола
seen	берда бихьулеб
seen	тӀатараб
seen	бихьулеб
seize	бахъизе
seizure	хӀалица бахъи
seldom	лъедераб
select	бищизе
self	живго
self	дунго
self	мунго
self healing	живго сах гьави
selfish	эгоистлъи
sell	бичизе
send	битӀизе
send me your picture	битӀе дие дурго сурат
senior	гӀумруялъ кӀудияй
senior	кӀудияй
sense	магӀна
sensible	гӀакъилаб
sensitive	рекӀее бокьи
sent	битӀизе
sentence	предложение
sentences	ккои
separate	батӀа гьабизе
separate	бикьизе
Sepedi	Сипиди
september	сентябрь
sequence	тартиб буголъи
series	къотӀел
series	цикл
serious	кӀвар бугев
seriously	унгоялъги
serve	къваригӀел тӀубазе
serve	хӀажалъи
service	хъулухъ гьабизе
session	гьоркьоб къотӀичӀого бихьизабулеб щибниги жо
session	сеанс
set	лъезе
set up	гӀуцӀизе
setting	роценал
settle	решить
seven	анкьго
seventeen	анцӀила анкьго
seventy	лъабкъоялда анцӀго
several	Чанго
severe	захӀматаб
sew	букъизе
sh	сх
shade	батӀалъи
shadow	рагӀад
shake	кӀобокӀизе
shake	кӀутӀизе
shall	shall
shallow	къокъаб
shame	нич
shape	черх
shape	къаркъала
share	бикьизе
sharp	бегӀераб
she	дой
she has	долъул буго
she is	дой
shed	цӀулал рукъ
sheep	кьегӀер
sheet	тӀамах
shelf	буцрал хъарщи
shelf	кьогъен
shelf	тахча
shelf	къотӀел
shell	хъал
shell	гъат
shelter	чӀезе бегьулеб бакӀ
shield	хъалхъан
shift	бугелъуса багъаризаби
shine	канлъи кьезе
shine	гвангъизабизе
shine	нур кьезе
ship	гама
shipping	къайи баччи
shirt	рубашка
shoes	хьитал
shoot	кьвагьизе
shop	тукен
shopping	бичун боси
shore	рагӀал
short	къокъаб
shortage	ками
shortage	гӀунгутӀи
shot	кьвагьана
should	шуд
shoulder	гъеж
shout	ахӀдезе
shout	чӀичӀидизе
show	бихьизабизе
show me	дида бихье
shower	душ
shrimp	креветка
shrink	гьитӀин гьаби
shut	данде чӀвазе
shut up	кӀал къай
shy	нечезе
sibling	вац
sibling	яц
siblings	яц-вац
sick	унтун
side	рахъ
sigh	хӀухьел цӀай
sight	бихьун бажари
sight	бихьи
sightseeing	машгьурал жал риккизе
sign	гӀуж
signature	гъолбас гьаби
significant	хӀакъикъияб
silence	сихӀкъотӀи
silent	гӀодоцараб
silent	сасараб
silk	чиллайдул кьуричӀел рихьал
silly	гьавав
silly	гьагай
silly	гьагал
silver	гӀарац
similar	релъараб
simp	гӀабдал
simple	бигьаяб
simple	гӀадатияб
simultaneously	цого заманалда байбихьизе
since	добасан
sincere	ракӀ бацӀцӀадав
sincerely	битӀун
sincerely	ракӀ-ракӀалъ
sincerely	ракӀ бацӀцӀадго
sing	кечӀ ахӀизе
singer	кочӀохъан
single	янгъизаб
sink	раса
Sir	ле
Sir	сэр
sister	яц
sister in law	васасул лъади
sit	гӀодов чӀезе
site	сайт
situation	ахӀвал-хӀал
six	анлъго
sixteen	анцӀила анлъго
sixty	лъабкъого
size	кӀодолъи-гьитӀинлъи
skill	ругьунлъи
skills	кӀолеб жо
skin	тӀом
skinny	тӀеренаб
skinny	къадараб
skinny	азараб
skinny	хӀалакъаб
skip	биччазе
skirt	юбка
sky	зоб
slave	лагъ
sleep	кьижизе
sleeping	кьижизе
sleepy	макьу рекӀараб
sleepy	макьихараб
sleeve	къвал
slice	кусочек
slide	бакӀ хисизе
slide	цуйзе
slightly	цо чанго
slightly	дагь
slim	гьайбатаб
slim	чӀурканаб
slim	чергесаб лагаялъул
slim	лага-черх рекъараб
slip	хъищтизе
slope	гъвел
slope	хьибил
slot	цӀекӀлъи
slow	хӀенцав
slowly	хьадарго
slowly	гӀодобе биччан
slowly	хӀинцго
small	гьитӀинаб
smart	гӀакъилаб
smell	махӀ
smile	гьимазе
smoke	кӀкӀуй
smooth	тамахаб
snack	гьакълида цадахъ щибниги кванай
snail	цӀадалхӀама
snake	борохь
snap	тӀинкъи
snow	гӀазу
so	и
so cute	берцинлъи
so far	цъакъ добегӀан
soak	биччизабизе
soap	сапун
sober	мехтичӀев
sober	вигьарав
soccer	футболалъул
social	гьезул гьоркьоблъиялда бухьараб
social	гӀадамазул гӀумруялда
society	рукӀа-рахъиналъул гӀаммал тарихиял шартӀаз данде гьарурал гӀадамазул цолъи
socks	носки
soft	тамахаб
software	программное обеспечение
soil	рухӀ
sold	бичана
sold out	бичун лъараб
sold out	бичараб
soldier	солдат
sole	тӀикъва
solid	къвакӀараб
solution	хӀукму гьаби
solve	хӀукму гьабизе
some	чанго
somebody	щив вугониги
somehow	кинали
someone	цояв
something	цо щибалиго
sometimes	цо-цо мехалъ
sometimes	гьоркьо-гьоркьоб
sometimes	мех-мехалъ
song	кечӀ
soon	кватӀичӀого
sophisticated	разиял
sophisticated	разияв
sophisticated	разияй
Sorani	Сорани
sore	унтарав
sore throat	унтараб шекъер
sorrow	къварилъи
sorrow	пашманлъи
Sorry	тӀаса лъугьа
sort	къокъаб
sought	балагьула букӀана
soul	рухӀ
soulmate	кӀиабилеб рахъ
sound	гьаракь
soup	чурпа
sour	цӀекӀаб
source	теориялъул тӀоцебесеб аслу
south	юг
space	космос
spam	спам
span	серун ккойзе
Spanish	испанский
spare	чӀобогояб
speak	гаргадизе
speak	кӀалъазе
special	хасаб
species	тайпа
specific	хасиятаб
spectacular	кутакалда асар гьабулеб
speech	калам
speech	гаргар
speech	кӀалъай
speechless	вуцӀцӀун чӀарав
speechless	кӀалъаларев
speed	хехлъи
spell	сихӀрудугӀа
spell	сихӀру
spend	хвезабуна
spent	хвезабураб
spicy	бухӀараб
spike	заз
spin	серизабизе
spinach	шпинат
spirit	рухӀ
spit	тузе
splendid	цӀакъ берцинаб
split	бикьизе
spoil	хвезе
spoiled	хвараб
spoiled	хвезабураб
spoiled	жагъаллъараб
spontaneous	жибго жиндасанго
spoon	балухъ
spoon	гъуд
spoon	бугьун
spot	бакӀ
spouse	рос
spouse	чӀужу
spouse	лъади
spread	тӀибитӀизе
spring	их
square	ункъбокӀон
squeeze	мерхьине
squid	осьминог
squirrel	белка
st	ст
stab	къабизе
stable	щулияб
stable	цо хӀалалда чӀараб
stack	гохӀ
stack	гъуни
staff	хӀалтӀухъаби
stage	этап
stain	перен. тӀанкӀ
stairs	болъо
stairs	мали
stake	къадар
stalk	хӀуби
stalk	гӀучӀ
stall	гьитӀинаб тукен
stamp	мугьру
stand	бахъун чӀезе
standard	стандарт
star	цӀва
start	байбихьизе
started	байбихьи
starving	вакъарав
state	хӀукумат
statement	лъазаби
station	станция
statue	статуя
status	халкъазда гьоркьосеб ихтияралда бугеб хӀал
stay	чӀезе
stay safe	хӀинкъи гьечӀолъиялда вукӀа
steady	кидаго гӀадин
steak	бежараб гьан
steal	бикъизе
steam	хӀухьел
steel	чаран
steep	эхебе балагьараб
stem	кьибил
step	гали
stick	тӀил
stiff	къвакӀарав
still	цоги
sting	хеч
stingy	бахилав
stingy	барахщарав
stingy	къарумав
stir	багъаризе
stock	къайи
stolen	бикъараб
stomach	бакӀвали
stomach	кванирукъ
stone	гамачӀ
stood	чӀараб
stood	гӀемераб мех бараб
stool	бакӀу
stop	чӀа
storage	щибниги цӀунизе бараб бакӀ
store	тукен
storm	кутакаб гьуригун чвахунцӀад
story	тарих
stove	батарейка
straight	битӀараб
straightforward	гӀадатияб
strain	ругьунлъизе
strange	хӀикматаб
strange	тамашаяб
strange	гӀажаибаб
stranger	лъаларев чи
strategy	стратегия
straw	сум
straw	солома
straw	хьутӀ
strawberry	чӀахӀияб гӀодокари
strawberry	кверкъи
streak	чӀоло
stream	къезе
stream	биччазе
street	къватӀ
strength	хӀал
stress	стресс
stretch	цӀан кӀодо гьабизе
strict	битӀараб
strike	хӀалтӀи рехун тей
strike	забастовка
string	чӀваби
strip	чӀоло
strip	мухъ
strive	лъураб хӀалалъ церехун ине
strive	цо рахъалдехун ралагьун ине
stroke	инсульт
strong	гучаб
struck	кьабуна
structure	гӀуцӀи
struggle	хӀаракат бахъизе
struggling	захӀмалъигун данде чӀваразе
stubborn	тӀирарав
stubborn	мекъав
stubborn	тӀирун чӀарав
stubborn	мукӀурлъуларев
stubborn	жиндирабго ккун чӀарав
stuck	къан хутӀизе
student	студент
study	цӀали
studying	лъазаби
studying	цӀех-рех гьаби
stuff	къайи
stunning	кутакалда гучаб
stunning	цӀакъ кутакаб
stunning	хаган хутӀизарулеб
stunning	кӀудияб асар гьабулеб
stupid	ахӀмакъаб
stupid	гӀантаб
style	къагӀида
style	куц
subject	ГӀадан чи
submission	мутӀигӀ гьаби
submit	къезе
substance	жо
substitute	бижи
substitute	кӀудияб гӀей
subtle	тӀеренаб
succeed	цере тӀезе
success	бажари
successful	бажари бугеб
such	гьадинаб
such as	гьединав
suck	хахизе
sudden	тохлъукье
sudden	нагагьаб
suddenly	ракӀалда гьечӀого
suffer	унтул гӀазаб тӀаде ккезе
suffering	рухӀел бихьи
suffering	гӀазаб-гӀакъуба
sufficient	гӀураб
sufficient	гӀезесеб
sugar	чакар
suggest	тӀаса бищизе рес кьезе
suggest	хал гьабизе
suggestion	къасд букӀин
suggestion	ракӀалда букӀин
suit	костюм
suitable	рекъолеб
suitcase	чемодан
sum	гӀаммаб къадар
summary	хӀасил
summer	рии
summit	бетӀер
summit	борхалъи
summit	тӀогь
sun	бакъ
sunday	воскресенье
sunny	бакъул
sunset	бакъ тӀерхьин
sunset	тӀерхьин
sunset	щинкӀи
sunshine	бакъул канлъи
super	цӀакъ лъикӀаб
superior	бутӀрул
superior	хӀакимзаби
superior	начальникзаби
supervisor	нухмалъи гьабулев чи
supper	боголиквен
supply	хьезабизе
supply	рекъезабун лъезе
supply	лъезе
supply	тезе
support	кверчӀвазе
suppose	ракӀалда букӀине
supposed	кколев
sure	ракӀчӀей
surface	тӀасияб рахъ
surge	кӀодолъи
surge	гӀемерлъи
surgery	цо тӀадкъаялда гьарулел рагъулал ишал
surgery	операция
surname	фамилия
surprise	ракӀалдаго гьечӀеб жо
surprise	ракӀалдаго букӀинчӀеб
surprised	гӀажаиблъи
surprised	амашалъи
surprised	риххун хутӀи
surprised	хӀайранлъи
surprised	хӀикмалъи
surrender	мукӀурлъичӀого вукӀине
surrender	мутӀигӀлъичӀого
surrounding	сверун бугеб
surveillance	балагьи
survey	цӀех-рех
survive	хвечӀого хутӀизе
suspect	щаклъизе
suspended	езавурав
suspended	ч
suspicious	божи гьечӀеб
sustain	гьоркьоб къотӀизе тунгутӀизе
sustain	хвезе тунгутӀизе
sustainability	щулалъи
sustainability	къвакӀи
sustainable	хьвагӀолареб
sustainable	щулаго чӀолеб
swag	хьвагӀезе
swag	гьендезе
swallow	къурчӀизе
swap	хисизе
swear	вагъизе
swear	семизе
swear	хьандезе
sweat	гӀетӀ
sweater	хьухьараб квасул гурде
sweep	лъухьизе
sweet	гьуинаб
sweet dreams	гьуинаб макьу
sweet tooth	гьуинаб жо бокьулев чи
sweetheart	хирияв
sweetheart	хирияй
swell	лъадал тӀалъиялда гӀисинабго сорой
swelling	гьорораб бак
swim	лъедезе
swim	лъим ххазе
swimming	лъим ххай
swimming	лъедей
swing	кӀибикӀизе
switch	синабулеб жо
swollen	лъадал
sword	хвалчен
symbol	ишара
sympathy	ракӀунти
sympathy	гурхӀел
symptoms	гӀаламат къватӀибе загьирлъи
system	низам
table	стол
tackle	кквезе
tackle	ккун чӀезе
tag	дамгъа
tail	рачӀ
take	босе
take away	къватӀибе квен
take care	милат
take off	бахъизе
taken	босарав
talk	кӀалъай
talkative	гӀемер кӀалъазе бокьулев
tall	халатаб
tap	крант
tape	чалу
tape	гӀебаб чӀоло
target	ишан
target	гӀуж
task	хӀалтӀи
taste	тату
tasty	тӀагӀам бугеб
tasty	тату бугеб
taught	малъана
tea	чай
teach	малъизе
teacher	мугӀалим
team	буюрухъ
tear	магӀу
tears	магӀу
tease	валъаргъине
technology	технологии
teeth	цаби
tell	абизе
tell me	абе диде
temper	гӀамал
temperature	температура
temple	кӀалгӀа
temporary	болжал цӀан
temporary	заманалъ
temporary	дагьаб мехалъ
ten	анцӀго
ten thousand	анцӀ-азарго
tenant	кибниги гӀумру гьабулев чи
tend	мурад
tend	къасд
tendency	мурад
tendency	къасд
tender	тамахго
tender	хӀеренго
tense	цӀараб
tense	дугъдараб
tension	дугъдазаби
tension	хӀалуцинаби
tent	чадир
tentative	хӀалбихьиялъе гьабураб
term	цӀараб мех
term	болжал
terms	шартӀ
terrible	ракӀ гъанцӀизабулеб
terrible	гӀасияб
terrible	ракӀ хӀинкъизабулеб
terrible	ракӀ зунизабулеб
terrific	кутакалда гучаб
terrific	цӀакъ кутакаб
territory	ракь
territory	бакӀ
test	тест
text	текст
than	цинги
thank	баркала
thank you	баркала
Thank you for your patience while we investigate shipment	баркала дур сабруялъухъ нижеца цӀех-рахи гьабулеб заманаялда
thank you so much	баркала дуе кӀудияб
thank you very much	кӀудияб баркала дуе
thanks	баркала
Thanks for using our app	баркала нтжер приложение хӀалтӀизе гьабуралъухъ
that	щиб
that is	гьедин батани
that's good	гьеб лъикӀ буго
the	зе
theft	бикъи
their	дозул
them	дол
theme	тема
themselves	жинцго жалго
then	цинги
theory	теория
there	доба
there are	буго
there is	гьаниб
therefore	гьдинлъидал
these	дол
they	гъол
they are	гъол руго
thick	къарияб
thick	бицатаб
thief	цӀогьор
thigh	мачӀчӀ
thin	Азараб
thing	къайи
thing	жо
things	къайи
think	ургъизе
third	лъабабилеб
thirsty	къечей
thirteen	анцӀила лъабго
thirty	лъеберго
this	гьаб
this is	гьаб буго
thorough	мухӀканаб
thorough	рагӀаракьанде щвараб
thoroughly	мухӀканго
thoroughly	камилго
thoroughly	рагӀаракьанде щун
thoroughly	тӀад чӀун
those	дозул
though	амма
thought	пикра
thoughtful	тӀад лъикӀ ургъулев
thoughts	ургъи
thousand	азарго
thread	кун
threat	хӀинкъи
threat	хӀинкъи кьей
threaten	хӀинкъизабизе
three	лъабго
threshold	кӀалтӀу
thrilled	бихха-хочараб
thrilled	рахӀат хвараб
thrive	цере тӀезе
throat	щекъер
through	гьоркьосан
throughout	гьоркьосан
throw	речӀчӀизе
thumb	кӀудияб килищ
thunder	зоб гъугъай
Thursday	хамиз къо
thus	гьединлъидал
tick	ишара
tide	эхеде бахин
tidy	мухӀканлъи
tidy	дуруслъи
tie	галстук
tiger	цӀиркъ
tight	дугъдараб
Tigrinya	Тигринья
time	заман
timid	хӀинкъа-къарав
timid	нахъе къан чӀолев
tiny	гьитӀинаб
tip	чайдул гӀарац
tips	бигьалъи
tire	шина
tired	свакана
tissue	квералрацӀцӀ
title	титул
title	хӀурматияб цӀар
to	в
to be	букӀине
toast	лъилниги хӀурматалда гьабулеб кӀалъай
toast	лълъар борхулаго
today	жакъа
toddler	илъанхъизу жубараб лъимер
toes	хӀатӀазул килщал
together	цадахъ
toilet	туалет
told	абуна
tolerance	яхӀ гьабизе кӀвей
tolerance	къохӀехьей
tolerate	хӀехьезе
tolerate	сабру гьабизе
tolerate	яхӀ гьабизе
tomato	помидор
tomorrow	метер
tongue	мацӀ
tonight	жакъа къасе
too	гьейги
too	гьевги
too	гьебги
too	дунги
too	мунги
took	босизе
tool	тӀагӀел
tools	тӀагӀел
tooth	гӀус
tooth	ца
top	тӀоцебесеб
top	бищунго лъикӀаб
topic	тема
torn	бихъ-бихъараб
torn	тӀутӀураб
torture	гӀазаб кьей
total	сундуего гӀаммаб
total	киназего
total	гӀахьалаб
touch	гъвазе
tough	захӀматго
tour	цо свери
tour	тур
toward	к
towards	к
towel	гьумербацӀцӀ
town	пригородалъул
town	рагӀалда бугеб
town	шагьаралда аскӀоб
toxic	загьруяб
trace	лъакӀ
track	хал кквезе
trade	даран-базар
tradition	гӀадат
traditional	гӀадатлъун билълъараб
traffic	трафик
trail	бехъерхъизе
train	поезд
training	хӀадурлъизе
trait	хӀучч
trait	мухъ
traits	хаслъи
traits	батӀалъи
transfer	трансфер
transition	переход
translate	переводить
transparent	гъорлъан канлъи бихьулеб
transport	къайи ва гӀадамал раччулебщинаб жо
transportation	гӀадамал раччулебщинаб жо
trap	гьин
trap	къотен
trap	къор
trap	гудур
trash	чороклъи
trash	рищни
