a	un
weed	louzaouennoù
week	sizhun
weekend	dibenn-sizhun
weight	pouezañ
weight	pouez
weird	iskis
welcome	degemer mat
welfare	hevoud
Well	Ma
Well	puñs
Well	mat
well done	un taol-kaer
went	a yae
were	oa
west	kornôg
wet	gleb
whale	balum
what	petra
what about you	ha ganeoc'h
what are you doing	petra emaoc'h oc'h ober
what are you doing now	oc'h ober petra ober bremañ
what are you doing right now	petra emaoc'h ober aze diouzhtu
what do you do	petra eo ho micher
what do you do for a living	Petra a rit er vuhez
what do you mean	petra a fell deoc'h lavaret
what do you want	petra a fell deoc'h
what happened	petra zo c'hoarvezet
what is	petra zo
what is this	petra eo
what is your job	petra eo ho micher
what is your name	peanv oc'h
what's up	petra nevez
what's your name	petra eo hoc'h anv
what's your name	petra eo da anv
whatever	ne vern
wheat	ed
wheel	rod
when	pegoulz
whenever	ne vern pegoulz
where	pelec'h
where are you	pelec'h emaoc'h
where are you from	eus pelec'h oc'h
where are you now	pelec'h emaoc'h bremañ
where do you live	pelec'h emaoc'h o chom
where is	pelec'h emañ
whereas	o vezañ ma
whereas	tra ma
whether	pe
which	ar pezh a
while	e-pad
whisper	hiboud
whistle	c'hwitellat
whistle	c'hwitell
white	gwenn
who	piv
who are you	piv oc'h-c'hwi
who is	piv eo
who is this	piv eo
whole	holl
whole	klok
whole	hollad
whom	a
whose	a
why	perak
why not	perak ket
wicked	siek
wicked	fallakr
wide	ledan
widow	intañvez
width	ledander
wife	gwreg
wild	gouez
will	youl
willing	mennet
win	gounit
wind	avel
window	prenestr
windy	avelek
wine	gwin
winter	goañv
wipe	sec'hañ
wipe	naetaaat
wipe	skarzhañ
wire	neudenn
wire	neud-orjal
wire	kevreañ
wisdom	furnezh
wise	fur
wish	het
wish	c'hoant
wish	hetiñ
wish you all the best	hetiñ a ran ar pep gwellañ deoc'h
witch	strobinellañ
witch	gwrac'h
with	gant
withdraw	tennañ kuit
withdraw	en em dennañ
withdrawal	emdenn
within	e-barzh
without	hep
witness	test
witness	bezañ test
witty	fentus
witty	ijinus
wolf	bleiz
woman	maouez
women	merc'hed
won	gounezet
won't	ne labourin ket
wonder	chom bamet
wonder	en em c'houlenn
wonder	burzhud
wonderful	burzhudus
wood	koad
wool	gloan
word	ger
words	gerioù
work	labour
work out	kompren
work out	kavout
work out	mont en-dro
working	o vont en-dro
working	o labourat
world	bed
worm	preñv
worn	uzet
worn	teuc'h
worried	nec'het
worry	nec'h
worse	gwashoc'h
worship	azeuliñ
worst	gwashañ
worth	talvoudus
worth	talvoudegezh
worth	talvoud
worth it	talvezout a ra ar boan
worthy	talvoudus
would	fellout a rafe
wound	gloazañ
wound	gloaz
Wow	Biskoazh
wrap	pakañ
wrap	goleiñ
wrap	pakad
wrath	fulor
wrist	arzorn
write	skrivañ
Write here	Skrivit amañ
writing	o skrivañ
writing	skrid
writing	skritur
written	skrivet
wrong	faos
wrong	fall
wrong	direizh
wrote	a skrive
yard	liorzh
yawn	bazailhat
yawn	bazailhadenn
Yeah	ya
year	bloaz
years	bloavezhioù
yeast	goell
yell	blejal
yellow	melen
Yes	Ya
yes baby	ya labous
yes dear	ya, karedig
yes honey	ya labous
yes my love	ya, ma labousig
yes of course	ya evel-just
yesterday	dec'h
yet	c'hoazh
yield	produiñ
yield	produ
yield	askor
you	c'hwi
you are	c'hwi zo
you are beautiful	brav out
you are so beautiful	ken brav out
you are welcome	deuet mat oc'h
you can	gallout a rit
You know	C'hwi 'oar
you too	te ivez
you're welcome	gant plijadur
young	yaouank
your	ho
your welcome	eus netra
yourself	da-unan
youth	yaouankiz
you’re welcome	mann ebet
yummy	menam
zero	mann
