পৰিত্যাগ	abandon
ধাৰণা কৰা হৈছে	supposed
অনুগ্ৰহ কৰি	kindly
অনুগ্ৰহ কৰি	please
অতিক্ৰম কৰি অহা	overcome
অধ্যয়ন কৰি আছে	studying
অপেক্ষা কৰি আছে	waiting
কল কৰিছিল	called
অনুভৱ কৰিছিল	felt
উল্লেখ কৰিছিল	mentioned
প্ৰাপ্ত কৰিছিল	obtained
আৰম্ভ কৰিছিল	started
প্ৰাপ্ত কৰিছে	getting
অংকন কৰি থকা	drawing
সংগ্ৰাম কৰি থকা	struggling
কাম কৰি থকা	working
ক্ষমা কৰিব	excuse
ক্ষমা কৰিব	excuse me
ক্ষমা কৰিব	pardon
আপুনি কৰিব পাৰে	you can
মন কৰিবলগীয়া	remarkable
ম‍ই কৰিম	I will
ভাল কৰিলে	good job
আপুনি কৰে নে	do you
ম‍ই কৰোঁ	I do
মান্তি কৰোৱা	convince
চিনাকি কৰোৱা	introduce
মান্তি কৰোৱা	persuade
মোক কল কৰক	call me
নলাৰ কাম কৰা লোক	plumber
আপোনাৰ কামটো কি	what is your job
এয়া কি	what is this
তুমি কি ক’ব বিছাৰিছা মই বুজি পোৱা নাই	I don't understand what you mean
আপুনি কি কৰিছে	what are you doing
আপুনি কি কৰে	what do you do
আপোনাৰ কি খবৰ	how are you doing
যি কি নহওক	anyways
অন্তিম কিন্তু নহয়	last but not least
আপুনি কি বিচাৰে	what do you want
আপুনি কি বুজাইছে	what do you mean
আপোনাৰ কেনে	how are you
আপোনাৰ কেনে	how do you do
ধ্যান কেন্দ্ৰিত	focus
ভয়ত কোঁচ-মোচ খোৱা	cringe
শোৱনি কোঠা	bedroom
আপুনি কোন	who are you
এয়া কোন	who is this
কথা কোৱা	speak
ফুচফুচাই কোৱা	whisper
আপোনাৰ ক্ষেত্ৰত কি	how about you
প্ৰচণ্ড খং	wrath
কি খবৰ	what's up
আপুনি খাইছে নে	have you eaten
মাইলৰ খুঁটি	milestone
ছ’কাৰ খেল	soccer
খাপ খোৱা	adapt
খাপ খোৱা	adjust
ভয় খোৱা	sacred
ভয় খোৱা	scared
খাপ খোৱা	suit
উৰি গ’ল	flew
পোৱা গ’ল	found
প্ৰিয় গ্ৰাহক	Dear Customer
অলৌকিক ঘটনা	miracle
অদ্ভুত ঘটনা	phenomenon
মূৰ ঘুৰণি	dizzy
বেকিং চ’ডা	baking soda
শস্য চপোৱা	harvest
কপৌ চৰাই	pigeon
এৰাই চলক	avoid
মানি চলা	abide
মানি চলা	comply
মানি চলা	obey
চাইকেল চলোৱা	cycling
ঠাই চাই ফুৰা	sightseeing
কাঁটা চামুচ	fork
মৰমৰ চাৰ	Dear Sir
দন্ত চিকিত্‍সক	dentist
আত্মাই চিৰশান্তি লাভ কৰক	rest in peace
সম্ভাষণ জনোৱা	greeting
আপোনালৈ জন্মদিনৰ শুভ কামনা থাকিল	happy birthday to you
অতি জৰুৰী	urgent
ৰাতিপুৱাৰ জলপান খাওক	have breakfast
আপুনি জানে	You know
ম‍ই জানো	I know
পোহনীয়া জীৱ	pet
আপোনাৰ জীৱিকা কি	what do you do for a living
‘ জোৰ দিয়া	emphasize
ভাও জোৰা	pretend
চৰ্দি জ্বৰ	flu
মই ঠিকেই আছো	I am fine
বস্তুৰ তালিকা	inventory
সাগৰ তীৰ	beach
মই তোমাক পছন্দ কৰোঁ	I like you
মই তোমাক বিচাৰোঁ	I want you
মোৰ তোমালৈ মনত পৰিছে	I miss you
উচ্চাকাংক্ষা থকা	ambitious
উপস্থিত থকা	attend
ভিৰ থকা	crowded
ব্যস্ত থকা	engage
উপঙি থকা	float
লুকাই থকা	hidden
লুকাই থকা	hide
এনেই থকা	idle
হাঁহি থকা	laughing
জীয়াই থকা	live
জীয়াই থকা	living
মিল থকা	match
আবেশত থকা	obsessed
বাকী থকা	outstanding
বাকী থকা	pending
পিছুৱাই থকা	postpone
পঢ়ি থকা	reading
নকৰাকৈ থকা	refrain
বাকী থকা	remaining
মিল থকা	resemble
সন্ধানত থকা	sought
ভোকত থকা	starving
জীয়াই থকা	survive
উপঙি থকা	suspended
জিলিকি থকা	vivid
বতাহ থকা	windy
শুভেচ্ছা থাকিল	all the best
শুভেচ্ছা থাকিল	best of luck
শুভেচ্ছা থাকিল	good luck
অন্তৰ্ভুক্ত থাকে	contains
জীয়াই থাকে	lives
মথি থোৱা আটা	dough
মৰমৰ দল	Dear Team
শুভ দিন	good day
ছুটীৰ দিন	holiday
আপোনাৰ দিনটো কেনে আছিল	how was your day
বহু দিন দেখা হোৱা নাই	long time no see
যিমান দিন ধৰি	as long as
পৰামৰ্শ দিয়া	advise
অনুমতি দিয়া	allow
সন্মতি দিয়া	allowed
ধ্যান দিয়া	attention
ফুৱাই দিয়া	blow
অংগীকাৰ দিয়া	commit
বৰঙণি দিয়া	contribute
এৰি দিয়া	discharge
জাঁপ দিয়া	dive
জোৰ দিয়া	emphasis
উত্‍সাহ দিয়া	encourage
নিৰ্দেশনা দিয়া	guide
ন্যায্যতা দিয়া	justify
মুক্তি দিয়া	launch
নেতৃত্ব দিয়া	lead
ধাৰলৈ দিয়া	lend
কৰিবলৈ দিয়া	let
অনুমতি দিয়া	permit
অগ্ৰাধিকাদ দিয়া	prefer
এৰি দিয়া	quit
প্ৰস্তাৱ দিয়া	recommend
মুক্তি দিয়া	release
সকাহ দিয়া	relieve
যাঁচি দিয়া	render
ত্যাগপত্ৰ দিয়া	resign
উভতাই দিয়া	return
বাদ দিয়া	skip
ভগাই দিয়া	split
চেপি দিয়া	squeeze
পৰামৰ্শ দিয়া	suggest
ৰ’দ দিয়া	sunny
বাদ দিয়া হৈছে	dropped
এই দিশে	towards
ম‍ই দুঃখিত	I'm sorry
যিমান দুৰ	so far
কাইলৈ দেখা হ'ম	see you tomorrow
ম‍ই দেখিছোঁ	I see
মোক দেখুওৱা	show me
গেলামালৰ দোকান	grocery
সৰু দোকান	stall
অশেষ ধন্যবাদ	thank you so much
ধৈৰ্য ধৰক	hold on
লাগি ধৰা	clingy
খামুচি ধৰা	grab
খামুচি ধৰা	grasp
জোৰকৈ ধৰা	grip
লাগি ধৰা	stuck
আঁত ধৰোঁতা	host
ধীৰে ধীৰে	slowly
দেখিবলৈ ধুনীয়া	good looking
আপুনি ধুনীয়া	you are beautiful
কাপোৰ ধুৱা	laundry
চিন্তা নকৰিব	Don't worry
মই নকৰোঁ	I don't
শুভ নৱবৰ্ষ	happy new year
যিয়েই নহওক	anyway
যিয়েই নহওক	by the way
যিয়েই নহওক	nevertheless
যিয়েই নহওক	whatever
এটাও নহয়	neither
কেতিয়াও নহয়	never
কোনো নহয়	nobody
কোনোপধ্যে নহয়	not at all
বেয়া নহয়	not bad
এতিয়া নহয়	Not now
এতিয়ালৈকে নহয়	not yet
কিয় নহয়	why not
একো নাই	none
একো নাই	nothing
মই নাজানো	I do not know
ম‍ই নাজানো	I don't know
মই নাজানো	I don’t know
প্ৰথম নাম	first name
আপোনাৰ নাম কি	what is your name
আপোনাৰ নাম কি	what's your name
মোৰ নাম হৈছে	my name is
তেওঁলোকে নিজে	themselves
নিজে নিজে আৰোগ্য হোৱা	self healing
মই নিজেই	myself
আপুনি নিজেই	yourself
গুৰুত্ব নিদিয়া	neglect
ধ্যান নিদিয়াকৈ	regardless
টানি নিয়া	drag
আজি নিশা	tonight
আপোনাৰ নিশা কেনে আছিল	how was your night
হয় নিশ্চয়	yes of course
তুমি নে	are you
য’ত নেকি	whereas
মই নোৱাৰোঁ	I can't
মই পচন্দ কৰোঁ	I like
প্ৰাথমিক পছন্দ	preference
লানি পতা	queue
নিৰ্গমন পথ	outlet
ম্লান পৰা	fade
কম পৰা	shortage
ছাঁ পৰা ঠাই	shade
ইমূৰৰ পৰা সিমূৰলৈ	across
ছাঁ পৰা স্থান	shed
বাদ পৰি যোৱা	miss
ইয়াৰ পৰিৱৰ্তে	instead
বুজি পাইছিল	understood
এইটো পাইছো	got it
সাৰ পাই থকা	awake
ওকট পাকট লগা	nausea
আপোনাক পাছত লগ পাম	see you later
কথা পাতক	talk
হ’ব পাৰে	might
ম‍ই পাৰোঁ	I can
আমি পাৰোঁ	we can
আহি পালে	arrived
বৃদ্ধি পালে	increased
ইয়াৰ পিছত	next to
মৰমৰ পিতৃ-মাতৃসকল	Dear Parents
পোছাক পিন্ধক	get dressed
ধৰা পেলাইছিল	caught
পুতি পেলোৱা	buried
মনত পেলোৱা	recall
মনত পেলোৱা	remind
থু পেলোৱা	spit
আনুষ্ঠানিক পোছাক	uniform
লাজ পোৱা	ashamed
আমনি পোৱা	bother
বেয়া পোৱা	hate
লগ পোৱা	meet
ত্ৰাণ পোৱা	relief
দেখা পোৱা	seen
বুজি পোৱা	understand
সাৰ পোৱা	wake up
গৰু পোৱালী	calf
মেকুৰী পোৱালী	kitten
ভৰণ পোষণ কৰা	foster
এটা প্ৰকাৰৰ	kinda
কোনো প্ৰকাৰেই নহয়	no way
ইচ্ছা প্ৰকাশ কৰা	willing
উত্‍সাহ প্ৰদান	incentive
মিঠাৰ প্ৰৱণতা	sweet tooth
অধিকাৰ প্ৰাপ্ত	entitled
মোৰ প্ৰিয়	My dear
নমস্কাৰ প্ৰিয়তম	hello dear
মোৰ প্ৰিয়তম	my love
বাৰু প্ৰিয়তম	okay honey
হয় প্ৰিয়তম	yes dear
হয় প্ৰিয়তমা	yes baby
হয় প্ৰিয়ে	yes honey
ঘূৰি ফুৰা	wander
ফুল ফুলা	bloom
শৰীৰাংশ ফুলা	swelling
শৰীৰাংশ ফুলা	swollen
নৰা বগৰী	peach
ভাৰসাম্যতা বজাই ৰখা	balance
মোৰ বন্ধু	my friend
আপোনাৰ বয়স কিমান	how old are you
ধোঁৱা বৰণ	grey
শুভ বৰদিন	merry christmas
কামৰ বস্তু	utility
খুড়া বা জেঠাইৰ পুতেক বা জীয়েক	cousin
মাজতে বাধা দিয়া	interrupt
পতি বা পত্নী	spouse
আপোনাৰ বাবে	for you
সীমাৰ বাহিৰ কৰা	exceed
দেশৰ বাহিৰত	abroad
তাৰ বাহিৰে	beyond
ইয়াৰ বাহিৰে	else
ইয়াৰ বাহিৰে	except
ক্ৰমাগত বিকাশ	evolution
ক্ষমা বিচৰা	apologize
ম‍ই বিচাৰোঁ	I want
বিবাহ বিচ্ছেদ	divorce
ৰসায়ন বিদ্যা	chemistry
আপুনি বিবাহিত নে	are you married
আপুনি বিবাহিত নে অবিবাহিত	are you married or single
শুল্ক বিভাগ	customs
শুভ বিমানযাত্ৰা	safe flight
ৰোগ বিয়পা অৱস্থা	infection
পুডিং বিশেষ	porridge
ক্ৰিয়া বিশেষণ	adverb
মূৰৰ বিষ	headache
ডিঙি বিষ	sore throat
সৌন্দৰ্য বিষয়ক	aesthetic
আপোনাৰ বিষয়ে কি	what about you
মই বুজাইছোঁ	I mean
মই বুজি নাইপোৱা	I do not understand
মই বুজি পাইছোঁ	I understand
ম‍ই বুজি পোৱা নাই	I don't understand
ম‍ই বুজি পোৱা নাই	I don’t understand
স্মৃতিত বেদনাতুৰ	nostalgic
বৰ বেয়া	horrible
ইয়াতকৈও বেয়া	worse
আটাইতকৈ বেয়া	worst
চিনাকি ব্যক্তি	acquaintance
নিপূণতাৰে ব্যৱহাৰ কৰা	manipulate
আপুনি ব্যস্ত নেকি	are you busy
প্ৰেমৰ ভাও	flirt
কাৰ্যৰ ভাৰ দিয়া	commission
মোৰ ভাল	I'm good
বহুত ভাল	very good
সেইটো ভাল কথা	that's good
ম‍ই ভাল পাওঁ	I love
তোমাক ভাল পাওঁ	love you
মই ভালে আছোঁ	I'm fine
মোৰ ভাৱ হৈছে	I think
এটা ভাষা কেতিয়াও পৰ্যাপ্ত নহয়	one language is never enough
ঈশ্বৰে মংগল কৰক	god bless you
চকুৰ মণি	pupil
মিছা মতা	lying
আপোনালৈ মনত পৰিছে	miss you
মনে মনে থাক	shut up
ইমান মৰমলগা	so cute
খুন্দা মৰা	crash
ডুব মৰা	dip
জাপ মৰা	jump
জাপ মৰা	leap
তিমি মাছ	whale
আমাৰ মাজতে	among us
তাৰ মাজতে	meanwhile
আসনবোৰৰ মাজেৰে অহা-যোৱা কৰা ঠাই	aisle
বোকা মাটি	clay
অত্যাধিক মাত্ৰাত	bulk
গাহৰি মাংস	pork
আপুনি মোক ভাল পায় নে	do you love me
ধনৰ মোনা	purse
ধনৰ মোনা	wallet
মই মোৰ ডাঙৰ দাদাক ভাল পাওঁ	I love my big brother
মই মোৰ ডাঙৰ বাইদেউক ভাল পাওঁ	I love my big sister
মই মোৰ দেউতাক ভাল পাওঁ	I love my father
সুপ্ৰভাত মোৰ প্ৰিয়তম	good morning my love
হয় মোৰ প্ৰিয়তম	yes my love
মই মোৰ মাক ভাল পাওঁ	I love my mother
মই মোৰ সৰু ভণ্টিক ভাল পাওঁ	I love my little sister
মই মোৰ সৰু ভাইটিক ভাল পাওঁ	I love my little brother
বাৰু মোৰ সোণ	okay my love
জল যাত্ৰা	sailing
স্বাদ যুক্ত	tasty
অদ্ভূত যেন লগা	awkward
টুপনি যোৱা	asleep
মিলি যোৱা	blend
চুচৰি যোৱা	crawl
পচি যোৱা	decay
মৰি যোৱা	die
মূৰ্চা যোৱা	faint
পৰি যোৱা	fall
পৰি যোৱা	fell
বৈ যোৱা	flaw
পলাই যোৱা	flee
শুবলৈ যোৱা	go to bed
ভ্রমণত যোৱা	hike
ফুলি যোৱা	swell
লৈ যোৱা	take away
উঁৱলি যোৱা	worn
পাহৰি যোৱা লোক	fluffy
ধৰি ৰখা	hold
বজাই ৰখা	maintain
মনত ৰখা	remember
ধৰি ৰখা	retain
ধৰি ৰখা	retention
বজাই ৰখা	sustain
কঁকালৰ ৰচী	belt
অব্যাহত ৰাখক	carry on
অব্যাহত ৰাখক	continue
অব্যাহত ৰাখক	resume
প্লেগ ৰোগ	plague
যত্ন লওক	take care
আমাৰ লক্ষ্য: বিশ্বৰ তথ্য সংগঠিত কৰা আৰু ইয়াক সাৰ্বজনীনভাৱে উপলব্ধ আৰু উপযোগী কৰি তোলা	Our mission: to organize the world's information and make it universally accessible and useful.
আমাৰ লক্ষ্য: সকলোকে, সকলোতে বিশ্বখন বুজি পোৱাত সক্ষম কৰা আৰু ভাষাবোৰেৰে নিজকে প্ৰকাশ কৰা	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
আপোনাক লগ পাই ভাল লাগিল	nice to meet you
আপোনাক লগ পাম	see you
আমনি লগা	bore
আঘাত লগা	hurt
ঘাঁ লগা	scratch
চকুত লগা	spectacular
আঘাত লগা	struck
চকুত লগা	stunning
পিয়াহ লগা	thirsty
ভাল লগা কাম	hobby
লগে লগে	immediate
যোৰা লগোৱা	combine
কাজিয়া লাগিছিল	fought
এনে লাগিছে	seem
যেন লাগিছে	seems
আশীৰ্বাদ লাভ কৰা	blessed
লাহে লাহে	gradually
লাহে লাহে	slow
ইয়াত লিখক	Write here
অবিবাহিত লোক	bachelor
শুহি লোৱা	absorb
মানি লোৱা	admit
তুলি লোৱা	adopt
যতন লোৱা	caring
সিদ্ধান্ত লোৱা	decide
আঁকোৱালি লোৱা	embrace
খতিয়ান লোৱা	follow up
জোখ লোৱা	gauge
উদ্যোগ লোৱা	initiative
জোখ লোৱা	measure
পদক্ষেপ লোৱা	move
জিৰণি লোৱা	rest
সিদ্ধান্ত লোৱা হ’ল	decided
টুকি লোৱা হ’ল	noted
ধানজাতীয় শস্য	cereal
পাৰ্ছলে শাক	parsley
মৰমৰ শিক্ষাৰ্থীসকল	Dear students
আপোনাক শুভকামনা জনাইছো	wish you all the best
দিনটো শুভ হওক	have a good day
দিনটো শুভ হওক	have a nice day
আমি শ্বিপমেণ্টটোৰ অনুসন্ধান কৰি থকাৰ সময়ত ধৈৰ্য ধৰাৰ বাবে আপোনাক ধন্যবাদ	Thank you for your patience while we investigate shipment
মৰমৰ সকলোবোৰ	Dear All
কিমান সঘনাই	how often
পুনৰ সঞ্চয় কৰা	restore
কুঁৱলী সনা	foggy
ৰং সনা	paint
শুভ সন্ধিয়া	good evening
বেয়া সপোন	nightmare
ধুনীয়া সপোন দেখা	sweet dreams
আজৰিৰ সময়	leisure
একেলগে সময় অতিবাহিত কৰা	hang out
সেই সময়ত	during
একে সময়তে	simultaneously
কোনো সমস্যা নাই	no problem
ঝাড়ুৰে সৰা	sweep
কিহবাৰ সলনি	instead of
অন্তিম সংস্কাৰ	funeral
গুৰুত্ব সহকাৰে	seriously
ঘৰুৱা সহায়িকা	maid
নৈশ সাজ	supper
কৰিবলৈ সামৰ্থ্য হোৱা	afford
নিত্য সূচী	routine
ঠিক সেইমতে	exactly
ৰংবিহীন সেউজীয়া ধাৰণাবোৰ খঙত শুই আছিল	colorless green ideas slept furiously
মই সেয়াই আশা কৰোঁ	I hope so
শূন্য স্থান	vacuum
নিৰ্দিষ্ট স্থান	venue
ৰিক্ত স্থান	void
উদাহৰণ স্বৰূপে	For example
আপোনাক স্বাগতম	you are welcome
আপোনাক স্বাগতম	you're welcome
আপোনাক স্বাগতম	you’re welcome
আপোনাক স্বাগতম	your welcome
সাৱধান হওক	be careful
ধৰা হওক	suppose
মোৰ হ’ভাৰক্ৰাফ্টখন ঈল মাছেৰে ভৰি আছে	My hovercraft is full of eels
মই হ'ম	I would be
এইটো হয়	it is
সন্তুষ্ট হ’ল	convinced
কৰা হ’ল	done
বিক্ৰী হ’ল	sold
থিয় হ'ল	stood
কি হ’ল	what happened
দহ হাজাৰ	ten thousand
এপাত হাতৰ অলংকাৰ	bracelet
কেতিয়াও হাৰ নামানিব	never give up
বিক্ৰী হৈ গ’ল	sold out
খৰচ হৈ গ’ল	spent
হাজিৰ হৈছিল	appeared
আৰম্ভ হৈছিল	began
ব্যৰ্থ হৈছিল	failed
দিয়া হৈছে	given
তেওঁ হৈছে	he is
ৰখা হৈছে	kept
অৰ্থ হৈছে	means
অৰ্থ হৈছে	meant
তাই হৈছে	she is
সেইটো হৈছে	that is
তেওঁলোক হৈছে	they are
যিজন হৈছে	who is
লিখা হৈছে	written
আপুনি হৈছে	you are
সংযুক্ত হৈ থকা	associated
বিস্তাৰ হৈ থকা	extent
পূৰ্ণ হৈ থকা	filled
সুৰক্ষিত হৈ থাকক	stay safe
অতিষ্ঠ হৈ পৰিছে	fed up
ঠিক হৈ যাব	It's okay
উন্নত হোৱা	advanced
বিৰক্ত হোৱা	annoyed
প্ৰকট হোৱা	appear
বিৰক্ত হোৱা	bored
জন্ম হোৱা	born
পতন হোৱা	collapse
জয়ী হোৱা	conquer
সমুখীন হোৱা	cope
পাৰ হোৱা	cross
পলম হোৱা	delayed
হতাশ হোৱা	depressed
মৃত্যু হোৱা	died
অক্ষম হোৱা	disabled
বিব্ৰত হোৱা	embarrassed
বিকশিত হোৱা	evolve
উত্তেজিত হোৱা	excited
ব্যৰ্থ হোৱা	fail
বিফল হোৱা	failure
যোগ্য হোৱা	fit
বিকশিত হোৱা	grow
আৰোগ্য হোৱা	heal
মিলন হোৱা	mingle
ঋণী হোৱা	owe
প্ৰস্তুত হোৱা	prepare
উপনীত হোৱা	reach
উদয় হোৱা	rise
থিয় হোৱা	stand
সফল হোৱা	succeed
আচৰিত হোৱা	surprised
সফল হোৱা	thrive
