abandoned	सोडून वचप
student	विद्यार्थी
studying	अभ्यास करता
study	अभ्यास
stuff	सामायन
stunning	मनभुलोवणें
stunning	मादक
stupid	अक्कलशून्य
stupid	मंद
stupid	मूर्ख
style	शैली
st	सॅ.
subject	विशय
submission	सुवादीन करप
submit	सुवादीन करप
substance	पदार्थ
substitute	प्रतिस्थापित करप
substitute	बदली
subtle	सुक्षीम
succeed	जैतिवंत
succeed	येस
successful	येसस्वी
success	येस
success	विजय
such as	जशें की
such	जशें
such	तशें
suck	शोशण
suddenly	अकस्मात
suddenly	अचकीत
sudden	अचकीत
suffering	कश्ट
suffering	दुख्ख
suffer	पिडा
sufficient	फावोशें
sugar	साकर
suggestion	सुचोवणी
suggest	सुचोवचें
suitable	उपयुक्त
suitable	योग्य
suitable	समा आसपी
suitcase	सुटकेस
suit	जुळप
suit	देमांद
suit	सूट
summary	सारांश
summer	गीम
summit	परिशद
summit	समीट
sum	बेरीज
sum	रक्कम
sunday	आयतार
sunny	वताळ
sunset	सुर्यास्त
sunshine	वत
sun	सूर्य
superior	श्रेश्ठ
supervisor	पर्यवेक्षक
super	उत्तम
supper	रातचें जेवण
supply	पुरवठो
support	तेंको
supposed	अनुमान काडप
supposed	जर
suppose	गृहीत धरप
sure	निश्चीत
surface	पृष्ठभाग
surgery	शस्त्रक्रिया
surge	कल्लोळ
surname	आडनांव
surprised	अजाप
surprise	अजाप
surrender	शरणागती
surrender	सरेंडर
surrounding	सरभोंवतण
surveillance	देखरेख
surveillance	पाळत
survey	सर्वेेक्षण
survive	जिवें
suspect	दुबावीत
suspended	निलंबीत
suspicious	दुबावीत
sustainability	शाश्वती
sustainable	शाश्वत
sustain	शाश्वत
swag	गांठवल
swallow	गिळप
swap	सान्न मारप
swear	सोपूत
sweater	स्वेटर
sweat	घाम
sweep	झाडप
sweet dreams	बरें सपन पडूं
sweetheart	मोगाळ
sweet tooth	दुदा दांत
sweet	गोड
swelling	सुजप
swell	सूज
swimming	पेंवप
swim	पेंवप
swing	झोपाळो
swing	धोलप
switch	स्विच
swollen	सूज आयिल्लें
sword	तलवार
symbol	चिन्न
sympathy	दया
symptoms	लक्षणां
system	प्रणाली
system	यंत्रणा
table	मेज
tackle	हाताळप
tag	टॅग
tail	शेपडी
take away	घेवन वच (टेक अवे)
take care	काळजी घे
taken	व्हेेलें
take off	उड्डाण
take off	वयर वचप
take	व्हर
talkative	चर्चात्मक
talkative	वाचाळ
talk	उलोवणें
talk	चर्चा
tall	उंच
tape	टेप
tap	टॅप करचें
tap	नळ
target	मोख
target	लक्ष्य
task	काम
task	कार्य
taste	रूच
tasty	रुचीचें
taught	शिकोवप
teacher	शिक्षक
teach	शिकोवप
team	पंगड
tears	दुकां
tear	दूक
tease	छळप
tea	च्या
technology	तंत्रज्ञान
teeth	दांत
tell me	उलयात
tell me	म्हाका सांगात
tell	सांगप
temperature	तापमान
temper	पाजप
temper	सभाव
temple	देवूळ
temporary	तत्पुरतें
tenant	टेनंट
tendency	क्षमता
tender	मोव
tender	मोवसार
tend	कलप
tense	काळ
tension	ताण
tentative	तत्पुरतें
ten thousand	धा हजार
tent	तंबू
ten	धा
terms	अटी
term	शब्द
term	संज्ञा
terrible	कश्टदायक
terrific	भिरांकूळ
territory	प्रदेश
test	चाचणी
test	परिक्षा
text	लिखीत
Thanks for using our app	आमचें ऍप वापरिल्ल्या खातीर देव बरें करूं
thanks	दिनवास
thanks	देव बरें करूं
Thank you for your patience while we investigate shipment	आमी शिपमँटची तपासणी करता मेरेन तुमी धरिल्ल्या पासिंयेंसा बद्दल देव बरें करूं
thank you so much	तुमकां देव बरें करूं
thank you very much	तुका देव बरें करूं
thank you very much	तुमकां
thank you very much	दिनवास
thank you	तुका देव बरें करूं
thank you	दिनवास
thank	दिनवास
than	मागीर
than	हाचे परस
that is	तें आसा
that's good	तें उत्तम
that	तें
that	थंय
theft	चोरी
their	तांगेले
their	तांचे
theme	माथाळो
themselves	ते
them	तांकां
them	ते
then	मागीर
theory	प्रमेय
there are	इतले आसात
therefore	ताकालागून
there is	थंय आसा
there	तेवटेन
there	थंय
there	थंयसर
these	हे
they are	ते आसात
they	ते
the	दी
thick	दाट
thief	चोर
thigh	जांघ
things	गजाली
thing	गजाल
think	दिसप
think	विचार कर
thin	बारीक
third	तिसरें
thirsty	तानेल्लें
thirteen	तेरा
thirty	तीस
this is	हें आसा
this	हें
thoroughly	पुरायेन
thoroughly	सारकें
thorough	पूर्ण
those	तें
thoughtful	कल्पक
thoughtful	विचारी
thoughts	विचार
thought	कल्पना
thought	विचार
though	तरीय
thousand	हजार
thread	धागो
threaten	धमकी दिवप
threat	जोखीम
threat	धोको
three	तीन
threshold	दरवटो
threshold	हुमरो
thrilled	शिरशिरी हाडपी
thrive	उत्कर्श
throat	गळो
throat	ताळो
throughout	अखेरमेरेन
throughout	साद्दंत
through	मार्फत
through	वरवीं
throw	उडोवप
throw	शेवटीवप
thumb	आखाणो
thumb	आंगठो
thunder	विज चमकप
Thursday	बिरेस्तार
thus	ताका लागून
tick	खुणा करची
tide	ल्हार
tidy	वेवस्थीत
tie	गांठ
tie	टाय
tiger	वाग
tight	घट्ट
Tigrinya	तिग्रिन्या
time	वेळ
timid	भिवकुरें
tiny	बारीक
tips	टिप्स
tip	टीप
tip	तोंक
tired	पुरो जालां
tire	टायर
tissue	ऊती
tissue	तंतू
title	शीर्षक
toast	टोस्ट
to be	जातलें
to be	शक्य
today	आयज
toddler	ल्हान भुरगें
toddler	शेंबडें पोर
toes	बोटां
together	एकठांय
toilet	टॉयलेट
toilet	मुतारी
told	सांगलें
tolerance	सोंंसप
tolerate	सहन
tomato	तोमाट
tomorrow	फाल्यां
tongue	जीभ
tonight	आयज रातचें
took	घेतलें
tools	उपकरणा
tools	साधनां
tool	साधन
tooth	दांत
too	खूब
topic	विशय
top	वयर
torn	पिंदप
torture	छळ
total	एकूण
touch	स्पर्श
tough	कठीण
tour	टूर
towards	खातीर
towards	लागीं
toward	कडेन
towel	तुवालो
town	नगर
toxic	विख
toxic	विखारी
toxic	विष
toxic	विषारी
to	कडेन
to	प्रती
to	लागीं
trace	माग
track	माग
trade	वेपार
traditional	पारंपारीक
tradition	परंपरा
traffic	येरादारी
trail	खुबी
training	प्रशिक्षण
train	ट्रेन
train	प्रशिक्षण
traits	खुबी
traits	लक्षणां
trait	खुबी
transfer	स्थलांतर
transition	स्थित्यंतर
translate	अणकार करचो
transparent	पारदर्शक
transportation	येरादारी
transport	येरादारी
trap	जाळें
trap	फांस
trash	गोबोर
trauma	आवरो उडप
travel	प्रवास
travel	भोंवडी
tray	ट्रे
treasure	खजानो
treatment	उपचार
treat	मेजवानी
tree	झाड
tremendous	प्रचंड
trend	कल
trend	ट्रेंड
trial	ट्रायल
trial	प्रयोग
trick	हिकमत
tried	पुरो जाल्लें
trigger	ट्रीगर
trigger	नेट दिवप
trigger	वाडोवप
trim	बारीक करप
trip	पर्यटन
trip	प्रवास
trip	फेरी
trouble	कश्ट
trouble	त्रास
trousers	कालसांव
truck	ट्रक
true	खरें
trunk	तोंड
trunk	सोंड
trust	ट्रस्ट
trust	भंरवसो
trust	विस्वास
truth	खरेपण
truth	सत
try	येत्न करचो
Tsonga	सोंगा
tube	ट्यूब
tube	नळी
Tuesday	मंगळार
tuition	ट्युशन
turkey	टर्की
turmeric	हळद
turn	वळण
turn	वळप
turtle	कासव
tutor	ट्युटोर
twelve	बारा
twenty-one	एकवीस
twenty	वीस
twice	दोनदां
twist	मोडण
Twi	ट्वी
two	दोन
type	प्रकार
typical	नमुनेदार
ugly	कुरूप
ugly	विद्रूप
ultimate	अंतीम
umbrella	सत्री
unable	असक्षम
uncle	काका
uncle	मामा
unconscious	अज्ञात
underneath	पोंदा
underrated	देंवपी दर
understand	समजलें
understood	समजलें
under	खाला
unfortunately	दुर्दैवान
uniform	एकसमान
uniform	गणवेश
unique	अद्वितीय
unique	एकमेव
unit	युनिट
university	विद्यापिठ
unknown	अज्ञात
unknown	अनवळखी
unless	ना जाल्यार
unless	बगर
unless	शिवाय
until	तेमेरेन
until	तोमेरेन
unusual	अपूर्व
unusual	वेगळें
update	अपडेट
upgrade	अपग्रेड करचें
upon	वयर
upon	विशीं
upset	अस्वस्थ
up to you	तुमचे कडेन आसा
up	वयर
urban	नगर
urgent	ताकतिकेचें
urge	आग्रो करप
urge	उर्बां
urge	नेट दिवप
used	वापरिल्लें
useful	उपेगाचें
useless	निरर्थक
use	वापर
usually	चड करून
usual	सदचें
us	आमकां
us	आमी
utility	उपयुक्तताय
vacation	सुटी
vaccination	वासीन
vaccine	वासीन
vacuum	व्हॅक्युम
vague	अस्पश्ट
valid	वैध
valley	देंगण
valuable	मोलादीक
value	मान
value	मोल
variety	जात
variety	प्रकार
various	विंगडविंगड
various	साबार
vary	फरक
vase	वाज
vast	विपूल
vegetables	भाजयो
vegetable	भाजी
vehicle	वाहन
vendor	विक्रेतो
venom	वीश
venture	आस्थापन
venue	थळ
verify	खात्री करची
versatile	अष्टपैलू
version	आवृत्ती
vertical	उबे
very good	अतिउत्तम
very good	खूब बरें
very	खूब
vessel	आयदन
via	वरवीं
vibes	भावनीक स्थिती
vibe	भावना
vicious	दुश्ट
victim	पिडेस्त
video	व्हिडियो
view	दृश्य करचें
view	देखावो
view	पळोवप
village	गांव
villain	दुश्ट
vinegar	विनेगर
vintage	द्राक्षांचो हंगाम
violence	हिंसा
violent	हिंसक
viral	पातळप
viral	वायरल
virgin	पवित्र
virtual	आभासी
virtual	व्हर्च्युअल
virtue	सदगूण
vision	नदर
visit	भेट दिवची
visual	दृश्य
visual	व्हिज्युअल
vital	म्हत्वाचें
vivid	हूबेहूब
vocabulary	उतरावळ
vocabulary	शब्दसंग्रह
voice	आवाज
void	पोकळी
void	शुन्य
volume	आवाज
volume	वॉल्युम
volunteer	स्वयंसेवी
vomit	ओंकारी
vulnerable	भेद्य
wages	वेतन
wage	पगार
wage	वेतन
waist	कमर
waiter	वेटर
waiting	वाट पळयता
wait	वाट पळोवची
wake up	जागें जायात
wake	जागे जायात
walking	चलप
walk	चलप
walk	भोंवप
wallet	वॉलेट
wall	वणट
wander	भोंवप
wanna	इत्सीत
wanted	जाय
want	जाय
wardrobe	आलमार
warehouse	गुदांव
warm	हूनहूनीत
warning	शिटकावणी
warn	शिटकावणी
warrior	झुजारी
warrior	योध्दो
war	झुज
war	युध्द
wash	धुंवप
waste	कोयर
waste	वादीव
was	आशिल्लो
watch	घड्याळ
watch	पळोवप
watermelon	काळींग
water	उदक
wave	तरंग
wave	लाट
way	प्रमाणें
way	वाट
weakness	कमजोरी
weak	कमजोर
weak	दुबळें
wealthy	गिरेस्त
wealthy	संपत्तीवान
wealth	कल्याण
wealth	संपत्ती
we are	आमी आसात
wearing	घालां
wearing	नेसण
wear	घालप
wear	नेसप
weather	हवामान
we can	आमी करूंक शकतात
wedding	लग्न
Wednesday	बुधवार
weed	वाल
weekend	सप्तकीसुटी
week	सप्तक
weight	वजन
weird	विचित्र
welcome	येवकार
welfare	कल्याण
well done	बरें केलें
Well	कल्याण
Well	बरें
Well	हीत
went	गेल्लें
went	गेल्लो
were	आशिल्लीं
west	अस्तंत
wet	ओले
wet	वलें
we	आमी
whale	देवमासो
what about you	तुमचे बद्दल किदें
what are you doing now	आतां तुमी किदें करतात
what are you doing right now	आतां सद्या तू किदें करता
what are you doing	तुमचो वेवसाय किदें
what are you doing	तुमी किदें करतात
what do you do for a living	तुमी जीणेखातीर किदें करतात
what do you do	करता
what do you do	तुमी
what do you do	तू किदें करतात
what do you mean	तुका किदें म्हणचें आसा
what do you mean	तुमकां
what do you want	तुका किदें जाय
whatever	किदेंय
what happened	किदें जालें
what is this	हें किदें
what is your job	तुमी किदें काम करतात
what is your name	तुमचें नांव किदें
what is	किदें आसा
what's up	किदें चल्लां
what's your name	तुजें नांव किदें
what	किदें
wheat	गंव
wheel	चाक
whenever	केन्नाय
when	केन्ना
where are you from	तुमी खंयचे
where are you now	तुमी आतां खंय आसात
where are you	तुमी खंय आसात
where are you	तूं खंय आसा
whereas	जाल्यार
where do you live	तुमी खंयचे
where is	जाल्यार
where	खंय
whether	एकतर
which	खंयचें
while	जाल्यार
while	जो वेर
whisper	कुजबूज
whistle	शिटी
white	धवें
who are you	तुमी कोण
who is this	हो कोण आसा
who is	कोण तो
whole	पुराय
whom	कोण
whose	कोणाचें
whose	तागेले
who	कोण
why not	किद्याक न्हय
why	किद्याक
wicked	पातकी
wide	रुंद
wide	विस्तृत
widow	जनेल
width	रुंदाय
width	रुंदी
wife	बायल
wild	रानटी
willing	इत्सा आसप
willing	कामना
will	इत्सा
window	जनेल
windy	वादळी
wind	वारें
wine	वायन
winter	शिंयाळी
win	जैत
wipe	पुसप
wire	तार
wisdom	शाणेपण
wise	बुदवंत
wise	हूशार
wise	हे प्रमाणे
wish you all the best	तुका 'ऑल दी बॅस्ट' म्हणटा
wish	इत्सा
wish	शुभेच्छा दिवप
witch	चेटकीण
withdrawal	पयशे काडप
withdrawal	फाटीं घेवप
withdraw	काडप
withdraw	फाटीं घेवप
within	अंतर्गत
within	भितर
without	बगर
without	शिवाय
with	वरवीं
with	वांगडा
with	सयत
witness	गवाय
witty	फाकाणेर
wolf	लांडगो
woman	बायल
women	बायल
wonderful	सुंदर
wonder	आश्चर्य
won't	लागना
won	जैत
won	स्वताचें
wood	मदेर
wood	लाकूड
wool	लोकर
words	शब्द
word	शब्द
working	वावुरपी
work out	कसरत
work out	काम
work	काम
world	जग
world	संवसार
worm	किडो
worn	जीर्ण
worried	हुस्को
worry	हुस्को
worse	वायट
worship	प्रार्थना
worst	वायट
worst	सामकें हीन
worth it	वालोर
worthy	मोलादीक
worth	मोल
worth	वालोर
would	मागणें उक्तावपी
wound	घाय
wound	जखम
Wow	वा
wrap	गुठलावप
wrath	क्रोध
wrist	मनगट
Write here	हांगा बरोवचें
write	बरोवप
write	लिखाण
write	लेखन
writing	लिखाण
written	लिखीत
wrong	चूक
wrote	बरयलें
yard	यार्ड
yawn	जांभय
Yeah	हय
years	वर्सां
year	वर्स
yeast	बुरशी
yellow	हळदुवें
yell	आड्डप
yes baby	हय बाय
yes dear	हय मोगा
yes honey	हय मोगा
yes my love	हय म्हजे मोगा
yes of course	हय खरेंच
yesterday	काल
Yes	हय
yet	अजून
yield	उत्पन्न
you are beautiful	तुमी सुंदर आसात
you are so beautiful	तूं खूब सुंदर आसा
you are welcome	तुमकां येवकार
you are	तुमी आसात
you can	तुमी करूंक शकतात
You know	तुमी जाणात
young	तरनाटो
young	नेणार
you’re welcome	तुमकां येवकार
you're welcome	तुमकां सदांच येवकार
yourself	तुमी
your welcome	तुमकां येवकार
your	तुमचें
youth	तरनाटो
you too	तुमकांय बी
you	तुमी
you	तूं
yummy	रुच्चीक
zero	शुन्य
