abandoned	si wogblẽ ɖi
week	kᴐsiɖa
weight	kpekpeme
weird	to vovo
welcome	woezɔ̃
welfare	dedienɔnɔ
well done	ewɔ nyuie
Well	Vudo
we	mí
went	yi
were	wonye
west	ɣetodoƒe
wet	ƒo tsi
whale	boso
what about you	ke wò ya ɖɛ
what are you doing now	nu ka wɔm nèle fifia
what are you doing	nu ka wɔm nèle
what are you doing right now	nu ka wɔm nèle fifia
what do you do	dɔ ka wɔm nèle
what do you do for a living	dɔ kae nèwɔna
what do you mean	egᴐme ɖe
what do you want	nu ka dim nèle
whatever	esi wònye ko
what happened	nu kae dzᴐ
what is	nu kae nye
what is this	nu kae nye esia
what is your job	dɔ kae le asiwò
what is your name	ŋkɔwò ɖɛ
what	nu ka
what's up	nukae le dzɔdzɔm
what's your name	ŋkɔwò ɖɛ
wheat	lu
wheel	kekefɔti
whenever	ɣe sia ɣi
when	ɣe ka ɣi
where	afi ka
where are you	afi kae nèle
where are you from	afi kae nètso
where are you now	afi ka nèle
whereas	evᴐ la
where do you live	afi kae wò aƒeme le
where is	afi kae
whether	ɖe
which	nu ka
while	esi me
whisper	dali
whistle	kpe
white	ɣi
who	ame ka
who are you	ame kae nenye
who is	ame kae nye
who is this	ame kae nye esia
whole	blibo
whom	ame si
whose	ame ka tᴐ
why not	aleke wɔ
why	nu ka ta
wicked	tagbɔsesẽtɔ
wide	keke
widow	ahosi
width	kekeme
wife	srɔ̃ nyᴐnu
wild	le gbe me
willing	le lᴐlᴐm
will	lɔlɔ̃nu
window	fesre
wind	ya
windy	le ya ƒom
win	ɖu dzi
wine	wain
winter	vuvᴐŋᴐli
wipe	tutu
wire	galɛ
wisdom	nunya
wise	nya nu
wish	didi
wish you all the best	medi dzɔgbenyuie na wò
witch	adzetɔ
withdrawal	ɖe le eme
withdraw	ɖee ɖa
within	wo dome
with	kple
without	manᴐmee
witness	gbɔdzɔgbɔdzɔ
witty	nyanu
wolf	amegaxi
woman	nyɔnu
women	nyɔnuwo
wonderful	wᴐ nuku
wonder	nukunu
won	ɖu dzi
won't	maawɔe o
wood	ati
wool	alẽfu
word	nya
words	nyawo
work	dɔ
working	le dɔwɔm
work out	de kame
world	xexeame
worm	ŋɔvi
worn	nyi
worried	tsi dzi
worry	dzitsitsi
worse	gblẽ wu
worship	subɔsubɔ
worst	si gblẽ wu
worth it	nyo nɛ
worth	xɔ asi
worthy	dze
wound	abi
Wow	eii
wrap	bla
wrath	adã
wrist	alɔnu
Write here	Ŋlɔe ɖe afi sia
write	ŋlᴐ
writing	nuŋɔŋlɔ
written	wo ŋlɔ
wrong	mede o
wrote	ŋlɔ
yard	dzidzenu
yawn	haha
Yeah	Ee
year	ƒe
years	ƒewo
yeast	nuʋãnu
yell	do ɣli
yellow	aŋgbaɖiɖi
yes baby	ɛ̃ vinye
yes dear	ɛ̃ lɔlɔ̃tɔ
Yes	Ɛ̃
yes honey	ɛ̃ lᴐlɔ̃tᴐ
yes my love	ɛ̃ nye lᴐlɔ̃
yes of course	tututu
yesterday	tsᴐ si va yi
yet	haɖe o
yield	tse
you are beautiful	edze tugbe
you are	ènye
you are so beautiful	edze tugbe ŋutɔ
you are welcome	wòezᴐ
you can	ate ŋu
You know	Ènya
young	nye ɖevi
you're welcome	wòe zɔ
you’re welcome	wòezɔ
yourself	wò ŋutɔ
your welcome	wòe wɔ̃
your	wò
youth	sɔhɛ
you too	wo hã
you	wò
yummy	vivi
zero	naneke o
