a	ɖé
surgery	azɔwanú
surname	nyikɔ
surprise	é kpaca mɛ
surprised	é kpácá mì
surrender	ɖŏ gbè
surrounding	kpá
surveillance	nukúnkpinkpan
survey	alasidùdo
survey	bà kpɔ̀n
survive	nɔ́ nɔ gbɛ
suspect	oun dido
suspended	è ɖè
suspicious	ɖiɖó
sustain	dŏ alɔ
sustainability	tekowo
sustainable	hwénù
swag	glo
swallow	nù
swap	ɖyɔ
swear	xwlé
sweat	kanmɛ
sweater	awu
sweep	ɖì
sweet	mɛfifa
sweet dreams	amlɔ ɖagbe
sweet tooth	wewé
sweetheart	alɔví ce
swell	do jɔ́hɔn
swelling	ɖì
swim	xù
swimming	tɔ́n
swing	ɖŏ wŭ
switch	ti ta
switch	nu tita
swollen	mi
sword	hwǐ
symbol	nùjlɛdonǔwu
sympathy	wènú
symptoms	nùjlɛdonǔwu
system	azɔwanú
table	távo
tackle	kɔ́
tag	àcidikwin
tail	xù
take	hɛn
take away	ɖè
take care	kpé nukún wǔ
take off	ɖé kpò
taken	è yí
talk	xòfinflàn
talk	kè nu
talkative	xóxótɔ́
tall	Gǎn
tap	ponpi
tape	lɛ́ɛ
target	jlɔ́ do ji
target	atà
task	azɔ tɔn
taste	dɔ
taste	ni dɔ
tasty	jokpé
taught	kplɔ́n nǔ mɛ
tea	tii
teach	kplɔ́n mɛ
teacher	mɛsi
team	kplékplé
tear	ɖì
tears	avǐ
tease	hwàn
technology	azɔwanú
teeth	aɖǔ
tell	ɖɔ
tell me	ɖɔ nú mì
temper	xomɛsin
temperature	hùn
temple	tɛmpli
temporary	hweɖelɛnu
ten	wǒ
ten thousand	afatɔ́n
tenant	xɔtɔ́
tend	ɖŏ mε
tendency	nǔ ɖò jijɛ wɛ
tender	nùɖíɖó
tense	nùɖé
tension	gǎndido
tent	goxɔ
tentative	tinténkpɔ́n
term	hwenu
terms	akpáxwé lɛ
terrible	nǔ nyanya
terrific	é nyɔ́ kpɔ́n
territory	tò ɔ
test	tɛ́n kpɔ́n
text	wemafɔ
than	hú
thank	kú dó
thank you	un dó kú nú we
Thank you for your patience while we investigate shipment	mi dó kú nú mǐ ɖó sɔxwixwe e mi ɖó hwenu e mǐ ɖò nǔ kpinkpɛn lɛ gbéjé wɛ é
thank you so much	kú dó nú mi
thank you very much	kú dó nú mi
thanks	un dó kú nú we
Thanks for using our app	Kpeɖe mi ɖɔ mi na zán app mǐtɔn
that	é
that is	é wɛ nyí
that's good	é nyɔ́
the	ɔ
the	kpò
theft	ajogbé
their	yetɔn
them	ye
theme	xota
themselves	yeɖesunɔ
then	enɛ gudo ɔ
theory	nùkplɔnmɛ
there	ɖò finɛ
there are	é ɖò
there is	é ɖò
therefore	enɛ wu ɔ
these	enɛ lɛ
they	ye
they are	ye wɛ
thick	kpiti
thief	ajotɔ́
thigh	alɔví
thin	nùɖé
thing	nù
things	nǔ lɛ
think	lin nù
third	atɔngɔ́ ɔ́
thirsty	kɔ xú
thirteen	kanwe afɔtɔn
thirty	xwè kanɖé
this	nù élɔ́
this is	nù elɔ wɛ
thorough	gùngɔ́n
thoroughly	baà
those	enɛ lɛ
though	é ɖó mɔ̌ có
thought	linlin
thoughtful	ayi ɖó nǔ wu
thoughts	linlin lɛ
thousand	afatɔ́n
thread	nù
threat	xεsi
threaten	ɖ'azɔn
three	atɔn
threshold	alihénnù
thrilled	xomɛ hun mì
thrive	vlɔ́n kàn
throat	gbekàn
through	gbɔn
throughout	gbɔn fí bǐ
throw	kɔ́n nyi
thumb	alɔví
thunder	jiɖiɖe
Thursday	lamisigbè
thus	enɛ wu ɔ
tick	kpàxɔ́
tide	xù
tidy	nùɖíɖó
tie	ɖŏ wŭ
tie	kɔ́n
tiger	kpɔ́n
tight	kpíkpé
Tigrinya	Tigrinya
time	hwenu
timid	xlonɔ
tiny	kpɛví
tip	nùɖé
tips	sewadɔ́
tire	ci kɔ́ nù me
tired	ci kɔ́
tissue	s'vɔ́
title	xota tɔn
to	ɖò
to be	wà
toast	xɔta
today	égbé
toddler	yɔkpwéyɔkpwé
toes	afɔkpa
together	mǐ ɖó kpɔ́
toilet	àcɔ́
told	ɖɔ
tolerance	ɖekpo
tolerate	yi gbè nù me
tomato	tomati
tomorrow	sɔ
tongue	gbè
tonight	zanzan elɔ
too	nyɛ lɔ
took	yí
tool	azɔwanú
tools	azɔwanú
tooth	aɖù
top	mɛ
topic	xota
torn	gblá
torture	gbɔdónúmɛ
total	nùkúnnúmɛ
touch	dŏ alɔ
tough	hwɛhwɛ
tour	ali yiyi
toward	é dido
towards	yì yì
towel	alɔkpa
town	toxo
toxic	gboke
trace	nùɖé
track	ali
trade	sà
trade	ajɔ̀
tradition	hwɛndo
traditional	hwɛndo
traffic	ajɔ́
trail	ali
train	ayihun
training	azɔ̌ kplɔnkplɔn
trait	jujɔ́
traits	nùjɔnǔ
transfer	ɖén
transition	ɖyɔ̀n
translate	lilɛ̀
transparent	nyénminyénmi
transport	hɛn
transportation	sɛ́ nú
trap	mɔtin
trash	zunkɔ́
trauma	awě
travel	yi tomè
tray	xàgbàjé
treasure	dɔkun
treat	jɛ nukɔn
treatment	nukùnkpénùwù
tree	atín
tremendous	sisɔ́sisɔ
trend	nǔ ɖò jijɛ wɛ
trial	hwɛjijɔ
trick	mɔtin
tried	tɛ́n kpɔ́n
trigger	ɖŏ
trigger	fé nùdé do me
trim	ɖù
trip	ali yiyi
trouble	tagba
trousers	gàn
truck	mɔ̆to
TRUE	ÐÁÍ
trunk	xoto
trust	kpanzɔn
trust	ayijeɖó
truth	nugbǒ
try	tɛ́n kpɔ́n
Tsonga	Tsonga
tube	gbɔ́nbà
Tuesday	Azǎn atɔngɔ
tuition	wemaxɔmɛ
turkey	tɔ́n
turmeric	kuù
turn	yí
turtle	akpatà logozo
tutor	mɛsi
twelve	wè
twenty	xwè kanɖé
twenty-one	xwè kanɖé ɖokpó
Twi	Twi
twice	azɔn wè
twist	sloslo
two	wè
type	alɔkpa
typical	nùjlɛdonǔwu
ugly	wŭ
ultimate	nùɖíɖó gudo tɔn
umbrella	sunsun
unable	kpéwú
uncle	tɔ́n
unconscious	xomevɔnɔ
under	asà
underneath	ɖò wezun jí
underrated	ma kpé nukun wù
understand	mɔ nú jɛ mɛ
understood	mɔ nukúnnú jɛ mɛ
unfortunately	é blawu ɖɔ
uniform	awu ɖokpo ɖokpo
unique	nǔ ɖokpo ɔ
unit	bǔninɔ
university	wemaxɔmɛ
unknown	è tuùn ǎ
unless	é má nyí
until	káká jɛ
unusual	nùɖíɖó ɖé
up	yì jǐ
up to you	é ɖò hwi sí
update	ɖŏ mε
update	ɖŏ mε o
upgrade	ɖi yo
upgrade	suɖe ji
upon	ɖò è nù
upset	ɖŏ
urban	toxo tɔn
urge	nu fiyɔ̌n
urge	fiyɔ̌n
urgent	nǔ ɖò dandan
us	mǐ
use	zǎn
use	nùwalɔ
used	è zán
useful	nǔ ɖagbe
useless	nùɖíɖó ɖé ǎ
usual	xololo
usually	ayi tɔn gbadó
utility	azɔwanú
vacation	gbɔjɛ
vaccination	azɔnkwín
vaccine	azɔnkwín
vacuum	nùɖé
vague	nùjlɛdonǔwu
valid	do ganji
valley	tɔdo
valuable	xɔ akwɛ
value	axi
value	gbédé
variety	alɔkpa
various	alɔkpa alɔkpa
vary	jàn
vase	adùn
vast	gbló
vegetable	atín
vegetables	atín
vehicle	mɔ̆to
vendor	nùɖúɖútɔ́
venom	àdivé
venture	azɔwanú
venue	fí e è na bló nǔ lɛ ɖè é
verify	kpɔ́n
versatile	nùɖúɖú
version	nùwlanwlan
vertical	ɖŏ
very	é ɖò taji tawun
very good	é nyɔ́ tawun
vessel	tɔjihun
via	gbɔn
vibe	Xwiɖè
vibes	Xwiɖè lɛ
vicious	nùblíblí
victim	mε wε
video	vidio
view	kpɔ́n
village	gletoxo
villain	mɛ nyanya
vinegar	vinagɛ
vintage	xwè tɔn
violence	adǎn
violent	adǎn
viral	azɔnkwín
virgin	ɖyɔvǐ
virtual	nùjlɛdonǔwu
virtue	jijɔ ɖagbe
vision	nukúnɖíɖó
visit	yì kpɔ́n
visual	nǔwukpikpé
vital	nùɖíɖó taji
vivid	gbédé
vocabulary	xógbe
voice	gbè
void	nùɖé ǎ
volume	hlɔnhlɔn
volunteer	mɛɖòɖó
vomit	vǐ vi
vomit	vǐ
vulnerable	mɛ e ɖò wǔvɛ́ mɔ wɛ
wage	azɔxɔ
wages	azɔxɔ
waist	gàn
wait	mi nɔ te
waiter	mɛ̌si
waiting	ɖŏ te
wake	fɔ́n
wake up	fɔ́n
walk	alizɔ́n
walk	zun zɔ́nlin
walking	zɔnlin ɖi
wall	xú
wallet	akwɛ́kpo
wander	ɖì
wanna	jló
want	jló
wanted	jló
war	ahwan
wardrobe	alumaà
warehouse	nùɖúɖú
warm	zo zo
warm	é wun mi yon
warn	xwi ɖí
warning	xlɛ́n
warrior	ahwanvu
was	é nyí
wash	klɔ̀
waste	ɖú akpà
waste	nùgùgù
watch	klɔ́
water	nukɔn nukɔntɔn ɔ
watermelon	nùsúnnú
wave	jĭ
way	ali
we	mǐ
we are	mǐ wɛ
we can	mǐ sixu
weak	gbɔjɛ
weakness	gǎnmaɖó
wealth	dɔkun
wealthy	dɔkunnɔ
wear	dŏ wŭ
wearing	dó
weather	jɔhɔnhɔn
weather	gbɛmɛ
wedding	alɔwliwli
Wednesday	Azǎnzǎn
weed	nùxuxu
week	aklunɔzángbe
weekend	gbɔjɛzán gbe
weight	dà
weight	gàndànù
weird	dŏ wŭ
welcome	yí mε
welfare	nyɔ́ná
Well	é nyɔ́
well done	azɔwanú ɖagbe
went	yì
were	ɖo
west	gbadahweji
wet	kpɔ́ncɔɔ́n
whale	hweví
what	etɛ
what about you	hwi lɔ gbɔn
what are you doing	nɛ̌ a ka ɖe gbɔn
what are you doing now	etɛ́ a ka ɖo wà wɛ din
what are you doing right now	etɛ a ka ɖo wiwa wɛ din
what do you do	etɛ a nɔ wà
what do you do for a living	azɔ̌ tɛ́ a ka nɔ́ wa dó mɔ akwɛ́
what do you mean	étɛ́ ɖɔ wɛ a ka ɖe
what do you want	etɛ a jló
what happened	etɛ jɛ
what is	etɛ nyí
what is this	etɛ ka wɛ
what is your job	azɔ̌ tɛ́ a nɔ wà
what is your name	nyikɔ towe
what's up	etɛ ka ɖò jijɛ wɛ
what's your name	nyikɔ towe
whatever	nǔ ɖebǔ
wheat	jinukún
wheel	abɔ̀
when	hwetɛnu
whenever	hweɖebǔnu
where	fítɛ́
where are you	fítɛ́ a ɖè
where are you from	fítɛ́ a ka gosín
where are you now	fitɛ a ɖè din
where do you live	fitɛ a nɔ nɔ
where is	fitɛ wɛ
whereas	ɖó
whether	ɛɛn
which	etɛ
while	hwenu e
while	é ɖò có
whisper	hlùn nù do
whistle	kpetè
white	wěwé
who	mɛ̌
who are you	mɛ̌ wɛ a ka nyí
who is	mɛ e nyí
who is this	mɛ̌ wɛ nyí mɛ élɔ́
whole	wěziza
whom	mɛ
whose	mɛ̌ tɔn
why	etɛwu
why not	etɛwu ma ka nyí mɔ̌ ǎ
wicked	mɛ nyanya
wide	vlogodoó
widow	asúkúsi
width	gbò
wife	asì
wild	gběkanlin
will	jlǒ
willing	jlǒ
win	ɖu ɖ'é jí
wind	jɔhɔn
window	finɛtinu
windy	jɔhɔn
wine	vɛɛn
winter	finɛ
wipe	Xwiɖè
wire	wuntun
wisdom	nùnywɛ
wise	nùnywɛ
wish	déxixó
wish you all the best	Un ɖo nǔ ɖagbe lɛ́ɛ byɔ́ we wɛ
witch	azɛtɔ́
with	kpo
withdraw	ɖè sín tò ɔ mɛ
withdrawal	ɖyɔ́n
within	ɖò mɛ
without	ma ɖó
witness	kúnnuɖetɔ́
witness	úɖe kúnnu
witty	ahàn
wolf	wulu
woman	nyɔnu
women	nyɔnu lɛ
won	ɖu ɖ'é jí
won't	é ná nyí mɔ̌ ǎ
wonder	nǔ kpácá
wonderful	é nyɔ́ ɖɛkpɛ
wood	atín
wool	wùn
word	xógbe
words	xógbe lɛ
work	azɔ̌
work out	azɔ̀
working	azɔ̀ wiwà
world	gbɛ̀ ɔ
worm	zozo
worn	dɔ́ nù me dayi
worried	adohu adohu
worry	ɖŏ ado
worse	nyanya hú mɔ̌
worship	sèn
worst	nǔ nyanya hugǎn
worth	sixu nyí
worth it	é jɛxa
worthy	é jɛxa
would	mi jló
wound	nùɖé
Wow	ɖŏ
wrap	cyɔ̀n
wrath	xomɛsin
wrist	alɔví
write	wlan
Write here	Wlǎn nǔ elɔ
writing	wlan
written	wlan
wrong	nùwanyido
wrote	wlan
yard	xɔmɛ
yawn	jɔhɔn
yawn	kɔ́n
Yeah	Ɛɛn
year	xwè
years	xwè
yeast	wɔ́xùxùfɔ́nnù
yell	xlɛ́
yellow	xwɛ
Yes	Ɛɛn
yes baby	ɛɛn vǐví
yes dear	Ɛɛn, vǐví ce
yes honey	ɛɛn, vǐví
yes my love	ɛɛn xɔ́ntɔn ce
yes of course	ɛɛn
yesterday	sɔ́
yet	é kpo ɖò mɔ̌
yield	nùyiyà
you	hwi
you are	a wɛ
you are beautiful	a nyɔ́ ɖɛkpɛ
you are so beautiful	a nyɔ́ ɖɛkpɛ tawun
you are welcome	mi yí gbè
you can	a sixu
You know	A tuùn
you too	hwi lɔ
you're welcome	É ɖò dandan
young	mɛ winnyawinnya
your	kpɔn
your welcome	mi yí mì
yourself	hwiɖesunɔ
youth	ɖyɔvǐ
you’re welcome	É nyí nǔtí ǎ
you’re welcome	Mi yí gbè nú mì
yummy	é nyɔ́
zero	nùɖé ǎ
