а	a
авалияблъи	priority
туснахъ	prison
бахчараб	privacy
жиндирабго	private
цогидазеялдаса цӀикӀкӀараб ихтияр	privilege
привилегия	privilege
шапакъат	prize
балагьунбихьила	probably
авари	problem
къагӀид	procedure
халат гьабизе	proceed
цебетӀей	process
биччазе	produce
нигӀмат	product
гьаби	production
пиша	profession
махщел	profession
пишаяб	professional
рикӀкӀадасан бихьулеб къватӀисеб сипат	profile
пайдаяб	profit
мунпагӀатаб	profit
хайираб	profit
гъваридаб	profound
цебетӀей	progress
проект	project
бихьулеб	prominent
рагӀи кьезе	promise
кӀодо гьавизе	promote
тӀадегӀанаб даражаялде вахинавизе	promote
даража борхизабизе	promote
цӀикӀкӀинаби	promotion
эхеде бахинаби	promotion
борхизаби	promotion
тӀадегӀан борхи	promotion
хехаб	prompt
распростертый	prone
склонный	prone
местоимения	pronouns
каламалъул гьаркьал абулеб къагӀида	pronunciation
гьаркьал рахъи	pronunciation
хӀужжа	proof
дурусаб	proper
битӀараб	proper
мухӀканго	properly
хасият-гӀамал бихьизаби	properties
бетӀергьанлъи	property
бокьун букӀин лъазаби	proposal
цебе рехун бихьулеб сундулниги сурат	prospect
тӀегьай	prosperity
тӀегьалев	prosperous
хьихьизе	protect
чӀухӀизе	proud
ритӀухълъи хӀужжабаздалъун чӀезабизе	prove
чӀезабизе	provide
цебе лъуна	provided
административияб бутӀа	province
чӀезаби	provision
хьезаби	provision
букӀинаби	provision
балухлъиялде вахин	puberty
гӀемерал гӀадамалги ракӀарун гьабулеб	public
цӀазе	pull
бухьине	pull
хъабахъ	pumpkin
дурусав	punctual
цӀалдохъан	pupil
къвачӀа	purchase
бацӀцӀадаб	pure
фиолетовый	purple
гӀуж	purpose
бухча	purse
хадув лъугьине	pursue
хадур лъугьин	pursuit
цуйзе	push
лъезе	put
махшел	qualification
гьунар	qualification
квалификация	qualification
устарлъи	qualification
хасият	quality
къадар	quantity
карантин	quarantine
къел кквезе	quarrel
дагӀбадизе	quarrel
къацандизе	quarrel
ункъил бутӀа	quarter
Кечуа	Quechua
къираласул чӀужу	queen
хӀикматаб	queer
тамашаяб	queer
гӀажаибаб	queer
цӀех-рех	query
суал	question
кьер	queue
мухъ	queue
хехав	quick
хехго	quickly
шурун	quiet
юргъан	quilt
ине	quit
гӀураб	quite
контролияб	quiz
халгьабиялъул гьикъи	quiz
щибго хисизабичӀого тексталдаса босараб кесек	quotation
щибго хисизабичӀого тексталдаса босараб кесек	quote
кавычкаби	quotes
рукъалъул гӀанкӀ	rabbit
рекеризе тӀами	race
ццидахин	rage
кутакаб ццин бахъин	rage
цӀад	rain
Борзизабизе	raise
борхараб	raised
векерана	ran
ракӀалда гьечӀого	random
чин	range
даража	range
категория	range
алхунареб	rapid
дурусаб	rapid
мухӀканаб	rapid
гӀужда гьабулеб	rapid
хехго	rapidly
лъедераб	rare
лъедераб	rarely
сыпь	rash
нука	rat
процент	rate
такрарлъи	rate
хехго	rather
бухьен	ratio
гьоркьоблъи	ratio
санагӀатаб	rational
мунпагӀатаб	rational
мустахӀикъаб	rational
гӀакълуялда рекъон кколеб	rational
регьел бугеб	raw
регьел хӀалаб	raw
рэ	re
гӀунтӀизе	reach
щвезе	reached
реакция	reaction
цӀале	read
цӀали	reading
хӀадураб	ready
гьанжесеб	real
хӀакъикъияб	reality
ургъун бахъичӀеб жо	reality
хӀакъикъат	reality
унгоунголъунги бугеб	reality
билълъинабизе	realize
тӀубараб	realized
унгозгийищ	really
нахъисеб	rear
гӀилла	reason
гӀакълу бугеб	reasonable
гӀакъилаб	reasonable
ракӀалде щвезабизе	recall
чек	receipt
тукадаса босараб къайиялъухъ гӀарац кьеялъул кагъат	receipt
щвезе	receive
босизе	receive
щвезе	received
босизе	received
дагьаб цебегӀан ккараб	recent
дагьаб цебегӀа	recently
разилъизе бегьулеб	reception
къабул гьабизе	reception
рецепт	recipe
ургъичӀого гьабураб	reckless
тохаб	reckless
ахӀмакъаб	reckless
пикру гьабичӀого гьабураб	reckless
рикӀкӀин	recognition
батӀа бахъизе лъазе	recognize
рекомендация	recommend
лъикӀаблъун рихьизарурал	recommended
хъвазе	record
цӀилъизе	recover
рукӀалиде ккезаби	recovery
бахъун чӀезаби	recovery
гъоркь букӀахъе ккезаби	recovery
бокӀонбитӀ	rectangle
багӀараб	red
бахъун чӀезабизе	redeem
рукӀалиде ккезабизе	redeem
гъоркь букӀахъе гьабизе	redeem
мунагь чури	redemption
тӀаса лъугьинави	redemption
гьитӀин гьабизе	reduce
къваригӀунелдаса цӀикӀкӀараб	redundant
гьарзаяб	redundant
гӀунги тӀокӀаб	redundant
гӀемераб	redundant
ссылка	refer
нугӀлъиялъе бачараб текст	reference
нахъе буссинаби	reflect
нахъчӀвай	reflection
кочӀол щибаб куплеталда хадуб хисичӀого ахӀулеб бутӀа	refrain
холодильник	refrigerator
нахъ буссинабизе	refund
нахъе кьезе	refund
бецӀизе	refund
нахъчӀвазе	refuse
инкар гьабун чӀана	refused
нахъчӀвана	refused
пикру кьей	regard
гӀахьалаб	regarding
гьелъухъ балагьичӀого	regardless
уважениегун	regards
регион	region
регистр	register
ракӀалда бухьана	regret
низамалда лъугьунеб	regular
тартибалда рекъон	regularly
жиндир гӀужда	regularly
нахъе цузе	reject
гӀагарлъи букӀине	relate
бухьараб	related
цоцадехун бугеб гьоркьоблъи (бухьен	relationship
хурхен)	relationship
гӀагарав чи	relative
гӀагарал	relatives
отдыхать	relax
борчӀизабизе	release
къватӀиве виччарав	released
рекъолеб	relevant
данде кколеб	relevant
битӀун кколеб	relevant
йигей	reliable
божи вугев	reliable
тӀадагьлъи	relief
тӀадагьлъизабизе	relieve
тӀадагь гьабизе	relieve
бигьалъигун	relieved
дин	religion
диналъул	religious
динияб	religious
дин гьабулеб	religious
чара гьечӀеб	reluctant
мугъ чӀвазе	rely
чӀезе	remain
хутӀарав	remaining
гьайбатаб	remarkable
машгьураб	remarkable
тадбир	remedy
гӀамал	remedy
къагӀида	remedy
чара	remedy
ракӀалда букӀине	remember
кӀочон тунгутӀизе	remember
ракӀалде щвезаби	remind
ракӀалде щвезаби	reminder
лъазаби	reminder
довегьанав	remote
бахъизе	remove
гьабизе	render
бахъизе	rent
къачӀай	repair
такрар гьабизе	repeat
хисизабизе	replace
жаваб кьезе	reply
отчет	report
вакиллъи	represent
сий	reputation
цӀар	reputation
къадру	reputation
тӀалаб	request
тӀалабалда рекъон	require
тӀад лъун бугеб	required
хвасар гьабизе	rescue
цӀех-рех гьабураб  хӀалтӀи	research
релълъенлъи букӀине	resemble
релълъараб букӀине	resemble
ццин бахъин	resentment
къвакӀгьаби	reservation
бронировать	reserve
ивниги гӀумру гьабун чӀарав чи	resident
гӀодов чӀейалъе заявка кьезе	resign
щулалъи	resilience
къвакӀи	resilience
хьвагӀолареб	resilient
чӀолеб	resilient
данде чӀезе	resist
дандечӀей гьаби	resistance
дандечӀей	resistance
ихтияр	resolution
изну	resolution
решать	resolve
пайда босизе	resort
ресурсы	resources
хӀурмат гьабизе	respect
жаваб кьезе	respond
жаваб	response
жавабчилъи	responsibility
жавабчилъи	responsible
хӀалчвайи	rest
халхъи гьабе гӀумригун	rest in peace
ресторан	restaurant
бахъун чӀезабизе	restore
рукӀалиде ккезабизе	restore
гъоркь букӀахъе гьабизе	restore
цӀикӀкӀине биччалареб алат	restrict
хӀасил	result
хӀасил	results
хӀасил	resume
бичари	retail
ккойзе	retain
кквей	retention
гьоркь кквей	retention
тӀаса кквей	retention
пенсиялде арав	retired
нахъе къай	retreat
босизе	retrieve
тӀадбуссинаби	return
нахъекьей	return
нахъбуссинаби	return
рагьизе	reveal
рагьараб	revealed
рецӀел	revenge
къисас	revenge
доход	revenue
харж	revenue
тӀаде бачӀунеб хайир	revenue
нахъехун балагьараб	reverse
бер щвезаби	review
балагьи	review
хал гьаби	review
битӀизабизе	revise
ревизия	revision
хисасвери	revolution
гӀуцӀиялда кколеб кӀудияб беки	revolution
шапакъат	reward
рекъей	rhythm
хьабалухъагӀучӀ	rib
дугу	rice
бечелъи	rich
хвасар гьаризе	rid
бачине	ride
гӀадаллъарав	ridiculous
гӀадалав	ridiculous
кванараб	right
хӀанч	right now
къвакӀараб	rigid
мургьо	ring
чуризе	rinse
багъа-бачари	riot
бихъизе	rip
барщараб	ripe
кодобе босизе	rise
хӀинкъи бугеб	risk
дандеяв	rival
гӀор	river
сапар	road
нух	road
бежизе	roast
щулияб	robust
къуватаб	robust
къвакӀараб	robust
гамачӀ	rock
мокъ	rod
роль	role
гури	roll
тӀох	roof
комната	room
кьибил	root
квар	rope
турараб	rotten
къвакӀго	rough
хъачӀго	roughly
адаб тун	roughly
гургинаб	round
маршрут	route
рутина	routine
очередь	row
лъулъайзе	rub
резина	rubber
чороклъи	rubbish
рищни-къул	rubbish
хъачӀго	rude
тӀанса	rug
магӀишат биххизаби	ruin
къагӀида	rule
хӀучч	ruler
мухъ	ruler
къагӀида	rules
рекери	run
рекери	running
росдал(аб)	rural
кого-что рещтӀинавизе	rush
къвачӀа	sack
таргьа	sack
динияб	sacred
бацӀцӀадаб	sacred
къурбан	sacrifice
хӀинкъи гьечӀолъи	safe
хӀинкъи гьечӀеб боржин	safe flight
паракъалъи	safety
хӀинкъи гьечӀолъи	safety
тӀадегӀанаб лъай бугев чи	sage
абуна	said
лъедезе	sail
парусияб спорт	sailing
гӀоло	sake
харж	salary
алапа	salary
захӀматхӀакъ	salary
бичизе	sale
лосось	salmon
цӀан	salt
чанго	same
гъобго жо	Same here
мисал	sample
тайпа	sample
сали	sand
Санскрит	Sanskrit
иришватлъи бугеб	sarcastic
инжит гьавулеб	sarcastic
тӀадрелъанхъи гьоркьоб бугеб	sarcastic
ццидалаб	sarcastic
нич гьечӀеб	sassy
нич тӀагӀараб	sassy
шамат къо	sat
рази гьави	satisfaction
разияв	satisfied
къабул гьабизе	satisfy
данде кколеб рекъолеб	satisfying
шамат къо	Saturday
колбаса	sausage
гӀалхулаб	savage
цӀунизе	save
бихьана	saw
абизе	say
шкала	scale
хӀалихьалъи	scam
нахъегӀанлъи	scam
къадарлъи	scam
гьерсихъанлъи	scam
ругънал хутӀараб гӀуж	scar
дагьаб	scarce
мискинаб	scarce
мукъсанаб	scarce
загӀипаб	scarce
хӀинкъизавурал	scared
хӀинкъизавурай	scared
хӀинкъизавурав	scared
габурбухь	scarf
хӀинкъи бугеб	scary
цояб цояздаса рикӀкӀадаб	scattered
сцена	scene
тӀабигӀаталъул сипатсурат	scenery
махӀ	scent
хъвараб заман	schedule
школа	school
гӀелму	science
гӀелму бугев чи	scientist
цӀаларал чагӀи	scientists
кӀвекьмахх	scissors
вагъизе	scold
объем	scope
рикӀкӀен	score
хӀисаб	score
хӀос	scrap
хъарсизе	scratch
чӀичӀиди	scream
гьаракь	scream
гӀергӀеди	scream
ахӀи	scream
экран	screen
бурав	screw
сценаялде рахъине кколеб низамги заманги бихьизабун пьесаялъул гӀахьалчагӀазе хъвараб сияхӀ	script
ралъад	sea
noun -ралъдал гьой	seal
verb - мугьру чӀвазе	seal
ралагьизе	search
лъагӀалил бутӀа	season
гӀодор чӀолеб бакӀ	seat
кӀиабилеб	second
балъголъи	secret
балъгояб жо	secret
раздел	section
бикьи	section
хӀинкъи гьечӀеб	secure
божилъи бугев	secure
паракъатаб	secure
охрана	security
бихьула	see
дида мун вихьула	see you
дагь нахъ ртхьила	see you later
рихьила	see you soon
метер рихьила	see you tomorrow
мугь	seed
балагьизе	seek
батизе	seek
ккана	seem
дида ккола	seems
берда бихьулеб	seen
тӀатараб	seen
бихьулеб	seen
бахъизе	seize
хӀалица бахъи	seizure
лъедераб	seldom
бищизе	select
живго	self
дунго	self
мунго	self
живго сах гьави	self healing
эгоистлъи	selfish
бичизе	sell
битӀизе	send
битӀе дие дурго сурат	send me your picture
гӀумруялъ кӀудияй	senior
кӀудияй	senior
магӀна	sense
гӀакъилаб	sensible
рекӀее бокьи	sensitive
битӀизе	sent
предложение	sentence
ккои	sentences
батӀа гьабизе	separate
бикьизе	separate
Сипиди	Sepedi
сентябрь	september
тартиб буголъи	sequence
къотӀел	series
цикл	series
кӀвар бугев	serious
унгоялъги	seriously
къваригӀел тӀубазе	serve
хӀажалъи	serve
хъулухъ гьабизе	service
гьоркьоб къотӀичӀого бихьизабулеб щибниги жо	session
сеанс	session
лъезе	set
гӀуцӀизе	set up
роценал	setting
решить	settle
анкьго	seven
анцӀила анкьго	seventeen
лъабкъоялда анцӀго	seventy
Чанго	several
захӀматаб	severe
букъизе	sew
сх	sh
батӀалъи	shade
рагӀад	shadow
кӀобокӀизе	shake
кӀутӀизе	shake
shall	shall
къокъаб	shallow
нич	shame
черх	shape
къаркъала	shape
бикьизе	share
бегӀераб	sharp
дой	she
долъул буго	she has
дой	she is
цӀулал рукъ	shed
кьегӀер	sheep
тӀамах	sheet
буцрал хъарщи	shelf
кьогъен	shelf
тахча	shelf
къотӀел	shelf
хъал	shell
гъат	shell
чӀезе бегьулеб бакӀ	shelter
хъалхъан	shield
бугелъуса багъаризаби	shift
канлъи кьезе	shine
гвангъизабизе	shine
нур кьезе	shine
гама	ship
къайи баччи	shipping
рубашка	shirt
хьитал	shoes
кьвагьизе	shoot
тукен	shop
бичун боси	shopping
рагӀал	shore
къокъаб	short
ками	shortage
гӀунгутӀи	shortage
кьвагьана	shot
шуд	should
гъеж	shoulder
ахӀдезе	shout
чӀичӀидизе	shout
бихьизабизе	show
дида бихье	show me
душ	shower
креветка	shrimp
гьитӀин гьаби	shrink
данде чӀвазе	shut
кӀал къай	shut up
нечезе	shy
вац	sibling
яц	sibling
яц-вац	siblings
унтун	sick
рахъ	side
хӀухьел цӀай	sigh
бихьун бажари	sight
бихьи	sight
машгьурал жал риккизе	sightseeing
гӀуж	sign
гъолбас гьаби	signature
хӀакъикъияб	significant
сихӀкъотӀи	silence
гӀодоцараб	silent
сасараб	silent
чиллайдул кьуричӀел рихьал	silk
гьавав	silly
гьагай	silly
гьагал	silly
гӀарац	silver
релъараб	similar
гӀабдал	simp
бигьаяб	simple
гӀадатияб	simple
цого заманалда байбихьизе	simultaneously
добасан	since
ракӀ бацӀцӀадав	sincere
битӀун	sincerely
ракӀ-ракӀалъ	sincerely
ракӀ бацӀцӀадго	sincerely
кечӀ ахӀизе	sing
кочӀохъан	singer
янгъизаб	single
раса	sink
ле	Sir
сэр	Sir
яц	sister
васасул лъади	sister in law
гӀодов чӀезе	sit
сайт	site
ахӀвал-хӀал	situation
анлъго	six
анцӀила анлъго	sixteen
лъабкъого	sixty
кӀодолъи-гьитӀинлъи	size
ругьунлъи	skill
кӀолеб жо	skills
тӀом	skin
тӀеренаб	skinny
къадараб	skinny
азараб	skinny
хӀалакъаб	skinny
биччазе	skip
юбка	skirt
зоб	sky
лагъ	slave
кьижизе	sleep
кьижизе	sleeping
макьу рекӀараб	sleepy
макьихараб	sleepy
къвал	sleeve
кусочек	slice
бакӀ хисизе	slide
цуйзе	slide
цо чанго	slightly
дагь	slightly
гьайбатаб	slim
чӀурканаб	slim
чергесаб лагаялъул	slim
лага-черх рекъараб	slim
хъищтизе	slip
гъвел	slope
хьибил	slope
цӀекӀлъи	slot
хӀенцав	slow
хьадарго	slowly
гӀодобе биччан	slowly
хӀинцго	slowly
гьитӀинаб	small
гӀакъилаб	smart
махӀ	smell
гьимазе	smile
кӀкӀуй	smoke
тамахаб	smooth
гьакълида цадахъ щибниги кванай	snack
цӀадалхӀама	snail
борохь	snake
тӀинкъи	snap
гӀазу	snow
и	so
берцинлъи	so cute
цъакъ добегӀан	so far
биччизабизе	soak
сапун	soap
мехтичӀев	sober
вигьарав	sober
футболалъул	soccer
гьезул гьоркьоблъиялда бухьараб	social
гӀадамазул гӀумруялда	social
рукӀа-рахъиналъул гӀаммал тарихиял шартӀаз данде гьарурал гӀадамазул цолъи	society
носки	socks
тамахаб	soft
программное обеспечение	software
рухӀ	soil
бичана	sold
бичун лъараб	sold out
бичараб	sold out
солдат	soldier
тӀикъва	sole
къвакӀараб	solid
хӀукму гьаби	solution
хӀукму гьабизе	solve
чанго	some
щив вугониги	somebody
кинали	somehow
цояв	someone
цо щибалиго	something
цо-цо мехалъ	sometimes
гьоркьо-гьоркьоб	sometimes
мех-мехалъ	sometimes
кечӀ	song
кватӀичӀого	soon
разиял	sophisticated
разияв	sophisticated
разияй	sophisticated
Сорани	Sorani
унтарав	sore
унтараб шекъер	sore throat
къварилъи	sorrow
пашманлъи	sorrow
тӀаса лъугьа	Sorry
къокъаб	sort
балагьула букӀана	sought
рухӀ	soul
кӀиабилеб рахъ	soulmate
гьаракь	sound
чурпа	soup
цӀекӀаб	sour
теориялъул тӀоцебесеб аслу	source
юг	south
космос	space
спам	spam
серун ккойзе	span
испанский	Spanish
чӀобогояб	spare
гаргадизе	speak
кӀалъазе	speak
хасаб	special
тайпа	species
хасиятаб	specific
кутакалда асар гьабулеб	spectacular
калам	speech
гаргар	speech
кӀалъай	speech
вуцӀцӀун чӀарав	speechless
кӀалъаларев	speechless
хехлъи	speed
сихӀрудугӀа	spell
сихӀру	spell
хвезабуна	spend
хвезабураб	spent
бухӀараб	spicy
заз	spike
серизабизе	spin
шпинат	spinach
рухӀ	spirit
тузе	spit
цӀакъ берцинаб	splendid
бикьизе	split
хвезе	spoil
хвараб	spoiled
хвезабураб	spoiled
жагъаллъараб	spoiled
жибго жиндасанго	spontaneous
балухъ	spoon
гъуд	spoon
бугьун	spoon
бакӀ	spot
рос	spouse
чӀужу	spouse
лъади	spouse
тӀибитӀизе	spread
их	spring
ункъбокӀон	square
мерхьине	squeeze
осьминог	squid
белка	squirrel
ст	st
къабизе	stab
щулияб	stable
цо хӀалалда чӀараб	stable
гохӀ	stack
гъуни	stack
хӀалтӀухъаби	staff
этап	stage
перен. тӀанкӀ	stain
болъо	stairs
мали	stairs
къадар	stake
хӀуби	stalk
гӀучӀ	stalk
гьитӀинаб тукен	stall
мугьру	stamp
бахъун чӀезе	stand
стандарт	standard
цӀва	star
байбихьизе	start
байбихьи	started
вакъарав	starving
хӀукумат	state
лъазаби	statement
станция	station
статуя	statue
халкъазда гьоркьосеб ихтияралда бугеб хӀал	status
чӀезе	stay
хӀинкъи гьечӀолъиялда вукӀа	stay safe
кидаго гӀадин	steady
бежараб гьан	steak
бикъизе	steal
хӀухьел	steam
чаран	steel
эхебе балагьараб	steep
кьибил	stem
гали	step
тӀил	stick
къвакӀарав	stiff
цоги	still
хеч	sting
бахилав	stingy
барахщарав	stingy
къарумав	stingy
багъаризе	stir
къайи	stock
бикъараб	stolen
бакӀвали	stomach
кванирукъ	stomach
гамачӀ	stone
чӀараб	stood
гӀемераб мех бараб	stood
бакӀу	stool
чӀа	stop
щибниги цӀунизе бараб бакӀ	storage
тукен	store
кутакаб гьуригун чвахунцӀад	storm
тарих	story
батарейка	stove
битӀараб	straight
гӀадатияб	straightforward
ругьунлъизе	strain
хӀикматаб	strange
тамашаяб	strange
гӀажаибаб	strange
лъаларев чи	stranger
стратегия	strategy
сум	straw
солома	straw
хьутӀ	straw
чӀахӀияб гӀодокари	strawberry
кверкъи	strawberry
чӀоло	streak
къезе	stream
биччазе	stream
къватӀ	street
хӀал	strength
стресс	stress
цӀан кӀодо гьабизе	stretch
битӀараб	strict
хӀалтӀи рехун тей	strike
забастовка	strike
чӀваби	string
чӀоло	strip
мухъ	strip
лъураб хӀалалъ церехун ине	strive
цо рахъалдехун ралагьун ине	strive
инсульт	stroke
гучаб	strong
кьабуна	struck
гӀуцӀи	structure
хӀаракат бахъизе	struggle
захӀмалъигун данде чӀваразе	struggling
тӀирарав	stubborn
мекъав	stubborn
тӀирун чӀарав	stubborn
мукӀурлъуларев	stubborn
жиндирабго ккун чӀарав	stubborn
къан хутӀизе	stuck
студент	student
цӀали	study
лъазаби	studying
цӀех-рех гьаби	studying
къайи	stuff
кутакалда гучаб	stunning
цӀакъ кутакаб	stunning
хаган хутӀизарулеб	stunning
кӀудияб асар гьабулеб	stunning
ахӀмакъаб	stupid
гӀантаб	stupid
къагӀида	style
куц	style
ГӀадан чи	subject
мутӀигӀ гьаби	submission
къезе	submit
жо	substance
бижи	substitute
кӀудияб гӀей	substitute
тӀеренаб	subtle
цере тӀезе	succeed
бажари	success
бажари бугеб	successful
гьадинаб	such
гьединав	such as
хахизе	suck
тохлъукье	sudden
нагагьаб	sudden
ракӀалда гьечӀого	suddenly
унтул гӀазаб тӀаде ккезе	suffer
рухӀел бихьи	suffering
гӀазаб-гӀакъуба	suffering
гӀураб	sufficient
гӀезесеб	sufficient
чакар	sugar
тӀаса бищизе рес кьезе	suggest
хал гьабизе	suggest
къасд букӀин	suggestion
ракӀалда букӀин	suggestion
костюм	suit
рекъолеб	suitable
чемодан	suitcase
гӀаммаб къадар	sum
хӀасил	summary
рии	summer
бетӀер	summit
борхалъи	summit
тӀогь	summit
бакъ	sun
воскресенье	sunday
бакъул	sunny
бакъ тӀерхьин	sunset
тӀерхьин	sunset
щинкӀи	sunset
бакъул канлъи	sunshine
цӀакъ лъикӀаб	super
бутӀрул	superior
хӀакимзаби	superior
начальникзаби	superior
нухмалъи гьабулев чи	supervisor
боголиквен	supper
хьезабизе	supply
рекъезабун лъезе	supply
лъезе	supply
тезе	supply
кверчӀвазе	support
ракӀалда букӀине	suppose
кколев	supposed
ракӀчӀей	sure
тӀасияб рахъ	surface
кӀодолъи	surge
гӀемерлъи	surge
цо тӀадкъаялда гьарулел рагъулал ишал	surgery
операция	surgery
фамилия	surname
ракӀалдаго гьечӀеб жо	surprise
ракӀалдаго букӀинчӀеб	surprise
гӀажаиблъи	surprised
амашалъи	surprised
риххун хутӀи	surprised
хӀайранлъи	surprised
хӀикмалъи	surprised
мукӀурлъичӀого вукӀине	surrender
мутӀигӀлъичӀого	surrender
сверун бугеб	surrounding
балагьи	surveillance
цӀех-рех	survey
хвечӀого хутӀизе	survive
щаклъизе	suspect
езавурав	suspended
ч	suspended
божи гьечӀеб	suspicious
гьоркьоб къотӀизе тунгутӀизе	sustain
хвезе тунгутӀизе	sustain
щулалъи	sustainability
къвакӀи	sustainability
хьвагӀолареб	sustainable
щулаго чӀолеб	sustainable
хьвагӀезе	swag
гьендезе	swag
къурчӀизе	swallow
хисизе	swap
вагъизе	swear
семизе	swear
хьандезе	swear
гӀетӀ	sweat
хьухьараб квасул гурде	sweater
лъухьизе	sweep
гьуинаб	sweet
гьуинаб макьу	sweet dreams
гьуинаб жо бокьулев чи	sweet tooth
хирияв	sweetheart
хирияй	sweetheart
лъадал тӀалъиялда гӀисинабго сорой	swell
гьорораб бак	swelling
лъедезе	swim
лъим ххазе	swim
лъим ххай	swimming
лъедей	swimming
кӀибикӀизе	swing
синабулеб жо	switch
лъадал	swollen
хвалчен	sword
ишара	symbol
ракӀунти	sympathy
гурхӀел	sympathy
гӀаламат къватӀибе загьирлъи	symptoms
низам	system
стол	table
кквезе	tackle
ккун чӀезе	tackle
дамгъа	tag
рачӀ	tail
босе	take
къватӀибе квен	take away
милат	take care
бахъизе	take off
босарав	taken
кӀалъай	talk
гӀемер кӀалъазе бокьулев	talkative
халатаб	tall
крант	tap
чалу	tape
гӀебаб чӀоло	tape
ишан	target
гӀуж	target
хӀалтӀи	task
тату	taste
тӀагӀам бугеб	tasty
тату бугеб	tasty
малъана	taught
чай	tea
малъизе	teach
мугӀалим	teacher
буюрухъ	team
магӀу	tear
магӀу	tears
валъаргъине	tease
технологии	technology
цаби	teeth
абизе	tell
абе диде	tell me
гӀамал	temper
температура	temperature
кӀалгӀа	temple
болжал цӀан	temporary
заманалъ	temporary
дагьаб мехалъ	temporary
анцӀго	ten
анцӀ-азарго	ten thousand
кибниги гӀумру гьабулев чи	tenant
мурад	tend
къасд	tend
мурад	tendency
къасд	tendency
тамахго	tender
хӀеренго	tender
цӀараб	tense
дугъдараб	tense
дугъдазаби	tension
хӀалуцинаби	tension
чадир	tent
хӀалбихьиялъе гьабураб	tentative
цӀараб мех	term
болжал	term
шартӀ	terms
ракӀ гъанцӀизабулеб	terrible
гӀасияб	terrible
ракӀ хӀинкъизабулеб	terrible
ракӀ зунизабулеб	terrible
кутакалда гучаб	terrific
цӀакъ кутакаб	terrific
ракь	territory
бакӀ	territory
тест	test
текст	text
цинги	than
баркала	thank
баркала	thank you
баркала дур сабруялъухъ нижеца цӀех-рахи гьабулеб заманаялда	Thank you for your patience while we investigate shipment
баркала дуе кӀудияб	thank you so much
кӀудияб баркала дуе	thank you very much
баркала	thanks
баркала нтжер приложение хӀалтӀизе гьабуралъухъ	Thanks for using our app
щиб	that
гьедин батани	that is
гьеб лъикӀ буго	that's good
зе	the
бикъи	theft
дозул	their
дол	them
тема	theme
жинцго жалго	themselves
цинги	then
теория	theory
доба	there
буго	there are
гьаниб	there is
гьдинлъидал	therefore
дол	these
гъол	they
гъол руго	they are
къарияб	thick
бицатаб	thick
цӀогьор	thief
мачӀчӀ	thigh
Азараб	thin
къайи	thing
жо	thing
къайи	things
ургъизе	think
лъабабилеб	third
къечей	thirsty
анцӀила лъабго	thirteen
лъеберго	thirty
гьаб	this
гьаб буго	this is
мухӀканаб	thorough
рагӀаракьанде щвараб	thorough
мухӀканго	thoroughly
камилго	thoroughly
рагӀаракьанде щун	thoroughly
тӀад чӀун	thoroughly
дозул	those
амма	though
пикра	thought
тӀад лъикӀ ургъулев	thoughtful
ургъи	thoughts
азарго	thousand
кун	thread
хӀинкъи	threat
хӀинкъи кьей	threat
хӀинкъизабизе	threaten
лъабго	three
кӀалтӀу	threshold
бихха-хочараб	thrilled
рахӀат хвараб	thrilled
цере тӀезе	thrive
щекъер	throat
гьоркьосан	through
гьоркьосан	throughout
речӀчӀизе	throw
кӀудияб килищ	thumb
зоб гъугъай	thunder
хамиз къо	Thursday
гьединлъидал	thus
ишара	tick
эхеде бахин	tide
мухӀканлъи	tidy
дуруслъи	tidy
галстук	tie
цӀиркъ	tiger
дугъдараб	tight
Тигринья	Tigrinya
заман	time
хӀинкъа-къарав	timid
нахъе къан чӀолев	timid
гьитӀинаб	tiny
чайдул гӀарац	tip
бигьалъи	tips
шина	tire
свакана	tired
квералрацӀцӀ	tissue
титул	title
хӀурматияб цӀар	title
в	to
букӀине	to be
лъилниги хӀурматалда гьабулеб кӀалъай	toast
лълъар борхулаго	toast
жакъа	today
илъанхъизу жубараб лъимер	toddler
хӀатӀазул килщал	toes
цадахъ	together
туалет	toilet
абуна	told
яхӀ гьабизе кӀвей	tolerance
къохӀехьей	tolerance
хӀехьезе	tolerate
сабру гьабизе	tolerate
яхӀ гьабизе	tolerate
помидор	tomato
метер	tomorrow
мацӀ	tongue
жакъа къасе	tonight
гьейги	too
гьевги	too
гьебги	too
дунги	too
мунги	too
босизе	took
тӀагӀел	tool
тӀагӀел	tools
гӀус	tooth
ца	tooth
тӀоцебесеб	top
бищунго лъикӀаб	top
тема	topic
бихъ-бихъараб	torn
тӀутӀураб	torn
гӀазаб кьей	torture
сундуего гӀаммаб	total
киназего	total
гӀахьалаб	total
гъвазе	touch
захӀматго	tough
цо свери	tour
тур	tour
к	toward
к	towards
гьумербацӀцӀ	towel
пригородалъул	town
рагӀалда бугеб	town
шагьаралда аскӀоб	town
загьруяб	toxic
лъакӀ	trace
хал кквезе	track
даран-базар	trade
гӀадат	tradition
гӀадатлъун билълъараб	traditional
трафик	traffic
бехъерхъизе	trail
поезд	train
хӀадурлъизе	training
хӀучч	trait
мухъ	trait
хаслъи	traits
батӀалъи	traits
трансфер	transfer
переход	transition
переводить	translate
гъорлъан канлъи бихьулеб	transparent
къайи ва гӀадамал раччулебщинаб жо	transport
гӀадамал раччулебщинаб жо	transportation
гьин	trap
къотен	trap
къор	trap
гудур	trap
чороклъи	trash
рищни	trash
