Langai	a
grai hpum ai lam	obesity
hkan nang ai	obey
ninghkap ai	object
masa	objective
arai	objective
lit	obligation
magap tawn ai	obscure
n dan dawng ai	obscure
n dan leng ai	obscure
masat masa galaw lu ai lam	observation
maram masam yu ai lam	observation
yu ai	observe
mada ai	observe
mayawn ai	obsessed
masa mat ai	obsessed
myit chyung ai lam	obsession
myit hta rawng mat ai lam	obsession
prat madang ndep ai	obsolete
akyu nrawng ai	obsolete
numdaw numdan	obstacle
dingbai dinla	obstacle
hkap la lu ai	obtain
lu la ai	obtained
shakut lu la ai	obtained
dan leng ai	obvious
dan dawng ai	obvious
adan aleng	obviously
dan leng ai	obviously
masa hta hkan n na	occasionally
kan bau bungli	occupation
shang nga ai	occupied
shadu la ai	occupied
shara la kau ai	occupied
sawn la ai	occupied
byin pru wa ai	occur
byin pru wa ai	occurred
rawt byin wa ai	occurs
byin pru wa ai	occurs
nammukdara	ocean
hka dan	ocean
kala ta	october
lak lai ai	odd
tai	odd
tai sha	odds
atai re ai ni	odds
a	of
na	of
she rai	of course
jahkring ai	off
hkring ai	off
n ra ai	offensive
chye ai	offensive
hkungga jaw ai	offer
jaw ai	offer
rung	office
tara shang ai lam	official
tara shang ai rai	official
Jahkring hkring	often
kaja re i	oh really
sau	oil
namman	oil
Mai sa	ok
hkrak sai tsaw	ok dear
mai sa nja wa e	ok honey
maisa tsawra	ok my love
Mai kaja sai	okay
Mai sa nja	okay baby
kaja sai tsaw	okay dear
mai sa tsawra	okay honey
mai sa tsawra	okay my love
kaba ai	old
dingsa	old
Ntsa e	on
Ntsa hta	on
kalang ta	once
langai	one
Tsun shaga ai ga langai hte sha gaw galoi n law ai	one language is never enough
shakau hkyeng	onion
sha	only
hpaw ninghtan ai	open
hpaw da ai	open
kadoi ga ai lam	operation
hpyen gasat ai lam	operation
mu mada ai lam	opinion
ning mu	opinion
ahkaw ahkang ni	opportunities
ahkaw ahkang	opportunity
nhtan shai ai	opposite
kaja ai myit rawng ai	optimistic
kaja ai mu chye ai	optimistic
lata la na ahkang	option
mai lata la hpa	optional
shing nrai	or
lwi dwi si nsam	orange
lwi dwi si	orange
matsun	order
lawu tsang	ordinary
hpung kaba	organization
npawt gindai	origin
daipawt daihpang	origin
madung re ai	original
Oromo	Oromo
jahkrai nmai	orphan
jahkrai ma	orphan
shaje	other
kaga	other
laga	other
maga mi	otherwise
kaga lam	otherwise
ging ai	ought
anhte a	our
Anhte a lit: Shara shagu na masha shagu mungkan hpe chyena lu na hte ga amyu myu hku nna tinang hkum hpe tinang tsun dan lu na matu re ai	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Anhte a lit: Mungkan shiga ni hpe hkrang shapraw nna, yawng a matu akyu rawng ai hte lu mai hkra galaw na matu re ai	Our mission: to organize the world's information and make it universally accessible and useful.
shing gan de	out
pru	out
pru sa ai lam	outcome
pru wa ai akyu	outcome
mahtai	outcome
hking	outfit
pru mat wa ai	outgoing
pru lam	outlet
pru na shara	outlet
ga hkrang masa	outline
shinggan de	outside
ningtawn ai	outstanding
di jang	oven
ngut mat sai	over
lai mai sai	over
ntsa e	over
htawra kaw	over there
yawng	overall
tawt lai lu ai	overcome
myit shalai mat ai	overthinking
ladu lai myit ai	overthinking
kaput ai	overwhelmed
ka up kau ai	overwhelming
lim mat ai	overwhelming
lit nga ai	owe
hka kap ai	owe
u hku	owl
madu ai	own
madu	owner
u tang	ox
dumsu u tang	ox
hkam	pace
magun lit	pack
lit	pack
matep	package
makai	package
shabawn	package
shata shabai	paid
wa ai	paid
gumhpraw jaw ai	paid
machyi ai	pain
sumla soi tsi	paint
tsi chya ai	paint
sumla soi ai	painting
gup	pair
yan	pair
nsam kya ai	pale
kya ai	pale
lata lahpan	palm
namhtan hpun	palm
di jang	pan
di dam	pan
ana zinli	pandemic
kajawng kaja re ai	panic
tsang taw ai	panic
bu hkra	pants
mai sau	paper
sumsing mungdan	paradise
kapyawn ai	parallel
dinggreng di da ai	parallel
majaw	parcel
makai	parcel
mara raw ya ai	pardon
kanu kawa	parents
mawdaw jahkring da shara	park
nampan sun	park
hkai ke	parrot
hpak ki	parsley
daw chyen daw sang	part
daw shan	part
shang lawm ai	participate
ding hkrai	particular
lak lai ai	particularly
a lak mi re ai	particularly
ningrum ningtau	partner
hpung	party
hprang ai	pass
tawt lai ai	pass
hkrun lam	passage
lam	passage
dinghkren lai wa ai	passed
lai wa ai	passed
dinglai ai	passed
myit rawt ai	passion
myit shang sha lam	passion
grai myit lawm ai	passionate
grai myit rawt ai	passionate
a ngwi a ngawn ga	passive
kahtet kamawt nre ai	passive
ga makoi	password
moi moi	past
moi na	past
ga lawk kaji kapa ai	patch
hkang	patch
lam	path
matsan dum na zawn re ai	pathetic
yawn hkyen ai	pathetic
myit galu ai	patience
sharang ai	patience
Machyi masha	patient
Myit galu ai	patient
maka	pattern
chyahkring mi hkring sa ai lam	pause
jahkring da ai	pause
lung nyep	pavement
lung nyep lam	pavement
jaw ai	pay
shabrai jaw ai lam	payment
shabrai	payment
gumhpraw jaw ai lam	payment
simsa lam	peace
simsa ai	peace
ngwi pyaw simsa ai	peaceful
sumwum si	peach
bum pungding	peak
bumsen	peak
magaw si	pear
shapre ni	peas
lak lai ai	peculiar
alak mi re ai	peculiar
jit ji ai	pee
yen kau ai	peel
gaw kau ai	peel
sep kau ai	peel
du magam wa	peer
du magam wa	peers
mahkret shingna	pen
mahkret shingna	pencil
hke dan	pencil
mahkret chyang	pencil
jahkring da ai	pending
masha	people
majap lawm	pepper
hkaja hkrup ai	perceive
mu hkrup ai	perceive
mu mada ai lam	perception
ning mu	perception
hpring tsup ai	perfect
shachyen ai	perform
galaw ai	perform
hkrang shala ai	performance
galaw shachyen ai	performance
nhten	perhaps
mai byin ai	perhaps
aten ladaw	period
grin ai	permanent
ahkaw ahkang, ahkang aya	permission
ahkang jaw ai	permit
ahkang a ya	permit
shakut shaja ai lam	perseverance
marai dat ai lam	perseverance
shakut sharang ai	persistent
masha langai	person
marai hkum hte seng ai	personal
hkum mari	personality
lai nsam ningja	personality
mu mada ai lam	perspective
ningmu	perspective
gunglau ai	persuade
n hkru n kaja ai	pervert
lam yit ai	pervert
nta rem dusat	pet
galu kaba wa madang	phase
byin nga masa lam	phenomenon
myit mang hpaji	philosophy
dat sumla	photo
ga majaw	phrase
ga shingkyang	phrase
gawng shingyang	physical
dagawt ai	pick
lata ai	pick
wai	pick up
hta ai	pick up
manaw yu	pick up
sumla	picture
ahkyep alep	piece
hkyep ni	pieces
chyen ni	pieces
wa	pig
u ra	pigeon
sumpum	pile
tawn ai	pile
bunghkum	pillow
baw hkum	pillow
pyenli hkang ai wa	pilot
samyit	pin
jang wawm si	pineapple
sumwum pu nsam	pink
nsung hku	pit
nsen nyem tsaw	pitch
myit du ai	pity
matsan dum ai	pity
myit n pyaw hpa	pity
shara	place
shara	places
palik ana	plague
prang	plain
layang	plain
masing masa	plan
jak pyen li	plane
hkai ai	plant
ban ai	plant
hkai ai	plants
hpun kaji	plants
shat ban	plate
ban	plate
pinra	platform
dum	play
ginsup	play
shala chyai taw ai	playing
ginsup taw ai	playing
pyaw ai	pleasant
ngawn ai	pleasant
nga ai	pleasant
Chyeju hte	please
ra sharawng ai	pleased
kabu ya ai	pleased
pyaw hpa	pleasure
mau hke hka	pledge
ga sadi	pledge
sumpum mi	plenty
shara	plot
hting ra	plot
pa	plot
matsut	plug
matsut tawn ai	plug
mahkaw si	plum
hka ting rat matut ai wa	plumber
langai hta grai law ai	plural
law ai masa	plural
ga shagawp	poem
ningchying ga	poetry
ga shagawp	poetry
masen ai	point
htawng madun ai	point
ntuk	poison
gung	poison
pya da	police
ga shaka laika	policy
Sumnung ai	polite
awu asin re ai lam	pollution
nawng	pond
hka lawng	pool
hka la ing	pool
sanghpaw mai maga	poop
matsan ai	poor
kapaw pru nsen	pop
masha ra law ai mying kaba ai	pop
kapaw ai	pop
mying kaba ai	popular
mying gumhkawng ai	popular
masha jahpan	population
wa shan	pork
hpa	porridge
hka daru	port
sanghpaw daru	port
madang	position
kaja ai lai len	positive
lu madu ai	possess
nat kap ai	possess
lu la ai	possess
kyem ai	possession
maga ai	possession
lu la ai hpe madun ai ga	possessive
lu la tawn ai rai hte seng ai	possessive
mai byin ai	possible
shadaw	post
nhtoi htawt kau ai	postpone
jahkring tawn kau ai	postpone
yang yi	potato
byin mai ai lam	potential
adawt ai	pound
htu ai	pound
matsan ai	poverty
n-gun	power
hpung kaba ai	powerful
daru magam lu ai	powerful
ta tut re ai	practical
ta tut mai ai	practical
shaman shakyang ai	practice
shakawn ai	praise
shala ai	prank
tawng ban ai	pray
a kyu hpyi ai	pray
manu dan ai	precious
tuphkrak	precise
azin ayang re ai	precise
tuphkrak rai hkra	precisely
azin ayang rai hkra	precisely
hkaw ya ai	predict
myi htoi ga tsun ai	predict
mayu ai	prefer
ningshawng jaw ai lam	preference
hkumgawng li ai	pregnant
na um na sin re ai	pregnant
ma gun ai	pregnant
myiman lata ai lam	prejudice
nta wang	premises
pahkam gumhpraw	premium
hkyen lajang ai	preparation
hkyen lajang ai	prepare
shachyip da ai	prepared
hkyen lajang da ai	prepared
ga madun	preposition
shara shatsam da ai	presence
du dung lawm ai lam	presence
ya	present
kumhpa	present
htawng madun ai	present
madun da ai lam	presentation
tang madun ai lam	presentation
kyem mazing da ai	preserve
ningbaw	president
gumsan magam	president
dip gamyet ai	press
dip n-gun	pressure
sumhpai ai	pretend
grai nan	pretty
Tsawm htap ai	pretty
makawp maga ai	prevent
moi na	previous
kashun kashe sha ai	prey
manu jahpu	price
manu	price
arawng sadang	pride
hpung up sara	priest
madung	primary
hpa awn wa	prime
kaba htum ai wa	prime
ahkyak dik re ai	prime
hkawseng shayi	princess
hkawhkam nangshayi	princess
tara agyi	principal
shawng	prior
madung tawn ai	prior
re nrai shi yang	prior
madung tawn ai	priority
htawng	prison
garu kachyi n nga ai shara	privacy
dinghkrai	private
laksan ahkaw ahkang	privilege
shagrau kumhpa	prize
mai byin ai lam	probably
mayak	problem
manghkang	problem
htung lai sa	procedure
matut manoi	proceed
matut galaw ai	proceed
mabyin	process
masa	process
shapraw ai	produce
gunrai	product
gunrai shapraw ai lam	production
kan bau bungli	profession
kan bau bungli hte seng ai lam	professional
prat labau kadun n gyeng sumla	profile
amyat	profit
lachyum sung ai	profound
jat wa ai	progress
rawt jat wa ai	progress
sawn hpajang magam	project
danhkung	prominent
ga sadi jaw ai	promise
shatsaw ya ai	promote
aya sharawt ya ai lam	promotion
ya jang jang	prompt
kalang ta	prompt
shagum up re ai	prone
myinghkawt	pronouns
ga	pronouns
ga nsen	pronunciation
sakse	proof
htuk manu ai	proper
ai	proper
ai rai	properly
ai sha	properly
madu ai arai	properties
sut gan	properties
sut rai	properties
a rai	property
aja sut gan	property
tang madun ai lam	proposal
myit mada shara	prospect
dam lada ai myi n shat	prospect
wunli ring ai nga mu nga mai ai lam	prosperity
sut wunli chying wa ai	prosperous
sut ring ai	prosperous
sut su nga mai ai	prosperous
makawp maga ai	protect
arawng la ai	proud
chyam dinglik dan ai	prove
sakse madun dan ai	prove
ya ai	provide
karum jaw ai	provide
karum ya ai	provide
madi shadaw ya ai	provide
garum madi shadaw ai	provided
ginwang	province
jahkrat masat tawn ai lam	provision
lusha jarik	provision
hkawn ram prat	puberty
shawa mung hte seng ai	public
ninggawn shawa mung shawa singa	public
gang ai	pull
hkahkum si	pumpkin
aten hkrak hkrak re ai	punctual
jawng ma	pupil
sape	pupil
mari la ai	purchase
ajet re ai	pure
majing re ai	pure
san seng ai	pure
shaba pu nsam	purple
yaw shada ai lam	purpose
gumhpraw sumbu kasha	purse
hkan nang hkan sa	pursue
matut manoi galaw	pursue
hkan tam ai lam	pursuit
ganawng ai	push
htu ai	push
tawn ai	put
marai ningja	qualification
atsam ningja	quality
hti hkum	quantity
lak san garen da ai shara	quarantine
ga law hkat ai lam	quarrel
ga law ga la	quarrel
mare lawk	quarter
jik mi sumpum mali na langai	quarter
Quechua	Quechua
Hkawhkam jan	queen
Num hkawhkam	queen
lak lai ai	queer
alak mi re ai	queer
hkan sagawn ai lam	query
ga san kumla	query
san sawk ai lam	query
ga san	question
kara hkri ai	queue
tsap ding greng ai	queue
lawan ai	quick
zet let ai	quick
larau ladau	quick
lawan ladan	quickly
shim	quiet
katsi katsang	quiet
azim sha	quiet
pasi nba	quilt
si htun nba	quilt
pru ai	quit
tsawmra mi	quite
ga san shingjawng ai lam	quiz
la kap ai lam	quotation
la kap shaw la ai lam	quotation
la kap la ai	quote
la kap la ai	quotes
la kap shaw la ai	quotes
Prangtai	rabbit
shing jawng lamang	race
amyu bawsang	race
n yun	rage
pawt sin dawng ai	rage
marang	rain
shalat ai	raise
jun ai	raise
sharawt ai	raise
shalun ai	raised
sharawt ai	raised
ladawn ai	raised
ka gat ai	ran
hta hkrup	random
masat masa madang	range
chyang ai	rapid
lawan ladan re ai	rapid
a lawan sha	rapidly
lawan ladan	rapidly
taw ai	rare
taw dik ai	rarely
jan maru	rash
atin shapun re ai	rash
yu	rat
manu	rate
ram ram	rather
htam	ratio
myit sumru yu chye ai	rational
myit yu chye ai	rational
katsing	raw
du ai	reach
dep ai	reach
du ai	reached
dep ai	reached
hti htang galaw ai lam	reaction
hti ai	read
laika hti ai	reading
jin sai	ready
kaja sha	real
jet ai	real
kaja wa teng ai lam	reality
tatut re ai lam	reality
dumhprang ai	realize
myit hprang ai	realize
hkawn hkrang ai	realize
chye na myit hkawn wa ai	realized
kaja wa i	really
kaja sha	really
shing du de	rear
hpang de	rear
mabyin lam	reason
hkap la mai ai lam	reasonable
sawn dinglik mai ai lam	reasonable
bai shaga la ai	recall
bai myit dum hprang ai	recall
hkap la lu ai	receipt
ja	receive
hkap la ai	receive
hkap la lu ai	received
ya hte sha	recent
ndai laman hta sha	recent
ndai laman	recently
hkalum poi	reception
poi shingra	reception
matsun	recipe
tsi gayau matsun	recipe
kam mara re ai	reckless
n sadi ai	reckless
matsing masat da ai lam	recognition
matsing ai	recognize
yin la ai	recognize
hkap la ai	recognize
madi shadaw ai	recommend
madi shadaw ai	recommended
masat masa	record
bai hkam kaja wa ai	recover
bai lu la ai	recover
bai lu la ai lam	recovery
jut ding mali lawk zawn re	rectangle
hkyeng ai	red
hkrang shaw la ai	redeem
galai la ai	redeem
shaw la ai	redeem
galai la ai	redemption
shayawm ai	reduce
law htam ai	redundant
mahta ai	refer
lashum laika	reference
lakap laika	reference
pat shingna jung ai	reflect
myit aru yu ai	reflect
bai myit aru yu ai lam	reflection
pat shingna	reflection
koi gam ai	refrain
koi kau ai	refrain
hka shage sadek	refrigerator
katsi jak	refrigerator
gumhpraw bai n htang ai	refund
koi kau ai	refuse
ninghkap ai	refuse
ning dang kau ai	refused
ning hkap kau ai	refused
sawn la ai	regard
yu ai	regard
seng nna	regarding
ahkyak n tawn	regardless
myit dum let	regards
hkawng	region
ginra	region
jahpan bang ai	register
ka matsing jahpan laika	register
myit malai lu ai	regret
myit n pyaw ai	regret
shawoi	regular
aten hkrak hkrak	regularly
masa jaw ai	regularly
ningdang kau ya ai	reject
shabai kau ai	reject
hkai tsun dan ai	relate
matut mahkai ai	relate
amyu daw ai	relate
chyaw ai	related
daw ai	related
mahku mara ai lam	relationship
jinghku jingyu	relative
makyin jinghku	relatives
jinghku jingyu	relatives
ban	relax
shapru ai	release
dat ya ai	release
shapraw ya ai	released
raw dat ai	released
dat ya ai	released
htap htuk manu ai	relevant
mai kam hpa ai	reliable
kam mai ai	reliable
karum ningtum	relief
hkyam sa jaw ai	relieve
hkyem sa jaw ai	relieved
nawku htung hte seng ai	religion
makam masham	religion
makam masham grai shakut ai	religion
nawku htung hte seng ai	religious
makam masham hte seng ai	religious
kanung	reluctant
myit n hkrum ai	reluctant
kamhpa ai	rely
manem	rely
hti	remain
jan ai	remain
naw ngam ai	remain
ngam ai	remaining
matsing la mai ai	remarkable
matsing da mai ai lam	remarkable
tsi lajang ai masa	remedy
tsi lajang ai	remedy
dum ai	remember
myit dum ai	remember
dum shai ai	remember
shadum jahprang ai	remind
shadum jashai ai	remind
shadum jahprang ai lam	reminder
tsan gang	remote
la kau ai	remove
shaw kau ai	remove
mala kau ai	remove
ga gale ai	render
gam jaw ai	render
shap shabrai	rent
ga hkang	rent
byeng ai	repair
me ai	repair
kahtap di ai	repeat
kahtap tsun ai	repeat
malai bang ai	replace
nhtang ai	reply
htai ai	reply
shana ai	report
tang madun ai	report
malai tai ai	represent
gawng malai	represent
gumhkawng ai	reputation
arawng sadang	reputation
hpyi lajin ai	request
hpyi shawn ai	request
ra ai	require
ra ahkrak ai	require
ra rawng ai	required
ning ra ai	required
ra ai	required
hkye mawai la ai	rescue
mawai la ai	rescue
sai la ai	rescue
sawk sagawn ai	research
bung ai	resemble
masin pawt ai lam	resentment
ngam da ya ai lam	reservation
lak san tawn da ya ai shara	reservation
masat tawn da ai	reserve
ngam da ya ai	reserve
nga ai wa	resident
hkring mat ai	resign
pru mat ai	resign
hkam mana lu ai	resilience
hkin dit lamat chye ai	resilience
hkam jan lu ai	resilient
hkap shadaw ai	resist
hkap shadang ai	resist
hka shadaw ai lam	resistance
ninghkap gasat ai lam	resistance
ngang kang ai	resolution
dawdan lam	resolution
myit shatawng ai	resolve
myit jahkut ai	resolve
sa ra	resort
chyai ginra	resort
ban sa shara	resort
hpung tang sut sut rai	resources
myit gawat ai	resources
hkungga la ra ai	respect
htang shana ai	respond
gin htang ai	respond
bai htang ya ai	response
lit nga ai	responsibility
seng ang ai	responsibility
lit nga ai	responsible
sa la ai	rest
hkring la ai	rest
Ngwi pyaw ai hte ban sa nga u	rest in peace
lusha seng	restaurant
gram lajang ai	restore
tara hte tek jum tawn ai	restrict
mahtai	result
akyu ara	result
mahtai	results
akyu ara lu la ai	results
akyu ara	results
bai hpang ai	resume
hkyawt dut ai	retail
matut lu la ai	retain
mahkyu la lu ai	retain
tut kyem da lu ai atsam	retention
bungli hkring mat ai	retired
hkring sa ai	retired
n gun awai sharin hpawng	retreat
hting nut ai	retreat
zing la ai	retrieve
bai lu la ai	retrieve
bai wa ai	return
ginhtang ai	return
hpyan ai	reveal
shapyan	reveal
hpaw tsun dan da ai	revealed
hpaw shaleng dan da ai	revealed
hka htang ai	revenge
matai htang ai	revenge
hkang se	revenue
shang gumhpraw	revenue
ngam da ya ai	reverse
lak san tawn da ya ai	reverse
bai dinglik yu ai	review
bai gram lajang ai	revise
gin htang lajang ai	revise
bai yu ai lam	revision
nnan kaw n na bai ginhtang sharin ai lam	revision
rawt malan ai lam	revolution
gumlang ai lam	revolution
shagrau kumhpa jaw ai	reward
shagrau kumhpa	reward
yu kap nsen	rhythm
garep nra	rib
jawng lapa	rib
shat	rice
n-gu	rice
lauban ai	rich
lu su ai	rich
hprun kabai kau ai	rid
jawn ai	ride
hkang ai	ride
jau ai	ride
n mai byin ai lam	ridiculous
lachyum n rawng ai	ridiculous
lahkra maga de	right
teng ai	right
jaw ai	right
ya jang jang	right now
tara ja ai	rigid
tachyawp	ring
ngoi ai	ring
kashin agrak kau ai	rinse
arut kashin kau ai	rinse
kabrawng ai	riot
ruk rak ai	riot
gang jen kau ai	rip
aten du sai	ripe
myin ai	ripe
jat wa ai	rise
rawt ai	rise
tsang hpa	risk
shingjawng manang	rival
hka	river
lam kaba	road
ka i ai	roast
ka kang ai	roast
ju ai	roast
n-gun lagaw ja ai	robust
n-gun ja ai	robust
akam asham re ai	robust
lunghkrung	rock
shingna	rod
sumprang	rod
lit lamang	role
daw sang	role
taleng ai	roll
katsu ai	roll
nta n-gaw	roof
gawk	room
ru pawt	root
aru jung ai	root
ru ru ai	root
ningpawt	root
sumri	rope
yet mat ai	rotten
hpu ai	rotten
mazut ai	rough
yak hkak ai	rough
mazut ai	roughly
arut arat re ai	roughly
nru nra re ai	roughly
pawng pawng	round
gumdin	round
hkawm lam	route
lam	route
galaw laisa	routine
ding ren	row
arut ai	rub
ganun ai	rub
noi kret	rubber
shanut shanaw	rubbish
maza mala	rubbish
zai ai	rude
pa nep	rug
hten run mat ai	ruin
hten za mat ai	ruin
du wa	rule
mungdu	rule
uphkang ai wa	rule
pe dan	ruler
uphkang ai wa	ruler
mungdu	rules
uphkang ai wa	rules
ka gat ai	run
lagat ai	run
galaw taw ai	running
kagat taw ai	running
buga	rural
kyin ai	rush
tingsan	sack
n hpye kaba	sack
chyoi pra ai	sacred
ap nawng ai	sacrifice
shim ai	safe
shimlum ai	safe
shinglum ai pyen lam rai u ga	safe flight
shim lam	safety
alawng	sage
hpaji rawng ai wa	sage
tsun ai	said
jawn ai	sail
li yawng ai	sail
sumpan li	sail
li yawng hkawm ai	sailing
li jawn hkawm ai	sailing
gawp e	sake
marang e	sake
jaw e	sake
shabrai	salary
dut sha ai lam	sale
salmon nga	salmon
jum	salt
maren sha	same
bung ai	same
ndai kaw mung maren sha re	Same here
kasi rai	sample
kasi	sample
hkum tsai	sand
zai bru	sand
Sanskrit	Sanskrit
dung ai	sat
myit krem ai	satisfaction
myit dik ai	satisfaction
myit dik myit pyaw ai	satisfied
myit krem ai	satisfy
myit dik ai	satisfy
myit dik ai	satisfying
bat kru ya shani	Saturday
mashang shani	Saturday
wa pu shan jahkraw	sausage
zai ai	savage
zing da ai	save
sai la ga	save
mu ai	saw
tsun ai	say
nga ai	say
joi	scale
nma	scar
nma hkang	scar
taw ai	scarce
lu la yak ai	scarce
grai n law ai	scarce
hkrit ai	scared
shagri brep ai	scared
du gyit	scarf
hkrit tsang lam	scary
agat kau ai	scattered
jahtaw kau ai	scattered
shabra kau ai	scattered
shara	scene
myi hkru ginra	scenery
u hkru ginra	scenery
samu	scent
bat	scent
n ngawt	scent
aten mahkyen	schedule
jawng	school
hpung tang hpaji	science
hpungtang hpaji ninghkring	scientist
hpungtang hpaji ninghkring ni	scientists
zen dau	scissors
daru ai	scold
daru sharin ai	scold
myi gaiwang	scope
ginwang	scope
lu ai amat	score
kabai kau ai	scrap
adaw chyen	scrap
mahkyit ai	scratch
ahkrawt	scratch
ahkret	scratch
kyek ai	scream
jahtau marawn ai	scream
nba grang	screen
pan grang	screen
hpri nai	screw
lata laika	script
ka matsing	script
panglai	sea
dazik	seal
tam	search
ahkrawk	search
gasawk	search
duhkra ladaw	season
dung shara	seat
punghkum	seat
lahkum	seat
lahkawng	second
ning ip ga makoi magap tawn ai	secret
daw garan ai	section
daw	section
makawp maga ai	secure
shim ai	secure
ngang kang ai	secure
pahkam rai ga shaka laika	security
shim lam	security
mu ai	see
mu mada ai	see
bai hkrum ga	see you
hpang e bai hkrum ga	see you later
kade nna yang bai hkrum ga	see you soon
Hpawt de bai hkrum ga	see you tomorrow
tum	seed
nli tum	seed
nli	seed
sawk tam ai	seek
nawn ai	seem
htang ai	seem
zawn nawn ai	seem
zawn re	seems
mu kau da ai	seen
hkap rim la ai	seize
rim magra la ai	seize
rim la ai lam	seizure
kalang lang	seldom
lata san ai	select
lata la ai	select
madu hkum	self
hkum nan	self
madu hkum madu tsi la ai	self healing
madu hkum madu shamai la ai	self healing
machyu ai	selfish
tinggyeng myit	selfish
myit tawk ai	selfish
dut ai	sell
sa ai	send
shagun ai	send
Ngai hpe nang na sumla sa ya rit	send me your picture
arawng aya grau kaba ai wa	senior
lachyum	sense
maju	sense
myit sawn chye ai	sensible
myit sawn lu mai ai	sensible
machyi loi	sensitive
loi ai	sensitive
hkra loi	sensitive
shagun dat ai	sent
shabawn dat ai	sent
ga yan	sentence
ari jaw ai lam	sentence
ga yan	sentences
ari jaw ai lam	sentences
ginghka ai	separate
garan ai	separate
Sepedi	Sepedi
gumtung ta	september
hti hkum	series
laja lana re ai	serious
laja lana	seriously
asu a li	seriously
galaw jaw ai	serve
daw jaw ai	serve
daw jau	service
dakasu hpaji lamang	session
tara rung	session
zuphpawng	session
masat ai	set
gaw gap ai	set up
shakap ai	set up
chyarang sanglang ai	settle
sanit	seven
shi sanit	seventeen
sanit shi	seventy
law law	several
sawng ai	severe
chywi ai	sew
shingnip	shade
shingnang	shadow
ashun ashan di ai	shake
kanawn kawam ai	shake
ashun kau ai	shake
ging ai	shall
hka tang	shallow
kaya kahpa	shame
hkrang	shape
garan ya ai	share
gam jaw ai	share
gambum	share
dai ai	sharp
shi	she
shi kaw nga ai	she has
shi gaw	she is
dumsu lawng	shed
sagu	sheep
panyep	sheet
pa	sheet
di hpra	shelf
garap	shelf
hkoi kawp	shell
kawp	shell
shingbyi shara	shelter
nga shara	shelter
makawp maga ai	shield
ninggang	shield
htawt ai	shift
sit ai	shift
htoi kabrim ai	shine
sanghpaw li	ship
hka li	ship
sanghpaw hte kun rai htaw ai lam	shipping
lawnghkai	shirt
hkyep din	shoes
gap ai	shoot
sumla hkrung dem ai	shoot
rai mari ai	shop
gat seng	shop
gat mari hkawm ai	shopping
panglai hka kau	shore
kadun ai	short
dawk	short
nlaw nla re ai lam	shortage
dum hprut ai lam	shortage
sinat pala	shot
gap ai	shot
sinat goi nsen	shot
ging ai	should
lahpa	shoulder
kahpa	shoulder
jahtau ai	shout
marawn ai	shout
madun ai	show
Ngai hpe madun yu rit	show me
marang n zam	shower
marant mahpawng	shower
hkatsu	shrimp
htun mat ai	shrink
kyip mat ai	shrink
chyinghka la ai	shut
pat ai	shut
hking dit ai	shut
pat u	shut up
gaya ai	shy
kahpu kanau majing	sibling
kahpu kanau majing	siblings
machyi ai	sick
hkran	side
maga	side
gaham ai	sigh
nsa kaba shaw ai	sigh
mu lu ai lam	sight
gayin yu hkawm ai	sightseeing
ta masat	sign
ta maka	sign
sen	signature
lata masat	signature
lak lai ai	significant
dan dawng ai	significant
zim taw ai	silence
zim zam	silence
zim sha nga ai	silent
zim zam re ai	silent
lai	silk
lai ri	silk
sangawk	silly
mana ai	silly
gumhpraw	silver
raw	similar
bung pre ai	similar
a ngawk ai wa	simp
nyan tang ai	simple
myit marawng ai	simple
kaw nna	since
sumnung ai	sincere
myit su ai	sincere
myit malang ai	sincere
hkungga let	sincerely
hkawn ai	sing
mahkawn hkawn ai wa	singer
shingtai	single
lim ai	sink
Sara	Sir
kana	sister
kanau	sister
ning	sister in law
dung ai	sit
htinghput htingra	site
mabyin masa	situation
kru	six
shi kru	sixteen
kru shi	sixty
hkrang	size
masat masa	size
kung kyang lam	skill
kung kyang lam	skills
shan hpyi	skin
hpyi yen kau ai	skin
hpyi	skin
lasi ai	skinny
kri ai	skinny
shalai ai	skip
lamu	sky
mayam zawn galaw ai	slave
mayam	slave
yup ai	sleep
yup pyaw taw ai	sleeping
yup nga ai	sleepy
yup mayu ai	sleepy
palawng lawng ta	sleeve
galep ai	slice
kadoi ai	slice
mawt ai	slice
kashawt ai	slide
dumhpyut ai	slide
sumla chyasi	slide
kaji kachyaw	slightly
ahpa shala re ai	slim
lasi ai	slim
kaprau ai	slip
gashawt galau ai	slip
nyem rem	slope
lanyem ding ru	slope
hku kaji	slot
lanyan ai	slow
gau ngwi	slowly
a ngwi a bwi	slowly
kaji ai	small
grai byin ai	smart
sama	smell
sumsai	smile
mani ai	smile
wan hkut hku ai	smoke
wan hkut	smoke
hka yawm lu ai	smoke
mani ai	smooth
pri nyem ai	smooth
sha pri ai	smooth
muk	snack
hkoi	snail
lapawp	snail
lapu	snake
maja gawa makret ai	snap
grai lawan ai hku sumla dem ai	snap
hkyen	snow
Dai hku ngu yang	so
Shing rai yang	so
Rai yang	so
grai kaw lakai re ai	so cute
ya du hkra	so far
tsing tawn ai	soak
madit ai	soak
sabya	soap
bup tawng	soap
sadi sahka nga ai	sober
chyaru tsa nlu ai	sober
gawdin hpung	soccer
masha nga pra lam hte seng ai	social
uhpung uhpawng	society
maw za	socks
shakya	soft
sumnung ai	soft
akya	soft
