a little	qunxaama
temperature	hawa' caalata
temple	diini buxa
temporary	elle sugah
ten	tabana
ten thousand	tabna alfi
tenant	qari kirat le
tenant	buxat mardeh gace
tend	qambaaliyya
tendency	inki abtoh qeegu
tender	carraaja
tender	racmat le
tense	ceynitiyya
tension	naqabu
tension	meesi
tension	taqabi
tent	meeko qari
tentative	elle sugà
term	ambalal caaloota
terms	ambalal caaloota
terrible	conxo le
terrific	cunxo le
territory	rakaakaya
test	aqayyaare
text	kutbe
than	kalah
thank	gadda
thank you	faata koh gacsa
thank you	gadda gey
Thank you for your patience while we investigate shipment	quukitte fokkaqnah gide nee qambalteemih gadda gey
thank you so much	kaxxa gadda koh gacsa
thank you very much	kaxxa gadda koh gacsa
thanks	gadda gey
Thanks for using our app	ni tadeera tintifiqqeemih gadda gey
that	too
that	ama
that is	kinnih
that's good	woh meqeh
theft	garqa
their	ken
them	usun
theme	lafa le mabla
themselves	sinnih
then	woo waqdi
then	tokkeek
theory	mabla
there	tokkel
there	wokkel
there are	tanih
there is	tanih
therefore	tohih sabbatah
these	ta
these	ahim
they	usun
they are	usun kinnoonuh
thick	gabul le
thief	garqa
thigh	xeeqare
thin	qaku le
thing	tiya
thing	tu
things	duyye
things	tumamme
think	uscub
think	ascubiyya
third	sidic haytu
thirsty	bakaarite
thirteen	taban kee sidocu
thirty	soddomu
this	tah
this	ah
this is	aham
thorough	digga luk
thoroughly	addaffakot luk
those	oson
those	woo
though	takkay immay
thought	mabla
thoughtful	mabla leemi
thoughtful	maqaane leemi
thoughts	mablooli
thousand	alfi
thread	tufulu
threat	meesisso
threaten	meesis
threaten	tirtiris
three	sidoc
threshold	heteritte
thrilled	kaxxam farci
thrive	dadliyya
thrive	leediyya
throat	garoyra
through	tokkeek
throughout	malat
throw	qambisiyya
thumb	kaxxa gili
thunder	angaade
Thursday	kamiisi
thus	tokkeek
tick	asta xongolo
tide	dufa
tidy	saytun
tie	axiyya
tie	maxxeena
tiger	kabqi
tight	digga le
Tigrinya	Tigreh afa
time	waktih addat
time	udduru
timid	warigga li
tiny	kaxxam qunxa
tip	amo
tip	acwa
tips	fayitte
tire	taqbiyya
tire	gomma
tired	taqbeh
tissue	lee summuusa warkata
title	ammunta
to	wohuh
to	iffan
to be	akkem
toast	laqlaqiyya
today	asaaku
toddler	alqi
toes	ibi feeraari
together	siitalluk
toilet	daacò-buxa
told	iyyeh
told	warseh
tolerance	qansiisasinna
tolerate	xiqiyya
tomato	timaatimi
tomato	kamadooru
tomorrow	beera
tongue	arraba
tonight	abar
too	kaxxam
too	kaadu
took	beeh
tool	silaaca
tools	silaacitte
tooth	moddina
top	amo
top	fayya le
topic	ammunta
torn	qanxixxeh
torture	qansariyya
torture	digaaliyya
total	amolladih
touch	xag
tough	gidba le
tough	diggale
tour	wacaysir
toward	iffan
towards	iffan
towel	foota
town	magaala
toxic	summutte
trace	raata
track	raat katiyya
trade	tellemmo
trade	badaaqa
tradition	qaada
traditional	qaadah imi
traffic	tiraafiki
trail	raat katiyya
train	aydakaakaniyya
training	aydakaakana
trait	baxsa le caalata
traits	Baxsale caaloota
transfer	tatrusiyya
transition	tatrusiyya
transition	tabsa
translate	af gacis
translate	maqnis
transparent	qaduk
transport	merraytu
transportation	merraytu
trap	oflo
trash	wasaka
trash	qudufu
trauma	msenkaca qansaru
travel	safara
tray	agarawa
tray	taqabi
treasure	gadda
treat	haysitiyya
treat	daylisiyya
treat	arcibisiyya
treatment	mabbuxu
treatment	dayla
tree	caxa
tremendous	kaxxam naba
trend	qusba salu
trial	gabbatu
trick	aylahu
trick	aylahis
tried	gabbatteh
tried	gabbateh
trigger	ugussah
trim	biliyya
trim	daggos
trip	safara
trouble	taqabi
trousers	sirwaala
truck	quuki makiina
true	NUMMA
trunk	laqibitte
trust	aamaniyya
truth	numma
try	gabbat
Tsonga	Tsongah afa
tube	xabaxa
Tuesday	talaata
tuition	barittò mekla
turkey	iro baaxoh dorrahi
turmeric	sugudi
turn	xambaqimiyya
turtle	gobal goblaali
tutor	dubuk barsiyya
twelve	taban kee nammaya
twenty	labaatanna
twenty-one	labaatanna kee ti
Twi	Twih afa
twice	nammada
twist	mak
two	nammay
type	qaynata
type	yitbiqen kutbe
typical	qaynata
ugly	qax umaane
ultimate	elle caboh
ultimate	inkih naba
umbrella	agoogar
unable	duudewayti
uncle	qammi
unconscious	hawri sinna
under	gubak
underneath	gubak
underrated	addah heenimi
understand	cediyya
understood	cedeh
unfortunately	qaasir maliino
uniform	inkinnal
uniform	inki belu le sara
unique	dibiino
unique	baxsa le
unit	acassaale
university	jaamiqata
unknown	amixxigewaytaama
unless	kalih
unless	maleh
until	tohum fan
unusual	suge wayteemi
up	daga
up	fayya
up to you	kol raqta
update	maysaasa
upgrade	dadlisiyya
upon	dagal
upset	ceeriyya
upset	anqibiyya
urban	magaala
urge	alliliyya
urge	kaxxa fayxi
urgent	xeyih
urgent	sissikuk
us	nanu
use	xoqoysimi
use	intifiq
used	tuxxiqil asse
useful	tuxxiq leemi
useful	ayfaf tacee
useless	tuxxiq mali
usual	barteenimi
usually	mango waqdi
utility	ayfaafaya
vacation	ramaqqa
vacation	ufuy ruubo
vaccination	aftabu
vaccine	aftabi
vacuum	caacaymal
vague	qidi-sinna
vague	badit leemi
valid	oggol leemi
valley	golò
valuable	nhirleemi
value	nihir
variety	qaynat qaynata
various	baxaabaxsa le
vary	baxsale
vase	birrò daffeyna
vast	kaxxam mango
vegetable	caxaaxuwa
vegetables	caxaaxuwa
vehicle	kokkobeena
vendor	yaylammi
venom	ali summi
venture	bohoy le gibbatu
venue	handaga
verify	ixmiq
versatile	mangaafà mihartle
version	iyyenti exxa
vertical	kareeri
very	kaxxam
very good	kaxxam meqe
vessel	markaba
via	kabuuk
vibe	acwaala
vibes	acwaalitte
vicious	umamle
victim	magada
victim	biyaakime
video	yangayye muuci
video	viidio
view	mabla
village	baari'
villain	uma numu
vinegar	mulcu
vintage	dumih udduruhimi
violence	dobolloko
violent	dobollok le
viral	vayrasak temeeti
virgin	bikirit yan
virgin	bikirit tan
virtual	baguh yaaxigeenimi
virtue	meqem-mariino
vision	hadafa
vision	mabla
visit	gufne
visit	boosa
visit	diyaara
visual	intih yableenimi
vital	issaasak tanim
vivid	qadoh
vocabulary	qangooru
voice	anay
voice	xomgol
void	oggolsinna
volume	anaya
volume	xongolo
volunteer	labbatiinu
vomit	alliyo
vulnerable	taanoyta
wage	qasbi
wages	qasbi
waist	axca
wait	qambal
wait	idiy
waiter	arcibise
waiting	qambaaliyya
wake	mastara
wake	ugutaanama
wake up	ugut
walk	ibah gexaanama
walking	ibi gexo
wall	gidaara
wallet	maali borsa
wander	meeko
wanna	faxà
want	fayxi
wanted	faxxiimtam
wanted	gorrisaanam
war	carbi
wardrobe	sari armmadiyo
warehouse	magaazini
warm	laqna
warn	takkawso
warning	takkawsiyya
warrior	qeebi abe
warrior	carbeyna
was	suge
was	sugtè
wash	kaqlis
waste	baysiyya
waste	finqa
watch	wagit
water	lee
watermelon	cabcaba
wave	ugaara
wave	ayburruciyya
way	gita
way	gurra
we	nanu
we are	nanu kinninoh
we can	nanu dudnah
weak	boola
weakness	boola
wealth	gaddaliino
wealthy	gaddali
wear	saritaanama
wear	haanama
wearing	aclisiyya
weather	silayti awwaala
weather	ayro caalata
wedding	digibi
Wednesday	arbaqa
weed	caffatuna
week	ayyaama
weekend	sabti kee caada
weight	qilsa
weird	baxsaleemi
weird	qaadak iro
welcome	arcib
welfare	manò caabi
Well	qeela
Well	nagay
well done	meqem abte
went	gexeh
were	sugen
were	sugne
west	ayrò  korma
wet	wiinaana
whale	baddi qambara
what	maca
what about you	atu isihii?
what are you doing	macaay abtam?
what are you doing now	away macaay abtam
what are you doing right now	Away abtam macaay?
what do you do	Atu macaay abta?
what do you do for a living	kok taama macaay?
what do you mean	amahak maqna macaay?
what do you want	maca faxxaah
what happened	maca tekkeeh
what is	macaay
what is this	ah macaa?
what is your job	taama kok macaay?
what is your name	migaq kok iyyaay?
what's up	maca tan
what's your name	migaq kok macaay?
whatever	faxem takkay
wheat	qasdaro
wheel	baabur gomma
when	mawaqdi
whenever	faxe waqdi
where	anke
where are you	ankeel tantoo?
where are you from	anni baaxok temeete
where are you now	ankel tantoo?
where do you live	guubuh ankel tanii?
where is	ankel tan
whereas	takkewak
whether	kinnik waytam
which	annitii
which	annim
while	waqdi
while	kinni way
whisper	tutucu
whistle	fooxisaanama
white	qidi
who	iyyaay?
who	iyyi
who are you	iyyaay atu?
who is	iyyaay
who is this	ah iyyaay
whole	inkiih
whole	kibu
whom	iyyi
whose	iyyin imi
why	maca sabbatah
why	macah
why not	macah akkewayta?
wicked	umaane
wide	fidna leemi
widow	gubnà
width	fidna
wife	buxah ina
wife	baarra
wild	dubaala
will	fayxi
will	takku waytaama
willing	gulgulu
win	mayso
wind	silaytu
window	taagata
windy	silaytule
wine	mees
winter	karma
wipe	fiik
wipe	dug
wire	siibo
wire	qerrata
wisdom	kasa
wise	kas le
wish	niya
wish you all the best	Meqem koh qaagita
witch	baab abeyna
with	luk
with	lih
withdraw	cabti
withdraw	ewqa'
withdrawal	mawqà
within	addat
without	ane kal
without	maleh
witness	sumaawa
witty	maxco meqe
wolf	suulà
woman	barrà
women	agabu
won	teyseh
won	yeyseh
won't	maaba
wonder	cakkumistaanama
wonderful	qajab leemi
wood	caxxa
wool	suufu
word	qangara
words	qangooru
work	taama
work out	xagar angoyya
work out	taamitaanama
working	taamitiyya
world	baada
worm	daariyaytu
worn	tembexeh
worried	ceenooteh
worried	meesiteh
worry	adaadara
worse	gacah
worse	gactah
worship	yaqbudeenimi
worst	inkih umaama
worth	tuxxiq
worth it	tassacakkeh
worthy	yaguudeh
would	takkem bictaama
would	raare
wound	dale le
wound	mudim
Wow	Qajiibi
wrap	cibaanama
wrath	bakcarra
wrist	mogoyu
write	uktub
Write here	akkel uktub
writing	kutbe
written	tunkuttubeemi
wrong	hoxa
wrote	yuktubeh
yard	xexxar macassalà
yawn	adengaaqa
Yeah	yeey
year	sanata
years	sanatitte
years	liggiditte
yeast	ayqu
yell	kaay
yell	seec
yell	deero
yellow	walqin bisu
Yes	Yeey
Yes	Meqeh
yes baby	meqeh yi dahabey
yes dear	meqeh yi kacnoytay
yes honey	meqeh yi malabey
yes my love	meqeh yi kacanow
yes of course	yeey asmatah
yesterday	kimal
yet	uxih
yet	takkay immay
yield	murti
you	atu
you	isin
you are	atu kinnitoh
you are beautiful	atu kaxxam qax miqito
you are so beautiful	Atu kaxxam qax miqito
you are welcome	gadda mawaan
you can	atu duddah
You know	Atu taaxigeh
you too	atu kaadu
you're welcome	gadda mawaan
young	bar qunxa numu
your	sin imi
your	kuumi
your welcome	arcib
your welcome	gadda mawaan
yourself	atu isih
youth	qunxaaneyta
you’re welcome	arcib
you’re welcome	gadda mawaan
yummy	salfa le
zero	foyya
