a little	неуна
to be	вӧвны
to be	лоны
toast	пӧжалӧм нянь шӧрӧм
today	талун
toddler	кысъясысь кага
toes	кок чунь
together	ӧтлаын
together	ӧтвыв
toilet	асмогасянін
told	шуис
told	шуӧма
tolerance	пыдди пуктӧм
tolerate	терпитны
tomato	помидор
tomorrow	аски
tongue	кыв
tonight	тарыт
too	тшӧтш
took	босьтіс
tool	инструмент
tools	инструментъяс
tooth	пинь
top	медвылыс
top	йыв
topic	сёрнитантор
torn	косялӧм
torture	мучитны
torture	мучитӧм
total	ӧтувъя
touch	инмӧдчыны
tough	сьӧкыд
tour	тур
towel	ки чышкӧд
town	кар
toxic	пагӧдан
trace	туй
track	туй
trade	вузасьны
trade	вузасьӧм
tradition	оласног
traditional	нэмӧвӧйся
traffic	ветлӧм-мунӧм
trail	туй
train	поезд
training	велӧдӧм
trait	визь
trait	сер
traits	серъяс
transfer	водзӧ сетны
transition	вуджӧм
translate	вуджӧдны
transparent	пырыс тыдалана
transport	транспорт
transportation	нуӧм-вайӧм
trap	нальк
trash	лӧп-ёг
trauma	дой
travel	путешествуйтны
tray	поднос
treasure	озырлун
treat	вӧдитчыны
treat	шыӧдчыны
treatment	вӧдитчӧм
tree	пу
tremendous	зэв ыджыд
trend	нырвизь
trial	видлӧм
trial	видлана
trick	трюк
tried	видліс
trigger	курӧк
trigger	пезьдӧдны
trigger	тойыштны
trim	вундыны
trip	ветлӧм
trouble	лёкторъяс
trouble	лӧсьыдтӧмторъяс
trouble	мытшӧдъяс
trousers	гач
truck	грузӧвик
TRUE	збыль
trunk	багажник
trust	дӧверитӧм
trust	дӧверитны
trust	эскыны
truth	збыль
try	видлыны
Tsonga	Тсонга
tube	труба
Tuesday	Воторник
tuition	велӧдӧм
turkey	индюк яй
turkey	индюк
turmeric	куркума
turn	бергӧдӧм
turn	кежӧм
turn	чукыль
turtle	черепаха
tutor	велӧдысь
twelve	дас кык
twenty	кызь
twenty-one	кызь ӧти
Twi	Чви
twice	кыкысь
twist	гартлыны
two	кык
type	сикас
typical	тшӧкыда паныдасьлысь
ugly	урӧс
ultimate	медбӧръя
umbrella	зонтик
unable	оз вермы
uncle	чож
uncle	дядь
unconscious	садьтӧм
under	улын
underneath	улын
underrated	абу тырвыйӧ донъялӧм
understand	гӧгӧрвоны
understood	гӧгӧрвоис
understood	гӧгӧрвоӧма
unfortunately	зэв жаль
uniform	форма
unique	аслыспӧлӧс
unique	вӧвлытӧм
unit	муртӧг
unit	единица
university	университет
unknown	тӧдтӧм
unless	абу кӧ
unless	оз кӧ
unusual	аслыспӧлӧс
up	вылӧ
up to you	тіян сайын
up to you	тэ сайын
update	ӧнъяӧдӧм
update	ӧнъяӧдны
upgrade	бурмӧдӧм
upgrade	бурмӧдны
upon	вылын
upset	шогӧ усьӧм
upset	жугыль
urban	карса
urge	кыскыны
urge	кыскӧм
urgent	эновтны позьтӧм
us	миянлы
use	вӧдитчыны
use	вӧдитчӧм
used	вӧдитчӧм
useful	буртор ваян
useful	колана
useless	ковтӧм
usual	быдлунся
usually	векджык
usually	пырджык
utility	оланін да коммунальнӧй овмӧс
vacation	шойччан кад
vacation	отпуск
vaccination	вакцинируйтӧм
vaccine	вакцина
vacuum	вакуум
vague	дзуг
valid	вына
valley	ковтыс
valuable	дона
value	донъявны
value	дон
variety	унасикаслун
various	торъялан
various	уна нога
various	уна пӧлӧс
vary	торъявны
vase	ваза
vast	паськыд
vegetable	град выв пуктас
vegetables	градвыв пуктас
vehicle	транспорт средство
vendor	ваялысь
venom	яд
venture	предприятие
venue	нуӧданін
verify	прӧверитны
versatile	уна мога
versatile	уна нога
version	версия
vertical	сувтса
very	зэв
very good	зэв бур
vessel	доз
via	пыр
vibe	ру
vibes	сьӧлӧмӧн кылӧм
vicious	лёк
victim	жертва
video	видео
view	видзӧдлас
village	сикт
villain	лёк морт
vinegar	уксус
vintage	сулӧдӧм
violence	мырдӧналӧм
violent	мырдӧна
viral	вируснӧй
virgin	вӧрзьӧдлытӧм
virgin	ветлытӧм-мунтӧм ныв
virtual	виртуальнӧй
virtue	дон
vision	гӧгӧрвоӧм
visit	волыны
visit	волӧм
visual	синмӧн аддзана
vital	зэв колана
vivid	яръюгыд
vocabulary	кывкуд
voice	гӧлӧс
void	куш
void	кушин
volume	йӧрыш
volunteer	ас кӧсйӧм серти вӧзйысьысь
vomit	восны
vomit	вос
vulnerable	слаб
vulnerable	пуков
vulnerable	кокниа дӧзмысь
wage	нажӧтка
wages	удждон
waist	кос
wait	виччысьны
waiter	официант
waiting	виччысьысь
wake	садьмӧдны
wake up	садьмыны
walk	ветлӧдлыны
walk	ветлӧдлӧм
walking	подӧн ветлӧм
wall	стен
wallet	кӧшель
wander	кытшлавны
wanna	кӧсъян
want	окотитны
want	кӧсйыны
wanted	кӧсйис
war	война
wardrobe	шкап
warehouse	видзанін
warm	шонтыны
warm	шоныд
warn	водзвыв ӧлӧдны
warning	ӧлӧдӧм
warrior	воин
was	вӧлі
wash	мыськыны
waste	видзны
waste	шыблас
watch	видзӧдны
water	ва
watermelon	арбуз
wave	гы
way	туй
we	ми
we are	ми лоам
we can	ми вермам
weak	омӧль
weak	слаб
weakness	слаблун
wealth	озырлун
wealthy	озыр
wear	новлыны
wearing	новлысь
weather	поводдя
wedding	кӧлысь
Wednesday	Середа
weed	ёг турун
week	вежон
weekend	шойччан лунъяс
weight	сьӧктӧдны
weight	сьӧкта
weird	тешкодь
welcome	видза корам
welfare	бур олӧм
Well	Бура
well done	молодеч
went	муніс
were	вӧліны
west	рытыввыв
wet	лапыд
wet	уль
wet	васӧд
whale	кит
what	мый
what about you	а тэ
what are you doing	мый тэ вӧчан
what are you doing now	мый тэ ӧні вӧчан
what are you doing right now	мый тэ ӧні вӧчан
what are you doing right now	мый ті ӧні вӧчанныд
what do you do	мый вӧчан
what do you do	мый вӧчанныд
what do you do for a living	мыйӧн ті уджаланныд
what do you do for a living	мыйӧн тэ уджалан
what do you mean	мый йылысь тэ шуан
what do you want	мый ті кӧсъянныд
what do you want	мый тэ кӧсъян
what happened	мый лоис
what is	мый лоӧ
what is this	мый тайӧ
what is your job	мыйсяма удж ті вӧчанныд
what is your job	мыйсяма удж тэ вӧчан
what is your name	кыдзи тэнӧ нимтӧны
what is your name	кыдзи тэнӧ шуӧны
what's up	мый нӧ
what's your name	кыдзи тіянӧс шуӧны
what's your name	кыдзи тэнӧ шуӧны
whatever	быд
wheat	шобді
wheel	гӧгыль
when	кор
whenever	кор
where	кӧні
where are you	кӧні тэ
where are you from	кытысь тэ
where are you now	ӧні ті кӧнӧсь
where are you now	ӧні тэ кӧні
where do you live	кӧні тэ олан
where do you live	кӧні ті оланныд
where is	кӧні
whereas	кор
whereas	сэк
whether	ли
which	коді
while	кор
while	сэк кості
whisper	вашкӧдчӧм
whisper	вашкӧдны
whistle	шутьлявны
white	еджыд
who	коді
who are you	коді тэ
who are you	коді ті
who is	коді лоӧ
who is this	коді тайӧ
whole	дзонь
whom	кодӧс
whose	кодлӧн
why	мыйла
why not	мыйла ог
why not	мыйла оз
wicked	скӧр
wide	паськыд
widow	дӧва
width	пасьта
wife	гӧтыр
wild	вӧрса
will	кӧсйӧм
will	лоӧ
willing	окотитысь
win	вермыны
wind	тӧв
window	ӧшинь
windy	тӧла
wine	вина
winter	тӧв
wipe	чышкыны
wire	сутуга
wisdom	мывкыдлун
wise	сюсь
wise	мывкыд
wish	кӧсйӧм
wish	сины
wish you all the best	сиа тіянлы став бурсӧ
wish you all the best	сиа тэныд став бурсӧ
witch	ёма
withdraw	корны
withdraw	вештыны
withdraw	бергӧдны
withdrawal	кывкӧртӧд
within	пытшкын
witness	аддзылысь
witness	висьтавны
witty	шмоньлив
wolf	кӧин
woman	ань
women	аньяс
won	вермис
won	вермӧма
won't	оз
wonder	дивӧ
wonder	шемӧс
wonderful	дивӧ кодь
wonderful	шемӧсмӧдана
wood	пу
wool	вурун
word	кыв
words	кывъяс
work	удж
work	уджавны
work out	тренируйтчыны
working	уджалысь
world	мир
worm	нидзув
worn	киссьӧм
worried	майшасьӧм
worry	майшасьны
worse	лёкджыка
worse	лёкджык
worship	копрасьны
worst	медлёк
worth	дон
worth it	сулалӧ
worthy	сулалана
wound	дой
Wow	Ого
wrap	гартны
wrath	лӧглун
wrist	килутш
write	гижны
Write here	Гиж татчӧ
Write here	Гижӧй татчӧ
writing	гижӧм
written	гижӧм
wrong	лӧсявтӧм
wrong	абу веськыд
wrote	гижис
yard	йӧр
yawn	очсавны
yawn	очсыштӧм
Yeah	Да
year	во
years	вояс
yeast	шомӧс
yell	горзыны
yellow	кольквиж
Yes	Да
yes baby	да, мусаӧй
yes dear	да, донаӧй
yes honey	да, донаӧй
yes my love	да, менам муслунӧй
yes of course	да, дерт
yesterday	тӧрыт
yet	нӧшта
yet	на
yield	сетчыны
you	тэ
you are	ті лоанныд
you are	тэ лоан
you are beautiful	тэ мича
you are beautiful	ті мичаӧсь
you are so beautiful	ті сэтшӧм мичаӧсь
you are so beautiful	тэ сэтшӧм мича
you are welcome	бур вылӧ
you are welcome	нинӧмысь
you can	тэ верман
You know	Тэ тӧдан
You know	Ті тӧданныд
you too	тэ тшӧтш
you're welcome	бур вылӧ
young	том
your	тэнад
your welcome	тіян бура гӧститӧдӧм
yourself	асьнытӧ
yourself	асьтӧ
youth	томлун
youth	томулов
you’re welcome	бур вылӧ
yummy	чӧскыд
zero	ноль
