a	ए
swelling	बुनाय
swim	सानस्रि
swimming	सानस्रिनाय
swing	लोर सोर मावनाय
swing	दिनदाङै लोर सोर माव
switch	थानिजों बु
switch	हरखाब सोलायनाय
swollen	मोदोम बुनाय
sword	थुंग्रि
symbol	नेरसोन
sympathy	अनखांनाइ
symptoms	बेरामनि लोक्षोन
system	खानथि
table	आरांगा
tackle	बारलां
tag	फारनैबो बिजौथिं फिथलाइनि जं लागायनाय दिरुं
tail	लानजाइ
take	नाजाव
take	ला
take away	लांखार
take care	जोथोन ला
take off	बिरखो लां
taken	ला
talk	रायजलाय
talk	रायलायनाय
talkative	रायलायसोग्रा
tall	गोजौ
tap	दै गनाय फिसा नोलि
tap	दै गलांग्रा नोलि लगाय
tape	फिटा
target	थांखि
target	नोजोर
task	मावनो लानाय हाबा
taste	थावनाय
taste	साखिनाय
tasty	गोथाव
taught	फोरोंनाय
tea	साहा बिफां
teach	फोरों
teacher	फोरोंगिरि
team	गेलेग्रा हानजा
tear	मेगन मोदै
tears	मोदै
tease	एदाव
technology	बाहाय बिगियान
teeth	हाथाय
tell	बुं
tell me	आंनो खिन्था
temper	मेजाज
temperature	बिदुंनि गुदुं गुसुनि बिबां
temple	मन्दिर
temporary	अरायथा नङि
ten	जि
ten thousand	जि रोजा
tenant	फोरजा
tend	जोथोन ला
tendency	गोसो जानाय
tender	थमखा
tense	सिनता
tension	सिनथा
tent	तम्बु न'
tentative	आनजाद आरि
term	थि सम
terms	थि सम
terrible	गिलु बालु
terrific	गिलुबालु
territory	राइजो
test	आनजाद नाय
test	आनजाद
text	बिजाबनि फरा
than	अब्ला
thank	साबायखर
thank you	गोजोनथों
Thank you for your patience while we investigate shipment	नोंथांनि थफ्लाखौ नायबिजिरबाय थानायाव सहायनानै थानायनि थाखाय हामबायसै
thank you so much	जोबोद हामबाय
thank you very much	जोबोर गोजोन्थों
thanks	साबायखर
Thanks for using our app	जोंनि एफखौ बाहायनायनि हामबायसै
that	बै
that is	बैयो
that's good	बियो मोजां
the	दा
theft	सिखाव
their	बिसोरनि
them	बिसोरखौ
theme	गुबै सानथौ
themselves	बिसोर गावबागाव
then	होमबा
then	अब्ला
theory	बुंफुरलु
there	बैहाय
there are	बैयाव
there is	बैहाय
therefore	बेनिखायनो
these	बेफोर
they	बिसाग
they are	बिसोरो
thick	रोजा
thief	सिखाव
thigh	फेनदा
thin	हामक्रें
thing	मुवा
things	जिनिस
think	सानना नाय
third	थामथि
thirsty	गांनाय
thirteen	जि थाम
thirty	थामजि
this	नैबे
this is	बियो
thorough	गोथौयै
thoroughly	आबुङै
those	बैफोर
though	थेवबो
though	ब्लाबो
though	जिदिअ
thought	सानथौ
thought	सानदोंमोन
thoughtful	सानथाव
thoughts	सिनथा
thousand	से रोजा
thread	खुनदुं
threat	दुमखि
threaten	सिगि
three	थाम
threshold	दरखं
thrilled	रिम रिम मोन
thrive	देहागोनां जा
throat	गोदोना
through	बे खरनिफ्राय बै खरसिम
throughout	गासैयावबो
throw	गार
thumb	आसि बिमा
thunder	अखा खोरोमनाय
Thursday	बिसटिबार
thus	बे रोखोमै
tick	बाखि
tide	फैला सेम
tidy	साखोन सिखोन
tie	खा
tie	गोदोनायाव खाग्रा सि
tiger	मोसा
tight	गोरा
Tigrinya	इथिअ'पिया नि राव
time	सम
timid	गिख'
tiny	जोबोद फिसा
tip	बानथा
tips	बानथा
tire	में
tired	मेंनाय
tissue	रोखोमसे मिहियै दानाय सि
title	बिमुं
to	फारसे
to	सिम
to be	जानो गोनां
toast	अराव हां
today	दिनै
toddler	थाबायनो रोंहांनाय गथ'
toes	आथिंनि आसिगुर
together	जयै
toilet	पायखाना
told	गासै जमा
tolerance	सहायनाय
tolerate	सैज' खालाम
tomato	लामबेहरा
tomorrow	गाबोन
tongue	सालाय
tonight	दा मुनायाव
too	आंबो
took	लांबाय
tool	आइजें
tools	आइजें आइला
tooth	हाथाय
top	थिखिनि
topic	बिबुंसार
torn	बिसि
torture	खस्त हो
total	जुगथियै
touch	दां
tough	गोक्रों
tour	दावबायनाय
toward	फारसेथि
towards	फारसेथिं
towel	गामसा
town	सोहोर
toxic	बिसगोनां
trace	नागिरना दिहुन
track	सं दान
trade	बायनाय फाननाय
trade	बायनाय फाननाय खालाम
tradition	नेमखानथि
traditional	सिगांनिफ्राय सोलिबोबाय थानाय नेमखानथि
traffic	खारबार
trail	सुस्रिना लां
train	रेल गारि
training	फोरोंथाय
trait	लोक्षोन
traits	अथुमनाय
transfer	सोलाय
transition	सोलायनाय
translate	राव सोलाय
transparent	नुजासारनाय
transport	रोगा
transportation	होखार हरनाय
trap	फानदो
trash	दाखोर दाला
trauma	जखमजाना थानाय
travel	हानथि
tray	थाल
treasure	बुथुमनाय धोन समफद
treat	बाहाइ
treatment	सिखितसा
tree	बिफां
tremendous	गिलुबालु
trend	गोसो लुंहेनाय
trial	बिसार
trick	सोलो
tried	नाजानाय
trigger	सिलाइनि गराय
trigger	सालायनाय
trim	गुसुङै हास'
trip	दावबायनाय
trouble	कष्ट
trousers	पाइजामा
truck	लरि
true	सैथो
trunk	दंफांनि गुदि
trust	फोथायनाय
trust	फोथाय
truth	सैथा
try	नाजा
Tsonga	खोला आफ्रिखानि राव
tube	नोलि
Tuesday	मंगलबार
tuition	फोरोंनाय
turkey	पेरु दाव
turmeric	हालदै
turn	फिदिं
turtle	खासेव
tutor	फोरों
twelve	जिनै
twenty	नैजि
twenty-one	नै जिसे
Twi	घाना हादरनि राव
twice	खननै
twist	मेराय
two	नै
type	रोखोम
typical	नेरसोनथि गोनां
ugly	नायनो सुखुयै
ultimate	जोबथि
umbrella	साथा
unable	हायि
uncle	आमाय
unconscious	जेबो थाल गैयै
under	सिं
underneath	सिंआव
underrated	हिन सान
understand	बुजि
understood	बुजिबाय
unfortunately	खाफाल गैयै
uniform	एखे रोखोमनि
unique	मोननाय गैयै
unit	मोनसेल' मुवा
university	भुमफरायसालिमा
unknown	सिनायमोनि
unless	जेब्लासिम
until	जेब्लासिम
unusual	गोमोथाव
up	गोजौआव
up to you	नोंनि सिम
update	मिथिना थानाय
update	जौगानाय
upgrade	जौगा
upgrade	मासि दावगा हो
upon	सायाव
upset	सासिं खालाम
urban	नोगोरारि
urge	खावलायनाय
urge	खावलाय
urgent	गोनांथार
us	जों
use	बाहायनाय
use	बाहाय
used	बाहायजानाय
useful	दरकारि
useless	खामानियाव गैयि
usual	सादारन
usually	सरासनस्रायै
utility	गोनांथि
vacation	सुथि
vaccination	टिखा हो
vaccine	टिखा
vacuum	मैला सिबस्रांग्रा जनथ्र'
vague	रोखानङै
valid	आइननि गोहो
valley	हायेन
valuable	बेसेनगोनां
value	दाम थि खालाम
value	बेसेन
variety	बायदि रोखोम
various	बायदि रोखोमनि
vary	सोलाय
vase	बासोन
vast	बेसेबा गेदेर
vegetable	मैगं - थाइगं
vegetables	मैगं
vehicle	मथर गारि
vendor	फानग्रा
venom	बिसगोनां
venture	सरखारि नङै
venue	जुथुम थिलि
verify	फोरमान खालाम
versatile	गोबां आयदायाव गोरों
version	दानस्लायनाय
vertical	थिया
very	जोबोरैनो
very good	जोबोद मोजां
vessel	थै खारग्रा रोदा
via	आलि
vibe	खुसि जानाय
vibes	रंजानाय
vicious	गाज्रि
victim	बोलि
video	सबि
view	नाइ
village	गामि
villain	गाज्रि मानसि
vinegar	सिरका
vintage	आंगुर बुथुमग्रा मानसि
violence	हिंसा
violent	हिंसा
viral	गोसारनाय
virgin	सिखला आइथा
virtual	महर दानाय
virtue	मोजां गुन
vision	नुनाय गोहो
visit	नायनो थां एबा फै
visit	नायनाय
visual	नुथाय
vital	गोनांथार
vivid	रोखा
vocabulary	सोदोबनि बाक्रि
voice	राव
void	उदां
volume	बिजाब
volunteer	गावहारसिङै गोसो जानानै खामानि मावग्रा
vomit	गोबादै
vomit	गोबा
vulnerable	जखम खालामनो एबा गागलोबनो हाथाव
wage	दरमा
wages	बेटन
waist	जानजि
wait	ने
waiter	हदेल आव जाग्रा मुवा रोगाग्रा
waiting	नेथ'दों
wake	सिखार
wake up	सिखारद'
walk	थाबाय
walk	थाबायनाय खामानि
walking	थाबायदों
wall	बेरा
wallet	रां मना
wander	आनदाइनाय
wanna	थांनो गोसो
want	आंखाल
wanted	नुजाथिनो गोनां
war	रोन
wardrobe	जि जोम दोननाय आलमारि
warehouse	माल माता दोनग्रा न'
warm	आबाद फामु
warm	आबाद खालाम
warn	साबदान खालाम
warning	सामोल
warrior	दावहा नांग्रा
was	मोन
wash	सु
waste	खामानियाव फैयै जा
waste	उदायै
watch	नाइ
water	दै
watermelon	खुरुमजा
wave	दोहौ
way	लामा
we	जों
we are	जोंओ
we can	जों हायो
weak	लोरबां
weakness	लोरबांथि
wealth	धोन
wealthy	धोनि
wear	सि जोम बायदिसिना गाननाय
wearing	गानबाय थानाय
weather	बोथोर
wedding	जुलिनि दिन
Wednesday	बुधबार
weed	रज'ला बायनाय गांसो एबा लाइफां
week	सपताह
weekend	सबथानि जोबथा दिन
weight	गिलिर
weight	अजन
weird	सोमोथाव
welcome	गोजोन फै
welfare	सुखु
Well	मोजां
well done	मोजां
went	थांबाय
were	नैथि सुबुंनि आखु दिनथिनो
west	सोनाब
wet	गिसि
whale	तिमि ना
what	मा
what about you	नोंथानिआ माबोरै
what are you doing	नोंथांआ मा खालाम गासिनो दं
what are you doing now	नोंथांआ दायो मा खालामबाय दं
what are you doing right now	नोंथांआ दा मा खालाम दों
what do you do	नोथांआ मा मावो
what do you do for a living	नोंथांआ थांनानै थानो थाखाय मा मावो
what do you mean	नोंथांआ मा बुंनो सानदों
what do you want	नोंनो मा नांगौ
what happened	मा जाखो
what is	बबेया
what is this	मा बियो
what is your job	नोंथांआ मा साक्रि मावओ
what is your name	नोंथांनि मुंआ मा
what's up	मा खालामदों
what's your name	नोंनि मुंआ मा
whatever	जिखुनुजा
wheat	गम
wheel	साका
when	माब्ला
whenever	जायखिजाया समावनो
where	बहा
where are you	नों बबेयाव दं
where are you from	नोंथांआ बबेनि जाखो
where are you now	नोंथांआ बबेआव दं दायो
where do you live	नोंथांआ बबेआव‌ थायो
where is	बबेआव
whereas	बबेखानि
whether	बबेखौ
which	जायखौ
which	सोर
while	इसे सम
whisper	लासै बुं
whistle	मुसुर
white	गुफुर
who	सोर
who are you	नोंओ बबेयाव दं
who is	सोर ओ?
who is this	सोर बियो
whole	गासिबो
whom	सोर
whose	सोरनि
why	मानो
why not	मानो नङा
wicked	दुथां
wide	गुवार
widow	फिसाय थैजानाय
width	गुवार
wife	बिसि
wild	हाग्रानि
will	माबा मावनो नाजानाय
will	हाबिला
will	गोसो
willing	गोसो जानाय
win	मोनफुं
wind	बार
window	खिरकि
windy	बार बारबाय थानाय
wine	जौ
winter	गोजां बोथोर
wipe	हुगार
wire	तार
wisdom	गियान
wise	गियानि
wish	गोसो खालाम
wish	हाथायनाय
wish you all the best	मोजांयै मोजां जाथों
witch	डाइनी
with	लोगोसे
with	दारै
with	जों
withdraw	दैखांना ला
withdrawal	दैखांना लाफिननाय खामानि
within	सिमानि गेजेराव
without	गैयालासे
witness	साखि
witness	गावनि मेगनजों नु
witty	सोलो
wolf	सियाल
woman	आइजो
women	आइजो
won	देरहाबाय
won't	जाया
wonder	गोमोथाव
wonderful	बाखनायथाव
wood	दंफां
wool	उल खुनदुं
word	सोदोब
words	सोदोब
work	खामानि माव
work	खामानि
work out	ब्याम खालाम
working	खामानि मावबाय थानाय
world	बुहुम
worm	मोस्रोम
worn	जामलां
worried	जिंगासिनाय
worry	जिंगासि
worse	गारजिसिन
worship	खुलुम
worst	गारजिसिन
worth	बेसेन
worth it	बेसेन
worthy	बेसेन गोनां
would	जानो नाजानाय
wound	दुखु मोननाय
Wow	गोमोनाय
wrap	मेराय
wrath	राग
wrist	आखायाव गानग्रा
write	लिर
Write here	बियाव लिर
writing	रेबनाय
written	लिरनाय
wrong	गोरोन्थि
wrote	लिर
yard	गज
yawn	खुगा सियायनाय
Yeah	औ
year	बोसोर
years	बोसोर
yeast	फेंफोना
yell	हब्रा
yellow	गोमो
Yes	थार
Yes	नंगौ
yes baby	औ बाबु
yes dear	अनजालि
yes dear	नंगौ आनजालु
yes honey	औ सना
yes my love	नंगौ आंनि अनजालि
yes of course	नंथारगौ
yesterday	मैया
yet	दासिमबो
yield	मानिना ला
you	नों
you are	नोओ
you are beautiful	नों जोबोद समायना
you are so beautiful	नों जोबोर समायना
you are welcome	नोंथांखौ बरायो
you can	नों हागोन
You know	नों मिथिगौ
you too	नोंथांआ
you're welcome	नोंथांखौ बरायबाय
young	लाइमोन
your	नोंनि
your welcome	बरायनाय
yourself	नों गावनो
youth	लायमोन
you’re welcome	बरायबाय
yummy	गोथाव
zero	लाथिख'
