ၼိူင်ႈဢၼ်	a
ႁဝ်းႁၵ်ႉၼွင်ႉယိင်းႁဝ်း	I love my little sister
ႁဝ်းႁၵ်ႉမႄႈႁဝ်း	I love my mother
ႁဝ်းႁၵ်ႉသူ	I love you
ႁဝ်းႁၵ်ႉသူ တေႉတေႉ	I love you so much
ႁဝ်းၵေႃႈ ႁၵ်ႉသူ	I love you too
ၵဝ်ၶႂ်ႈဝႃႈၼႆႉ	I mean
ႁဝ်းၸႂ်ထိုင်သူ	I miss you
ႁဝ်းၸႂ်ထိုင်သူတေႉယဝ်ႉ	I miss you so much
ႁဝ်းပွင်ႇၸႂ်ယဝ်ႉ	I see
ၵဝ်ဝူၼ်ႉဝႃႈ	I think
ႁဝ်းႁူႉပွင်ႇ	I understand
ၵဝ်ၶႂ်ႈလႆႈ	I want
ႁဝ်းၶႂ်ႈထူပ်းသူ	I want to see you
ႁဝ်းၶႂ်ႈလႆႈ	I want you
ႁဝ်းပဵၼ်မႃး	I was
ႁဝ်းတေ	I will
ႁဝ်းၶႂ်ႈပဵၼ်	I would be
ႁဝ်းပဵၼ်	I'm
ႁဝ်းယူႇလီယူႇ	I'm fine
ႁဝ်းယူႇလီယူႇ	I'm good
ႁဝ်းမီးၼႆႈ	I'm here
ၶႂၢင်းပၼ်ႁဝ်းသေၵမ်း	I'm sorry
ၼမ်ႉၶႅင်	ice
ၼမ်ႉမူၺ်	ice cream
တၢင်းဝူၼ်ႉ	idea
တၢင်းဝူၼ်ႉ	ideal
ဢမ်ႇၸႂ်ႈတၢင်ႇဢၼ်	identical
မၵ်းမၼ်ႈ	identify
ၼေလၵ်းထၢၼ်	identity
ၵူၼ်းၵႅၵ်း	idiot
ဢမ်ႇလႆႈလွင်ႈ	idle
သင်ဝႃႈ	if
ပိုၼ်ႉပႅတ်ႈ	ignore
ၼၢဝ်	ill
သၢၼ်ၶတ်းလၵ်းမိူင်း	illegal
ၼၢဝ်	illness
ၶိူဝ်းဢီႇလူဝ်ႇၶႃႇလူဝ်ႇ	Ilocano
ပုင်ႇႁၢင်ႊ	image
ဝူၼ်ႉႁၼ်	imagine
ၵမ်းသိုဝ်ႈ	immediate
ၵမ်းလဵဝ်	immediately
ယႂ်ႇလူင်	immense
တဵၵ်းသႂ်ႇ	impact
တိူဝ်ႉသႂ်ႇႁႅင်း	impact
ၸႂ်ပွတ်း	impatient
ႁဵတ်းႁႂ်ႈယဝ်ႉ	implement
ၵုၼ်ႇသႂၢင်း	import
လၢၵ်ႇလၢႆး	import
လမ်ႇလွင်ႈ	important
မၵ်ႉမၼ်ႈတၢင်းၽိတ်း	impose
ဢမ်ႇပဵၼ်လႆႈ	impossible
လႆႈၸႂ်	impress
တၢင်းႁၼ်ထိုင်	impression
လီထၢင်ႇယႂ်ႇ	impressive
တိူဝ်းတွၼ်းၶိုၼ်ႈယႂ်ႇမႃး	improve
ႁုၼ်ႈမုၼ်း	improvement
တၢင်းၼႂ်း	in
သႂ်ႇထႅင်ႈ	in addition
ဝႃႈမႃးတေႉၵေႃႈ	In fact
တၢင်းၼႃႈ	in front of
ၶပ်ႉထၢမ်း	in order to
ဢမ်ႇလႅၵ်ႈသၢၵ်ႈ	inappropriate
ပၼ်ႁႅင်း	incentive
လၢႆးပဵၼ်	incident
ၶဝ်ႈပႃးဝႆႉ	include
ၶဝ်ႈပႃးဝႆႉ	including
ငိုၼ်းၶဝ်ႈ	income
သၢႆငၢႆဢမ်ႇၶႅမ်ႉ	inconvenience
တိူဝ်းၼမ်မႃး	increase
ၼမ်ၶိုၼ်ႈမႃး	increased
ၶိုၵ်ႉၶႅမ်ႉ	incredible
တီႈတႄႉမၼ်း	indeed
လွင်ႈလွတ်ႈလႅဝ်း	independent
မိူင်းဢိၼ်းယႂ်း	India
ယိူင်းၸူး	indicate
ပဵၼ်ၸၢဝ်းၶိူဝ်း	indigenous
လၢႆးၵေႃႉ	individual
ႁူင်းၸၢၵ်ႈ	industry
ဢၼ်ယၢမ်ႈပဵၼ်	inevitable
ဢေလႅင်	infant
ၸပ်းတၢင်းပဵၼ်	infection
မိုၼ်ႇမုင်ႊ	infinity
ၵႂ်ႊ	inflammation
ငိုၼ်းၵႂ်ႊ	inflation
ႁႅင်းပွင်ႊ	influence
ႁူမ်ႇမုင်း	influence
ပွင်ႇလႅင်း	inform
ၶေႃႈမုၼ်း	information
ၶဝ်ႈၶိုင်	ingredients
ပုတ်ႈၶူဝ်းပုတ်ႈ	inheritance
ဢၼ်တႄႇ	initial
ဢွၼ်ၼႃႈ	initiative
မၢတ်ႇၸဵပ်း	injured
သမ်းၶဵမ်	injury
ဢမ်ႇမီးတၢင်းၽိတ်း	innocent
လႅၵ်ႈလၢႆႊလၢႆးမႂ်ႇ	innovation
ၸွပ်ႇထၢမ်	inquiry
ၸႂ်ဢမ်ႇလီ	insane
မူင်ႈမႅင်း	insect
ႁၢမ်းလွင်ႈၵႅတ်ႈၵင်ႈ	insecure
မူင်ႈမႅင်း	insert
တၢင်းၼႂ်း	inside
ၺၢၼ်ႇႁၼ်ထိုင်လွၼ်ႉ	insight
တိုၵ်းသူၼ်းတေႉဝႃႈ	insist
တၢင်းပဵၼ် ၼွၼ်းဢမ်ႇလႆႈ	insomnia
ၶူင်ႉထူၺ်ႈၸႂ်	inspiration
ယူင်းသေႃႇ	inspire
သႂၢင်းသႂ်ႇ	install
ပိူင်ပဵၼ်	instance
တႃႉဢဝ် ၼႆႉတႅၼ်း	instant
ၽိူဝ်ႇတႃႉ	instead
တႃႉတိုဝ်း	instead of
ၶေႃႈပၼ်ဝႆႉ	instructions
ၶိူင်ႈႁႆႇတိုင်ႈ	instrument
လႃႇ	insult
ႁပ်ႉပဝ်ႊ	insurance
တိုၵ်ႉလီယူႇ	intact
သိုဝ်ႈယူဝ်း	integrity
ၺၢၼ်ႇပၺ်ႇၺႃႇ	intellectual
လႅတ်းၾၢႆ	intelligence
လႅတ်းၽၢႆ	intelligent
ယိူင်းဢၢၼ်း	intend
ယိူင်းၸူး	intended
ယႂ်ႇႁႅင်းၼႃႇ	intense
ပၵ်းၸႂ်	intention
သူၼ်ၸႂ်	interact
တုမ်ႉတွပ်ႇ	interaction
ၶဝ်ႈၸႂ်	interest
ၶဝ်ႈၸႂ်	interested
လွင်ႈလီသူၼ်ၸႂ်	interesting
ၶဝ်ႈၵၢင်	interfere
ၸၼ်ႉၵၢင်	intermediate
ၽၢႆႇတၢင်းၼႂ်း	internal
ၵဵဝ်ႇတင်းၵူႊမိူင်းမိူင်း	international
ၶၢဝ်းတၢင်းထိင်းသိမ်း	internship
ၵဵပ်းတီႈပွင်ႇ	interpret
ၵူၼ်းပိၼ်ႇၾၢၼ်ႊ	interpreter
ၶၢတ်ႇၵႃႇ	interrupt
သွပ်ႇၸၢမ်း	interview
ၸမ်ၸႂ်	intimate
ၶဝ်ႈၵႂႃႇ	into
သိုပ်ႇမိုတ်ႈ	introduce
ၶေႃႈၼၢမ်း	introduction
ယူႇပိၼ်ႉယူႇပႅတ်ႈ	introvert
ႁူႉဝႆႉႁင်းၵွၺ်း	intuition
ဢမ်ႇၶဝ်ႈၶႂၢင်ႇတြႃး	invalid
ၶူင်ႊသၢင်ႈ	invent
ၸလၢင်းၵုၼ်ႇ	inventory
ၽင်တိုၼ်းလၢင်း	invest
ၸွပ်ႇထၢမ်	investigate
ၽိတ်ႈႁပ်ႉဢဝ်	invitation
ၽိတ်ႈမွၵ်ႇ	invite
သဵၼ်ႈၶူဝ်းၵုၼ်ႇ	invoice
ႁဵတ်းသဵၼ်ႈ	invoice
ၶဝ်ႈပႃးၸွမ်း	involve
ၶဝ်ႈပႃးၸွမ်း	involved
တဵင်ႇသိူဝ်ႈၶူဝ်း	iron
လဵၵ်းၶၢင်	iron
ပဵၼ်	is
ၵုၼ်	island
ၸႅၵ်ႇဝႆႉ	isolated
ပိုၼ်ႊၽၢဝ်ႇ	issue
ပၼ်ႁႃ	issue
လွင်ႈတၢင်း	issues
ဢၼ်ၼၼ်ႉ	it
ၼၼ်ႉပဵၼ်	it is
ၼၼ်ႉပဵၼ်မႃး	it was
ၼၼ်ႉပဵၼ်	it's
ၶႅမ်ႉတေႉ	it's ok
ၶႅမ်ႉလႅပ်ႈလီ	It's okay
ၶူဝ်းၸႂ်ႉ	item
ၶူဝ်းၶွင်	items
ၶွင်မၼ်း	its
ၵဝ်ပဵၼ်	I’m
သိူဝ်ႈသွၼ်ႉ	jacket
ၶွၵ်ႈ	jail
လိူၼ်ၼိူင်ႈ	January
ၵွၵ်းၵႅဝ်ႈလူင်	jar
ၵွင်ႉၵၢင်း	jaw
သူၺ်ႈ	jealous
ၸၵ်ႉယုပ်း	jerk
ၶိူင်ႈႁွၺ်ႈၶိူင်ႈတိုဝ်း	jewelry
ၼႃႈၵၢၼ်	job
ဢွင်ၸွၵ်း	jogging
ၶဝ်ႈၸွမ်း	join
ၼိူဝ်ႉလုပ်ႇ	joint
ၵိူဝ်ႉလဵၼ်ႈ	joke
ၽူႈတႅမ်ႈလိၵ်ႈ ၸျႃႇၼႄႇ	journalist
ၶၢဝ်းတၢင်းယၢဝ်း	journey
ႁုၼ်ႉၼူဝ်	joy
ၽူႈထတ်းသိၼ်	judge
ထတ်းသိၼ်	judge
ၼမ်ႉဝၢၼ်	juice
လိူၼ်ၸဵတ်း	july
ဝႅၼ်	jump
လိူၼ်ႁူၵ်း	june
ၸေႈသႃ	junk
ၵူၺ်း	just
ႁဵတ်းၼႆႉၵွၺ်ႈလႃႈ	just do it
လွင်ႈၽဵင်ႇပဵင်း	justice
မၢၼ်ႇမႅၼ်ႈ	justify
ၶိူဝ်းၵူႃႇလႃႇလီႉသုတ်ႉ	Kalaallisut
ပႃးၸႂ်ပႃးၶေႃး	keen
ၵဵပ်းသိမ်း	keep
သိမ်းမၼ်းဝႆႉ	keep it up
ထိင်းဝႆႉ	kept
ငွၺ်း	kettle
ၵၢၵ်ႇသေႃး	key
ပိတ်ႉ	kick
လုၵ်ႈဢွၼ်ႇ	kid
ယဝ်ႉလဵၼ်ႈ	kidding
တပ်း	kidney
လုၵ်ႈဢွၼ်ႇ	kids
ႁႅမ်	kill
ၸႂ်လီ	kind
ၸိူဝ်ႉၶိူဝ်း	kind
တၢၼ်ႇတၢၼ်ႇ	kinda
ၸႂ်လီ	kindly
ၸႂ်လီ	kindness
ၶုၼ်ႁေႃၶမ်း	king
ၸုပ်ႇ	kiss
သိုင်ႇၾႆး	kitchen
လၢင်းယၢၼ်း	kite
ဢေမႅဝ်	kitten
ၶုပ်ႉၶဝ်ႇ	knee
ႁူဝ်ၶဝ်ႇ	knee
ႁူႉယဝ်ႉ	knew
မိတ်ႈ	knife
ၽူႈႁတ်းႁၢၼ်	knight
ႁူႉ	know
တၢင်းႁူႉ	knowledge
ႁူႉယဝ်ႉ	known
ၶူဝ်းၶွၼ်ႇၶႃႇၼီႇ	Konkani
ၶိူဝ်းၶရီႇဢူဝ်	Krio
မိၵ်ႈယႃႈယႃ	label
ၼေၸိုဝ်ႈတွၼ်ႊ	label
ႁွင်ႈပၢႆးသၢႆႊ	labor
ၵၢၼ်ၵႅမ်း	labour
ႁၢမ်း	lack
ၶူဝ်လႆ	ladder
သၢဝ်	lady
သိူဝ်ႇ	laid
ၼွင်	lake
ဢေၸဵၼ်ႊ	lamb
ၶႃႁၵ်း	lame
ဢေတူဝ်း	lamp
ၼိူဝ်လိၼ်	land
လိၼ်	land
လႅၼ်ႊမုင်ႈတၢင်းၼွၼ်း	landscape
လႅၼ်ႊမုင်ႈ	landscape
လိၵ်ႈလၢႆးၵႂၢမ်းလၢတ်ႈ	language
ၶႃလူင်	lap
လူင်	large
လိုၼ်းသုတ်း	last
ၵမ်းလိုၼ်း ၵူၺ်းၵႃႊ ဢမ်ႇၸႂ်ႈတီႈဢေႇသုတ်း	last but not least
ၸိုဝ်ႈတၢင်းလင်	last name
တူၵ်းလိုၼ်း	late
တူၵ်းလိုၼ်း	lately
ဝၢႆးလိုၼ်း	later
ၵမ်းလိုၼ်း	latest
ဝၢႆးလိုၼ်း	latter
ၶူဝ်	laugh
ၶူဝ်	laughing
ၵူၼ်းၶူဝ်	laughter
တႄႇႁဵတ်းၼႃႈၵၢၼ်	launch
တီႈသၵ်းၶူဝ်း	laundry
ပၵ်းပိူင်	law
ပၢင်ႇယိူဝ်ႈ	lawn
ၽူႈတၢင်လၢတ်ႈ	lawyer
လူမ်ႉ	lay
ထၢပ်ႈ	layer
ထၢပ်ႈ	layout
ၶၢၼ်ႉ	lazy
ဢွၼ်ႁူဝ်	lead
ၽူႈဢွၼ်ႁူဝ်	leader
မႂ်ႊမႆႉ	leaf
ၸိုမ်းဢွၵ်ႇ	leak
ၶွၼ်း	lean
ဢွင်	leap
ႁဵၼ်း	learn
ႁဵၼ်းသွၼ်	learning
လိၵ်ႈၶၢၼ်ႈၼင်လိၼ်	lease
တီႈဢေႇသုတ်း	least
ၼင်	leather
မႂ်ႊမႆႉ	leave
ဢွၵ်ႇၵႂႃႇ	leaves
ဢွၼ်ႁူဝ်	led
ၽၢႆႇသၢႆႉ	left
တိၼ်	leg
ၶူဝ်းပုတ်ႈ	legacy
ၶဝ်ႈၶႂၢင်ႇတြႃး	legal
ဢႃႊသိူၵ်ႈ	legend
ၶဝ်ႈတၢင်းၵၢၼ်	legit
လိုဝ်ႈႁိူဝ်ႉ	leisure
ၵူႈ	lend
တၢင်းယၢဝ်း	length
ဢေႇ	less
ၶၢဝ်းသွၼ်လိၵ်ႈ	lesson
တွၼ်ႊသွၼ်	lesson
ဢွၼ်ၵၼ်	let
လိၵ်ႈထွင်	letter
တူဝ်မႄႈလိၵ်ႈ	letter
ၽၵ်းသလၢပ်ႈ	lettuce
ၸၼ်ႉ	level
ၺိပ်ၶၢႆႉ	leverage
မီးဝႆႉပုၼ်ႈၽွၼ်း	liability
ႁူင်းလၢႆး	library
လေး	lick
ပႅတ်ႉလႅၼ်	lie
လွင်ႈလႅၼ်	lie
ပႅတ်ႉလႅၼ်	lies
ၸၢတ်ႈပၢၼ်	life
ၸၢၵ်ႈတိဝ်ႈၶိုၼ်ႈ	lift
ယွင်ႈ	lift
သၢႆလႅင်း	light
မဝ်ႊ	light
ၸပ်းၾႆး	light
ၾႃႉမႅပ်ႈ	lightning
လႆႈၸႂ်	like
မိူၼ်ႁၢင်ႊ	likely
မိူၼ်ၼႆ	likewise
သၢႆ	line
ၶိူဝ်းလိင်ႇၵႃႇလႃႇ	Lingala
ၵဵဝ်ႇၵွင်ႉ	link
သၢင်ႇသီႈ	lion
ၼမ်ႉလႅဝ်ႊ	liquid
သႅၼ်ႈ	list
ထွမ်ႇ	listen
ထွမ်ႇယူႇ	listening
သိုဝ်ႈသိုဝ်ႈ	literally
ပၢႆးလိၵ်ႈလူင်	literature
ဢိတ်းဢွတ်း	litter
ဢၼ်ဢေႇ	little
ယူႇသဝ်း	live
သၢႆၸႂ်	live
တပ်း	liver
ယူႇ	lives
ယူႇသဝ်း	living
ႁွင်ႈႁပ်ႉၶႅၵ်ႇ	living room
ဢၢင်ႇၶၢင်	lizard
ၶွၼ်ႇ	load
ၶဝ်ႈမုၼ်းမူင်ႊ	loaf
ငိုၼ်းၶီႈ	loan
ပိုၼ်ႉတီႈ	local
တီႈယူႇ	location
ၵၢၵ်ႇသေႃး	lock
ဢိုတ်းတၢင်းၶဝ်ႈဢွၵ်ႇ	lockdown
တုမ်မႆႉ	log
ႁႁႁ	lol
ၵေႃႉလဵဝ်	lonely
ယၢဝ်း	long
ဢမ်ႇလႆႈႁၼ်ၵၼ် ႁိုင်ယဝ်ႉ	long time no see
တူၺ်း	look
တူင်ႇ	loop
လူမ်	loose
ၾႃႉၸဝ်ႈ	lord
သုမ်း	lose
သုမ်း	loss
သုမ်း	lost
ၼမ်	lot
သဵင်ႁႅင်း	loud
ၶၢၼ်ႉဢိူၼ်လိူၼ်	lounge
တၢင်းႁၵ်ႉ	love
ႁၵ်ႉသူ	love you
လီႁၵ်ႉ	lovely
တီႈတႂ်ႈ	low
တႅမ်ႇတိူဝ်း	lower
ၶုၼ်	loyal
ဢၼ်မီးသတ်ႉၸႃႇ	loyalty
သုၼ်ႇ	luck
သုၼ်ႇလီ	lucky
ၶိူဝ်းလူႇၵၢတ်ႇတႃႇ	Luganda
တိူၵ်ႈၶူဝ်း	luggage
ပဵၼ်ၵွၼ်ႈ	lump
ၶဝ်ႈၼႂ်	lunch
ပွတ်ႇ	lungs
ၸေးၸိမ်ႇ	luxury
ပႅတ်ႉလႅၼ်	lying
ၸၢၵ်ႈ	machine
ယွင်ႇ	mad
မႄႈသၢဝ်	madam
ႁဵတ်းဝႆႉ	made
ပပ်ႉမႅၵ်ႉၵၸိၼ်း	magazine
ၶိုၵ်ႉၶႅမ်ႉ	magnificent
လုၵ်ႈၸၢင်ႈ	maid
ပိူင်ယႂ်ႇ	main
ထိင်းသိမ်း	maintain
လူလွမ်ပႂ်ႉပႃး	maintenance
ၶိူဝ်းမၢႆႇတီႇလီႇ	Maithili
ဢၼ်လမ်ႇလွင်ႈ	major
ၵူၼ်းႁဵၼ်းပၢႆးပိူင်လူင်	major
ဢၼ်ၶိုၵ်ႉတွၼ်း	majority
ႁဵတ်းသၢင်ႈ	make
ႁၢင်ႈၶိူင်ႈ	make up
တူဝ်ၽူႈ	male
ၵၢတ်ႇလူင်	mall
ၽူႈၸၢႆး	man
ၸတ်းပွင်	manage
ၸတ်းပွင်	management
ၽူႈပွင်ၵၢၼ်	manager
ၶေႃႈပူင်	mandatory
ၸႅင်ႈလႅင်းလီ	manifest
ၵမ်ၸိူၵ်ႈဝႆႉလႆႈလီ	manipulate
ၽိင်ႈယၢမ်ႈ	manner
လၢႆးမိုဝ်း	manual
လၢႆလၢႆဢၼ်	many
ဝၼ်းသိူဝ်းၸႂ်တေႉတေႉဝႃႈဝႃႈ	many many happy returns of the day
ပၢင်ၶႄႉၶဵင်ႇ	march
မႆႁွၺ်းၶွၵ်း	margin
ၵၢတ်ႇ	market
ႁဵတ်းၶႅၵ်ႇ	marriage
သွၼ်ႉမိင်ႈ	married
ၵၢပ်ႇၼႃႈ	mask
တၢင်းၼၵ်း	mass
ၼၵ်းႁႅင်း	massive
သြႃႇလူင်	master
ပၢင်ၶႄႉသဵင်ႇ	match
ၵိုၵ်းသဵင်ႇ	match
ၽူႈၸွၺ်ႈ	mate
ၵေႃႉၵူႈ	mate
ၶူဝ်းၸႂ်ႉ	material
ပၢႆးၼပ်ႉ	math
လွင်ႈတၢင်း	matter
လမ်ႇလွင်ႈလၢၵ်ႇလၢႆး	matter
ၵေႃႉယႂ်ႇယဝ်ႉ	maturity
တႃႉႁဵတ်းၼႆ	may
ထုၵ်ႇလီ	may
ယူဝ်ၶေး	maybe
ႁဝ်း	me
မိူၼ်ၵၼ်	me too
တႃႇၶဝ်ႈ	meal
ပွင်ႇဝႃႈ	mean
တီႈပွင်ႇ	meaning
ပွင်ႇဝႃႈ	means
ပွင်ႇဝႃႈ	meant
ၼႂ်းဝူင်ႈဝၢင်ႈ	meanwhile
တႅၵ်ႈ	measure
တႅၵ်ႈ	measures
ၼိူဝ်ႉ	meat
ယႃႈယႃ	medical
ယႃႈယႃ	medicine
ၵႅင်ႉၵမ်ႊတြႃး	meditation
ပၢၼ်ၵၢင်	medium
ႁူပ်ႉထူပ်း	meet
ပၢင်ၵုမ်	meeting
ၶိူဝ်းမေႇထေးလွၼ်ႇ	Meiteilon
ၶႃႇ	melt
တီႈမၢႆတွင်း	memories
မၢႆတွင်း	memory
ၵဵဝ်ႇတင်းၸႂ်	mental
ၸီႉၸူး	mention
ႁွင်ႉၸူး	mentioned
ၽူႈထႅမ်တူၺ်း	mentor
ၵူၼ်းၵႃႉ	merchant
ဢဵတ်းလူ	mercy
တေႃႉတႄႉ	merely
ႁူမ်ၸူမ်း ပၢင်ပွၺ်း ၶရိတ်ႉ	merry christmas
ႁၢႆႉၸႃႉ	mess
လိၵ်ႈပွတ်း	message
သုၵ်ႉသၢၵ်ႈ	messy
ၶူဝ်းႁႄႊ	metal
လွၵ်းလၢႆး	method
ၼူ	mice
ၼႂ်းၵၢင်	middle
ၶိုၼ်းတဵင်ႈ	midnight
ထုၵ်ႇလီ	might
ဢူၼ်ႈ	mild
လၵ်းမၢႆ တဵမ်လၵ်း	milestone
တပ်ႉသိုၵ်း	military
ၼမ်ႉၼူမ်း	milk
ၼိူင်ႈလၢၼ်ႉ	million
ၸႂ်	mind
ပၢႆးၸႂ်ႊ	mindset
ႁင်းၵဝ်	mine
မၢၵ်ႇ	mine
ၶူၼ်းလေႃး	mingle
လဵၵ်ႉ	minor
မဵတ်ႉ	minute
မဵတ်ႉ	minutes
ပိူင်ပဵၼ်ဢၢမ်းဢေႃး	miracle
မၢၼ်ႇၸမ်ႈ	mirror
ၵူႊလွင်ႈလွင်ႈ	miscellaneous
ယႃႉၽွၼ်း	mischievous
ၸႂ်တုၵ်ႉ	miserable
ၸႂ်တုၵ်ႉတေႉ	misery
ၸႂ်ထိုင်	miss
တူၵ်းႁၢႆ	miss
ၶုၼ်ယိင်း	miss
ၸႂ်ထိုင်သူ	miss you
ႁၢႆဝႆႉ	missing
တႃႈယိူင်း	mission
သႅင်ၶဝ်ႉ	mist
တၢင်းၽိတ်း	mistake
ၶိူဝ်းမီႇသူဝ်ႇ	Mizo
မိုဝ်းထိုဝ်	mobile
မုၼ်ႈၸဝ်ႈ	mock
ပဵၼ်လၵ်းၸဵင်	model
ထိင်းပၼ်	moderate
ၵၢပ်ႈမႂ်ႇ	modern
မီးတၢၼ်ႇတၢၼ်ႇ	modest
ယိုၵ်းယမ်း	moist
ယိုၵ်း	moisture
တႅမ်ႈပိူင်ႁၢင်ႊ	mold
ထၢင်ႇ	mold
ၾႆ	mole
မႄႈမွၵ်ႇယႃႈ	mom
ၸူဝ်ႊၵႅပ်ႉ	moment
ဝၼ်းၸၼ်	monday
ငိုၼ်း	money
ႁူဝ်ၼႃႈလုၵ်ႈႁဵၼ်း	monitor
လိင်း	monkey
သူပ်း	month
ၼမ်ႉၸႂ်	mood
ၸႂ်လႅၵ်ႈငၢႆႈ	moody
လိူၼ်	moon
တၢင်းၵႅင်ႉၵမ်ႊ	moral
ၼမ်လိူဝ်သေ	more
ထႅင်ႈတၢင်းၼိူင်ႈ	moreover
ႁူဝ်ၼႂ်	morning
လိၵ်ႈၵမ်ႉ	mortgage
ၵမ်ႈၼမ်	most
ၵမ်ႉၼမ်	mostly
မႄႈမႄႈ	mother
ၶၢႆႉတူင်ႉ	motion
ႁႅင်းၸႂ်	motivation
ႁၢဝ်းလွၺ်	mountain
ၼူ	mouse
သူပ်း	mouth
ၶၢႆႉ	move
ၶၢႆႉတူင်ႉ	movement
ၸိူင်း	movie
မႄႈသၢဝ်	mrs
ၼမ်	much
ဢုင်	mud
ၵွၵ်းလူင်	mug
ၾူတ်ႇဢဵၼ်မႃႇ	muscle
ႁွင်ႈၼေၶူဝ်းၶွင်ၵဝ်ႇ	museum
ႁဵပ်း	mushroom
ၽဵင်း	music
လူဝ်ႇ	must
တိုၼ်း	must
ဢိုတ်းသဵင်	mute
တင်းသွင်ပႃႈသွင်ၽၢႆႇ	mutual
ၶွင်ၵဝ်	my
ႁၵ်ႉၵဝ်ဢိူၺ်း	My dear
တႆးၵေႃႉၵဝ်	my friend
ၼႂ်းႁိူဝ်းႁဝ်း တဵမ်ဝႆႉ ပႃႇယဵၼ်ႇဢိူဝ်ႈ	My hovercraft is full of eels
တၢင်းႁၵ်ႉႁဝ်း	my love
ၸိုဝ်ႈႁဝ်းႁွင်ႉ	my name is
ပဵၼ်ၼမ်ႉၸႂ်ၵဝ်ယဝ်ႉ	my pleasure
တူဝ်ၵဝ်ၵွၺ်း	myself
မီးလွင်ႈသိူင်ႇလပ်ႉ	mysterious
လပ်းသိူင်ႇဝႆႉ	mystery
ဢသိူၵ်ႈ	myth
မၢတ်ႇလဵၵ်ႉၼႃး	nail
ႁၢမ်းတူဝ်ထူပ်း	naive
ၸိုဝ်ႈ	name
ၸိူင်း	narrative
ၵႅပ်ႈ	narrow
လိူင်း	nasty
ၸၢဝ်းၶိူဝ်း	national
ၸၢဝ်းၶိူဝ်း	nationality
ၵူၼ်းၵိုၵ်းမိူင်း	native
ၾိင်ႈတိုၼ်း	natural
ၾိင်ႈတိုၼ်း	nature
ဢိုတ်ႇဢၢတ်ႇ	nausea
ၸမ်	near
ၸမ်ၸမ်	nearby
ၸမ်ၸမ်	nearly
သႅၼ်ႈသႂ်	neat
ဢၼ်လူဝ်ႇမီးလူဝ်ႇပဵၼ်	necessary
ၶေႃး	neck
သၢႆၶေႃး	necklace
တၢင်းလူဝ်ႇ	need
လွင်ႈၸႃႉ	negative
ဝႆႉမဝ်မၢင်	neglect
ၺီႉလႆႈ	negotiate
ႁိမ်းႁိူၼ်း	neighbor
ႁိမ်းႁိူၼ်း	neighborhood
ဢမ်ႇၸႂ်ႈသေဢၼ်	neither
လၢၼ်ယိင်း	nephew
ၸလိူဝ်ႈၸလႃႈ	nerd
ၸႂ်သၼ်ႇ	nervous
ႁင်းၼူၵ်ႉ	nest
ယႅင်ႉ	net
ၼႅင်ႊ	network
ၵူၼ်းၶဵဝ်	neutral
ဢမ်ႇမီးသေပွၵ်ႈ	never
ဢမ်ႇတွၼ်ႉယွၼ်းသုမ်း	never give up
ယႃႇဝႆႉၸႂ်	never mind
ဢမ်ႇပဵၼ်သင်	nevermind
ၵေႃႈလၢႆး	nevertheless
မႂ်ႇ	new
ၶၢဝ်ႇ	news
ထႅင်ႈဢၼ်ၼိူင်ႈ	next
ႁိမ်းၼႆႉ	next to
ၶႅမ်ႉ	nice
ငိၼ်းၸူမ်းလႆႈႁူပ်ႉထူပ်းသူၶႃႈ	nice to meet you
လၢၼ်	niece
ၵၢင်ၶမ်ႈ	night
ၶိူဝ်ႈၵိၼ်	nightmare
ၵဝ်ႈ	nine
သိပ်းၵဝ်ႈ	nineteen
ၵဝ်ႈသိပ်း	ninety
ဢမ်ႇ	No
ဢမ်ႇပဵၼ်သင်	no problem
ဢမ်ႇမီးတၢင်း	no way
ဢမ်ႇမီးၽႂ်	nobody
မေႃး	noise
မေႃးပၼ်း	noisy
ဢမ်ႇမီးသင်	none
ဝၼ်းတဵင်ႈ	noon
ဢမ်ႇၸႂ်ႈ	nope
ၼႆႉၵေႃႈဢမ်ႇ	nor
တၢၼ်ႇတၢၼ်ႇ	normal
ၽၢႆႇႁွင်ႇ	north
ၶူႈလင်ႊ	nose
ၸႂ်ထိုင်ဝၼ်းလင်	nostalgic
ဢမ်ႇ	not
ဢမ်ႇၸႂ်ႈတင်းမူတ်း	not at all
ဢမ်ႇႁၢင်ႊႁၢႆႉ	not bad
ဢမ်ႇၸႂ်ႈတေႃႈလဵဝ်	Not now
ဢမ်ႇပႆႇ	not yet
မၢႆတွင်း	note
တီႈတွင်း	noted
ဢမ်ႇမီးသင်	nothing
ၽၢင်ႉမႅၼ်ႈ	notice
မၢႆဝႆႉ	noticed
ႁိၵ်ႈ	noun
ႁိၵ်ႈ	nouns
သၢင်း	novel
လိူၼ်သိပ်းဢဵတ်း	november
မိူဝ်ႈလဵဝ်	now
ၵၢပ်ႈပၢၼ်မိူဝ်ႈလဵဝ်	nowadays
ၸႂ်သုၵ်ႉသၢၵ်ႉ	nuisance
ဢမ်ႇၶဝ်ႈၶႂၢင်ႈတြႃး	null
ၼဵတ်း	numb
တူဝ်ၼပ်ႉ	number
မေႃယႃဢွၼ်ႇ	nurse
မဵတ်ႉထူဝ်ႇ	nut
မၢၵ်ႇတွၺ်ႇ	nutmeg
ထၢတ်ႈလဵင်ႉၸႂ်	nutrition
