кӀеззиг	a little
къаьсташ	various
тайп-тайпана	various
девзаш	vary
кхаба	vase
шуьйра	vast
хасстом	vegetable
хасстоьмаш	vegetables
транспортан гӀирс	vehicle
йохкархо	vendor
дӀовш	venom
предприяти	venture
вовшахкхета меттиг	venue
талла	verify
башхалла йолуш	versatile
тайп-тайпанара	versatile
верси	version
ирх	vertical
чӀогӀа	very
вуно дика	very good
тӀехдика	very good
чӀогӀа дикуа	very good
кема	vessel
чекх	via
-хула	via
дегор	vibe
вибраци	vibe
дегадар	vibes
сийсаза	vicious
сагӀа	victim
видео	video
васт	view
юрт	village
зуламхо	villain
къонза	vinegar
ширачу заманера	vintage
ницкъбар	violence
ницкъала	violent
вирусан	viral
йоӀстаг	virgin
виртуале	virtual
бакъхьаралла	virtue
гар	vision
хьажахӀотта	visit
бӀаьран	visual
ладаме	vital
сирла	vivid
дешнийн барам	vocabulary
дошам	vocabulary
аз	voice
есалла	void
барам	volume
шен лаамехь дерг	volunteer
Ӏеттор	vomit
Ӏаьткъаме	vulnerable
алапа	wage
алапа	wages
гӀодаюкъ	waist
хьежа	wait
собардан	wait
ладегӀа	wait
официант	waiter
хьежар	waiting
лардар	waiting
охьаӀана	wake
самадала	wake up
хьалагӀатта	wake up
доладалар	walk
лелар	walk
гӀаш лелар	walking
пен	wall
бумаьштиг	wallet
бохча	wallet
кхерста	wander
лаам	wanna
лаа	want
лоьхург	wanted
лаца кхайкхийнарг	wanted
тӀом	war
гардероб	wardrobe
склад	warehouse
мела	warm
дӀахьедар	warn
дӀахаийтар	warning
тӀемало	warrior
хилла	was
дара	was
дила	wash
даххаш	waste
нехаш	waste
сахьт	watch
хи	water
хорбаз	watermelon
тулгӀе	wave
некъ	way
тхо	we
вай	we are
вайн мага	we can
гӀийла	weak
ледаралла	weakness
таро	wealth
тароерг	wealthy
лело	wear
лелориг	wearing
хенан хӀоттам	weather
ловзар	wedding
зудаялор	wedding
кхаара	Wednesday
асар	weed
кӀира	week
мукъаденош	weekend
йозалла	weight
инзаре	weird
тамаше	weird
марша догӀийла	welcome
рицкъ	welfare
беркат	welfare
нийса ду	Well
дика ду	Well
тоаме ду	Well
дика хила	well done
даха	went
бара	were
дара	were
малхбузе	west
тӀеда	wet
кит	whale
хӀун	what
ахь хӀун эр дара	what about you
хьо хӀун деш ву	what are you doing
хьо хӀинца хӀун деш ву	what are you doing now
хьо хӀинцалерачу хенахь хӀун деш ву	what are you doing right now
хьо хӀун деш ву	what do you do
хьо хӀун болх беш ву	what do you do for a living
хьуна муха хета	what do you mean
хӀун ду хьан дагахь	what do you mean
хӀун еза хьуна	what do you want
хӀун хилла	what happened
хуӀн ю	what is
хуӀн ю иза	what is this
Муьлхха болх беш ву хьо	what is your job
хьан цӀе хӀун ю	what is your name
хӀун хилла	what's up
Хьан цӀе муха ю	what's your name
хӀуъа а	whatever
кӀа	wheat
чкъург	wheel
маца	when
хӀора	whenever
мичахь	where
хьо мичахь ву	where are you
хьо мичара ву	where are you from
хьо стенгара ву	where are you from
хьо хӀинца мичахь ву	where are you now
хьо мичахь Ӏаш ву	where do you live
мичахь	where is
тидаме эцар	whereas
хила	whether
муьлха	which
муьлхарниг	which
цкъачунна	while
ишар	whisper
шабар-шибар	whisper
шок	whistle
кӀайн	white
мила	who
хьо мила ву	who are you
мила	who is
мила ву иза	who is this
дерриг	whole
дуьззина	whole
хьенан	whom
хьенан	whose
хӀунда	why
хӀунда дац	why not
вон	wicked
шуьйра	wide
жеро	widow
шоралла	width
цӀеннана	wife
хӀусамнана	wife
зуда	wife
акха	wild
тоьур ду	will
кийча	willing
тола	win
мох	wind
кор	window
мох болу	windy
мохе	windy
чагӀар	wine
Ӏа	winter
даор	wipe
сара	wire
тел	wire
хьекъал долуш	wisdom
кхетам болуш	wisdom
хьекъале	wise
лаам	wish
дехар	wish
дика мелдерг хуьлда шуна	wish you all the best
гӀам	witch
цхьана	with
арадаккха	withdraw
жамӀ	withdrawal
чоьхьа	within
доцуш	without
теш	witness
ира хьекъал долу	witty
борз	wolf
зуда	woman
зударий	women
толам	won
хир дац	won't
цецдийла	wonder
тамаше хаза	wonderful
инзаре	wonderful
тоьлла	wonderful
дитт	wood
дечиг	wood
тха	wool
тӀаргӀа	wool
дош	word
дешнаш	words
болх	work
къинхьегам	work
даккха	work out
болхбеш	working
Ӏалам	world
дуьне	world
нӀаьна	worm
лелина	worn
синтем байна	worried
сагатдар	worry
вониг	worse
оьшушдерг	worse
Ӏибадат	worship
уггар вон	worst
мехалла	worth
цу мехах ду	worth it
хьакъ долу	worthy
лаам	would
дара	would
чов	wound
хьажахь	Wow
Ooo	Wow
вээ	Wow
урхалла дан	wrap
оьгӀазло	wrath
хьакхолг	wrist
яздан	write
Кхузахь язде	Write here
яздо	writing
яздина	written
нийса доцу	wrong
харц	wrong
язйина хила	wrote
хӀусам	yard
ков-керт	yard
бага гӀитто	yawn
ХӀаъ	Yeah
хьан	year
шераш	years
совсорг	yeast
мохь беттар	yell
можа	yellow
ХӀаъ	Yes
хӀаъ хьомениг	yes baby
хӀаъ хьомениг	yes dear
хӀаъ, хьомениг	yes honey
дика ду, сан безам	yes my love
дера ду	yes of course
селхана	yesterday
делахь а	yet
хӀинца а	yet
са	yield
ялта	yield
хьо	you
хьо ву	you are
хьо хаза ву	you are beautiful
хьо чӀогӀа хаза ву	you are so beautiful
Делан дуьхьа	you are welcome
хьоьга дало	you can
хьан таро ю	you can
Хьуна хаа	You know
хьо а	you too
хӀума а дац иза	you're welcome
къона	young
жима	young
хьан	your
маршаллица	your welcome
шен	yourself
кегийрхой	youth
маршаллица	you’re welcome
чоме	yummy
ноль	zero
