ए	a
ताकतीक करात	hurry
ताकतीक करात	hurry up
हांव करूंक शकता	I can
आमी करूंक शकतात	we can
तुमी करूंक शकतात	you can
हांव करूंक शकना	I can't
चड करून	almost
खास करून	especially
कृपा करून	kindly
उपकार करून	please
चड करून	usually
मनाचो कल	mindset
म्हाका कळटा	I understand
तुमी कशीं आसात	how are you
तें कशें	how is
तूं कशें आसा	how are you
तुमी कशे आसात	how are you
हॅलो कशे आसात तुमी	hello how are you
हाय कशें आसा तूं	hi how are you
तुमचें कशें चल्लां	how are you doing
तूं कसो आसा	how are you
तू कसो आसा	how do you do
तकालस काडप	bother
भायर काडप	figure out
वेंचून काडप	figure out
सोदून काडप	invent
फोटे काडप	shoot
अनुमान काडप	supposed
पयशे काडप	withdrawal
पयशे काडपी	drawer
बरें काम आसपी	good job
समस्या कांयच ना	no problem
हें किदें	what is this
तुमी किदें करतात	what are you doing
तू किदें करतात	what do you do
तुमी किदें काम करतात	what is your job
तुका किदें जाय	what do you want
तुका किदें म्हणचें आसा	what do you mean
तुमकां किदें सांगपाचें आसा तें म्हाका कळना	I don't understand what you mean
जशें की	such as
हांवें केलां	I have been
पुरवण केलां	provided
संपादन केलें	acquired
बरें केलें	well done
तयारी केल्या	prepared
विस्तारीत केल्लें	extended
वेगळे केल्लें	isolated
फारीक केल्लें	paid
शिफारस केल्लें	recommended
उघड केल्लें	revealed
सुरू केल्लें	started
म्हाका कॉल कर	call me
तुमी कोण	who are you
हो कोण आसा	who is this
आयस क्रीम	ice cream
म्हाका खबर ना	I do not know
म्हाका खबर ना	I don't know
म्हाका खबर ना	I don’t know
तूं खंय आसा	where are you
तुमी खंय आसात	where are you
तुमी खंयचे	where are you from
तुमी खंयचे	where do you live
अशें ख-यानीच	oh really
हय खरेंच	yes of course
उदारणा खातीर	For example
तुमचे खातीर	for you
तुवें खालें	have you eaten
पांयाची खिळी	ankle
नाक खुपसप	interfere
तूं खूब सुंदर आसा	you are so beautiful
मॅरी ख्रिस्तमस	merry christmas
खरी गजाल	fact
मुखेल गाभो	core
पद गावप	sing
मोगाळ गिरायक	Dear Customer
विशेश गूण	attribute
सोडून गेलें	abandon
कपडे घाल	get dressed
वाद घालप	argue
प्रभाव घालप	impress
भिज घालप	soak
गूळी घाली	shot
लजेक घालें	embarrassed
मन घुंवडावप	persuade
जतनाय घे	be careful
काळजी घे	take care
नोंद घेतली	noted
निर्णय घेतलो	decided
सुवात घेतल्या	occupied
शोशून घेता	absorb
नोंद घेवची	note
विचारांत घेवचें	consider
विकतें घेवप	brought
विकतें घेवप	buy
ताब्यात घेवप	cease
विचारांत घेवप	considered
सोद घेवप	explore
भाड्यान घेवप	hire
फाटीं घेवप	withdraw
फाटीं घेवप	withdrawal
काळजी घेवपी	caring
बुद्दीबळातलो घोडो	knight
उबी चडटी वा देंवती	steep
विज चमकप	thunder
दिमकु-यानी चलप	crawl
सायकल चलोवप	cycling
किदें चल्लां	what's up
बुरखोधारी चोर	hood
उमळशीक जागोवपी	interesting
हांव जाणा	I know
तुमी जाणात	You know
म्हाका जाय	I want
आसूंकूच जाय	must
आसूंक जाय	should
जागे जायात	wake
जागें जायात	wake up
पुरो जालां	tired
खोस जाली	pleased
पास जालें	passed
किदें जालें	what happened
नाश जालो	devastated
उत्तिर्ण जालो	passed
ना जाल्यार	unless
प्रगट जाल्लें	appeared
कळाव जाल्लें	delayed
प्राप्त जाल्लें	received
पुरो जाल्लें	tried
लग्न जाल्लो	married
किदेंय जावं	anyway
किदेंय जावं	anyways
प्रगट जावप	appear
जागो जावप	awake
कुमसार जावप	confess
बरें जावप	cure
पुरो जावप	exhaust
मोहीत जावप	fascinating
पुरो जावप	fatigue
जमा जावप	gather
नजो जावप	ill
समाविश्ट जावप	involve
भूतबादा जावप	obsessed
जाणा जावप	realized
शक्य जावपाचें	shall
नश्ट जावपाच्या मार्गाचेर	endangered
तुमी जीणेखातीर किदें करतात	what do you do for a living
रातचें जेवण	dinner
दनपारचें जेवण	lunch
रातचें जेवण	supper
तूं जेवलें	have you eaten
हांव जेवलें	I had
माडा झाड	palm
अशे तरेन	so
म्हाका तशी आस्त आसा	I hope so
आसा तशें	intact
हांगाय तशेंच	Same here
जाता तितलो वेळ	as long as
म्हाका तुका पळयन दिसला	I want to see you
म्हाक तुजी खूब याद येता	I miss you so much
म्हाका तुजी याद येता	I miss you
हांव तुजेर खूब मोग करता	I love you so much
हांव तुजेर मोग करता	I love you
हांवूय तुजेर मोग करता	I love you too
देव तुमची राखण करूं	god bless you
म्हाका तुमचें चित्र धाडात	send me your picture
आनी तुमी	and you
हॅलो तुमी कशे आसात	hello how are you doing
आतां तुमी किदें करतात	what are you doing now
म्हाका तूं आवडटा	I like you
म्हाका तू किदें सांगता समजना	I don't understand you
म्हाका तू जाय	I want you
कितलो तेप जालो मेळूकूच ना	long time no see
कांय तेपान	eventually
कोण तो	who is
तुमी थंय आसात	are you there
नियोजीत थळ	destination
प्रेक्षणीय थळां पळोवप	sightseeing
शुभ दनपार	good afternoon
बरी दनपार आंवडेतां	good afternoon
देंवपी दर	underrated
वेगळें दवरप	quarantine
चालूच दवरात	keep it up
घाणाक दवरिल्ली वस्त	mortgage
फरक दाखय	distinguish
म्हाका दाखय	show me
दुदा दांत	sweet tooth
भाड्यान दिता	hiring
मंजुरी दिली	granted
भेट दिवची	visit
स्पश्टीकरण दिवचें	justify
उश्णे दिवचे	lend
शुभेच्छा दिवच्यो	greet
त्रास दिवप	annoy
नेमून दिवप	assign
लक्ष दिवप	attention
चालना दिवप	boost
त्रास दिवप	bother
पाळो दिवप	comply
लक्ष दिवप	concentrate
दोश दिवप	damn
देणगी दिवप	donate
भर दिवप	emphasis
भर दिवप	emphasize
म्हायती दिवप	inform
पाळो दिवप	obey
पसंती दिवप	prefer
म्हायती दिवप	refer
न्हयकार दिवप	refused
जाप दिवप	reply
झुंज दिवप	struggle
धमकी दिवप	threaten
नेट दिवप	trigger
नेट दिवप	urge
शुभेच्छा दिवप	wish
म्हाका दिसता	i guess
म्हाका दिसता	I think
बरें दिसपी	good looking
उठून दिसपी	prominent
आतांच्या दिसांनी	nowadays
सोडून दी	come on
ऑल दी बॅस्ट	all the best
उत्तम दीस	good day
तुमचो दीस कसो गेलो	how was your day
बाळंतपणातलें दुखणें	labor
सैमीक दृश्य	scenery
तुका देव बरें करूं	thank you
तुमकां देव बरें करूं	thank you so much
तुका देव बरें करूं	thank you very much
दांताचो दोतोर	dentist
हट्ट धरप	insist
गृहीत धरप	suppose
घरा धाडप	discharge
फुडें धुकलप	postpone
आमचें ध्येय: जगातली म्हायती एकठांय करप आनी ती सगल्याक पावतली आनी उपेगाक ये सारकी करप.	Our mission: to organize the world's information and make it universally accessible and useful.
आमचें ध्येय: जण एकल्याक, जगाच्या खंयच्याय कोनशाक जग समजून घेवंक आनी भाशेंत व्यक्त जावंक सक्षम करप.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
हांव नकळो	I don't
कांय नजो	never mind
काय नजो	nevermind
कांय नजो	no problem
सौॆदर्य नदर	aesthetic
हे नमस्कार	Hi there
बरें नशीब	fortune
खबर ना	don't
केन्नाच ना	never
हरकत ना	nevermind
कांयच ना	none
तेय ना	nor
कांयच ना	nothing
केन्नाच ना	no way
पयलें नांव	first name
निमाणें नांव	last name
म्हजें नांव आसा	my name is
तुमचें नांव किदें	what is your name
तुजें नांव किदें	what's your name
केन्नाच निरशेवचें न्हय	never give up
खंयचेंच न्हय	neither
कोणूच न्हय	nobody
सामकेंच न्हय	not at all
आतां न्हय	Not now
अजून न्हय	not yet
किद्याक न्हय	why not
मोगाळ पंगड	Dear Team
गांठ पडप	encounter
वीज पडप	lightning
फरक पडप	matter
सडे पडप	scratch
पाड पडिल्लें	hopeless
खूब पयस	far
ते परत	instead of
जल्मदिसाची परबी	happy birthday
हाचे परस	than
वाट पळयता	waiting
करून पळयात	just do it
वाट पळोवची	wait
रंगहीन पाचवी कल्पना उचांबळीत सुस्ती	colorless green ideas slept furiously
मोगाळ पालक	Dear Parents
वेळ पाळपी	punctual
मासीक पाळी	period
तुमकां पावप म्हजेखातीर सुखदिणें	my pleasure
मळिल्ल्या पिठाचो गुळो	dough
तुजी पिराय कितली	how old are you
निमाणें पूण थोडें न्हय	last but not least
स्वता पेकपी	self healing
शेंबडें पोर	toddler
शूभ प्रभात	good morning
तेच प्रमाण	as
ते प्रमाणे	according
हे प्रमाणे	wise
मैलाचो फातोर	milestone
तुका फाल्यां मेळटा	see you tomorrow
कितले फावटी करतात	how often
हाचे फुडलें	next to
हाचें फुडें	in front of
मुखामळ फुलूं दी	glow up
ताचे बदली	instead of
तुज्या बद्दल किदें	how about you
तुमचे बद्दल किदें	what about you
देव बरी रात दिवं	good night
देव बरी रात दीवं	goodnight
खूप बरें	great
खूब बरें	lovely
खूब बरें	nice
खूब बरें	very good
हांव बरें आसा	I am fine
हांव बरें आसा	I'm good
तें बरें आसा	It's okay
देव बरें करूं	thanks
रोखडेंच बरें जा	get well soon
देव बरें भाग्य दिवं	best of luck
हांव बरो	I'm fine
देव बरो दीस दिवं	have a good day
देव बरो दीस दिवं	have a nice day
हांगा बरोवचें	Write here
जूस्त बसपी	fit
अंदाज बांदप	anticipate
गूड बाय	good bye
बरें बाय	okay baby
हय बाय	yes baby
तुमकांय बी	you too
घाव भरप	heal
धुक्यान भरिल्लें	foggy
हेच भशेन	likewise
बरें भांगरा	ok honey
ल्हान भुरगें	toddler
नियोजीत भेट	appointment
आमच्या मदीं	among us
दिलगिरी मागप	apologize
म्हाका माफ करचें	I'm sorry
म्हाका माफ करात	excuse me
उलो मारप	appeal
बुडकी मारप	dip
नदर मारप	glance
वेंग मारप	hug
मूठ मारप	lick
सान्न मारप	swap
तिडक मारपी	disgusting
शिमे मेरेन	extent
आता मेरेन	so far
परत मेळया	see you
मागीर मेळया	see you later
रोखडेंच मेळया	see you soon
तुमकां मेळून बरें दिसलें	nice to meet you
म्हजो मोग आसा	I love
तुका मोग करता	love you
हॅलो मोगा	hello dear
म्हजे मोगा	my love
बरें मोगा	okay dear
बरें मोगा	okay honey
ओके मोगा	ok dear
हय मोगा	yes dear
हय मोगा	yes honey
म्हजे मोगाळ	My dear
सगल्या मोगाळ भावाभंयणानो	Dear All
म्हजो म्हजे आवयचेर खूब मोग आसा	I love my mother
म्हजो म्हजे धाकले भयणीचेर खूब मोग आसा	I love my little sister
म्हजो म्हजे धाकले भावाचेर खूब मोग आसा	I love my little brother
म्हजो म्हजे बापायचेर खूब मोग आसा	I love my father
बरें म्हजे मोगा	okay my love
बरें म्हजे मोगा	ok my love
हय म्हजे मोगा	yes my love
तू म्हजेर मोग करता	do you love me
म्हजो म्हजे व्हडले भयणीचेर खूब मोग आसा	I love my big sister
म्हजो म्हजे व्हडले भावाचेर खूब मोग आसा	I love my big brother
म्हाका म्हणपाचें आसा	I mean
खरें म्हणल्यार	In fact
तुजी याद येता	miss you
रोखडेंच येता	coming soon
याद येता	missing
खर येत्न करप	struggle
तुमकां येवकार	you are welcome
तुमकां येवकार	you’re welcome
तुमकां येवकार	your welcome
घुंवळ येवप	dizzy
आंगार येवप	obsessed
दाग येवप	rash
परत येवप	return
हांगा यो	come here
आगाऊ रक्कम	advance
तुजी रात कशी गेली	how was your night
आयज रातचें	tonight
शूभ रात्री	good night
शूभ रात्री	goodnight
शादूर राव	be careful
ओग्गी राव	shut up
ओग्गी राव	silent
पयस राव	stay safe
उबें राव	stood
धरून रावचें	hold on
पातयेवन रावप	lean
तुमचें लग्न जालां	are you married
फाटीक लागप	chase
ओड लागप	fascinating
पिशें लागप	fascinating
फाटल्यान लागप	pursue
मनाक लागसारकें	harsh
लागीं लागीं	nearly
हाका लागून	due to
हाका लागून	in order to
ताका लागून	so
ताका लागून	thus
अदमास लावप	assume
विलो लावप	disposal
चालीक लावप	execute
चालीक लावप	impose
जोडी लावप	match
संदर्भ लावप	refer
निकाल लावप	settle
हें लेगीत	as well
तरी लेगीत	despite
तरी लेगीत	even though
हांव लेगीत	me too
घुंवळी वखद	dope
फुडें वच	go ahead
पयस वच	go away
फुडें वचचें	proceed
घेवन वच (टेक अवे)	take away
सोडून वचप	abandoned
फुडें वचप	advance
त्राण वचप	exhausted
वयर वचप	take off
न्हिदूंक वचात	go to bed
हांगा वता	going to
हाचे वतीन	behalf
नव्या वर्साची हूनहूनीत परबी	happy new year
मन वळोवप	convinced
तेच वांगडा	simultaneously
पासेयेची वाट	pavement
गांवगिरो वाठार	countryside
तुमकां वाडदीसाची हूनहूनीत परबी	happy birthday to you
ततिलेशें वायट ना	not bad
अर्विल्ले विचारसरणी	sophisticated
मोगाळ विद्यार्थी	Dear students
हाचे विशीं	regarding
जो वेर	while
फावतो वेळ	leisure
तुमचो वेवसाय किदें	what are you doing
स्वतंत्र व्यक्ती	individual
तुमी व्यस्त आसात	are you busy
फुडें व्हरप	continue
फुडें व्हरप	forward
फुडें व्हरप	further
स्वारी व्हरप	pick up
दुसरेकडेन व्हरप	shift
करूंक शकनात	can't
आत्म्याक शांती मेळूं	rest in peace
आमी शिपमँटची तपासणी करता मेरेन तुमी धरिल्ल्या पासिंयेंसा बद्दल देव बरें करूं	Thank you for your patience while we investigate shipment
हे शिवाय	regardless
वाडदीसाच्यो शुभेच्छा	many many happy returns of the day
बरी सकाळ आंवडेतां	good morning
शूभ सकाळ म्हजे मोगा	good morning my love
खूब सगल्यो	a lot of
तुमकां सदांच येवकार	you're welcome
आतां सद्या तू किदें करता	what are you doing right now
बरें सपन पडूं	sweet dreams
म्हाका समजता	I understand
म्हाका समजना	I do not understand
म्हाका समजनां	I don't understand
म्हाका समजना	I don’t understand
मोगाळ सर	Dear Sir
विस्तारावंन सांगचें	elaborate
खरें सांगचें जाल्यार	rather
तड्डकां सांगप	pretend
म्हाका सांगात	tell me
शूभ सांज	good evening
बरी सांज आंवडेतां	good evening
संवाद सादप	communicate
पस-यावयलें सामान	grocery
ताळो सुजला	sore throat
खूब सुंदर	awesome
खूब सुंदर	so cute
तुमी सुंदर आसात	you are beautiful
परतून सुरू	resume
बेकींग सोडा	baking soda
हें सोडून	except
केन्नाच सोडून दिवचें न्हय	never give up
भावनीक स्थिती	vibes
कायदेशीर हक्क	legacy
द्राक्षांचो हंगाम	vintage
धा हजार	ten thousand
हांव हांगा आसा	I'm here
हांजी हांजी करप	cringe
अंमलात हाडप	execute
मुखार हाडप	exposure
पूर्वस्थितीर हाडप	restore
राग हाडपी	annoying
बेजार हाडपी	bored
बेजार हाडपी	boring
शिरशिरी हाडपी	thrilled
विकतें हाडिल्लें	bought
व्हड हांसो	lol
सामकें हीन	worst
म्हजें होवरक्राफ्ट हिचणांनी भरलां	My hovercraft is full of eels
