kou'n	a
dan kpa	tremendous
iwafa n'ga fa yo	trend
suen iyolɛ	trial
n'gwlɛlɛ	trick
bo i bo kun eku'n	tried
n'ga tikeli	trigger
kpon'gbo	trim
assieti	trim
lika kɔlɛ	trip
san'gan	trouble
pantanon	trousers
loto dan	truck
nanwlɛ	TRUE
saakpa	TRUE
caissi	trunk
laffisu	trust
nanwlɛ	truth
yo ekun	try
bo i bo ekun	try
Tsonga	Tsonga
buteli	tube
jɔlɛ	Tuesday
suklu sika	tuition
dindon	turkey
assiɛ bo sa ɔkwlɛ	turmeric
kpɛwu'n	turn
akuatika	turtle
tran fuɛ	tutor
blu ni n'ɲon	twelve
ablã	twenty
ablã ni kun	twenty-one
Twi	Twi
kpe n'	twice
kpɛ i hun	twist
ihun kpɛlɛ	twist
n'gnon	two
i wafa	type
i bɔ	typical
kanyi	ugly
idan su	ultimate
i n'gba	ultimate
kata via	umbrella
n'ga kwla yo man	unable
tonton	uncle
baba ni manmi be niãn bian	uncle
like n'ga be wun'man nu	unconscious
ibo	under
i bo	underneath
faman su	underrated
a'ti	understand
tili	understood
ayoman kpa	unfortunately
trãlɛ kun'gba	uniform
kun'gba	unique
kun'gba	unit
univɛrsitɛ	university
n'ga be siman	unknown
kɛ	unless
leeni	until
n'ga ti ya titi like	unusual
n'glo	up
fa kun	up to you
yo i uflɛ	update
wuka su	upgrade
efi'nlɛ	upon
sanganli	upset
klɔ dan	urban
yo nin n'dɛ	urge
n'ga ti tʃin'tʃin	urgent
ye	us
fa yo	use
fa yo	used
be tɛ fa	useful
eti kpa	useful
elɛman yowlɛ	useless
titi	usual
tchin kula	usually
be fa yo like	utility
kɛ be yaki e nun	vacation
are wɔ lɛ	vaccination
pikuri	vaccination
are wɔlɛ	vaccine
pikuri	vaccine
like fin	vacuum
vɛɛ kan	vague
be tɛ di su	valid
ti juejue	valid
assiɛ	valley
n'ga ti su	valuable
i gua	value
iwafa wafa	variety
kaka	various
kaki	vary
sɛ	vase
dan	vast
tro nin'gue mu	vegetable
tro n'ma	vegetables
loto	vehicle
nin'gue atɛ yo fuɛ	vendor
wo kalɛ	venom
yo i sa	venture
societe	venture
ibalɛ	venue
nian i kpa	verify
n'ga be kula fa yo like n'gba	versatile
iwafa	version
ja nu ba n'gua	vertical
beblebe	very
kpakpa	very good
m'meli	vessel
eni	via
i afi'in	via
ussuwlɛ	vibe
i n'ga ewɔ su	vibes
kunu vi	vicious
sran n'ga be yo i like	victim
video	video
i nian'wlɛ	view
klɔ	village
kanhi	villain
vinɛgri	vinegar
mon'lin	vintage
sa gblugblu	violence
bglu bglu	violent
n'ga be kwla fa man sran	viral
n'ga kwla tra sran	viral
be nan kin min de	virgin
enan kundɛ man bla anzɛ bian de	virgin
n'ga ti ya nanwlɛ	virtual
n'ga ti issu	virtue
n'ga a wun i	vision
nian sran lika	visit
n'ga be wun'i	visual
kpa	vital
n'ga ti koklo	vivid
fluwa nu n'dɛ n'ma	vocabulary
nin'h	voice
like fi	void
issu ukalɛ	volume
be n'ga be won be yo	volunteer
fi	vomit
tiã ibassu	vulnerable
akatua	wage
akatua	wages
ceinturi	waist
midɛ	wait
sran n'ga su nigue	waiter
midɛ	waiting
jasso	wake
tin'gue	wake up
nanti	walk
nanti	walking
sua bue	wall
muri	wall
sika siewlɛ	wallet
wlan	wander
mi yin	wanna
kula kɛ	want
kun'dɛ	wanted
alɛ	war
lika n'ga be sie tralɛ mu	wardrobe
lika n'ga be sie nin'gue mu	warehouse
do	warm
man	warn
afɔtuɛ	warning
alε sran	warrior
so'ndja	warrior
eti	was
wun'zi	wash
saki	waste
nian	watch
n'zue	water
domi dan dan	watermelon
lomi dan dan	watermelon
n'zue n'ga keje dan	wave
iwafa	way
ye	we
ye ti	we are
ye kwla	we can
fɛtɛ fɛtɛ	weak
e timan kekle	weakness
sika	wealth
wlogbi	wealth
wlogbi	wealthy
wula	wear
wla	wearing
lika	weather
aja fɛtri	wedding
mlan ʃin	Wednesday
ijre tɛ	weed
le mɔkuɛ	week
gua kun i viewlɛ	weekend
i non'ni	weight
etiɛɛssu	weird
amun mo nin balɛ	welcome
kɛ a ti juejue	welfare
eti su	Well
ayo i kpa	well done
bali	went
beti	were
i bue kpa	west
dua	wet
je n'zue inu jue dan	whale
n'zu	what
yɛ wɔli	what about you
assu yo n'zu	what are you doing
n'zu yɛ assu yo dɔ n'ga su	what are you doing now
n'zu yɛ assu yo itʃra nion	what are you doing right now
n'zu yɛ assu yo	what do you do
n'zu yɛ ayo nan wafa di like o	what do you do for a living
awin n'zɛ	what do you mean
akundɛ  n'zu	what do you want
n'zu yɛ yoliɔ	what happened
n'zu ɛ	what is
n'zuɛ lɛ n'ga	what is this
juman beni yɛ a di ɔ	what is your job
ɔ dun'man	what is your name
be flɛwɔ sɛ	what is your name
n'zuɔ	what's up
ɔ duman	what's your name
i n'gba	whatever
avie	wheat
loto pine	wheel
tchin n'ga	when
kɛ	whenever
lika	where
awo ni	where are you
a fi'n min beni nu	where are you from
awo ni issien	where are you now
a tran ni	where do you live
e wo ni	where is
cɛ ye nian su	whereas
cɛ	whether
beni	which
issɔ nu	while
yijɔ be komian bo	whisper
bo feiman	whistle
ufue	white
wan	who
wan yɛlɛ ɔ	who are you
wan yɛ	who is
wan yɛ lɛ n'ga	who is this
i n'gba	whole
i wumuan	whole
be n'ga	whom
be n'ga	whose
n'zu tiɔ	why
e kwla yo sɔ	why not
kunnu vi	wicked
trɛ wa	wide
tchinli	wide
an'gboti bla	widow
trɛ wa	width
yi	wife
bla	wife
blo like	wild
ewa	will
n'kula	willing
gnin i	win
awumuan	wind
fenɛtri	window
awun'muan like	windy
di vin	wine
lika jɔwa	winter
nunu	wipe
ɲanman	wire
ngwlɛlɛ	wisdom
akun'nda sifuɛ	wise
n'ga e kun'dɛ	wish
min nianmien wuka wɔ	wish you all the best
min'yo kpa man wɔ	wish you all the best
bayefuɛ	witch
eni	with
ʃuen	withdraw
i fa lɛ	withdrawal
i yi lɛ	withdrawal
inu	within
n'ga numan'nu	without
trin i bo	witness
nian nu	witness
akun'nda kaka	witty
wawe kaka	witty
blo alua	wolf
bla	woman
bla	women
ɲin i	won
yo man	won't
wussa wɔ wu'n	wonder
klanhan dan	wonderful
waka	wood
n'nin wu n'drɛ	wool
jolɛ	word
n'dɛ ba mu	words
djuman	work
yo	work out
di juman	working
minh	world
srɛ kan	worm
srɛ kun	worn
nan srɛ ku'n ɔ	worried
srɛ	worry
i tɛ	worse
nianmien srɛlɛ	worship
tɛtɛ	worst
like kpa	worth
e ti kpa	worth it
sran n'ga e lafi iwun su	worthy
n'ga yoli	would
like ya ya	wound
Wow	Wow
kata i wun	wrap
aya	wrath
sa	wrist
klɛ	write
klɛ wafan	Write here
klɛlɛ	writing
n'ga ti klɛwa	written
tɛ	wrong
klɛ	wrote
awlo kunu	yard
yalo	yawn
yalo lɛ	yawn
ɛɛ	Yeah
afuɛ	year
afuɛ mu	years
farini duawa	yeast
pkan	yell
kɛ via	yellow
ɛɛ	Yes
ɛhɛ mi yi	yes baby
ɛhɛ mi wa	yes baby
ɛhɛ mi wun	yes baby
ɛ mi sran kpa	yes dear
ɛɛ mi wun	yes honey
ɛɛ mi yi	yes honey
ɛɛ mi yi	yes my love
ɛɛ mi bian	yes my love
ɛɛ e ti su	yes of course
annun'man	yesterday
sanguɛ	yet
i sɔ ti’n	yield
wɔ	you
abɔbɔ	you
a ti	you are
a ti klanman et	you are beautiful
ati klan'man	you are so beautiful
mo ni balɛ	you are welcome
a kula	you can
A si	You know
ɔkussu	you too
mo ni balɛ	you're welcome
gban'flin	young
ame	your
mo ni balɛ	your welcome
ɔbɔbɔ	yourself
gbanflin mu	youth
mo ni balε	you’re welcome
fɛ	yummy
like fi	zero
