Jun	a
ma chi kane	understood
i´l	unfortunately
junelni	uniform
junx	unique
tnej	unit
jaxnaq'tzb'il	university
jun xjal ojtzqilte	unknown
me qa n-ti´	unless
to´jtx'io´jtx'I	until
myaxex normal	unusual
jawl	up
aya q´malte	up to you
q-resultado	update
kuchil	upgrade
talsyap	upon
twi´	upon
yut´anmi	upon
q´oj	upset
toj t-nam	urban
ilx ti´j	urge
noj q'elin	urgent
aqoye	us
oksil	use
ajb´en	used
ajb´elil	useful
ti tajb´en	useless
naqʼli qe	usual
junjen maj	usually
ajb'eb'il	utility
ajb'alan	utility
ojlab´il	vacation
toch´il	vaccination
tx'ik	vaccine
tuch'	vaccine
xi toj	vacuum
myaxex twutx	vague
twutx	valid
semil tx'otx'	valley
car wen	valuable
jte twi'	value
chukchaq	variety
b´a´mpun	variety
chukchaq	various
b´a´mpun	various
junxichaq	vary
teb´l b´ech	vase
vasto	vast
k´ayil itzaj	vegetable
itzaj	vegetables
kxb´il te yekelqu	vehicle
xi tq'o'n	vendor
q'anb'il	venom
emrpes	venture
tzalajsb'il	venue
k'ayilte	verify
nim nokn	versatile
nim	version
nukʼun tten	vertical
juntijxex	very
b'an	very good
bark	vessel
toj	via
q-vibra	vibe
t-lipel	vibes
aju otoq chin naqʼete tiʼj	vicious
ok bʼinchan nya bʼaʼn tiʼj	victim
k´ayb´il	view
q-aldea	village
nach	villain
tx'am	vinegar
ojtxax	vintage
q´oj	violence
bʼaʼn qʼojin	violent
txin	virgin
qʼaqʼbʼil tkʼuʼj	virtue
ka'yb'i	vision
u'la	visit
k'ayb'il	visual
vital te qe	vital
chwiqlal	vivid
q-yol	vocabulary
twi´	voice
amil	void
miti´toj	void
tal	volume
aq'anal toj oyaj	volunteer
xab´il	vomit
cheb´e	vulnerable
twi' k'u'j	wage
tw´tk´uj	wages
k´itzb´aj	waist
yolte	wait
yol	wait
majin	waiter
majan	waiter
yol	waiting
ma ja k'ij	wake
k´asil	wake up
k´isil	wake up
k´asul	wake up
b étil	walk
b´etil	walking
twitx ja	wall
tapa	wall
loq'n	wall
tkjub´il pwaq	wallet
b´o´t	wallet
q´il	wander
wajb´ile	wanna
ajb´il	want
jyojtz´	wanted
q´oj	war
k'ub'il b'ush	wardrobe
deposito	warehouse
kyaq	warm
q'mal	warn
qman t-pakb'al	warning
ajq'oj	warrior
ma tz´ok´	was
tx´ajil	wash
tx´ajol	wash
txjol	wash
ik´il	waste
kayil	watch
a´	water
kyaq´oq´	watermelon
tma´lal a´	wave
tza´an	way
tten	way
Aqoye	we
aqo	we
aq´oye	we are
b'antil	we can
nya kuj	weak
xb´unin	weak
numj	weak
nti' tipan	weakness
q'inamab'il	wealth
q'inimil	wealth
b´an	wealthy
oksil	wear
ajb´en	wear
ma ajb'enxi	wearing
na´ltx´otx´	weather
mujeb´ilin	wedding
ixq'ij	Wednesday
itzaj	weed
q'ij	week
wuqb'il	week
taqajan	week
te fin de semana	weekend
al	weight
alkayela	weird
bánkulene´	welcome
b'a'nxix	welfare
b´antzun	Well
b´a´n xb´incheta	well done
ma tzok´	went
ma ten	were
ten	were
toj oeste	west
xb´u´l	wet
wo´kyix	whale
tiju	what
ti xb'aj teya	what about you
Ti bajteya	what are you doing
ti b´ajteya jalin	what are you doing now
ti báj teya jalin	what are you doing right now
ti baj teya	what do you do
s'en nanq'iniya'	what do you do for a living
ti tmana	what do you mean
ti tajb´ila	what do you want
ti xb´aj	what happened
ti tzun la	what is
ti ju lu	what is this
ti la	what is this
te qe naq'unaniya	what is your job
ti tb´iya	what is your name
tqal tb´iya	what is your name
ti xb'aj	what's up
ti tb´iya	what's your name
tixku	whatever
a-trigo	wheat
syutb'il	wheel
jtojtzin	when
jtoj	when
jtoxk´u	whenever
ja´	where
ja	where
jatumuil	where
ja taya	where are you
Te jayila´	where are you from
ja taya jalin	where are you now
ja taya tjaya	where do you live
ja	where is
jatumel tzun	where is
tzenku	whereas
oky	whether
el qe	which
tze´n	while
yolil chab´a	whisper
xub´il	whistle
saq´	white
el qeju	who
alkeya	who are you
el qe	who is
el ke	who is this
junka	whole
chwinqxix	whole
alqe	whom
tuntzen	whose
taquntzun	why
ta q´un lay	why not
nya bʼaʼn xjal	wicked
nim twitz	wide
matij twitz	wide
meb´a xinaq	widow
ja n-qo okx b´aje	width
xu'jilb'aj	wife
xu'jlal	wife
nti´ t-nab´	wild
tqeq´il tkuja	will
taj	willing
kanb´al	win
kanb´il	win
kyq'iq'	wind
spiky'b'il	window
toky'	window
su'lq'e'n	wine
jb'alil	winter
qopsil	wipe
taq'il	wire
b´isel	wisdom
b´isel	wise
ajb´il	wish
b´an teya	wish you all the best
ajitz	witch
tukil	with
q'imila	withdraw
toj	within
xtix	without
kayel	witness
xhtij	witty
xoj	wolf
qya	woman
qya	women
kamb'il	won
lay txi'	won't
xjelil	wonder
ponex	wonderful
tze´	wood
tsmal rit	wool
yol	word
yol	words
aq´anal	work
b'inchal	work out
aquí	working
twitztx´otx´	world
twitz q´ijlal	world
q´ijlalil	world
no'x	worm
xton	worm
ma ajb'en	worn
melj	worried
melj	worry
a mya b´a´n	worse
nimbʼel	worship
mya wen	worst
t-chojb´etz	worth
q'uqil tk'uj	worth it
nim toklen	worthy
okle	would
k´ixb´in	wound
ky´ixbí	wound
Ooo	Wow
pajtz´ulte	wrap
txu'j	wrath
ti q´ob´aj	wrist
tzib´il	write
tzib´inkuya tzala	Write here
tz'ib'b'en	writing
tz´ib´in	written
ma chin qe tzaqje	wrong
ma ku tz´ib´in	wrote
pen	yard
k´ab´il	yawn
oky	Yeah
o´na	Yeah
qa	Yeah
ab´q´i	year
ab´q´i	years
yek'tz'ib'b'il	yeast
sch´in	yell
sch´il	yell
woyil	yell
xq´an	yellow
up	yellow
q´an	yellow
oki	Yes
oky nex	yes baby
ikja txin	yes dear
iktzen	yes honey
iktzen	yes my love
b'a'n	yes of course
ewi	yesterday
namx	yet
tmal twitz	yield
Aya	you
aya	you are
ponix te	you are beautiful
tb'anej te	you are so beautiful
mixti´x	you are welcome
nti´x	you are welcome
k-b´entil	you can
b'il	You know
ex teya	you too
mix tix	you're welcome
kuxin	young
teya	your
mixti	your welcome
xite	your welcome
axa	yourself
k´uxin	youth
xite	you’re welcome
k'ok'j	yummy
kow	zero
