एकः	a
माम् वदतु	tell me
अभि- वन्द्	greet
भवतः वयः कियत्‌	how old are you
यदा वयं नौप्रेषणं परीक्षयामः तदा भवतः धैर्यस्य कृते धन्यवादाः	Thank you for your patience while we investigate shipment
सुरक्षितं वस	stay safe
वि- वस्त्राय्	strip
न वा	neither
भो वास्तविक	oh really
अल्पशः विक्रयः	retail
मया विदते मा	I do not understand
अहं विदामि मा त्वं किं कथ्यसि	I don't understand what you mean
नि- विद्	inform
प्रिय विद्यार्थीगणाः	Dear students
भवान् विवाहिता	are you married
सम्- विश्	come on
उप- विश्	sit
तव विषये किं	what about you
अनु- वृत्	keep it up
मा शक्नोति	can't
भवान्‌ शक्नोति	you can
अहं शक्नोमि	I can
वयं शक्नोमि	we can
आं शिशुं	yes baby
त्वां शीघ्रेण पश्यामि	see you soon
तथास्तु शीशु	okay baby
जन्मदिवस्य शुभकामना त्वां	happy birthday to you
त्वह्यं शुभांकक्षा	wish you all the best
नववर्षस्य शुभाशयाः	happy new year
अहं शोभनः अस्मि	I'm fine
त्वं श्वः पश्यामि	see you tomorrow
नि- श्वस्	sigh
आ- सज्	impose
ते सन्ति	there are
ते सन्ति	they are
यत्रेव सम	Same here
कापि समस्या न	no problem
बहु सम्यक्‌	awesome
प्रिय सर्वे	Dear All
ही सर्वे	Hi there
त्वं सुंदरी असि	you are beautiful
भ्रातृ सूतः	nephew
त्वां स्निह्यामि	love you
अहं स्नीह्यामि	I love
मम स्नेहः	my love
तव स्वागतं	you're welcome
तव स्वागतं	you’re welcome
त्वां स्वागतं	your welcome
भवतः स्वागतम्‌	you are welcome
अभि- हन्	bounce
वर्णहीना: हरित्विचारा: तीव्रातोगच्छत	colorless green ideas slept furiously
