a little	бер аҙ
try	тырышырға
Tsonga	тсонга теле
tube	торба
Tuesday	шишәмбе
tuition	уҡыу өсөн түләү
tuition	уҡытыу
turkey	күркә ите
turmeric	куркума
turn	борорға
turtle	гөбөргәйел
tutor	тәрбиәсе
twelve	ун ике
twenty	егерме
twenty-one	егерме бер
Twi	чви теле
twice	ике тапҡыр
twist	әйләндерергә
two	ике
type	баҫҡытырға
type	тип
typical	типик
ugly	йәмһеҙ
ultimate	һуңғы
umbrella	сатыр
unable	һәләтһеҙ
uncle	ағай
uncle	бабай
unconscious	һушһыҙ
under	аҫтында
underneath	аҫтында
underrated	баһалап еткермәгән
understand	аңларға
understood	аңлаған
unfortunately	ҡыҙғанысҡа ҡаршы
uniform	униформа
unique	уникаль
unit	берәмек
university	университет
unknown	билдәһеҙ
unless	түгел иһә
until	тиклем
unusual	үҙенсәлекле
up	өҫкә
up to you	һинән тора
update	яңыртыу
update	яңыртырға
upgrade	яңыртыу
upgrade	яңыртырға
upon	өҫтөндә
upset	боҙорға
upset	күңелһеҙ
urban	ҡала
urge	мәжбүр итергә
urge	нәфсе
urgent	ашығыс
us	беҙҙе
use	файҙаланыу
use	файҙаланырға
used	ҡулланылған
useful	файҙалы
useless	файҙаһыҙ
usual	ғәҙәти
usually	ғәҙәттә
utility	файҙалылыҡ
vacation	ял
vaccination	вакцинация
vaccine	вакцина
vacuum	вакуум
vague	тоноҡ
valid	ғәмәлдәк
valid	йоғоносло
valley	үҙән
valuable	ҡиммәтле
value	баһа бирергә
value	байлыҡ
variety	күплек
various	төрлө
vary	айырылырға
vase	ваза
vast	киң
vegetable	йәшелсә
vegetables	йәшелсә
vehicle	транспорт
vendor	һатыусы
venom	ағыу
venture	предприятие
venue	осрашыу урыны
verify	тикшерергә
versatile	төрлө яҡлы
version	версия
vertical	вертикаль
very	бик
very good	бик яҡшы
vessel	судно
via	аша
vibe	вибрация
vibes	мөхит
vicious	аяуһыҙ
victim	ҡорбан
video	видео
view	күренеш
village	ауыл
villain	яуыз
vinegar	һеркә
vintage	иҫке модалағы
violence	көс ҡулланыу
violent	көсләү
viral	вируслы
virgin	ғиффәтле
virtual	ысын
virtue	изгелек
vision	күреү
visit	визит
visit	килеп инергә
visual	визуаль
vital	тормошсан
vivid	сағыу
vocabulary	һүҙҙәр запасы
voice	тауыш
void	бушлыҡ
volume	күләм
volunteer	ирекмән
vomit	ҡоҫорға
vomit	ҡоҫоҡ
vulnerable	йомшаҡ
wage	эш хаҡы
wages	эш хаҡы
waist	бил
wait	көтөргә
waiter	официант
waiting	көтөү
wake	уятырға
wake up	уянырға
walk	йөрөп килеү
walk	йөрөргә
walking	йөрөү
wall	стена
wallet	янсыҡ
wander	ҡыҙырырға
wanna	теләргә
want	теләргә
wanted	теләгән
wanted	эҙләнеүсе
war	һуғыш
wardrobe	гардероб
warehouse	склад
warm	йылы
warm	йылытырға
warn	иҫкәртергә
warning	иҫкәртеү
warrior	яугир
was	булған
wash	йыуырға
waste	юҡҡа эшләргә
waste	буш юғалтыу
watch	ҡарарға
watch	ҡул сәғәт
water	һыу
watermelon	ҡарбуз
wave	тулҡын
way	юл
we	беҙ
we are	беҙ
we can	беҙ эшләй алабыҙ
weak	көсһөҙ
weakness	көсһөҙлөк
wealth	байлыҡ
wealthy	хәлле
wear	кейергә
wearing	кейеп йөрөгән
wearing	арытҡыс
weather	һауа
wedding	туй
Wednesday	Шаршамбы
weed	ҡый үләне
week	аҙна
weekend	ял көнө
weight	үлсәргә
weight	ауырлыҡ
weird	сәйер
welcome	рәхим итегеҙ
welfare	ярҙам аҡса
welfare	байлыҡ
Well	Ҡоҙоҡ
Well	Шулай итеп
Well	Ярай
well done	афарин
went	барған
were	булдылар
west	көнбайыш
wet	дымлы
whale	кит
what	нимә
what about you	ә һин
what are you doing	нимә эшләйһең
what are you doing now	һәҙер һин нимә эшләйһең
what are you doing right now	һин хәҙер нимә эшләйһең
what do you do	Һин кем булып эшләйһең
what do you do for a living	һин йәшәү өсөн нимә эшләйһең
what do you mean	һин нимә эйтергә теләйһең
what do you want	һиң нимә кәрәк
what happened	нимә булды
what is	нимә ул
what is this	был нимә ул
what is your job	һин кем булып эшләйһең
what is your name	һинең исемең нисек
what's up	ниндәй яңылыҡтар бар
what's your name	исемең нисек
whatever	нимә генә булмаһа
wheat	бойҙай
wheel	тәгәрмәс
when	ҡасан
whenever	һәр тапҡыр
where	ҡайҙа
where are you	һин ҡайҙа
where are you from	һин ҡайҙан
where are you now	һин хәҙер ҡайҙа
where do you live	һин ҡайҙа йәшәйһең
where is	ҡайҙа
whereas	шул уҡ ваҡытта
which	ҡайһы
while	шул арала
whisper	бышылдау
whistle	һыҙғырырға
white	аҡ
who	кем
who are you	һин кем
who is	кем
who is this	был кем ул
whole	бөтөн
whom	кемде
whose	кемдең
why	ни өсөн
why	нимәгә
why not	ниңә юҡ
wicked	уҫал
wide	киң
widow	тол ҡатын
width	киңлек
wife	ҡатын
wild	ҡыр
will	ирек
willing	әҙер
win	еңеү яуларға
wind	йел
window	тәҙрә
windy	елле
wine	шарап
winter	ҡыш
wipe	һөртөргә
wire	сым
wisdom	аҡыл
wise	аҡыллы
wish	теләк
wish	теләргә
wish you all the best	иң яҡшы теләктәр
witch	сихырсы
with	менән
withdraw	кире алырға
withdrawal	кире алыу
within	эсендә
without	-һеҙ
witness	шаһит булырға
witness	шаһит
witty	үткер аҡыллы
wolf	бүре
woman	ҡатын ҡыҙ
women	ҡатын ҡыҙҙар
won	еңеү яулаған
won't	булмаясаҡ
wonder	ғәжәпләнергә
wonderful	ғәжәп
wood	ағас
wool	йөн
word	һүҙ
words	һүҙҙәр
work	эшләргә
work	эш
work out	күнегеү
working	эшләгән
world	донья
worm	селәүсен
worn	туҙған
worried	болоҡһотоҡ
worry	борсолорға
worse	насарыраҡ
worship	табынырға
worst	иң насар
worth	лайыҡ
worth it	иғтибарға лайыҡ
worthy	лайыҡ
would	ине
wound	яра
Wow	Вау
wrap	урарға
wrath	асыу
wrist	шаушаҡ
write	яҙырға
Write here	Бында яҙығыҙ
writing	яҙыу
written	яҙылған
wrong	дөрөҫ түгел
wrote	яҙған
yard	ихата
yawn	иҫнәү
yawn	иҫнәргә
Yeah	Әйе
year	йыл
years	йылдар
yeast	сүпрә бәшмәк
yell	аҡырырға
yellow	һары
Yes	Эйе
yes baby	эйе балаҡайым
yes dear	эйе ҡәҙерлем
yes honey	эйе йәнем
yes my love	эйе йөрәкәйем
yes of course	эйе әлбиттә
yesterday	кисэнге
yet	әле
yield	уңыш
yield	сығарырға
you	һин
you are	һин
you are beautiful	һин сибәр
you are so beautiful	һин шундай матур
you are welcome	рәхим итегеҙ
you can	һин алаң
You know	Беләһеңме
you too	һин дә
you're welcome	рәхим итегәҙ
young	йәш
your	һинең
your welcome	рәхим ит
yourself	үҙен
youth	йәшлек
youth	йәш саҡ
you’re welcome	рәхим итегеҙ
yummy	тәмле
zero	нуль
